emr_id,category,subcategory,question_type,term,definition,option_a,option_b,option_c,option_d,correct_answer,rationale
EMR-VOCAB-301,Pathophysiology,Cardiovascular,vocabulary,Myocardial infarction,Death of heart muscle due to lack of blood supply,Slow heart rate,Heart muscle death,Fast heart rate,Heart infection,B,Myocardial infarction MI or heart attack occurs when coronary artery blockage deprives heart muscle of oxygen causing cell death. The extent of damage depends on which artery is blocked and duration of blockage.
EMR-VOCAB-302,Pathophysiology,Cardiovascular,vocabulary,Angina pectoris,Chest pain from temporary reduced blood flow to heart,Permanent heart damage,Temporary chest pain from ischemia,Heart infection,Irregular heartbeat,B,Angina is chest discomfort caused by temporary myocardial ischemia without permanent damage. It typically occurs with exertion and resolves with rest or nitroglycerin unlike MI which causes permanent damage.
EMR-VOCAB-303,Pathophysiology,Cardiovascular,vocabulary,Ischemia,Inadequate blood supply to tissue,Excessive blood supply,Inadequate blood supply,Normal blood flow,Blood clot,B,Ischemia occurs when blood flow to tissue is insufficient to meet oxygen demands. Prolonged ischemia leads to tissue death. Cardiac ischemia causes angina while prolonged ischemia causes infarction.
EMR-VOCAB-304,Pathophysiology,Cardiovascular,vocabulary,Infarction,Tissue death due to lack of blood supply,Tissue healing,Tissue death from ischemia,Increased blood flow,Inflammation,B,Infarction is death of tissue resulting from prolonged ischemia. When heart muscle dies it is myocardial infarction. When brain tissue dies it is cerebral infarction or stroke.
EMR-VOCAB-305,Pathophysiology,Cardiovascular,vocabulary,Arrhythmia,Abnormal heart rhythm,Normal heart rhythm,Abnormal heart rhythm,Heart muscle death,Blood clot,B,Arrhythmia or dysrhythmia is any deviation from normal heart rhythm. They range from benign to life-threatening and include bradycardia tachycardia atrial fibrillation and ventricular fibrillation.
EMR-VOCAB-306,Pathophysiology,Cardiovascular,vocabulary,Bradycardia,Heart rate slower than 60 beats per minute,Fast heart rate,Slow heart rate under 60,Normal heart rate,Irregular heart rate,B,Bradycardia is heart rate below 60 bpm. It may be normal in athletes but symptomatic bradycardia with hypotension or altered mental status requires treatment.
EMR-VOCAB-307,Pathophysiology,Cardiovascular,vocabulary,Tachycardia,Heart rate faster than 100 beats per minute,Slow heart rate,Fast heart rate over 100,Normal heart rate,Irregular heart rate,B,Tachycardia is heart rate above 100 bpm. It may be a normal response to stress fever or exertion or may indicate underlying pathology. Sustained tachycardia reduces cardiac output.
EMR-VOCAB-308,Pathophysiology,Cardiovascular,vocabulary,Ventricular fibrillation,Chaotic disorganized heart rhythm causing cardiac arrest,Normal heart rhythm,Chaotic rhythm causing arrest,Slow heart rate,Fast but organized rhythm,B,Ventricular fibrillation VF is a lethal arrhythmia where the ventricles quiver chaotically producing no cardiac output. It is the most common initial rhythm in sudden cardiac arrest and requires defibrillation.
EMR-VOCAB-309,Pathophysiology,Cardiovascular,vocabulary,Asystole,Complete absence of cardiac electrical activity,Normal rhythm,No electrical activity flatline,Fast rhythm,Irregular rhythm,B,Asystole is the absence of any cardiac electrical activity appearing as a flat line on the monitor. It indicates severe cardiac dysfunction with very poor prognosis. It is not a shockable rhythm.
EMR-VOCAB-310,Pathophysiology,Cardiovascular,vocabulary,Congestive heart failure,Heart cannot pump blood effectively causing fluid backup,Heart attack,Pump failure with fluid backup,Heart infection,Fast heart rate,B,CHF occurs when the heart cannot pump effectively causing blood to back up into the lungs left-sided failure or body right-sided failure. Symptoms include dyspnea edema and fatigue.
EMR-VOCAB-311,Pathophysiology,Cardiovascular,vocabulary,Pulmonary edema,Fluid accumulation in the lungs,Fluid in abdomen,Fluid in lungs,Blood clot in lung,Collapsed lung,B,Pulmonary edema is fluid accumulation in the alveoli impairing gas exchange. It commonly results from left heart failure causing blood to back up into the pulmonary circulation. Symptoms include severe dyspnea and crackles.
EMR-VOCAB-312,Pathophysiology,Cardiovascular,vocabulary,Atherosclerosis,Buildup of plaque in artery walls,Healthy arteries,Plaque buildup in arteries,Weak artery wall,Blood clot,B,Atherosclerosis is progressive buildup of fatty plaques in arterial walls narrowing the lumen and reducing blood flow. It underlies most heart attacks and strokes when plaques rupture and form clots.
EMR-VOCAB-313,Pathophysiology,Cardiovascular,vocabulary,Embolus,Material traveling through bloodstream that blocks a vessel,Stationary clot,Traveling blockage,Bleeding,Vessel spasm,B,An embolus is material usually a blood clot that travels through the bloodstream until it lodges in and blocks a smaller vessel. Pulmonary embolism occurs when emboli block pulmonary arteries.
EMR-VOCAB-314,Pathophysiology,Cardiovascular,vocabulary,Thrombus,Blood clot that forms in a blood vessel,Traveling clot,Stationary clot in vessel,Normal blood flow,Air bubble,B,A thrombus is a blood clot that forms and remains in place within a blood vessel. It can obstruct blood flow locally or break off becoming an embolus that travels to block distant vessels.
EMR-VOCAB-315,Pathophysiology,Respiratory,vocabulary,Hypoxia,Inadequate oxygen supply to tissues,Excess oxygen,Low oxygen to tissues,Low carbon dioxide,High carbon dioxide,B,Hypoxia is insufficient oxygen delivery to meet tissue needs. Causes include respiratory failure circulatory failure and anemia. Signs include cyanosis altered mental status and tachycardia.
EMR-VOCAB-316,Pathophysiology,Respiratory,vocabulary,Hypoxemia,Low oxygen levels in the blood,High blood oxygen,Low blood oxygen,Low blood sugar,High blood pressure,B,Hypoxemia is abnormally low oxygen tension in arterial blood typically SpO2 below 90% or PaO2 below 60 mmHg. It is measured by pulse oximetry or blood gas analysis and leads to tissue hypoxia.
EMR-VOCAB-317,Pathophysiology,Respiratory,vocabulary,Hypercapnia,Elevated carbon dioxide levels in blood,Low CO2,High blood CO2,Low oxygen,High oxygen,B,Hypercapnia is elevated arterial CO2 from inadequate ventilation. It causes acidosis and if severe can cause altered mental status and respiratory failure. It is common in COPD and hypoventilation.
EMR-VOCAB-318,Pathophysiology,Respiratory,vocabulary,Bronchospasm,Constriction of airway smooth muscle,Airway relaxation,Airway muscle constriction,Airway swelling,Mucus production,B,Bronchospasm is contraction of smooth muscle surrounding bronchi causing airway narrowing and increased resistance. It is the primary problem in asthma and responds to bronchodilators.
EMR-VOCAB-319,Pathophysiology,Respiratory,vocabulary,Pneumothorax,Air in the pleural space causing lung collapse,Fluid in lungs,Air in chest cavity,Blood in chest,Chest infection,B,Pneumothorax occurs when air enters the pleural space collapsing the lung. Causes include trauma spontaneous rupture and medical procedures. Tension pneumothorax is life-threatening.
EMR-VOCAB-320,Pathophysiology,Respiratory,vocabulary,Hemothorax,Blood in the pleural space,Air in chest,Blood in chest cavity,Fluid in lungs,Chest infection,B,Hemothorax is accumulation of blood in the pleural space usually from trauma. It can cause both respiratory compromise from lung compression and hypovolemic shock from blood loss.
EMR-VOCAB-321,Pathophysiology,Neurological,vocabulary,Cerebrovascular accident,Stroke caused by blocked or ruptured brain blood vessel,Heart attack,Brain attack stroke,Seizure,Headache,B,CVA or stroke occurs when blood flow to part of the brain is interrupted by clot ischemic or bleeding hemorrhagic. Brain cells die causing neurological deficits. Time is critical for treatment.
EMR-VOCAB-322,Pathophysiology,Neurological,vocabulary,Transient ischemic attack,Temporary stroke-like symptoms that resolve completely,Permanent stroke,Temporary stroke symptoms,Seizure,Migraine,B,TIA is a brief episode of stroke-like symptoms that resolve completely usually within an hour. It is a warning sign that a full stroke may follow and requires urgent evaluation.
EMR-VOCAB-323,Pathophysiology,Neurological,vocabulary,Increased intracranial pressure,Elevated pressure inside the skull,Low brain pressure,High pressure in skull,Normal brain pressure,Brain infection,B,Increased ICP results from bleeding swelling or mass effect inside the rigid skull. It can compress brain tissue and herniate the brain through openings causing death. Signs include altered consciousness and pupil changes.
EMR-VOCAB-324,Pathophysiology,Neurological,vocabulary,Herniation,Brain tissue pushed through openings in skull due to pressure,Brain healing,Brain tissue displacement,Brain infection,Normal brain position,B,Brain herniation occurs when increased ICP pushes brain tissue through openings in the skull compressing vital structures. It is life-threatening and manifests as declining consciousness and pupil changes.
EMR-VOCAB-325,Pathophysiology,Neurological,vocabulary,Postictal state,Period of confusion and recovery following a seizure,Before seizure,After seizure recovery,During seizure,Seizure cause,B,The postictal state follows a seizure characterized by confusion drowsiness and gradual return to baseline. Duration varies from minutes to hours. Patients may not remember the seizure.
EMR-VOCAB-326,Pathophysiology,Metabolic,vocabulary,Hypoglycemia,Abnormally low blood glucose level,High blood sugar,Low blood sugar,Normal blood sugar,Diabetes,B,Hypoglycemia is blood glucose below 70 mg/dL causing symptoms from brain glucose deprivation. Signs include confusion diaphoresis and altered mental status progressing to seizures and coma if untreated.
EMR-VOCAB-327,Pathophysiology,Metabolic,vocabulary,Hyperglycemia,Abnormally high blood glucose level,Low blood sugar,High blood sugar,Normal blood sugar,Insulin overdose,B,Hyperglycemia is elevated blood glucose typically above 200 mg/dL. It develops gradually and can lead to diabetic ketoacidosis or hyperosmolar state. Symptoms include polyuria polydipsia and altered mental status.
EMR-VOCAB-328,Pathophysiology,Metabolic,vocabulary,Diabetic ketoacidosis,Life-threatening complication of diabetes with high glucose and ketones,Low blood sugar emergency,High sugar with ketone buildup,Normal diabetic state,Insulin overdose,B,DKA occurs primarily in Type 1 diabetes when lack of insulin causes very high glucose and ketone production. Signs include altered mental status Kussmaul respirations fruity breath and dehydration.
EMR-VOCAB-329,Pathophysiology,Metabolic,vocabulary,Acidosis,Abnormally low blood pH,High blood pH,Low blood pH acidic,Normal blood pH,Neutral blood pH,B,Acidosis is blood pH below 7.35 caused by excess acid or loss of base. Respiratory acidosis results from CO2 retention. Metabolic acidosis results from acid production as in DKA or acid ingestion.
EMR-VOCAB-330,Pathophysiology,Metabolic,vocabulary,Alkalosis,Abnormally high blood pH,Low blood pH,High blood pH basic,Normal blood pH,Acidic blood,B,Alkalosis is blood pH above 7.45 caused by loss of acid or excess base. Respiratory alkalosis results from hyperventilation blowing off CO2. Metabolic alkalosis can result from vomiting or excess antacids.
EMR-VOCAB-331,Pathophysiology,Shock,vocabulary,Shock,Inadequate tissue perfusion,Adequate perfusion,Inadequate perfusion,Normal circulation,High blood pressure,B,Shock is failure of the cardiovascular system to adequately perfuse tissues with oxygenated blood. Without treatment it progresses to organ failure and death. Multiple types exist based on cause.
EMR-VOCAB-332,Pathophysiology,Shock,vocabulary,Hypovolemic shock,Shock caused by fluid or blood loss,Shock from infection,Shock from blood loss,Shock from heart failure,Shock from spinal injury,B,Hypovolemic shock results from loss of blood or fluid volume reducing cardiac output. Causes include hemorrhage dehydration and burns. Treatment includes stopping bleeding and volume replacement.
EMR-VOCAB-333,Pathophysiology,Shock,vocabulary,Cardiogenic shock,Shock caused by heart pump failure,Shock from blood loss,Shock from heart failure,Shock from infection,Shock from allergy,B,Cardiogenic shock occurs when the heart cannot pump adequately typically from massive MI or severe arrhythmia. Unlike hypovolemic shock fluid administration may worsen it by overloading the failing heart.
EMR-VOCAB-334,Pathophysiology,Shock,vocabulary,Distributive shock,Shock caused by widespread vasodilation,Shock from blood loss,Shock from vessel dilation,Shock from heart failure,Shock from obstruction,B,Distributive shock results from inappropriate vasodilation causing relative hypovolemia. Subtypes include septic anaphylactic and neurogenic shock. Blood volume is normal but vessels are too dilated.
EMR-VOCAB-335,Pathophysiology,Shock,vocabulary,Septic shock,Shock caused by overwhelming infection,Shock from blood loss,Shock from infection,Shock from allergy,Shock from heart failure,B,Septic shock is distributive shock caused by systemic infection triggering massive inflammatory response and vasodilation. It has high mortality and requires antibiotics and aggressive supportive care.
