id,category,subcategory,question,option_a,option_b,option_c,option_d,correct_answer,rationale,certification,difficulty
1,Airway,Anatomy,The oropharynx extends from the:,Nose to larynx,Soft palate to epiglottis,Lips to teeth,Larynx to carina,B,The oropharynx extends from soft palate to base of tongue and epiglottis.,AEMT,medium
2,Airway,Anatomy,The laryngopharynx is also called the:,Nasopharynx,Hypopharynx,Oropharynx,Trachea,B,The laryngopharynx or hypopharynx extends from epiglottis to esophagus and larynx.,AEMT,medium
3,Airway,Anatomy,The thyroid cartilage is commonly known as the:,Cricoid ring,Adams apple,Hyoid bone,Epiglottis,B,The thyroid cartilage forms the Adams apple or laryngeal prominence.,AEMT,medium
4,Airway,Anatomy,The only bone in the airway is the:,Thyroid cartilage,Hyoid bone,Cricoid cartilage,Mandible,B,The hyoid bone is the only bone in the upper airway; it supports the tongue.,AEMT,medium
5,Airway,Anatomy,The glottis is the:,Opening between vocal cords,Flap covering the airway,First tracheal ring,Cartilage in the larynx,A,The glottis is the opening between the vocal cords in the larynx.,AEMT,medium
6,Airway,Anatomy,The vallecula is located:,Below the vocal cords,Between tongue base and epiglottis,In the trachea,At the carina,B,The vallecula is the space between tongue base and epiglottis.,AEMT,medium
7,Airway,Anatomy,Dead space refers to:,Areas where gas exchange occurs,Airways where no gas exchange occurs,Collapsed alveoli,Fluid-filled alveoli,B,Anatomical dead space includes conducting airways with no gas exchange.,AEMT,medium
8,Airway,Anatomy,Tidal volume is the amount of air:,In the lungs after maximum inspiration,Breathed in and out with each normal breath,Remaining after maximum exhalation,Exchanged per minute,B,Tidal volume is air moved in and out with normal breathing about 500 mL.,AEMT,medium
9,Airway,Anatomy,Minute volume equals:,Tidal volume only,Tidal volume times respiratory rate,Residual volume,Vital capacity,B,Minute volume equals tidal volume times respiratory rate.,AEMT,medium
10,Airway,Anatomy,Normal minute volume for an adult is approximately:,2-4 liters,6-8 liters,12-15 liters,20 liters,B,Normal minute volume is about 6-8 L/min (500 mL x 12-16 breaths).,AEMT,medium
11,Airway,Assessment,Agonal respirations are:,Normal breathing,Gasping ineffective breaths near death,Rapid deep breathing,Slow regular breathing,B,Agonal respirations are irregular gasping breaths that are not effective.,AEMT,medium
12,Airway,Assessment,Cheyne-Stokes respirations are characterized by:,Constant rate and depth,Alternating periods of apnea and hyperpnea,Deep rapid breathing,Shallow slow breathing,B,Cheyne-Stokes shows cyclic pattern of increasing then decreasing rate with apnea periods.,AEMT,medium
13,Airway,Assessment,Biot respirations are characterized by:,Regular pattern,Irregular rate and depth with sudden apnea,Deep rapid breathing,Gradual changes,B,Biots are irregular with sudden periods of apnea; seen in brain injury.,AEMT,medium
14,Airway,Assessment,Kussmaul respirations are:,Slow and shallow,Deep and rapid,Irregular with apnea,Normal breathing,B,Kussmaul respirations are deep rapid breathing compensating for metabolic acidosis.,AEMT,medium
15,Airway,Assessment,Apnea means:,Rapid breathing,Absence of breathing,Slow breathing,Difficult breathing,B,Apnea is the absence of spontaneous breathing.,AEMT,medium
16,Airway,Assessment,Dyspnea means:,Rapid breathing,Difficult or labored breathing,Slow breathing,No breathing,B,Dyspnea is subjective feeling of difficulty breathing or shortness of breath.,AEMT,medium
17,Airway,Assessment,Tachypnea is respiratory rate greater than:,12 per minute,20 per minute,30 per minute,40 per minute,B,Tachypnea is respiratory rate greater than 20 per minute in adults.,AEMT,medium
18,Airway,Assessment,Bradypnea is respiratory rate less than:,20 per minute,12 per minute,8 per minute,6 per minute,B,Bradypnea is respiratory rate less than 12 per minute in adults.,AEMT,medium
19,Airway,Assessment,Orthopnea is difficulty breathing:,While standing,While lying flat,While sitting,During exercise,B,Orthopnea is dyspnea when supine relieved by sitting up.,AEMT,medium
20,Airway,Assessment,Tripod position indicates:,Comfort,Severe respiratory distress,Cardiac arrest,Abdominal pain,B,Tripod position sitting leaning forward on arms indicates significant respiratory distress.,AEMT,medium
21,Airway,Assessment,Retractions indicate:,Normal breathing,Increased work of breathing,Hyperventilation,Adequate ventilation,B,Retractions show increased work of breathing as accessory muscles pull in tissue.,AEMT,medium
22,Airway,Assessment,Intercostal retractions occur:,Above the clavicles,Between the ribs,Below the sternum,In the abdomen,B,Intercostal retractions are seen between ribs during labored inspiration.,AEMT,medium
23,Airway,Assessment,Subcostal retractions occur:,Between ribs,Below the rib cage margin,Above clavicles,In the neck,B,Subcostal retractions occur below the costal margin.,AEMT,medium
