emr_id,category,subcategory,question_type,term,definition,option_a,option_b,option_c,option_d,correct_answer,rationale
EMR-VOCAB-451,Signs and Symptoms,General,vocabulary,Sign,Objective finding that can be observed or measured,Patient complaint,Observable finding,Patient feeling,Suspected diagnosis,B,A sign is an objective finding observed by the examiner such as vital signs skin color swelling or bleeding. Signs can be measured or observed unlike symptoms which are subjective.
EMR-VOCAB-452,Signs and Symptoms,General,vocabulary,Symptom,Subjective experience reported by the patient,Observable finding,Patient-reported experience,Measured finding,Provider observation,B,A symptom is a subjective experience reported by the patient such as pain nausea dizziness or weakness. Symptoms cannot be directly observed or measured by the examiner.
EMR-VOCAB-453,Signs and Symptoms,General,vocabulary,Acute,Sudden onset or short duration,Long-lasting,Sudden or short-term,Moderate,Chronic,B,Acute refers to conditions with sudden onset or short duration typically days to weeks. Acute MI acute appendicitis and acute asthma attack are examples of sudden-onset conditions.
EMR-VOCAB-454,Signs and Symptoms,General,vocabulary,Chronic,Long-lasting or recurring condition,Sudden onset,Long-lasting condition,Moderate,Acute,B,Chronic refers to conditions persisting over long periods typically months to years. COPD chronic heart failure and diabetes are chronic conditions that may have acute exacerbations.
EMR-VOCAB-455,Signs and Symptoms,General,vocabulary,Bilateral,Affecting both sides,One side only,Both sides,Front and back,Top and bottom,B,Bilateral means affecting both sides of the body. Bilateral leg swelling bilateral wheezing or bilateral pupils being equal are examples of bilateral findings.
EMR-VOCAB-456,Signs and Symptoms,General,vocabulary,Unilateral,Affecting one side only,Both sides,One side only,Front only,Back only,B,Unilateral means affecting only one side. Unilateral weakness stroke unilateral pupil dilation herniation and unilateral absent breath sounds pneumothorax are significant unilateral findings.
EMR-VOCAB-457,Signs and Symptoms,Respiratory,vocabulary,Dyspnea,Difficulty breathing or shortness of breath,Normal breathing,Difficulty breathing,Fast breathing,Slow breathing,B,Dyspnea is the subjective sensation of difficulty breathing or air hunger. It may occur at rest or with exertion. The degree of dyspnea helps assess severity of respiratory conditions.
EMR-VOCAB-458,Signs and Symptoms,Respiratory,vocabulary,Orthopnea,Difficulty breathing when lying flat,Difficulty sitting,Difficulty lying flat,Difficulty standing,Difficulty walking,B,Orthopnea is dyspnea that occurs or worsens when lying flat and improves when sitting up. It is characteristic of heart failure due to increased venous return when supine.
EMR-VOCAB-459,Signs and Symptoms,Respiratory,vocabulary,Tachypnea,Abnormally rapid respiratory rate,Slow breathing,Fast breathing,Absent breathing,Normal breathing,B,Tachypnea is respiratory rate above normal typically over 20 in adults. It may indicate respiratory distress hypoxia metabolic acidosis fever anxiety or pain.
EMR-VOCAB-460,Signs and Symptoms,Respiratory,vocabulary,Bradypnea,Abnormally slow respiratory rate,Fast breathing,Slow breathing,Absent breathing,Normal breathing,B,Bradypnea is respiratory rate below normal typically under 12 in adults. Causes include CNS depression from drugs or head injury hypothermia and impending respiratory failure.
EMR-VOCAB-461,Signs and Symptoms,Respiratory,vocabulary,Apnea,Absence of breathing,Fast breathing,Absent breathing,Slow breathing,Normal breathing,B,Apnea is complete cessation of breathing. Brief apnea occurs normally during sleep. Prolonged apnea requires immediate ventilatory support as it quickly leads to death.
EMR-VOCAB-462,Signs and Symptoms,Respiratory,vocabulary,Hyperpnea,Increased depth of breathing,Shallow breathing,Deep breathing,Fast breathing,Slow breathing,B,Hyperpnea is increased depth of breathing not necessarily increased rate. It may be normal during exercise or pathological in conditions like metabolic acidosis Kussmaul respirations.
EMR-VOCAB-463,Signs and Symptoms,Respiratory,vocabulary,Retractions,Visible pulling in of tissues during inspiration,Chest bulging,Tissue pulling inward,Normal breathing,Chest wall movement,B,Retractions are visible indrawing of tissues intercostal supraclavicular substernal during inspiration indicating increased work of breathing. They suggest significant respiratory distress.
EMR-VOCAB-464,Signs and Symptoms,Respiratory,vocabulary,Nasal flaring,Widening of nostrils during breathing,Nose twitching,Nostril widening with breaths,Nose bleeding,Normal breathing,B,Nasal flaring is widening of the nostrils with inspiration. It is especially significant in infants and children as a sign of respiratory distress indicating increased effort to breathe.
EMR-VOCAB-465,Signs and Symptoms,Respiratory,vocabulary,Tripod position,Sitting upright leaning forward on hands,Lying flat,Sitting leaning forward,Standing straight,Lying on side,B,Tripod position is sitting upright leaning forward with hands on knees or surface. Patients instinctively adopt this position to maximize breathing capacity. It indicates significant respiratory distress.
EMR-VOCAB-466,Signs and Symptoms,Cardiovascular,vocabulary,Palpitations,Sensation of rapid pounding or fluttering heartbeat,Normal heartbeat feeling,Abnormal heartbeat sensation,Chest pain,Shortness of breath,B,Palpitations are the subjective sensation of abnormal heartbeat often described as racing pounding skipping or fluttering. They may indicate arrhythmia anxiety or be benign.
EMR-VOCAB-467,Signs and Symptoms,Cardiovascular,vocabulary,Syncope,Fainting or temporary loss of consciousness,Dizziness,Loss of consciousness,Seizure,Sleep,B,Syncope is transient loss of consciousness from temporary decreased brain blood flow. Causes range from benign vasovagal to serious cardiac arrhythmias. Recovery is usually rapid and complete.
EMR-VOCAB-468,Signs and Symptoms,Cardiovascular,vocabulary,Presyncope,Feeling of almost fainting without loss of consciousness,Actual fainting,Near-fainting feeling,Full consciousness,Seizure,B,Presyncope is the feeling of impending faint with symptoms like lightheadedness weakness tunnel vision and nausea without actually losing consciousness. It suggests the same underlying causes as syncope.
EMR-VOCAB-469,Signs and Symptoms,Cardiovascular,vocabulary,Edema,Swelling from fluid accumulation in tissues,Redness,Fluid swelling,Bruising,Warmth,B,Edema is abnormal fluid accumulation in tissues causing swelling. Peripheral edema in legs suggests right heart failure or venous insufficiency. Pulmonary edema indicates left heart failure.
EMR-VOCAB-470,Signs and Symptoms,Cardiovascular,vocabulary,Pitting edema,Edema that retains indentation when pressed,Non-pitting swelling,Swelling that holds indent,Normal tissue,Firm swelling,B,Pitting edema leaves a temporary indentation when pressed with a finger. The depth and duration of the pit indicates severity. It commonly occurs in dependent areas like ankles and feet.
EMR-VOCAB-471,Signs and Symptoms,Neurological,vocabulary,Paresthesia,Abnormal sensation like tingling or numbness,Normal sensation,Tingling or numbness,Pain,Paralysis,B,Paresthesia is abnormal sensation including tingling burning numbness or pins and needles. It may indicate nerve compression stroke diabetic neuropathy or other neurological conditions.
EMR-VOCAB-472,Signs and Symptoms,Neurological,vocabulary,Paralysis,Complete loss of muscle function,Weakness,Loss of movement,Tingling,Pain,B,Paralysis is complete inability to move affected muscles. Hemiplegia affects one side. Paraplegia affects lower body. Quadriplegia affects all four extremities. Causes include stroke and spinal cord injury.
EMR-VOCAB-473,Signs and Symptoms,Neurological,vocabulary,Paresis,Weakness or partial paralysis,Complete paralysis,Partial weakness,Normal strength,Numbness,B,Paresis is muscle weakness or partial loss of movement less severe than complete paralysis. Hemiparesis one-sided weakness is a common stroke finding.
EMR-VOCAB-474,Signs and Symptoms,Neurological,vocabulary,Ataxia,Uncoordinated movement and balance problems,Normal coordination,Uncoordinated movement,Paralysis,Tremor,B,Ataxia is lack of muscle coordination affecting gait balance and speech. It may indicate cerebellar dysfunction alcohol intoxication stroke or other neurological problems.
EMR-VOCAB-475,Signs and Symptoms,Neurological,vocabulary,Aphasia,Difficulty with speech or language,Normal speech,Speech or language difficulty,Slurred speech,Hoarse voice,B,Aphasia is impaired ability to produce or understand language due to brain damage typically from stroke. Expressive aphasia affects speech production. Receptive aphasia affects comprehension.
EMR-VOCAB-476,Signs and Symptoms,Neurological,vocabulary,Dysarthria,Slurred or difficult speech from muscle weakness,Language difficulty,Slurred speech,Hoarse voice,Normal speech,B,Dysarthria is slurred or difficult speech from weakness of muscles controlling speech. Unlike aphasia the patient knows what they want to say but cannot articulate clearly. Common in stroke.
EMR-VOCAB-477,Signs and Symptoms,Neurological,vocabulary,Seizure,Abnormal electrical activity in brain causing involuntary movements,Normal brain activity,Abnormal brain electrical activity,Fainting,Sleep,B,Seizures result from abnormal electrical discharge in the brain causing varied manifestations from brief staring spells to generalized convulsions depending on location and spread of activity.
EMR-VOCAB-478,Signs and Symptoms,Neurological,vocabulary,Aura,Warning sensation before seizure or migraine,Seizure itself,Pre-seizure warning,Post-seizure state,Normal sensation,B,An aura is a sensory warning that precedes a seizure or migraine. It may be visual auditory olfactory or emotional. Patients who recognize their aura can sometimes get to safety before a seizure.
EMR-VOCAB-479,Signs and Symptoms,Gastrointestinal,vocabulary,Nausea,Sensation of needing to vomit,Actual vomiting,Feeling of impending vomit,Stomach pain,Diarrhea,B,Nausea is the subjective sensation of impending vomiting or stomach upset. It may occur with or without actual vomiting and has many causes including GI problems medications and motion.
EMR-VOCAB-480,Signs and Symptoms,Gastrointestinal,vocabulary,Vomiting,Forceful expulsion of stomach contents,Nausea,Stomach content expulsion,Coughing,Choking,B,Vomiting or emesis is forceful expulsion of gastric contents through the mouth. It may be caused by GI problems toxins increased intracranial pressure pregnancy or medications.
EMR-VOCAB-481,Signs and Symptoms,Gastrointestinal,vocabulary,Hematemesis,Vomiting blood,Coughing blood,Vomiting blood,Bloody stool,Bloody urine,B,Hematemesis is vomiting blood which may be bright red fresh bleeding or coffee-ground appearing digested blood. It indicates upper GI bleeding from ulcers varices or other sources.
EMR-VOCAB-482,Signs and Symptoms,Gastrointestinal,vocabulary,Melena,Black tarry stool from upper GI bleeding,Bright red stool,Black tarry stool,Normal stool,Bloody vomit,B,Melena is black tarry foul-smelling stool resulting from digested blood typically from upper GI bleeding. The dark color comes from blood being digested as it passes through the GI tract.
EMR-VOCAB-483,Signs and Symptoms,Gastrointestinal,vocabulary,Hematochezia,Bright red blood in stool,Black stool,Red blood in stool,Bloody vomit,Normal stool,B,Hematochezia is passage of bright red blood through the rectum usually indicating lower GI bleeding from hemorrhoids diverticulosis or colorectal pathology. Massive upper GI bleeding can also cause it.
EMR-VOCAB-484,Signs and Symptoms,Gastrointestinal,vocabulary,Distension,Abnormal enlargement or swelling,Normal size,Abnormal swelling,Tenderness,Rigidity,B,Distension refers to abnormal enlargement typically of the abdomen. Abdominal distension may indicate bowel obstruction ascites internal bleeding or gastric dilation from positive pressure ventilation.
EMR-VOCAB-485,Signs and Symptoms,Gastrointestinal,vocabulary,Guarding,Voluntary muscle tensing to protect painful area,Relaxed abdomen,Protective muscle tensing,Rigid abdomen,Normal abdomen,B,Guarding is voluntary tensing of abdominal muscles when the examiner palpates a painful area. It indicates underlying inflammation or injury. Voluntary guarding can be overcome with distraction.
