id,category,subcategory,question,option_a,option_b,option_c,option_d,correct_answer,rationale,certification,difficulty
1,Trauma,Assessment,The primary survey assesses:,Patient history,Immediate life threats ABCDE,Detailed injuries,Vital signs only,B,Primary survey identifies immediate life threats: Airway Breathing Circulation Disability Exposure.,AEMT,medium
2,Trauma,Assessment,ABCDE stands for:,Appearance Breathing Circulation Diagnosis Evaluation,Airway Breathing Circulation Disability Exposure,Allergies Blood pressure Consciousness Drugs Environment,None of above,B,ABCDE: Airway Breathing Circulation Disability Exposure/Environment.,AEMT,medium
3,Trauma,Assessment,The secondary survey is:,First assessment performed,Head-to-toe exam after life threats addressed,Only done at hospital,Vital signs only,B,Secondary survey is systematic head-to-toe after primary survey and life threats managed.,AEMT,medium
4,Trauma,Assessment,DCAP-BTLS stands for:,Deformities Contusions Abrasions Punctures Burns Tenderness Lacerations Swelling,Diagnosis Circulation Assessment Perfusion,Different terms for trauma,None of above,A,DCAP-BTLS: assessment findings to look for during physical exam.,AEMT,medium
5,Trauma,Assessment,Glasgow Coma Scale assesses:,Blood pressure,Eye opening verbal response motor response,Respiratory rate,Pain level,B,GCS assesses level of consciousness: eye verbal motor responses.,AEMT,medium
6,Trauma,Assessment,GCS score of 15 indicates:,Coma,Normal level of consciousness,Brain death,Moderate injury,B,GCS 15 is normal and fully alert; 3 is lowest possible.,AEMT,medium
7,Trauma,Assessment,GCS score of 8 or less indicates:,Mild injury,Severe injury inability to protect airway,Normal,Moderate injury,B,GCS 8 or less indicates severe brain injury and potential airway compromise.,AEMT,medium
8,Trauma,Assessment,Mechanism of injury helps predict:,Patient age,Potential injuries based on forces involved,Treatment needed,Transport destination,B,MOI helps predict injuries: high-energy vs low-energy mechanisms.,AEMT,medium
9,Trauma,Assessment,High-energy mechanisms include:,Fall from standing,Vehicle ejection high-speed MVC pedestrian struck,Minor falls,Simple assault,B,High-energy: ejection rollover death in vehicle pedestrian struck significant intrusion.,AEMT,medium
10,Trauma,Assessment,The golden hour concept refers to:,Scene time only,Critical time from injury to definitive surgical care,Transport time,Assessment time,B,Golden hour: importance of rapid definitive care ideally within 60 minutes.,AEMT,medium
11,Trauma,Hemorrhage,The most common cause of preventable trauma death is:,Head injury,Uncontrolled hemorrhage,Airway obstruction,Pneumothorax,B,Hemorrhage is the most common preventable cause of trauma death.,AEMT,medium
12,Trauma,Hemorrhage,Class I hemorrhage involves blood loss of:,Up to 15%,15-30%,30-40%,Greater than 40%,A,Class I: up to 15% or 750 mL minimal symptoms.,AEMT,medium
13,Trauma,Hemorrhage,Class II hemorrhage involves blood loss of:,Up to 15%,15-30%,30-40%,Greater than 40%,B,Class II: 15-30% tachycardia anxiety mild changes.,AEMT,medium
14,Trauma,Hemorrhage,Class III hemorrhage involves blood loss of:,Up to 15%,15-30%,30-40%,Greater than 40%,C,Class III: 30-40% significant tachycardia hypotension confusion.,AEMT,medium
