emr_id,category,subcategory,question_type,statement,correct_answer,rationale
EMR-TF-701,Anatomy,Cardiovascular,true_false,The right side of the heart receives deoxygenated blood from the body and pumps it to the lungs.,TRUE,The right atrium receives deoxygenated blood from the vena cava. The right ventricle pumps it to the lungs via the pulmonary artery for oxygenation. This is pulmonary circulation.
EMR-TF-702,Anatomy,Cardiovascular,true_false,The coronary arteries supply blood to the heart muscle itself.,TRUE,The coronary arteries branch from the aorta just above the aortic valve and supply oxygenated blood to the myocardium. Blockage causes myocardial ischemia and infarction.
EMR-TF-703,Anatomy,Respiratory,true_false,Gas exchange occurs in the bronchi.,FALSE,Gas exchange occurs in the alveoli not the bronchi. The bronchi are conducting airways that deliver air to the alveoli. The thin alveolar walls allow oxygen and CO2 to diffuse between air and blood.
EMR-TF-704,Anatomy,Respiratory,true_false,The diaphragm is the primary muscle of breathing.,TRUE,The diaphragm provides approximately 70% of respiratory effort. When it contracts it flattens increasing thoracic volume and creating negative pressure that draws air into the lungs.
EMR-TF-705,Anatomy,Nervous,true_false,The cerebellum controls coordination and balance.,TRUE,The cerebellum located at the back of the brain coordinates voluntary movement balance and posture. Damage causes ataxia which is uncoordinated movement and balance problems.
EMR-TF-706,Anatomy,Nervous,true_false,The sympathetic nervous system causes the fight or flight response.,TRUE,The sympathetic nervous system prepares the body for stress causing increased heart rate bronchodilation pupil dilation and blood flow to muscles. Epinephrine mimics sympathetic effects.
EMR-TF-707,Assessment,Primary,true_false,Life threats identified during primary assessment should be treated immediately.,TRUE,The purpose of primary assessment is to identify and treat immediate life threats. Do not wait until the end of assessment to treat problems like airway obstruction or severe bleeding.
EMR-TF-708,Assessment,Primary,true_false,The primary assessment takes approximately 15-20 minutes to complete.,FALSE,The primary assessment should take only 60-90 seconds. It is a rapid evaluation to identify life threats not a detailed examination. A detailed secondary assessment follows once life threats are addressed.
EMR-TF-709,Assessment,Vital Signs,true_false,Blood pressure alone can rule out shock.,FALSE,Blood pressure is maintained by compensatory mechanisms until shock is advanced. Tachycardia pallor delayed capillary refill and altered mental status may indicate shock despite normal BP.
EMR-TF-710,Assessment,Vital Signs,true_false,Serial vital signs are more valuable than a single set for identifying patient trends.,TRUE,Trending vital signs over time reveals improvement or deterioration that single measurements cannot show. Repeat vitals at intervals based on patient acuity and document changes.
EMR-TF-711,Airway,Anatomy,true_false,In adults the narrowest part of the airway is at the vocal cords.,TRUE,In adults the glottis at the level of the vocal cords is the narrowest part of the airway. In children under 8 years the narrowest point is at the cricoid cartilage below the vocal cords.
EMR-TF-712,Airway,Management,true_false,An unconscious patient without a gag reflex can have an OPA inserted.,TRUE,The OPA is indicated for unconscious patients without a gag reflex. If the patient gags during insertion remove immediately as it can cause vomiting and aspiration. Use NPA instead.
