id,category,subcategory,question,option_a,option_b,option_c,option_d,correct_answer,rationale
1,Medical,Diabetic Emergency,You respond to a 45-year-old male at a workplace who coworkers say has been acting strangely for the past 30 minutes. He is confused and combative when you try to examine him. His coworkers mention he is diabetic and takes insulin. He is diaphoretic with pale cool skin and trembling hands. He is unable to answer questions coherently and keeps trying to push you away. Vital signs are BP 138/88 HR 118 RR 22 SpO2 98% on room air. You check his blood glucose and it reads 38 mg/dL. What is occurring and what is the appropriate treatment at the AEMT level?,He is having a diabetic ketoacidosis episode and needs insulin,He is hypoglycemic and needs glucose replacement. If he cannot safely swallow give dextrose IV or glucagon IM. Oral glucose is contraindicated due to his altered mental status and aspiration risk,He is intoxicated and needs supportive care only,His blood sugar is normal and this is a psychiatric emergency,B,Hypoglycemia occurs when blood glucose falls below 70 mg/dL with severe symptoms typically below 50 mg/dL. The brain depends entirely on glucose and hypoglycemia causes autonomic symptoms like diaphoresis tremor tachycardia and neuroglycopenic symptoms like confusion bizarre behavior combativeness and eventually seizures and coma. This patient cannot safely swallow due to his altered mental status making oral glucose dangerous due to aspiration risk. At AEMT level establish IV access and give dextrose D10 or D50 per protocol or give glucagon 1 mg IM if IV access is not obtainable. Recheck glucose after treatment.
2,Medical,Diabetic Emergency,You have established IV access on the hypoglycemic patient. Your protocol allows D10 dextrose 10% for hypoglycemia. How much D10 should you administer to provide the equivalent of 25 grams of dextrose and what is the advantage of D10 over D50?,Give 25 mL of D10 which equals 25 grams of dextrose,Give 250 mL of D10 which provides 25 grams of dextrose. D10 is less hyperosmolar than D50 reducing risk of tissue damage if extravasation occurs and allows easier titration,Give 500 mL of D10 for severe hypoglycemia,D10 and D50 are identical and interchangeable at the same volume,B,D10 contains 10 grams of dextrose per 100 mL so 250 mL provides 25 grams of dextrose. D50 contains 50 grams per 100 mL so 50 mL provides 25 grams. D10 has significant advantages including lower osmolarity which means less tissue damage if the IV infiltrates easier titration to avoid overshooting into hyperglycemia and it can be given through smaller gauge IVs. Many EMS systems have transitioned from D50 to D10 for these reasons. Administer D10 in 100-250 mL increments and recheck blood glucose targeting greater than 70 mg/dL.
3,Medical,Diabetic Emergency,The hypoglycemic patient has received 250 mL of D10 and his blood glucose is now 94 mg/dL. He is becoming more alert and oriented and is now able to answer questions appropriately. He states he took his morning insulin but then skipped breakfast because he was running late for work. He wants to refuse further care and go back to work. What counseling should you provide?,He is fine now and can safely refuse care,Explain that his glucose may drop again because his insulin is still active and he has not eaten. Strongly encourage transport or at minimum he should eat a meal with complex carbohydrates and have someone monitor him. Document his refusal thoroughly if he refuses,Once blood sugar is corrected there is no risk of recurrence,He must be transported against his will,B,Hypoglycemia can recur especially when caused by insulin or long-acting oral hypoglycemics because the medication continues to act after the glucose is metabolized. This patient took insulin but did not eat so he has active insulin without adequate glucose substrate. If he refuses transport he must understand the risk of recurrent hypoglycemia and should eat a substantial meal containing protein and complex carbohydrates have someone monitor him for the next several hours and seek care immediately if symptoms return. Document your assessment treatment response advice given and his informed refusal.
4,Medical,Diabetic Emergency,A 62-year-old female with type 2 diabetes is found by her family lethargic and confused. She has been sick with flu-like symptoms for 3 days with vomiting and diarrhea and has not been eating much. Her medications include metformin and glipizide. She is arousable but disoriented. Her skin is dry with poor turgor and her mucous membranes are dry. Vital signs are BP 92/58 HR 112 RR 22 SpO2 96% on room air. Blood glucose is 48 mg/dL. What contributed to her hypoglycemia and what should you do?,Her metformin caused the hypoglycemia,Her glipizide a sulfonylurea continued to stimulate insulin release despite reduced food intake causing hypoglycemia. She is also significantly dehydrated. Give IV dextrose and fluid bolus for dehydration,She has diabetic ketoacidosis from not taking her medications,Metformin commonly causes hypoglycemia,B,Sulfonylureas like glipizide stimulate the pancreas to release insulin regardless of blood glucose levels. When patients are ill and not eating the medication continues working causing hypoglycemia. Metformin does not typically cause hypoglycemia as it works through different mechanisms. This patient is also severely dehydrated from vomiting and diarrhea contributing to her hypotension and tachycardia. Treatment includes IV dextrose for hypoglycemia and IV crystalloid bolus for dehydration. She needs transport for evaluation of both her hypoglycemia and the underlying illness that caused her decreased intake.
5,Medical,Diabetic Emergency,A 28-year-old male with type 1 diabetes is found by his roommate with altered mental status. The roommate says the patient has been sick for 2 days with abdominal pain nausea and vomiting. The patient is lethargic but arousable and complaining of severe thirst and abdominal pain. His breathing is deep and rapid and you notice a fruity odor on his breath. His skin is warm and dry with poor turgor. Vital signs are BP 96/62 HR 124 RR 28 deep SpO2 97% on room air. Blood glucose reads HIGH on your glucometer which means greater than 500 mg/dL. What diabetic emergency is this and what is the AEMT treatment?,This is hypoglycemia and he needs dextrose,This is diabetic ketoacidosis DKA. Treatment includes IV access crystalloid fluid bolus for dehydration and supportive care. Insulin is not given in the field,This is a simple stomach flu and he just needs antiemetics,His blood sugar is high so this is not an emergency,B,Diabetic ketoacidosis DKA occurs primarily in type 1 diabetics when insulin deficiency prevents glucose from entering cells. The body breaks down fat for energy producing ketones which cause metabolic acidosis. Classic presentation includes hyperglycemia often greater than 300 mg/dL Kussmaul respirations deep rapid breathing to compensate for acidosis fruity breath odor from acetone dehydration from osmotic diuresis abdominal pain and altered mental status. At AEMT level treatment is supportive with IV fluid resuscitation using normal saline 1-2 liter bolus for dehydration. Insulin is a hospital treatment requiring close monitoring. Transport promptly.
6,Medical,Diabetic Emergency,You are treating the DKA patient and have established IV access and started a normal saline bolus. During transport he becomes increasingly confused and you notice his breathing has become even deeper and more labored. What is the purpose of his Kussmaul respirations and why should you not attempt to slow his breathing?,The deep breathing is causing his confusion and you should coach him to breathe slower,Kussmaul respirations are the body's compensation for metabolic acidosis. The deep rapid breathing blows off CO2 to raise blood pH. Slowing respirations would worsen acidosis and could be fatal,The breathing pattern indicates he is having a panic attack,He needs a nebulizer treatment for bronchospasm,B,Kussmaul respirations are a compensatory mechanism for metabolic acidosis. By breathing deeply and rapidly the patient eliminates carbon dioxide which helps raise blood pH toward normal. The body is essentially using respiratory compensation to offset metabolic acidosis. Any intervention that decreases respiratory rate or depth such as sedation or coaching slow breathing would remove this compensation and cause pH to drop further potentially to fatal levels. The altered mental status is from the acidosis and dehydration not hyperventilation. Continue supportive care and rapid transport for definitive treatment with insulin and continued IV fluids.
7,Medical,Respiratory,A 67-year-old male with a history of COPD is sitting on the edge of his bed in obvious respiratory distress. He is using pursed-lip breathing and has his hands on his knees in tripod position. He states his breathing has been getting worse for 3 days despite using his inhalers more frequently. He has a productive cough with thick yellow sputum. Vital signs are BP 152/88 HR 108 RR 28 SpO2 86% on room air. Lung sounds reveal diffuse expiratory wheezing with prolonged expiratory phase and scattered rhonchi. What treatment should you initiate for this COPD exacerbation?,High-flow oxygen at 15 LPM via non-rebreather mask,Titrated oxygen to achieve SpO2 88-92% and nebulized albuterol 2.5 mg. Avoid excessive oxygen in COPD patients as it may reduce respiratory drive,Withhold oxygen because COPD patients should never receive supplemental oxygen,No treatment is needed since this is his baseline,B,COPD exacerbation treatment includes bronchodilators and careful oxygen supplementation. Albuterol 2.5 mg via nebulizer causes bronchodilation relieving airway obstruction. Oxygen should be titrated to SpO2 88-92% in COPD patients because some chronic CO2 retainers depend on hypoxic drive for respiratory stimulation. Excessive oxygen can decrease respiratory drive leading to hypoventilation and CO2 narcosis. However never withhold oxygen from a hypoxic patient as hypoxia kills faster than hypercarbia. The yellow sputum suggests infection which is a common trigger for COPD exacerbation.
8,Medical,Respiratory,You have given the COPD patient a nebulized albuterol treatment and titrated oxygen to achieve SpO2 90%. His wheezing has improved but he remains in moderate distress. His respiratory rate is now 24 and SpO2 is 90% on 4 LPM nasal cannula. He is more comfortable but still working harder than normal to breathe. He is speaking in full sentences now. What additional treatment might benefit this patient if available in your protocols?,No additional treatment is indicated if he is improving,If CPAP is available and the patient is alert and cooperative it can significantly reduce work of breathing and improve gas exchange in COPD exacerbation,Intubation is needed immediately,Give another albuterol treatment immediately,B,CPAP continuous positive airway pressure provides several benefits in COPD exacerbation. The positive pressure splints open airways that tend to collapse during expiration helps recruit collapsed alveoli and reduces the work of breathing. This patient is improving but still has increased work of breathing. If CPAP is within AEMT scope in your system and the patient is alert cooperative and able to protect his airway CPAP at 5-10 cmH2O can provide significant benefit. Contraindications include altered mental status inability to protect airway vomiting facial trauma and hypotension.
9,Medical,Respiratory,A 22-year-old female college student with a history of asthma is in severe respiratory distress. Her roommate called 911 when her inhaler was not helping. She is sitting upright unable to speak more than one or two words between breaths. She is using accessory muscles and appears exhausted. Her lips have a slight bluish tint. Vital signs are BP 132/78 HR 138 RR 36 SpO2 84% on room air. On auscultation you hear very faint wheezing in only the upper lung fields and almost no air movement in the bases. This diminished wheezing is more concerning than loud wheezing. Why?,Diminished wheezing means the asthma is improving,Diminished or absent breath sounds in asthma indicates severe bronchospasm with minimal air movement. This is a silent chest and indicates impending respiratory failure. Loud wheezing actually requires air movement,The wheezing moved to her upper lungs which is better,She does not have asthma if wheezing is diminished,B,In severe asthma the absence of wheezing is an ominous sign. Wheezing is produced by turbulent airflow through narrowed airways but it requires airflow to be heard. When bronchospasm becomes so severe that almost no air can move the chest becomes silent. This silent chest indicates critical bronchospasm and impending respiratory failure. Other signs of impending respiratory failure include inability to speak altered mental status severe accessory muscle use and exhaustion. This patient needs immediate aggressive bronchodilator therapy high-flow oxygen and preparation for possible ventilatory assistance. Transport immediately.
10,Medical,Respiratory,You are aggressively treating the severe asthma patient with continuous albuterol nebulization and high-flow oxygen. Despite treatment her level of consciousness is decreasing and her respiratory rate has dropped from 36 to 16 with shallow breaths. SpO2 is 78%. She is no longer able to sit up and appears obtunded. What does this change in respiratory rate indicate and what must you do?,The slower respiratory rate means her asthma is improving,The decreasing respiratory rate and level of consciousness indicate respiratory failure. She is tiring out and can no longer maintain adequate ventilation. Begin assisted ventilations with BVM immediately,Continue albuterol and she will improve,Coach her to take deeper breaths,B,A decreasing respiratory rate in a patient with severe respiratory distress is an ominous sign indicating exhaustion and impending respiratory arrest. A patient who was breathing fast is now breathing slowly not because they are better but because their respiratory muscles are failing. The altered mental status confirms hypoxia and possibly hypercapnia. Begin immediate bag-valve-mask ventilation with high-flow oxygen. Ventilate at 10-12 breaths per minute with adequate volume to see chest rise. Be prepared for this patient to require advanced airway placement. Continue nebulized albuterol through the BVM circuit if possible.
