emr_id,category,subcategory,question_type,question,option_a,option_b,option_c,option_d,correct_answer,rationale
EMR-SCEN-296,Environmental,Heat Emergency,scenario,A 72-year-old woman is found in her apartment during a heat wave. The air conditioning is broken. She is confused and her skin is hot and dry. Temperature is estimated above 104°F. HR 128 BP 90/60. What is happening and what should you do?,Heat exhaustion. Give her water to drink,Heat stroke. This is life-threatening. Begin immediate aggressive cooling by removing clothing applying cool water and fanning. Do not give fluids by mouth as she is confused. Transport emergently,She just needs to rest in a cooler area,Dehydration. Start an IV,B,Hot dry skin altered mental status and high temperature indicate heat stroke where thermoregulation has failed. This is immediately life-threatening. Begin aggressive cooling immediately. Do not wait for transport to start cooling.
EMR-SCEN-297,Environmental,Heat Emergency,scenario,A 25-year-old construction worker feels weak dizzy and nauseated after working in 95°F heat. He is sweating heavily pale and has a headache. Temperature is 100°F. HR 100 BP 110/70. He is alert and oriented. What condition is this?,Heat stroke requiring aggressive cooling,Heat exhaustion. Move him to a cool environment remove excess clothing and give water or sports drinks since he is alert. Rest and rehydration usually resolve symptoms. Monitor for deterioration to heat stroke,Minor dehydration that will resolve,Heat cramps only,B,Heavy sweating weakness nausea and mildly elevated temperature with intact mental status indicates heat exhaustion. The body is still attempting to cool through sweating. Move to cool area rehydrate and monitor for progression to heat stroke.
EMR-SCEN-298,Environmental,Heat Emergency,scenario,An athlete collapses during a marathon on a hot day. He is confused and combative. His skin is hot but he is still sweating. Core temperature is estimated at 106°F. Is this heat stroke even though he is sweating?,No sweating means it cannot be heat stroke,Yes this is exertional heat stroke. Athletes can still be sweating initially even in heat stroke. Altered mental status with high temperature is the key finding regardless of sweating. Begin immediate aggressive cooling,He is just exhausted from running,Wait to see if sweating stops,B,Exertional heat stroke in athletes may present with continued sweating unlike classic heat stroke. The key finding is altered mental status with high temperature. Do not wait for dry skin to diagnose heat stroke. Begin cooling immediately.
EMR-SCEN-299,Environmental,Heat Emergency,scenario,You are cooling a heat stroke patient. What are the most effective cooling methods?,Give cold water to drink,Remove clothing apply cool water to skin and fan vigorously. Apply ice packs to neck groin and armpits where large blood vessels are close to surface. If available cold water immersion is most effective,Cover with warm blankets,Cooling is not urgent,B,Effective cooling includes evaporative cooling water plus fanning and conductive cooling ice packs to high blood flow areas. Cold water immersion is most effective when available. Cooling during transport is critical as every minute of elevated temperature causes damage.
EMR-SCEN-300,Environmental,Cold Emergency,scenario,Hikers find an unresponsive man in the woods during winter. He is cold to touch not shivering and has slow shallow breathing. HR is 40 and weak. He has been missing for 6 hours in 25°F weather. What is his condition?,Mild hypothermia since he is still alive,Severe hypothermia. Absence of shivering indicates body cannot generate heat temperature likely below 86°F. Handle extremely gently to avoid triggering arrhythmias. Remove wet clothing insulate and rewarm gradually. Prepare for cardiac arrest,He is beyond help,Moderate hypothermia,B,Absent shivering with unresponsiveness and bradycardia indicates severe hypothermia. The cold heart is extremely irritable. Handle gently remove wet clothing insulate and transport. Be prepared for cardiac arrest and prolonged resuscitation.
EMR-SCEN-301,Environmental,Cold Emergency,scenario,You are treating a hypothermic patient and she goes into cardiac arrest. You begin CPR and apply the AED which shows a shockable rhythm. After three shocks there is no change. What should you do?,Stop resuscitation as it is not working,Continue CPR and transport. Defibrillation may not be effective until the patient is rewarmed. Hypothermia protects organs and patients can survive prolonged arrest if cold. Continue resuscitation until the patient is rewarmed at the hospital,Only try CPR without more shocks,Stop after 10 minutes,B,Hypothermic hearts may not respond to defibrillation until rewarmed. Continue CPR during transport. Cold protects brain and organs allowing survival after prolonged arrest. The patient is not dead until warm and dead. Hospital rewarming may restore circulation.
EMR-SCEN-302,Environmental,Cold Emergency,scenario,A homeless man has frostbite on his fingers which are white waxy and hard. He also has hypothermia. He is 30 minutes from the hospital. Should you rewarm his hands?,Yes rewarm immediately in warm water,No do not rewarm if there is any chance of refreezing or if transport is available within reasonable time. Protect frozen tissue from further injury and transport. Rewarming in the field risks refreezing which causes more damage than remaining frozen,Rub his hands to warm them,Apply ice to prevent further damage,B,Frostbitten tissue should not be rewarmed in the field if there is risk of refreezing or if hospital is reachable. Refreezing causes more damage than remaining frozen. Protect tissue from trauma and transport. Hospital can rewarm under controlled conditions.
EMR-SCEN-303,Environmental,Cold Emergency,scenario,A patient with moderate hypothermia is shivering violently. Why is shivering important and what should you do?,Shivering is dangerous and should be stopped,Shivering is the body's heat-generating mechanism and indicates the patient can still produce heat. This is a positive sign. Remove wet clothing provide insulation and passive rewarming. Shivering stops in severe hypothermia when the body cannot generate heat,Give medication to stop shivering,Shivering indicates fever not cold,B,Shivering generates heat through muscle activity. Violent shivering indicates moderate hypothermia with intact compensatory mechanisms. This is actually reassuring as severe hypothermia causes shivering to stop. Support with insulation and let the body rewarm.
EMR-SCEN-304,Environmental,Drowning,scenario,Lifeguards pull an unresponsive 16-year-old from a pool. She was found floating face down and estimated submersion time is 2-3 minutes. She is not breathing and has no pulse. What should you do?,Start with chest compressions like regular CPR,Start with rescue breaths. Drowning is primarily a respiratory emergency and hypoxia causes the arrest. Give 5 initial rescue breaths then begin CPR with standard 30:2 ratio. Apply AED when available,She has been down too long to save,Wait for ALS before starting CPR,B,Drowning causes cardiac arrest through hypoxia so early oxygenation is critical. Current guidelines recommend starting with rescue breaths for drowning victims before compressions if this can be done quickly. Then continue standard CPR with AED.
EMR-SCEN-305,Environmental,Drowning,scenario,A child is pulled from a cold lake after 15 minutes of submersion. He is pulseless and not breathing. His body is cold. Some bystanders say not to bother with CPR since he has been under too long. What should you do?,Agree that 15 minutes is too long,Begin CPR immediately. Cold water drowning has better survival than warm water because hypothermia protects the brain. Children have survived prolonged cold water submersion. Continue resuscitation and transport for hospital rewarming,Check for rigor mortis first,Only attempt for 5 minutes,B,Cold water rapidly induces hypothermia which protects the brain. Remarkable survivals have been documented after prolonged cold water submersion especially in children. Begin CPR and continue until hospital rewarming. Do not withhold resuscitation based on submersion time alone.
