id,category,subcategory,question,option_a,option_b,option_c,option_d,correct_answer,rationale,certification,difficulty
1,OB/Peds,Labor,A G3P2 patient has contractions every 2 minutes and states she needs to push. On exam you see crowning. You should:,Transport immediately,Prepare for imminent delivery,Give tocolytics,Have her cross legs,B,Crowning with urge to push indicates imminent delivery. Prepare for delivery do not transport.,Paramedic,medium
2,OB/Peds,Labor,During delivery the head delivers but the shoulders do not after 60 seconds of gentle downward traction. This is:,Normal delivery,Shoulder dystocia,Breech presentation,Cord prolapse,B,Shoulder dystocia: head delivers but shoulders impacted. Life-threatening emergency.,Paramedic,medium
3,OB/Peds,Labor,Management of shoulder dystocia includes:,Fundal pressure,McRoberts maneuver suprapubic pressure,Pull harder on head,Push head back in,B,McRoberts: flex thighs to chest. Suprapubic pressure NOT fundal. NEVER apply fundal pressure.,Paramedic,medium
4,OB/Peds,Labor,Why is fundal pressure contraindicated in shoulder dystocia:,It is ineffective,It worsens impaction and can cause uterine rupture,It helps delivery,It is standard care,B,Fundal pressure worsens shoulder impaction against symphysis and risks uterine rupture.,Paramedic,medium
5,OB/Peds,Labor,McRoberts maneuver works by:,Rotating the baby,Straightening the sacrum and increasing pelvic diameter,Compressing the abdomen,Breaking the clavicle,B,McRoberts flattens sacrum increases AP diameter and rotates symphysis cephalad.,Paramedic,medium
6,OB/Peds,Labor,If McRoberts and suprapubic pressure fail for shoulder dystocia next maneuvers include:,Fundal pressure,Rubin maneuver rotation of shoulders or delivery of posterior arm,Cesarean section in field,Stop resuscitation,B,Rubin: rotate posterior shoulder. Woods screw. Deliver posterior arm. Zavanelli maneuver last resort.,Paramedic,medium
7,OB/Peds,Labor,A nuchal cord is found during delivery. Management:,Stop delivery,Attempt to slip over head or double clamp and cut,Pull on cord,Push head back,B,Nuchal cord: try to slip over head. If too tight double clamp cut and continue delivery.,Paramedic,medium
8,OB/Peds,Labor,After delivery of the head you notice the cord wrapped tightly twice around neck and cannot slip it. You should:,Wait for spontaneous resolution,Clamp cord in two places and cut between clamps,Cut without clamping,Push baby back,B,Tight nuchal cord: clamp in two places cut between then continue delivery.,Paramedic,medium
9,OB/Peds,Labor,A limb is presenting at the vaginal opening. This requires:,Field delivery,Rapid transport for cesarean section,Pushing limb back,Pulling on limb,B,Limb presentation is malpresentation requiring cesarean. Do not attempt delivery. Rapid transport.,Paramedic,medium
10,OB/Peds,Labor,During delivery you see a loop of umbilical cord presenting before the baby. This is:,Normal,Cord prolapse emergency,Nuchal cord,No concern,B,Cord prolapse: cord presents before baby. Life-threatening emergency as cord is compressed.,Paramedic,medium
11,OB/Peds,Labor,Management of cord prolapse:,Push cord back,Elevate presenting part manually keep cord moist rapid transport,Deliver immediately,Clamp and cut cord,B,Cord prolapse: insert gloved hand elevate presenting part off cord. Trendelenburg. Keep cord moist.,Paramedic,medium
12,OB/Peds,Labor,A patient delivers and has continued heavy vaginal bleeding soaking multiple pads. Uterus feels boggy. This is:,Normal,Postpartum hemorrhage likely uterine atony,Placenta previa,Abruption,B,PPH with boggy uterus indicates uterine atony. Most common cause of PPH.,Paramedic,medium
13,OB/Peds,Labor,Treatment for postpartum hemorrhage from uterine atony:,Observe,Fundal massage and uterotonic medications,IV fluids only,Packing the vagina,B,Uterine atony: vigorous fundal massage to stimulate contraction. Oxytocin or other uterotonics.,Paramedic,medium
14,OB/Peds,Labor,Oxytocin dose for postpartum hemorrhage:,10 units IV push,10-40 units in 1L fluid infused rapidly,100 units IV push,1 unit IV,B,Oxytocin: 10-40 units in 1000 mL crystalloid. Never give undiluted IV push.,Paramedic,medium
15,OB/Peds,Labor,If uterotonics and massage fail to control PPH consider:,Blood transfusion only,Bimanual uterine compression,Hysterectomy in field,Stop treatment,B,Bimanual compression: one hand in vagina one on abdomen compressing uterus between.,Paramedic,medium
16,OB/Peds,Neonatal,A baby is delivered and is not breathing with HR 70 and limp. After drying and stimulating there is no improvement. Next step:,Continue stimulation only,Begin PPV at 40-60 breaths per minute,Chest compressions,IV epinephrine,B,Apneic newborn with HR less than 100: begin PPV. This is most important intervention.,Paramedic,medium
17,OB/Peds,Neonatal,After 30 seconds of effective PPV the newborn heart rate is 50. Next action:,Continue PPV only,Begin chest compressions with PPV 3:1 ratio,IV epinephrine immediately,Defibrillation,B,HR less than 60 despite adequate PPV for 30 seconds: begin compressions. 3:1 ratio.,Paramedic,medium
18,OB/Peds,Neonatal,Newborn chest compression technique with two providers:,Two fingers on sternum,Two thumbs encircling chest,One hand CPR,Standard adult CPR,B,Two-thumb encircling technique preferred for newborn. Compress lower third of sternum.,Paramedic,medium
19,OB/Peds,Neonatal,After 60 seconds of coordinated CPR and PPV HR remains below 60. Next intervention:,Continue CPR only,Epinephrine 0.01-0.03 mg/kg IV or IO preferred,Atropine,Defibrillation,B,Persistent HR less than 60 despite CPR and ventilation: epinephrine. IV/IO preferred over ET.,Paramedic,medium
20,OB/Peds,Neonatal,Epinephrine dose and route for neonatal resuscitation:,0.1 mg/kg IV,0.01-0.03 mg/kg 1:10000 IV or IO,1 mg IV,0.1 mg ET only,B,Neonatal epi: 0.01-0.03 mg/kg of 1:10000. IV/IO preferred.,Paramedic,medium
21,OB/Peds,Neonatal,A newborn has meconium-stained fluid and is vigorous with good respiratory effort. Management:,Immediate suctioning before stimulation,Routine care no deep suctioning indicated,Intubation for suctioning,Defer all care,B,Vigorous infant with meconium: routine care. Deep suctioning no longer recommended.,Paramedic,medium
22,OB/Peds,Neonatal,A newborn with meconium is limp and apneic. Management:,Same as vigorous infant,May need intubation for tracheal suctioning if airway obstructed,Deeper oropharyngeal suctioning,No intervention,B,Non-vigorous meconium: if airway obstructed may need intubation and suctioning. PPV is priority.,Paramedic,medium
23,OB/Peds,Neonatal,A premature infant at 30 weeks is delivered. Special considerations include:,Same as term infant,Temperature management gentle handling possible surfactant deficit,More aggressive resuscitation,No special care,B,Premature: temperature critical use plastic wrap gentle PPV may need CPAP.,Paramedic,medium
24,OB/Peds,Neonatal,Prevention of heat loss in premature newborn includes:,Drying vigorously,Plastic wrap or bag without drying warm environment,Ice packs,Fan for comfort,B,Premature under 32 weeks: place in plastic wrap without drying. Prevents evaporative heat loss.,Paramedic,medium
25,OB/Peds,Neonatal,APGAR score components include:,Airway Pulse Grimace Activity Respiration,Appearance Pulse Grimace Activity Respiration,Airway Perfusion Glucose Activity Reflexes,Appearance Perfusion Grimace Alertness Reflexes,B,APGAR: Appearance color Pulse Grimace reflex Activity muscle tone Respiration.,Paramedic,medium
26,OB/Peds,Neonatal,APGAR score of 4 at 1 minute indicates:,Normal healthy newborn,Moderately depressed requiring intervention,Vigorous newborn,No intervention needed,B,APGAR 4-6 is moderately depressed. Requires stimulation possible PPV.,Paramedic,medium
27,OB/Peds,Neonatal,Target SpO2 for newborn at 5 minutes of life:,95-100%,80-85%,70-75%,60-65%,B,Newborn SpO2 targets: 1 min 60-65% 5 min 80-85% 10 min 85-95%. Gradual rise normal.,Paramedic,medium
28,OB/Peds,Neonatal,A newly born infant has cyanosis of hands and feet but pink centrally. This is:,Pathologic cyanosis,Acrocyanosis normal finding,Respiratory distress,Cardiac defect,B,Acrocyanosis: peripheral cyanosis with pink trunk is normal in newborns.,Paramedic,medium
29,OB/Peds,Neonatal,A newborn has central cyanosis despite PPV with 100% oxygen. Heart rate is adequate. Consider:,Continue PPV only,Congenital heart disease particularly cyanotic lesion,Equipment failure only,Prematurity,B,Central cyanosis unresponsive to oxygen suggests cyanotic congenital heart disease.,Paramedic,medium
30,OB/Peds,Neonatal,Delayed cord clamping in vigorous term newborn should be:,Immediate clamping,30-60 seconds after birth,5 minutes after birth,Never clamp,B,Delayed cord clamping 30-60 seconds improves iron stores and blood volume in term infants.,Paramedic,medium
31,OB/Peds,OB Emergency,A 32-week pregnant patient has severe headache visual changes BP 175/115 and proteinuria. Diagnosis:,Gestational hypertension,Severe preeclampsia,Chronic hypertension,Eclampsia,B,Severe preeclampsia: BP greater than 160/110 with severe features before 34 weeks.,Paramedic,medium
32,OB/Peds,OB Emergency,The preeclamptic patient above suddenly seizes. Diagnosis and treatment:,Status epilepticus give lorazepam,Eclampsia give magnesium sulfate 4-6g IV,Syncope,Stroke,B,Eclampsia: seizure in preeclamptic patient. Magnesium sulfate is treatment of choice.,Paramedic,medium
33,OB/Peds,OB Emergency,Magnesium sulfate loading dose for eclampsia:,1 gram IV,4-6 grams IV over 15-20 minutes,10 grams IV push,500 mg IV,B,Magnesium: 4-6g IV load over 15-20 minutes then 1-2g/hour maintenance.,Paramedic,medium
34,OB/Peds,OB Emergency,Signs of magnesium toxicity in order of occurrence:,Seizures then respiratory arrest,Loss of DTR then respiratory depression then cardiac arrest,Hypertension first,Tachycardia first,B,Mag toxicity: decreased DTR at 7-10 mEq/L respiratory depression 10-15 cardiac arrest 15-20.,Paramedic,medium
35,OB/Peds,OB Emergency,Antidote for magnesium toxicity:,Sodium bicarbonate,Calcium gluconate 1g IV,Atropine,Naloxone,B,Calcium gluconate antagonizes magnesium effects. Give 1g IV slowly for toxicity.,Paramedic,medium
36,OB/Peds,OB Emergency,A patient at 36 weeks has painless bright red vaginal bleeding. Most likely diagnosis:,Placental abruption,Placenta previa,Bloody show,Uterine rupture,B,Placenta previa: painless bright red bleeding. Low-lying placenta covers cervical os.,Paramedic,medium
37,OB/Peds,OB Emergency,Management of suspected placenta previa includes:,Vaginal examination,No vaginal exam large bore IV transport to facility with OB and OR,Speculum exam,Fundal assessment only,B,Placenta previa: do NOT perform vaginal or speculum exam. Can cause catastrophic hemorrhage.,Paramedic,medium
38,OB/Peds,OB Emergency,A patient at 35 weeks has painful vaginal bleeding with rigid board-like uterus after a fall. Diagnosis:,Placenta previa,Placental abruption,Normal labor,Braxton Hicks,B,Abruption: painful bleeding rigid tender uterus. Trauma is common precipitant.,Paramedic,medium
39,OB/Peds,OB Emergency,Placental abruption can cause:,Maternal hemorrhage only,Maternal hemorrhage fetal distress DIC maternal death,Fetal distress only,Minor bleeding,B,Abruption: major hemorrhage fetal hypoxia consumptive coagulopathy high mortality.,Paramedic,medium
40,OB/Peds,OB Emergency,A patient with previous cesarean has severe abdominal pain and the uterus feels irregular. Fetal parts are easily palpable. Suspect:,Normal pregnancy,Uterine rupture,Placenta previa,Abruption,B,Uterine rupture: previous CS scar separates. Loss of uterine contour palpable fetal parts.,Paramedic,medium
41,OB/Peds,OB Emergency,A pregnant patient at 38 weeks suddenly collapses with severe dyspnea hypotension and altered mental status during labor. Suspect:,Eclampsia,Amniotic fluid embolism,Pulmonary embolism,Vasovagal,B,AFE: sudden cardiovascular collapse and respiratory distress during labor. High mortality.,Paramedic,medium
42,OB/Peds,OB Emergency,Treatment for amniotic fluid embolism:,Magnesium sulfate,Supportive care aggressive resuscitation prepare for DIC and cardiac arrest,Thrombolytics,Tocolytics,B,AFE: supportive only. High incidence of DIC and cardiac arrest. Prepare for resuscitation.,Paramedic,medium
43,OB/Peds,OB Emergency,A patient at 30 weeks gestation complains of leaking fluid. There is no bleeding or contractions. This suggests:,Normal discharge,Premature rupture of membranes PROM,Labor,Infection,B,PPROM: rupture of membranes before 37 weeks. Risk of infection and preterm labor.,Paramedic,medium
44,OB/Peds,OB Emergency,A patient in third trimester has supine hypotension. Cause and treatment:,Dehydration give fluids,IVC compression by uterus position left lateral,Cardiac event,Sepsis,B,Supine hypotension: gravid uterus compresses IVC. Left lateral tilt relieves compression.,Paramedic,medium
45,OB/Peds,OB Emergency,Ectopic pregnancy typically presents with:,Third trimester bleeding,Abdominal pain vaginal bleeding positive pregnancy test,Normal pregnancy symptoms,Painless bleeding,B,Ectopic: unilateral pain bleeding positive pregnancy test. Rupture causes hemorrhagic shock.,Paramedic,medium
46,OB/Peds,OB Emergency,A patient has positive pregnancy test severe abdominal pain and hypotension with rigid abdomen. Most likely:,Normal pregnancy,Ruptured ectopic pregnancy,Appendicitis,Placenta previa,B,Ruptured ectopic: surgical emergency. Hemorrhagic shock from intraperitoneal bleeding.,Paramedic,medium
47,OB/Peds,OB Emergency,A G1P0 at 40 weeks has been pushing for 3 hours. She suddenly has severe abdominal pain and contractions stop. Fetal heart tones are absent. Suspect:,Normal labor,Uterine rupture,Placental abruption,Fetal demise from other cause,B,Uterine rupture: sudden pain cessation of contractions loss of fetal heart tones. Emergency.,Paramedic,medium
