emr_id,category,subcategory,question_type,question,option_a,option_b,option_c,option_d,correct_answer,rationale
EMR-SCEN-396,Assessment,Integration,scenario,A 50-year-old man is slumped in a chair unresponsive. You shake his shoulder and shout with no response. You note he is not breathing normally and appears cyanotic. What sequence of actions should you take?,Check blood pressure then call for help,Call for help or send someone to call check for pulse while looking for breathing. If no pulse begin CPR and send for AED. Open airway and check for breathing while checking carotid pulse for no more than 10 seconds,Wait for ALS to arrive,Begin rescue breathing only,B,For unresponsive patient not breathing normally follow BLS sequence. Activate emergency response check pulse while assessing breathing up to 10 seconds. If no pulse begin CPR and get AED. Time is critical.
EMR-SCEN-397,Airway,Complex,scenario,An unconscious trauma patient has blood pooling in the back of the throat. You are maintaining jaw-thrust but need to suction. Your partner is unavailable. How do you manage this situation?,Release jaw-thrust to suction,Maintain jaw-thrust with one hand while suctioning with the other. If necessary briefly interrupt stabilization to clear a life-threatening airway obstruction then immediately resume. Airway obstruction will kill faster than potential spinal injury,Wait for your partner,Skip suctioning to maintain stabilization,B,Airway always takes priority. While spinal precautions are important immediate airway obstruction is more immediately lethal. Manage both as best as possible prioritizing the airway while minimizing spine movement.
EMR-SCEN-398,Breathing,Failure Recognition,scenario,A patient who was in respiratory distress is now quiet. Her respiratory rate dropped from 28 to 8 and she is less responsive. Her oxygen saturation is 82%. What is happening?,She is getting better and resting,She is in respiratory failure. The slowing rate with decreasing responsiveness indicates exhaustion and impending arrest. Begin assisted ventilation with BVM immediately. Do not wait for complete respiratory arrest,Her asthma resolved,Continue to monitor without intervention,B,Slowing respiratory rate with decreasing consciousness in a previously tachypneic patient is respiratory failure from exhaustion. This is pre-arrest. Begin immediate assisted ventilation with BVM and high-flow oxygen.
EMR-SCEN-399,Circulation,Shock Integration,scenario,A trauma patient has controlled external bleeding but remains tachycardic pale and anxious despite your interventions. His abdomen is distended and tender. What should you suspect?,The bleeding is controlled so he is stable,Internal abdominal hemorrhage. External bleeding control does not address internal bleeding. Distended tender abdomen with persistent shock signs indicates ongoing internal blood loss. He needs emergent surgical intervention. Transport immediately,He is just anxious,Give him fluids orally,B,Persistent shock signs after external bleeding control suggests internal hemorrhage. Abdominal distension and tenderness indicate intra-abdominal bleeding. This patient needs emergency surgery. Rapid transport is critical.
EMR-SCEN-400,Medical,Differential,scenario,A 60-year-old woman is confused and sweating. She could have hypoglycemia stroke or cardiac event. Blood glucose is 45 mg/dL. What should you do first?,Treat for stroke,Treat the hypoglycemia first with oral glucose if she can swallow. Low blood sugar is confirmed and immediately treatable. Once glucose is corrected reassess for other possible causes of her symptoms,Call for cardiac team,Do nothing until all tests are done,B,Confirmed hypoglycemia should be treated immediately. Blood glucose of 45 explains her symptoms and is rapidly correctable. After treating hypoglycemia reassess to determine if other conditions are also present.
EMR-SCEN-401,Medical,Cardiac Complex,scenario,A patient with chest pain took nitroglycerin before you arrived. His pain is unchanged and BP dropped from 148/90 to 96/58. He has more nitroglycerin and wants to take another dose. Should he?,Yes more nitroglycerin might help,No his BP is now too low. Nitroglycerin is contraindicated when systolic BP is below 100. The drop from 148 to 96 shows the medication is affecting his blood pressure. Give oxygen position comfortably and transport rapidly,Give him aspirin instead,Tell him to take 3 more doses,B,BP below 100 systolic is a contraindication for nitroglycerin. The significant BP drop shows he is sensitive to the medication. Further doses could cause dangerous hypotension. Provide supportive care and transport.
EMR-SCEN-402,Medical,Stroke Complex,scenario,A patient has left-sided weakness and speech difficulty that started 30 minutes ago. While assessing her she suddenly becomes unresponsive and stops breathing. She has a weak pulse. What happened and what should you do?,She is faking. Wait for her to respond,She may have had a massive stroke extension or herniation. Open airway with jaw-thrust assist ventilations and transport emergently. Be prepared for cardiac arrest. The neurological deterioration is catastrophic,Her stroke resolved,Only suction and observe,B,Sudden deterioration with unresponsiveness and respiratory arrest in a stroke patient suggests massive stroke extension or herniation. Manage airway assist ventilations and transport emergently. Be prepared for cardiac arrest.
EMR-SCEN-403,Trauma,Multi-system,scenario,A pedestrian struck by a car has deformed left femur bleeding head laceration and complains of abdominal pain. He is tachycardic pale and confused. What are your priorities?,Splint the femur first,Control the head bleeding quickly. Recognize he is in shock from multiple sources. The femur fracture and abdominal injury are both causing blood loss. Focus on rapid assessment brief interventions for life threats and immediate transport to trauma center,Treat the head wound only,Full detailed assessment before transport,B,Multi-system trauma with shock requires rapid assessment minimal scene time and transport to trauma center. Address immediate life threats like external bleeding. Internal bleeding from femur and abdomen requires surgical intervention.
EMR-SCEN-404,Trauma,Head Injury Decision,scenario,A patient fell and hit his head 3 hours ago. He initially seemed fine but now has worsening headache vomiting and is becoming drowsy. His right pupil is slightly larger than left. What is happening?,He is just tired,He likely has an expanding intracranial hematoma. The lucid interval followed by deterioration is classic for epidural hematoma. Unequal pupils indicate pressure on cranial nerve III. This is immediately life-threatening. Transport emergently to neurosurgical care,The original injury was minor,Give pain medication for headache,B,Lucid interval followed by deterioration with unequal pupils indicates expanding intracranial hemorrhage likely epidural. Pupil dilation indicates beginning herniation. This is a neurosurgical emergency requiring immediate intervention.
EMR-SCEN-405,Trauma,Chest Complex,scenario,A stabbing victim has wounds on both sides of his chest. One side has a sucking wound and the other has diminished breath sounds with tracheal deviation toward the first wound. What injuries are present?,Two simple stab wounds,Open pneumothorax on one side sucking wound and possible tension pneumothorax on the other. Cover the open wound with occlusive dressing. The tension pneumothorax needs decompression ALS intervention. Transport immediately,Just cover both wounds,The tracheal deviation is not significant,B,This patient has an open pneumothorax and a tension pneumothorax. Seal the open wound with occlusive dressing. Tension pneumothorax requires needle decompression by ALS. This is critical. Transport immediately with ALS if possible.
EMR-SCEN-406,Trauma,Burns Assessment,scenario,A patient was in a house fire. He has facial burns singed nasal hairs and a hoarse voice. He is currently breathing adequately. Why should you be very concerned?,Facial burns are minor,Airway burns are likely. Singed nasal hairs hoarse voice and facial burns indicate inhalation injury. The airway can swell rapidly causing complete obstruction. This patient needs close monitoring and may need advanced airway before swelling progresses,He can talk so his airway is fine,Only worry about external burns,B,Signs of inhalation injury singed facial hair hoarse voice facial burns predict airway swelling that can progress to complete obstruction. Close monitoring is essential. Early advanced airway intervention may be needed before swelling progresses.
EMR-SCEN-407,Special Populations,Pediatric Integration,scenario,A 3-year-old pulled a pot of hot water off the stove. She has burns on her face chest and arm. She is crying loudly. Estimate BSA burned and determine her overall status.,Minor burns she is crying so she is fine,Using pediatric rule of nines: head about 9% if partial chest about 9% arm about 4.5%. Approximately 20% BSA or more. This is significant in a child. Additionally facial burns raise concern for airway involvement. Transport to burn center,About 50% BSA critical,Only about 5% minor,B,Pediatric burn assessment uses modified rule of nines. This child has significant BSA involvement and facial burns raising airway concerns. She needs burn center evaluation. Crying indicates she is conscious and has patent airway currently.
EMR-SCEN-408,Special Populations,Geriatric Integration,scenario,An 85-year-old on warfarin fell and now has hip pain with shortened rotated leg. Her vital signs are stable but she seems more confused than her daughter says is normal. What concerns should you have?,She is stable no concerns,Multiple concerns: hip fracture causes significant bleeding worsened by warfarin anticoagulation. Acute confusion may indicate blood loss or concurrent head injury. Stable vitals do not rule out occult hemorrhage. She is high-risk. Transport for imaging and evaluation,Wait for confusion to clear,Hip fractures are minor in elderly,B,Anticoagulated elderly with hip fracture are high-risk. Hip fractures cause significant bleeding worsened by blood thinners. Acute confusion may indicate volume loss or head injury. Do not be reassured by current stable vitals.
EMR-SCEN-409,Special Populations,OB Emergency,scenario,A woman at 36 weeks pregnancy had sudden severe abdominal pain. Her abdomen is rigid and she is having vaginal bleeding. She reports no fetal movement since the pain started. Vital signs show tachycardia and hypotension. What emergency is this?,Normal labor,Placental abruption with fetal distress and maternal shock. Sudden pain rigid abdomen bleeding and absent fetal movement indicate the placenta has separated. Mother and baby are both in immediate danger. Emergent transport for cesarean delivery,Braxton Hicks contractions,Round ligament pain,B,Classic abruption presentation: sudden pain rigid uterus vaginal bleeding decreased fetal movement and shock signs. This is immediately life-threatening to both mother and fetus. Emergency cesarean delivery is needed.
EMR-SCEN-410,Operations,MCI Triage,scenario,At an MCI you approach a patient who is not breathing. You open the airway and she starts breathing at 24 per minute. She does not follow commands. Using START triage what is her category and what do you do next?,She is deceased since she was not breathing,She is IMMEDIATE red. In START if a patient breathes after airway intervention they are immediate. Tag her red and move to the next patient. Do not stay to provide ongoing care during initial triage,She is MINOR since she is breathing now,She is DELAYED,B,START triage: not breathing but breathes after airway opening equals immediate red. Tag and move on. Initial triage is about rapid categorization not treatment. She needs ongoing airway management but is salvageable.
EMR-SCEN-411,Operations,Ethical Dilemma,scenario,You respond to an elderly man in cardiac arrest. His wife shows you a DNR form that appears valid and says he would not want CPR. Family members arriving want you to do everything. What should you do?,Always follow family wishes to do CPR,Honor the valid DNR. The patient's documented wishes take legal precedence over family requests made in the moment. Provide comfort care and support the family. Explain that you must respect what the patient wanted,Ignore the DNR since family wants CPR,Wait for medical direction,B,A valid DNR represents the patient's autonomous decision and must be honored. Family members arriving in crisis may want resuscitation but the patient's documented wishes take legal precedence. Provide compassionate support while honoring the DNR.
EMR-SCEN-412,Operations,Hazmat Recognition,scenario,You respond to an industrial site where workers are fleeing. Several are coughing and their eyes are burning. One worker collapsed inside. There is a strong chemical odor. What should you do?,Rush in to rescue the collapsed worker,Stage upwind at a safe distance. Do not enter. Request hazmat team and additional resources. The symptoms in fleeing workers indicate toxic exposure. Prepare for decontamination and treatment of evacuees. Plan patient care for when victims are brought out,Put on N95 mask and enter,Drive through to rescue,B,Hazmat scene recognition. Multiple symptomatic workers and chemical odor indicate toxic environment. Never enter without proper equipment and training. Stage safely request hazmat and prepare for decontaminated patients.
EMR-SCEN-413,Legal,Capacity Assessment,scenario,A 25-year-old who was in a minor accident refuses transport. He appears alert and oriented answers questions appropriately and understands your explanation of risks. He has been drinking but does not appear intoxicated. Can he refuse?,No anyone who has been drinking cannot refuse,Yes if he demonstrates decision-making capacity. He is alert oriented and demonstrates understanding. Light alcohol use does not automatically eliminate capacity. Explain risks document thoroughly including your capacity assessment and have him sign refusal,Only if he passes a sobriety test,He must go because he was in an accident,B,Capacity is assessed by the patient's ability to understand their situation and the risks of refusing. Alert oriented understanding and able to communicate equals capacity. Document your assessment thoroughly and obtain signed refusal.
EMR-SCEN-414,Assessment,Unknown Problem,scenario,You arrive at a residence where a 45-year-old man is lying on the floor. His wife says she found him this way. He responds to painful stimuli only. There is no obvious trauma. What should you assess to determine possible causes?,Nothing just transport immediately,Assess AEIOU-TIPS causes of altered mental status. Check glucose for hypoglycemia. Look for medical alert jewelry. Assess for signs of overdose or toxins. Check pupils. Obtain history from wife about events medications and medical conditions,Only check blood pressure,Assume he is intoxicated,B,Altered mental status has many causes requiring systematic assessment. Check glucose examine pupils gather history and look for clues. AEIOU-TIPS provides framework for considering causes while providing supportive care.
EMR-SCEN-415,Airway,Complete Obstruction,scenario,A conscious adult is choking and cannot speak breathe or cough. You perform abdominal thrusts but she becomes unconscious before the object dislodges. What do you do now?,Continue abdominal thrusts on the ground,Lower her to the ground and begin CPR. After 30 compressions open the airway and look for the object. If you see it remove it. Attempt 2 breaths. Continue CPR cycles checking for object with each airway opening,Perform blind finger sweeps,Give up since she is unconscious,B,When a choking patient becomes unconscious begin CPR. Compressions may dislodge the object. Look for the object with each airway opening and remove if visible. Do not perform blind finger sweeps. Continue CPR until object clears or ALS arrives.
EMR-SCEN-416,Breathing,Two-Rescuer BVM,scenario,You and your partner are ventilating an apneic patient with BVM. One-rescuer technique is not achieving adequate chest rise. How should you improve ventilations?,Squeeze the bag harder,Use two-rescuer technique. One provider uses both hands to maintain mask seal while the other squeezes the bag. This dramatically improves mask seal and ventilation effectiveness. It is the preferred technique when two providers are available,Change to mouth-to-mouth,Ventilate faster,B,Two-rescuer BVM is superior to one-rescuer technique. One provider holds the mask with both hands ensuring good seal while the other squeezes the bag. This improves both seal and tidal volume delivery.
EMR-SCEN-417,Circulation,Post-ROSC,scenario,After 6 minutes of CPR your patient regains a pulse. She is breathing on her own but remains unconscious. What care does she need now?,CPR is done no further care needed,Post-ROSC care: Continue to support airway with appropriate positioning. Provide oxygen. Monitor closely for re-arrest which is common. Obtain vital signs. Prepare for transport to cardiac care facility. She needs continued intensive monitoring,Wake her up,Remove the AED pads,B,ROSC return of spontaneous circulation requires ongoing care. Re-arrest is common so monitor closely. Support airway and breathing provide oxygen obtain vitals and prepare for transport. Post-arrest patients need intensive care.
EMR-SCEN-418,Trauma,Pediatric Trauma,scenario,A 5-year-old was hit by a car at low speed. She is crying and complaining of abdominal pain. She has no obvious external injuries and vital signs are normal for her age. Should you be reassured?,Yes normal vitals mean she is fine,No. Children compensate well maintaining normal vital signs until late. Abdominal pain after vehicle impact is concerning for internal injury. The lack of external injury does not rule out internal damage. Transport for evaluation,Only worry if she stops crying,Minor mechanism minor injuries,B,Children maintain vital signs despite significant injury. Abdominal pain after vehicle impact indicates potential internal injury regardless of external findings or vital signs. Transport for thorough evaluation. Do not be falsely reassured.
