id,category,subcategory,question,option_a,option_b,option_c,option_d,correct_answer,rationale
1,Obstetrics,Normal Labor,You respond to a 28-year-old female who is G2P1 at 39 weeks gestation with contractions that started 6 hours ago. She states her contractions are now 3 minutes apart lasting 60 seconds and very intense. Her water broke 2 hours ago with clear fluid. She feels pressure like she needs to have a bowel movement and has an urge to push. She is lying on her bed in obvious discomfort gripping the sheets during contractions. Her husband is present and anxious. Vital signs are BP 128/78 HR 92 RR 20 SpO2 99% on room air. On visual inspection of the perineum you observe the top of the baby's head visible at the vaginal opening that remains visible between contractions. What does this finding indicate and what is your course of action?,The patient is in early labor and should be transported to the hospital immediately,The baby is crowning indicating imminent delivery. Prepare for delivery on scene as transport is not advisable,This is a normal finding in active labor and you have time to transport,The baby is in breech presentation and requires emergency cesarean section,B,Crowning occurs when the largest diameter of the fetal head is visible at the vaginal introitus and remains visible between contractions. This indicates delivery is imminent usually within minutes. Combined with the urge to push and rectal pressure transport would likely result in delivery in the ambulance under suboptimal conditions. Preparing for controlled delivery on scene with proper equipment and positioning is the safest approach. Delivery is a normal physiological process and most will occur without complication.
2,Obstetrics,Normal Labor,Continuing with the previous patient you have prepared for delivery with your OB kit open sterile gloves on and the patient positioned with knees flexed. During the next contraction the baby's head delivers spontaneously facing down toward the bed. You support the head gently. You notice the umbilical cord is wrapped once around the baby's neck. The cord is loose enough that you can fit a finger underneath it. What is the appropriate management of this nuchal cord?,Immediately clamp and cut the cord before the body delivers,Gently slip the cord over the baby's head and continue with delivery,Push the baby's head back in and call for emergency backup,Pull firmly on the cord to remove it from around the neck,B,A nuchal cord occurs in approximately 20-30% of deliveries and is usually not dangerous. If the cord is loose enough to slip a finger underneath it should be gently reduced by slipping it over the baby's head. If the cord is too tight to reduce it can be double clamped and cut before delivery of the body though this eliminates the option of delayed cord clamping and commits you to rapid delivery. Pushing the head back in or pulling on the cord could cause serious harm including cord rupture or uterine inversion.
3,Obstetrics,Normal Labor,After managing the nuchal cord you support the baby's head as it rotates to face the mother's right thigh which is called restitution. You are now ready to assist delivery of the shoulders. The mother is contracting and pushing. What is the proper technique for delivering the shoulders?,Pull firmly on the baby's head to extract the shoulders quickly,Apply gentle downward traction on the head to deliver the anterior shoulder then gentle upward traction to deliver the posterior shoulder,Grasp the baby under the armpits and pull straight out,Wait without any traction and let the shoulders deliver spontaneously with maternal pushing alone,B,Shoulder delivery is assisted with gentle controlled traction. After restitution apply gentle downward traction on the head guiding it toward the floor to allow the anterior shoulder to slip under the pubic symphysis. Once the anterior shoulder is visible reverse direction with gentle upward traction to deliver the posterior shoulder over the perineum. Excessive force is never appropriate and can cause brachial plexus injury. Some practitioners prefer to allow spontaneous delivery but gentle guidance is standard practice and helps control the delivery.
4,Obstetrics,Normal Labor,The baby delivers completely and you note the time of birth. The newborn is limp with a weak cry and appears slightly blue. You dry the baby vigorously with a towel while your partner prepares to clamp the cord. After drying and stimulation the baby begins crying vigorously and becomes pink centrally with some residual blueness of the hands and feet. Heart rate by auscultation is approximately 140 beats per minute and respirations are regular at 50 per minute with good chest rise. What is the appropriate next step?,Begin positive pressure ventilation immediately,Continue routine care with warmth and monitoring. The baby is transitioning normally and acrocyanosis is a normal finding,Begin chest compressions because of the initial poor tone,Administer naloxone for possible narcotic exposure,B,This newborn showed initial depression but responded appropriately to stimulation with drying and is now showing signs of normal transition including strong cry good respiratory effort heart rate above 100 and central pinkness. Acrocyanosis or blueness of the hands and feet is a normal finding in newborns and does not require intervention. The baby should be kept warm dried and monitored. Skin to skin contact with mother and delayed cord clamping if appropriate are beneficial. No resuscitative interventions beyond routine care are needed.
5,Obstetrics,Normal Labor,You have delivered a healthy newborn and are now managing the third stage of labor. The mother reports cramping and you notice a small gush of blood from the vagina with visible lengthening of the umbilical cord. What do these signs indicate and how should you manage this phase?,The mother is hemorrhaging and needs immediate uterine massage,These are signs of placental separation. Allow the placenta to deliver with gentle cord traction and maternal pushing,The cord has torn and you should clamp it immediately at the perineum,The baby had a twin that is now delivering,B,Signs of placental separation include a gush of blood lengthening of the umbilical cord and the uterus becoming firm and globular and rising in the abdomen. Once these signs appear the placenta can be delivered with gentle controlled cord traction during a maternal contraction combined with suprapubic counterpressure to prevent uterine inversion. Never pull forcefully on the cord. After placental delivery inspect it to ensure completeness as retained placental fragments can cause hemorrhage. Fundal massage after delivery helps the uterus contract.
6,Obstetrics,Normal Labor,After the placenta delivers you inspect it and it appears complete with intact membranes. The mother is comfortable and the uterus feels firm at the umbilicus. Estimated blood loss appears to be approximately 350 mL. The baby is skin to skin with mother and nursing. Vital signs are BP 118/72 HR 88 RR 16 SpO2 99%. What is the appropriate assessment of this postpartum blood loss and ongoing management?,This is postpartum hemorrhage and she needs IV fluids and oxytocin immediately,This is normal expected blood loss for vaginal delivery. Continue monitoring and transport for routine postpartum care,Any visible blood loss is concerning and requires blood transfusion,The placenta must be incomplete despite appearing whole,B,Normal blood loss for vaginal delivery is up to 500 mL and up to 1000 mL for cesarean delivery. This patient's estimated blood loss of 350 mL is within normal limits. Her vital signs are stable and uterus is firm indicating good uterine tone. Continued monitoring during transport is appropriate. Fundal massage helps maintain uterine contraction. The mother and baby should be kept warm and skin to skin contact should continue if both are stable. Breastfeeding stimulates oxytocin release which helps uterine contraction.
7,Obstetrics,Shoulder Dystocia,You are delivering a baby for a 32-year-old G1P0 mother with gestational diabetes at 40 weeks. The head has delivered but with the next several contractions and maternal pushing the shoulders do not deliver. You notice the head seems to retract against the perineum between contractions which is called turtle sign. It has now been 60 seconds since the head delivered. What is happening and what is your first maneuver?,This is normal variation and you should wait for the shoulders to deliver spontaneously,This is shoulder dystocia. Immediately call for help and perform McRoberts maneuver by hyperflexing the mother's thighs against her abdomen,Apply firm fundal pressure to push the baby out,Grasp the baby's head firmly and apply strong traction to extract the shoulders,B,Shoulder dystocia occurs when the anterior shoulder becomes impacted behind the pubic symphysis after delivery of the head. Risk factors include gestational diabetes macrosomia and maternal obesity. The turtle sign where the head retracts is characteristic. This is a time-critical emergency as the cord may be compressed. McRoberts maneuver is first-line as it is simple quick and effective in 40-50% of cases. It involves sharply flexing the mother's thighs against her abdomen which straightens the sacrum and rotates the pubic symphysis cephalad increasing the AP diameter of the pelvis.
8,Obstetrics,Shoulder Dystocia,You have positioned the mother in McRoberts position with her thighs hyperflexed against her abdomen. Your partner is helping hold her legs. After 30 seconds of McRoberts with maternal pushing and gentle downward traction on the baby's head the shoulder remains impacted. What is the next maneuver and what must you absolutely avoid?,Apply fundal pressure to help push the baby out,Apply suprapubic pressure with the heel of your hand to push the anterior shoulder down and under the symphysis. Never apply fundal pressure,Perform an episiotomy to create more room,Attempt to push the baby's head back into the birth canal,B,Suprapubic pressure is applied by placing the heel of the hand just above the pubic symphysis and pushing downward and laterally toward the fetal face to dislodge the anterior shoulder from behind the pubic bone. This is often combined with McRoberts. Fundal pressure is absolutely contraindicated as it further impacts the shoulder against the symphysis and can cause uterine rupture. Fundal pressure is one of the most dangerous mistakes in shoulder dystocia management. If McRoberts and suprapubic pressure fail internal maneuvers like delivery of the posterior arm or rotational maneuvers are next.
9,Obstetrics,Shoulder Dystocia,Despite McRoberts and suprapubic pressure for 60 seconds the shoulder remains impacted. You have called for backup and the mother is becoming exhausted. The baby's face is becoming dusky. You must now perform internal maneuvers. Describe the technique for delivery of the posterior arm.,Reach into the vagina and pull on any part of the baby you can reach,Insert your hand posteriorly sweep along the baby's posterior arm flex the elbow and sweep the arm across the chest and out of the vagina,Push the posterior shoulder back into the uterus,Apply traction to the posterior shoulder,B,Delivery of the posterior arm is highly effective for resolving shoulder dystocia. Insert the hand along the sacral hollow to reach the posterior arm. Identify the elbow flex it and sweep the forearm across the baby's chest to deliver the arm out of the vagina. This reduces the shoulder diameter by the width of the arm allowing the anterior shoulder to drop down. This maneuver requires adequate anesthesia or episiotomy for access in some cases but in emergencies it must be done regardless. Once the posterior arm delivers the body usually follows quickly.
10,Obstetrics,Shoulder Dystocia,After delivery of the posterior arm the baby delivers. Total time from head delivery to body delivery was 4 minutes. The baby is limp and apneic with heart rate of 70 by auscultation and no respiratory effort. The baby is centrally cyanotic. What is your immediate management of this newborn?,Dry and stimulate only then wait to see if baby improves,Begin positive pressure ventilation immediately at 40-60 breaths per minute with room air or supplemental oxygen,Begin chest compressions immediately,Administer epinephrine via umbilical vein,B,This newborn is severely depressed likely due to hypoxia during the prolonged shoulder dystocia. With heart rate of 70 no respiratory effort and central cyanosis immediate positive pressure ventilation is indicated. PPV is the most important intervention in neonatal resuscitation. Initial breaths should be given with room air or blended oxygen at 40-60 breaths per minute watching for chest rise. If heart rate does not improve above 60 after 30 seconds of effective PPV chest compressions should be started. Most newborns will respond to effective ventilation alone.
11,Obstetrics,Breech Presentation,You respond to a 25-year-old G3P2 at 36 weeks who states her water broke and she feels the baby coming. She was told at her last appointment that the baby was breech. On exam you see the baby's buttocks presenting at the vaginal opening with one leg extended and visible. The mother is pushing involuntarily with contractions. There is no time for transport. What type of breech is this and what are the key principles for managing a breech delivery?,This is frank breech. Breech deliveries are impossible without cesarean section and you should hold the legs together until arrival at hospital,This is incomplete breech with footling presentation. Key principles are to allow spontaneous delivery do not pull on the baby and be prepared to assist the after-coming head,This is complete breech. Pull on the presenting leg to speed delivery,This is a transverse lie requiring internal version,B,Breech presentation with one or both feet presenting is called incomplete or footling breech. While cesarean delivery is preferred when possible a paramedic faced with imminent breech delivery must manage it. Key principles include allowing gravity and maternal effort to deliver the body without traction which can cause head entrapment. Support the body as it delivers keeping it wrapped in a warm towel. The most dangerous part is the after-coming head which may become trapped. Prepare for the need to assist head delivery with Mauriceau-Smellie-Veit maneuver.
12,Obstetrics,Breech Presentation,You are managing the breech delivery and the body has delivered up to the umbilicus. You are supporting the baby's body wrapped in a warm towel. The cord is visible and pulsating. The mother continues to push with contractions. What is your role at this point of the delivery?,Pull downward on the baby's body to speed delivery of the head,Continue supporting the body without traction allowing maternal effort and gravity to deliver the shoulders and head,Reach in and pull down the baby's arms,Clamp and cut the cord now before it stops pulsating,B,During breech delivery once the body delivers to the umbilicus the operator should support the body without traction. Pulling on the body can cause the head to extend increasing the risk of head entrapment. Allow maternal pushing and gravity to deliver the shoulders and head. The arms usually deliver spontaneously or can be gently swept down if needed. The most critical phase is delivery of the after-coming head. Keep the cord loose and avoid traction on it. The entire delivery from buttocks to head should ideally occur within 3-5 minutes to minimize cord compression.
13,Obstetrics,Breech Presentation,The breech baby has delivered to the shoulders but the head is not delivering despite maternal pushing. You can see the baby's face but the head appears stuck. The baby's body is becoming limp and the heart rate on the exposed cord is slowing. You must assist delivery of the after-coming head. Describe the Mauriceau-Smellie-Veit maneuver.,Place fingers in the baby's mouth and pull downward on the jaw while an assistant applies fundal pressure,Straddle the baby's body over your arm with fingers on the maxilla to flex the head while your other hand applies pressure on the occiput. An assistant applies suprapubic pressure,Grasp the baby by the feet and apply traction while rotating,Push the head back in and prepare for cesarean,B,The Mauriceau-Smellie-Veit maneuver is used for the trapped after-coming head in breech delivery. The baby's body is straddled over your forearm with your middle finger in the mouth or fingers on the maxilla to maintain head flexion. Your other hand is placed on the baby's shoulders with middle finger on the occiput applying gentle downward pressure to flex the head. An assistant applies suprapubic not fundal pressure to help flex and push the head into the pelvis. Gentle downward traction is applied to deliver the head over the perineum. This requires coordination and practice.
