id,category,subcategory,question,option_a,option_b,option_c,option_d,correct_answer,rationale,certification,difficulty
1,Medical,Diabetic,A 45-year-old insulin-dependent diabetic is found unresponsive. Blood glucose is 28 mg/dL. After 25g dextrose IV patient remains unresponsive. Next step:,Repeat glucose check and consider additional dextrose,Glucagon IM,Thiamine IV,Transport without further treatment,A,Severe hypoglycemia may require repeat dextrose. Recheck glucose. Consider thiamine for chronic alcoholics.,Paramedic,medium
2,Medical,Diabetic,A patient with glucose of 18 mg/dL receives D50. He wakes becomes combative and removes his IV. He now refuses care and wants to leave. Management:,Allow him to leave,Glucose may still be low from long-acting insulin educate about recurrence risk obtain refusal if competent,Physically restrain,Wait until calm,B,Long-acting insulin may cause recurrent hypoglycemia. Ensure patient understands risks. Document thoroughly.,Paramedic,medium
3,Medical,Diabetic,A known diabetic has blood glucose of 480 mg/dL Kussmaul respirations fruity breath and altered mental status. Diagnosis and treatment:,Hypoglycemia give D50,DKA IV fluids oxygen monitor transport,Hyperglycemic hyperosmolar state,Stroke protocol,B,DKA: hyperglycemia ketosis acidosis. Field treatment is IV NS 20 mL/kg bolus oxygen transport.,Paramedic,medium
4,Medical,Diabetic,In DKA the Kussmaul respirations occur because:,Hypoxia,Metabolic acidosis stimulates respiratory compensation,Hyperglycemia directly,Ketones affect lungs,B,Kussmaul: deep rapid breathing to blow off CO2 and compensate for metabolic acidosis.,Paramedic,medium
5,Medical,Diabetic,A patient with glucose of 850 mg/dL is severely dehydrated and confused but has no Kussmaul breathing or ketone odor. This is likely:,DKA,Hyperosmolar hyperglycemic state HHS,Simple hyperglycemia,Sepsis,B,HHS: extreme hyperglycemia severe dehydration minimal ketosis. More common in Type 2 diabetes.,Paramedic,medium
6,Medical,Diabetic,Fluid replacement in HHS versus DKA:,Same approach,HHS requires more aggressive fluid replacement due to greater dehydration,Less fluid in HHS,No fluids in either,B,HHS patients often have 8-10L fluid deficit compared to 3-6L in DKA.,Paramedic,medium
7,Medical,Diabetic,A diabetic patient receiving insulin pump has altered mental status and glucose of 420 mg/dL. The pump is malfunctioning. Concern:,Only hyperglycemia,DKA developing from insulin interruption,Pump overdose,No concern,B,Pump failure means no insulin delivery. DKA can develop rapidly especially in Type 1.,Paramedic,medium
8,Medical,Diabetic,A patient with glucose of 62 mg/dL is alert and asymptomatic. She takes metformin only. Management:,D50 IV immediately,Oral glucose and monitoring likely adequate,Glucagon,No treatment needed,B,Mild hypoglycemia in alert patient: oral glucose. Metformin rarely causes severe hypoglycemia alone.,Paramedic,medium
9,Medical,Neurological,A patient has sudden onset right-sided weakness and cannot speak. Symptom onset was 30 minutes ago. Cincinnati Stroke Scale findings:,Negative for stroke,Positive requires rapid transport to stroke center,Cannot be assessed,Not relevant,B,Acute stroke symptoms within window. Rapid transport to stroke center for potential tPA or thrombectomy.,Paramedic,medium
10,Medical,Neurological,The stroke patient above has blood pressure of 210/120. Should you lower it:,Yes aggressively to normal,No allow permissive hypertension unless extreme,Yes to 140/90,Only with IV medications,B,Acute ischemic stroke: do not aggressively lower BP. Permissive hypertension maintains cerebral perfusion.,Paramedic,medium
