emr_id,category,subcategory,question_type,statement,correct_answer,rationale
EMR-TF-601,Assessment,Scene Size-up,true_false,Scene size-up includes determining the number of patients and need for additional resources.,TRUE,Scene size-up assesses the overall situation including number of patients mechanism of injury or nature of illness and resource needs. Early identification of multiple patients or special needs allows timely resource requests.
EMR-TF-602,Assessment,Scene Size-up,true_false,Standard precautions are determined based on the specific diagnosis of the patient.,FALSE,Standard precautions are applied to all patients regardless of diagnosis. They assume all blood and body fluids are potentially infectious. Do not wait for a diagnosis to use appropriate PPE.
EMR-TF-603,Assessment,Primary Assessment,true_false,The primary assessment follows the ABCDE sequence: Airway Breathing Circulation Disability Exposure.,TRUE,ABCDE provides a systematic approach to identifying life threats in priority order. Airway problems kill fastest then breathing then circulation. Disability assesses neurological status and exposure allows full examination.
EMR-TF-604,Assessment,Primary Assessment,true_false,Life-threatening problems found during primary assessment should be treated before moving to secondary assessment.,TRUE,Treat life threats as you find them during primary assessment. An obstructed airway must be cleared before assessing breathing. The primary assessment continues only after immediate threats are addressed.
EMR-TF-605,Assessment,Secondary Assessment,true_false,The secondary assessment is a detailed head-to-toe examination.,TRUE,Secondary assessment systematically examines the entire body from head to toe identifying all injuries or problems. It is performed after life threats are addressed during primary assessment.
EMR-TF-606,Assessment,Vital Signs,true_false,Vital signs should be obtained on all patients and repeated to identify trends.,TRUE,Baseline vital signs establish initial status. Serial vitals identify improvement or deterioration. Frequency depends on patient acuity. Trending is more valuable than single measurements.
EMR-TF-607,Assessment,Vital Signs,true_false,A normal blood pressure rules out the possibility of shock.,FALSE,Blood pressure is maintained by compensatory mechanisms until late in shock. Tachycardia pallor and delayed capillary refill may indicate shock even with normal BP. Children especially maintain BP until near cardiovascular collapse.
EMR-TF-608,Assessment,History,true_false,History from bystanders and family can provide valuable information when patients cannot communicate.,TRUE,When patients are unresponsive or unreliable historians bystanders and family provide crucial information about events medications medical history and baseline status. Always gather available history.
EMR-TF-609,Airway,Anatomy,true_false,The tongue is the most common cause of airway obstruction in unconscious patients.,TRUE,When muscle tone is lost the tongue can fall back against the posterior pharynx causing obstruction. Head-tilt chin-lift or jaw-thrust maneuvers move the tongue forward to open the airway.
EMR-TF-610,Airway,Management,true_false,Suction should be applied continuously until the airway is completely clear.,FALSE,Limit suctioning to 10-15 seconds to avoid causing hypoxia. Suction only as long as you can hold your own breath. Provide ventilation between suction attempts if needed.
EMR-TF-611,Airway,Oxygen,true_false,Oxygen should be withheld from patients because it might be harmful.,FALSE,Oxygen is rarely harmful and should not be withheld from hypoxic patients. While specific populations may need titrated oxygen the fear of oxygen toxicity should never prevent treating hypoxia.
EMR-TF-612,Breathing,Assessment,true_false,Both respiratory rate AND quality must be assessed to determine breathing adequacy.,TRUE,Rate alone does not indicate adequate breathing. A patient breathing 20 times per minute with shallow breaths may be hypoventilating. Assess rate depth effort and quality together.
EMR-TF-613,Breathing,Ventilation,true_false,Ventilations should be given slowly over 1 second watching for chest rise.,TRUE,Slow ventilations over 1 second reduce gastric insufflation. Watch for chest rise to confirm air is entering lungs. Excessive volume or speed forces air into the stomach.
EMR-TF-614,Breathing,Ventilation,true_false,Gastric distension from ventilation is harmless and does not require attention.,FALSE,Gastric distension can impair ventilation by limiting diaphragm movement and increases aspiration risk. Avoid by using slow ventilations with just enough volume for chest rise.
EMR-TF-615,Circulation,Assessment,true_false,Skin color temperature and moisture provide information about circulatory status.,TRUE,Skin assessment reveals perfusion status. Cool pale clammy skin suggests poor perfusion and shock. Warm dry pink skin suggests adequate perfusion. Assess skin in conjunction with vitals and capillary refill.
EMR-TF-616,Circulation,Bleeding Control,true_false,Elevation alone is sufficient to control most bleeding.,FALSE,Elevation may help but direct pressure is the primary bleeding control technique. Current guidelines emphasize direct pressure and early tourniquet use for severe extremity bleeding over elevation alone.
