id,category,subcategory,question,option_a,option_b,option_c,option_d,correct_answer,rationale,certification,difficulty
1,Medical,Respiratory Advanced,Severe asthma with silent chest indicates:,Improvement,Critical obstruction requiring immediate intervention,Resolution,Mild exacerbation,B,Silent chest: no air movement critical obstruction impending respiratory failure.,Paramedic,medium
2,Medical,Respiratory Advanced,Permissive hypercapnia in asthma means:,Normal CO2,Allowing elevated CO2 to avoid barotrauma,Hyperventilating,Targeting low CO2,B,Permissive hypercapnia: accept elevated CO2 to use lower pressures prevent barotrauma.,Paramedic,medium
3,Medical,Respiratory Advanced,Auto-PEEP in asthma occurs from:,Incomplete exhalation air trapping,Too slow ventilation,No PEEP setting,Pneumothorax,A,Auto-PEEP: air trapping from incomplete exhalation leads to increased intrathoracic pressure.,Paramedic,medium
4,Medical,Respiratory Advanced,Treatment for auto-PEEP:,Increase rate,Decrease rate increase expiratory time,Increase tidal volume,Increase PEEP,B,Auto-PEEP: slow rate increase I:E ratio allow complete exhalation.,Paramedic,medium
5,Medical,Respiratory Advanced,COPD patient on chronic steroids may develop:,Hyperglycemia,Adrenal insufficiency during stress,Hypoglycemia,Improved immunity,B,Chronic steroids suppress HPA axis; stress may precipitate adrenal crisis.,Paramedic,medium
6,Medical,Respiratory Advanced,Tension pneumothorax physiology causes:,Increased venous return,Decreased venous return and mediastinal shift,Increased cardiac output,Improved oxygenation,B,Tension: positive pressure pushes mediastinum decreases venous return.,Paramedic,medium
7,Medical,Respiratory Advanced,Needle decompression converts tension to:,Normal lung,Simple pneumothorax requiring chest tube,Complete resolution,No change,B,Needle decompression: converts tension to simple pneumothorax; chest tube still needed.,Paramedic,medium
8,Medical,Respiratory Advanced,Massive PE treatment includes:,Observation,Anticoagulation thrombolytics in unstable patients,Fluids only,Diuretics,B,Massive PE: anticoagulation; thrombolytics for unstable; embolectomy for refractory.,Paramedic,medium
9,Medical,Respiratory Advanced,tPA dose for massive PE:,10 mg,50 mg over 2 hours or 100 mg over 2 hours,150 mg,200 mg,B,PE thrombolysis: alteplase 100 mg over 2 hours or accelerated 50 mg for arrest.,Paramedic,medium
10,Medical,Respiratory Advanced,Pneumonia severity index helps determine:,Antibiotic choice,Need for hospitalization,Causative organism,Duration of treatment,B,PSI/CURB-65: risk stratify pneumonia for disposition decisions.,Paramedic,medium
11,Medical,Endocrine Advanced,DKA fluid deficit typically:,1-2 liters,3-6 liters,10 liters,500 mL,B,DKA: average 3-6 liter deficit from osmotic diuresis.,Paramedic,medium
12,Medical,Endocrine Advanced,DKA initial fluid resuscitation:,D5W,NS 1-2 liters first hour,Half NS immediately,Lactated Ringers only,B,DKA: NS 15-20 mL/kg first hour typically 1-2 liters; then reassess.,Paramedic,medium
13,Medical,Endocrine Advanced,Insulin in DKA is given:,Before fluids,After initial fluid bolus,Only if glucose greater than 500,Never in field,B,Insulin after initial fluid resuscitation; fluids alone lower glucose.,Paramedic,medium
14,Medical,Endocrine Advanced,Cerebral edema risk in DKA highest in:,Elderly,Children and new-onset diabetes,Middle-aged adults,All equally,B,Cerebral edema: highest risk pediatric new-onset DKA rapid correction.,Paramedic,medium
15,Medical,Endocrine Advanced,HHS mortality compared to DKA:,Lower,Higher 10-20%,Same,Much lower,B,HHS mortality 10-20% higher than DKA 1-5%; older sicker patients.,Paramedic,medium
