emr_id,category,subcategory,question_type,question,option_a,option_b,option_c,option_d,correct_answer,rationale
EMR-SCEN-076,Airway,Respiratory Distress,scenario,A 55-year-old male is sitting in tripod position unable to lie down. He is breathing 28 times per minute using accessory muscles. He can only speak 3-4 words at a time. Lung sounds reveal wheezing throughout. SpO2 is 88%. History of asthma. What is happening and what should you do?,He is having a panic attack,Severe asthma exacerbation with respiratory distress. Apply high-flow oxygen via non-rebreather. Assist with prescribed inhaler if available. Prepare for possible assisted ventilation if he tires. Transport urgently,His breathing is adequate since he is alert,Encourage him to lie down and relax,B,Tripod position accessory muscle use inability to speak in sentences tachypnea wheezing and hypoxia indicate severe respiratory distress from asthma. Provide high-flow oxygen assist with prescribed inhaler and transport. Monitor for deterioration requiring ventilatory assistance.
EMR-SCEN-077,Airway,Respiratory Distress,scenario,You are treating the asthma patient. He has his albuterol inhaler. He asks you to help him use it. What is the correct technique for assisting with a metered-dose inhaler?,Spray it into his mouth while he breathes in,Have patient exhale fully shake inhaler place in mouth seal lips around it then inhale slowly and deeply while pressing canister. Hold breath for 10 seconds then exhale slowly. Use spacer if available,Have him sniff the medication through his nose,He should exhale while spraying,B,Correct MDI technique maximizes medication delivery to lungs. Exhale fully first. Place inhaler in mouth or use spacer. Press canister while inhaling slowly and deeply. Hold breath 10 seconds to allow deposition. Spacers improve delivery especially in distressed patients.
EMR-SCEN-078,Airway,Respiratory Distress,scenario,A patient with severe asthma has been wheezing loudly. After several minutes of distress his wheezing suddenly becomes much quieter but he appears more tired and his SpO2 is dropping. Is the quiet wheezing a good sign?,Yes it means the attack is ending,No. Decreasing wheezing with worsening condition indicates severe bronchospasm with minimal air movement. This is a silent chest and indicates impending respiratory failure. Prepare for assisted ventilation and transport immediately,He is getting better so continue monitoring,The inhaler is working,B,Wheezing requires airflow. Decreasing wheeze with worsening symptoms indicates severe bronchospasm with almost no air movement which is a pre-arrest condition. A silent chest in asthma is an ominous sign requiring immediate intervention and transport.
EMR-SCEN-079,Airway,Respiratory Distress,scenario,A 68-year-old female with CHF woke suddenly unable to breathe. She must sit upright. She is coughing up pink frothy sputum. Lung sounds reveal crackles throughout. BP is 178/104. What is causing her symptoms?,Pneumonia,Acute pulmonary edema from heart failure. Fluid is backing up into her lungs. Position her sitting upright apply high-flow oxygen. If CPAP is available and she can cooperate it can help. Transport rapidly,Asthma attack,Allergic reaction,B,Pink frothy sputum waking suddenly unable to breathe orthopnea and bilateral crackles with history of CHF indicate acute pulmonary edema. The heart cannot pump effectively causing fluid to back up into lungs. Position upright apply high-flow oxygen and transport.
EMR-SCEN-080,Airway,Respiratory Distress,scenario,A 70-year-old male with COPD is in respiratory distress. He is on home oxygen. His daughter asks why you do not give him more oxygen since he is struggling. She says the doctor told him too much oxygen could be dangerous. How do you explain this?,Her father can never have more than 2 LPM oxygen,Some COPD patients rely on low oxygen levels to stimulate breathing. However we never withhold oxygen from someone who is hypoxic. We will give enough oxygen to help him breathe better while monitoring him carefully. Hypoxia is more immediately dangerous than the theoretical risk,Just agree that COPD patients cannot have oxygen,High oxygen is never dangerous,B,Explain that while some COPD patients can have issues with high oxygen the immediate risk of hypoxia is greater. We titrate oxygen to maintain adequate saturation around 88-92% while monitoring. Never withhold oxygen from a hypoxic patient regardless of COPD status.
EMR-SCEN-081,Airway,Respiratory Distress,scenario,A child with a history of croup now has a barking cough and inspiratory stridor. He is working hard to breathe with retractions. He is sitting up and crying. His SpO2 is 93%. What should you do?,Lay him down for better assessment,Keep him calm and in position of comfort usually sitting. Provide humidified oxygen if available. Do not agitate him as crying worsens stridor and oxygen demand. Transport gently,Force him to lie down,Give him an inhaler,B,Croup causes upper airway swelling and stridor. Keep the child calm in position of comfort. Agitation and crying increase oxygen demand and worsen stridor. Provide humidified oxygen gently. Transport without causing distress. Calm child does better than upset child.
EMR-SCEN-082,Airway,Respiratory Distress,scenario,A 5-year-old child has sudden onset of high fever drooling difficulty swallowing and is sitting forward with neck extended. He looks very ill and has stridor. He has not been able to talk. What condition should you suspect and what should you avoid?,Croup. Look in his throat to confirm,Suspect epiglottitis. Do NOT examine the throat or agitate the child as this can trigger complete airway obstruction. Allow position of comfort provide blow-by oxygen keep him calm and transport immediately,He needs abdominal thrusts for choking,Give him water for his dry throat,B,Rapid onset high fever drooling tripod posture and stridor suggest epiglottitis. Do NOT look in the throat or agitate the child which can trigger complete obstruction. Keep calm allow position of comfort and transport immediately for emergency airway management.
EMR-SCEN-083,Airway,Respiratory Distress,scenario,An 18-year-old was stung by a bee and now has facial swelling difficulty breathing and hives. Her voice sounds hoarse and she says her throat is swelling. SpO2 is 91%. What condition is this and what does she need?,Minor allergic reaction. Give antihistamines,Anaphylaxis with airway involvement. She needs epinephrine immediately. Assist with her EpiPen if she has one or administer epinephrine per protocol. Apply high-flow oxygen and transport urgently,Give her water to drink for throat swelling,The swelling will go down on its own,B,Facial swelling difficulty breathing hives and hoarse voice after a sting indicate anaphylaxis with airway compromise. Epinephrine is the life-saving treatment. Assist with auto-injector or administer per protocol. High-flow oxygen and rapid transport are essential.
EMR-SCEN-084,Airway,Respiratory Distress,scenario,You assist a patient having an anaphylactic reaction with her EpiPen auto-injector. Where is the correct injection site and how do you administer it?,Inject into the deltoid muscle slowly,Inject into outer thigh through clothing if needed. Press firmly hold for 10 seconds. The EpiPen can be given through light clothing. Massage the site afterward. Monitor for continued symptoms requiring second dose,Inject into the buttock,Inject into the forearm,B,EpiPen is administered into the outer thigh and can be given through light clothing. Press firmly until click is heard and hold for 10 seconds. Massage injection site. Continue monitoring as symptoms may return requiring second dose after 5-15 minutes.
EMR-SCEN-085,Airway,Respiratory Distress,scenario,A patient with a severe allergic reaction received epinephrine from her auto-injector. After 5 minutes her symptoms seem to be getting worse with increased stridor. What should you do?,Epinephrine did not work try something else,Repeat epinephrine if available and protocol allows. Anaphylaxis can require multiple doses. Continue high-flow oxygen and transport rapidly. Symptoms can recur as epinephrine wears off,Give antihistamines instead,Just continue transport without more medication,B,Anaphylaxis can be resistant to initial epinephrine requiring repeat doses. If patient has additional auto-injector and protocols allow give second dose. Epinephrine can be repeated every 5-15 minutes for persistent symptoms. Continue supportive care and transport.
EMR-SCEN-086,Airway,Respiratory Failure,scenario,A patient you have been treating for respiratory distress is now becoming less responsive. His respiratory rate has dropped from 30 to 12. He no longer responds to voice and his skin is becoming mottled and cyanotic. What is happening?,He is improving because his respiratory rate is lower,He is in respiratory failure. The decreased rate indicates exhaustion and impending respiratory arrest. His respiratory muscles are failing. Begin assisted ventilation with BVM immediately,Let him rest since he is tired,Continue oxygen by mask only,B,Decreasing respiratory rate in a patient who was working hard to breathe indicates exhaustion and respiratory failure. This is not improvement. The patient can no longer maintain ventilation. Begin immediate BVM ventilation with high-flow oxygen. This is a pre-arrest condition.
EMR-SCEN-087,Airway,Respiratory Failure,scenario,You are ventilating a patient with a BVM and oxygen. His SpO2 has improved from 70% to 92%. You are ventilating at 20 breaths per minute to try to get his oxygen higher. What should you adjust?,Continue at 20 breaths per minute until SpO2 is 100%,Reduce ventilation rate to 10-12 per minute. Over-ventilation causes gastric distension hypocapnia and can impair blood return to the heart. SpO2 of 92% is adequate. Ventilate at normal rate with adequate volume,Increase to 30 breaths per minute,Stop ventilating since SpO2 is better,B,Over-ventilation is harmful. Excessive rate causes gastric insufflation reduced CO2 which causes vasoconstriction and decreased venous return due to increased intrathoracic pressure. Ventilate at 10-12 per minute with adequate volume. SpO2 of 92%+ is acceptable.
EMR-SCEN-088,Airway,Respiratory Failure,scenario,You are ventilating an unresponsive patient with BVM but cannot achieve adequate chest rise despite repositioning. An OPA is in place. You have a supraglottic airway available. When should you consider using it?,Supraglottic airways are only for cardiac arrest,When BVM ventilation is inadequate despite proper technique and airway adjuncts a supraglottic airway should be considered. It can provide more effective ventilation than BVM when basic techniques fail,Never use on a patient with a pulse,Only paramedics can use supraglottic airways,B,Supraglottic airways like King LT or i-gel are indicated when BVM ventilation is inadequate. They are not limited to cardiac arrest. If you cannot effectively ventilate with BVM despite proper technique a supraglottic airway can be life-saving.
EMR-SCEN-089,Airway,Special Airways,scenario,You respond to a patient with a tracheostomy who is in respiratory distress. The hole in his neck appears to have mucus in it. What should you do first?,Cover the stoma and ventilate through his mouth,Suction the tracheostomy stoma to clear secretions. For patients with tracheostomy or laryngectomy the stoma is their airway. Suctioning clears mucus plugging which is common. Provide oxygen through the stoma not mouth,Ignore the stoma and treat normally,Put an OPA in his mouth,B,Tracheostomy patients breathe through their stoma. Mucus plugging is common. Suction the stoma to clear secretions. Provide oxygen and ventilation through the stoma. If the patient has a total laryngectomy they cannot breathe through mouth or nose at all.
EMR-SCEN-090,Airway,Special Airways,scenario,A patient with a tracheostomy is in severe respiratory distress. After suctioning he is still struggling. You need to ventilate him. How do you provide BVM ventilation?,Place mask over his face as usual,Ventilate through the stoma using a pediatric mask or special adapter over the tracheostomy opening. For laryngectomy patients seal the mouth and nose if needed to prevent air leak. The stoma is the only airway,Blow into the stoma with your mouth,You cannot ventilate tracheostomy patients,B,BVM ventilation for tracheostomy patients is delivered through the stoma not the mouth. Use a pediatric mask or special adapter to create seal over the stoma. For total laryngectomy seal the mouth and nose to prevent air leak. For partial laryngectomy some air may pass through upper airway.
EMR-SCEN-091,Airway,Oxygen Equipment,scenario,You arrive on scene and need to set up oxygen for a patient in respiratory distress. Your oxygen tank gauge shows 500 psi. The tank is an E-cylinder. Do you have enough oxygen and approximately how long will it last at 10 LPM?,The tank is almost empty. Find another tank,500 psi provides approximately 30-35 minutes at 10 LPM for an E-cylinder. This should be sufficient for most responses but have backup available or request additional resources for extended calls,This will last several hours,Psi does not indicate how much oxygen remains,B,E-cylinder has approximately 0.28 liters per psi when full. At 500 psi you have approximately 140 liters. At 10 LPM this gives approximately 14 minutes of use. Consider backup oxygen for extended care or transport. Always check tank pressure before use.
