emr_id,category,subcategory,question_type,term,question,option_a,option_b,option_c,option_d,correct_answer,rationale
EMR-VOCAB-151,Medical Terminology,Abbreviations,vocabulary,AED,What does the abbreviation AED stand for?,Advanced emergency device,Automated external defibrillator,Automated electrical device,Advanced external defibrillator,B,AED stands for automated external defibrillator. It is a portable device that analyzes heart rhythm and delivers an electrical shock if needed to restore normal rhythm in cardiac arrest patients with shockable rhythms.
EMR-VOCAB-152,Medical Terminology,Abbreviations,vocabulary,CPR,What does the abbreviation CPR stand for?,Cardiac pulse restoration,Cardiopulmonary resuscitation,Chest pressure and respiration,Cardiac patient rescue,B,CPR stands for cardiopulmonary resuscitation. It is an emergency procedure combining chest compressions and rescue breathing to maintain circulation and oxygenation in a patient whose heart has stopped.
EMR-VOCAB-153,Medical Terminology,Abbreviations,vocabulary,ALS,What does the abbreviation ALS stand for in EMS?,Automated life support,Advanced life support,Airway and lung stabilization,Advanced lung support,B,ALS stands for advanced life support which refers to higher level emergency care including IV access medication administration advanced airway management and cardiac monitoring provided by paramedics.
EMR-VOCAB-154,Medical Terminology,Abbreviations,vocabulary,BLS,What does the abbreviation BLS stand for?,Basic life support,Breathing and lung stabilization,Blood level stabilization,Basic lung support,A,BLS stands for basic life support which refers to fundamental emergency care including CPR AED use basic airway management and bleeding control provided by EMRs EMTs and trained laypersons.
EMR-VOCAB-155,Medical Terminology,Abbreviations,vocabulary,NRB,What does the abbreviation NRB stand for?,Non-resistant breathing,Non-rebreather mask,Normal respiratory breathing,No rescue breathing,B,NRB stands for non-rebreather mask which is an oxygen delivery device that can deliver high concentrations of oxygen approximately 90% when used with 15 LPM oxygen flow.
EMR-VOCAB-156,Medical Terminology,Abbreviations,vocabulary,NC,What does the abbreviation NC stand for when referring to oxygen delivery?,Nasal cannula,No complaints,Normal circulation,Non-critical,A,NC stands for nasal cannula which is a low-flow oxygen delivery device with two prongs that fit into the nostrils. It can deliver 24-44% oxygen at flow rates of 1-6 liters per minute.
EMR-VOCAB-157,Medical Terminology,Abbreviations,vocabulary,BVM,What does the abbreviation BVM stand for?,Basic ventilation method,Bag-valve-mask,Breathing volume measurement,Basic valve mechanism,B,BVM stands for bag-valve-mask which is a manual resuscitation device used to provide positive pressure ventilation. It consists of a self-inflating bag one-way valve and face mask.
EMR-VOCAB-158,Medical Terminology,Abbreviations,vocabulary,OPA,What does the abbreviation OPA stand for?,Oral patient assessment,Oropharyngeal airway,Oxygen partial analysis,Oral pressure adjustment,B,OPA stands for oropharyngeal airway which is a curved plastic device inserted into the mouth to prevent the tongue from blocking the airway in unconscious patients without a gag reflex.
EMR-VOCAB-159,Medical Terminology,Abbreviations,vocabulary,NPA,What does the abbreviation NPA stand for?,Nasal patient assessment,Nasopharyngeal airway,Normal pulse analysis,Nasal pressure adjustment,B,NPA stands for nasopharyngeal airway which is a soft rubber or plastic tube inserted through the nose to maintain an airway. It can be used in patients with an intact gag reflex.
EMR-VOCAB-160,Medical Terminology,Abbreviations,vocabulary,MOI,What does the abbreviation MOI stand for?,Mode of injury,Mechanism of injury,Manner of illness,Method of investigation,B,MOI stands for mechanism of injury which describes how an injury occurred. Understanding the MOI helps predict injury patterns and severity such as high-speed vehicle collision versus low-speed impact.
EMR-VOCAB-161,Medical Terminology,Abbreviations,vocabulary,NOI,What does the abbreviation NOI stand for?,Nature of illness,Number of injuries,Normal organ inspection,Name of individual,A,NOI stands for nature of illness which describes the medical condition causing the patient's symptoms. This is used for medical patients as opposed to MOI which is used for trauma patients.
EMR-VOCAB-162,Medical Terminology,Abbreviations,vocabulary,GCS,What does the abbreviation GCS stand for?,General condition status,Glasgow Coma Scale,Glucose checking system,General circulation score,B,GCS stands for Glasgow Coma Scale which is a neurological assessment tool that measures eye opening verbal response and motor response on a scale of 3-15. It is used to assess level of consciousness especially in head injury.
EMR-VOCAB-163,Medical Terminology,Abbreviations,vocabulary,AVPU,What does the mnemonic AVPU stand for?,Airway Ventilation Pulse Unconscious,Alert Verbal Pain Unresponsive,Assess Vitals Pupils Unconscious,Awake Vomiting Painful Upset,B,AVPU stands for Alert Verbal Pain Unresponsive. It is a simple scale for rapidly assessing level of consciousness. A is alert V responds to verbal stimuli P responds only to painful stimuli U is unresponsive.
EMR-VOCAB-164,Medical Terminology,Abbreviations,vocabulary,SAMPLE,What does the mnemonic SAMPLE stand for in patient assessment?,Signs Allergies Medications Past history Last meal Events,Symptoms Assessment Medical history Physical exam Labs Events,Situation Assessment Medical history Physical exam Last meal Equipment,Signs Assessment Medications Procedures Labs Evaluation,A,SAMPLE stands for Signs/Symptoms Allergies Medications Past medical history Last oral intake and Events leading to the emergency. It is used to gather important patient history during assessment.
EMR-VOCAB-165,Medical Terminology,Abbreviations,vocabulary,OPQRST,What does the mnemonic OPQRST stand for in pain assessment?,Onset Place Quality Rate Severity Time,Onset Provocation Quality Radiation Severity Time,Origin Pain Quality Response Symptoms Treatment,Observation Palpation Questions Response Symptoms Timing,B,OPQRST stands for Onset Provocation/Palliation Quality Radiation Severity and Time. It is used to thoroughly assess a patient's pain or chief complaint by asking about these characteristics.
EMR-VOCAB-166,Medical Terminology,Abbreviations,vocabulary,DCAP-BTLS,What does the mnemonic DCAP-BTLS stand for in trauma assessment?,Deformities Contusions Abrasions Punctures Burns Tenderness Lacerations Swelling,Damage Cuts Abrasions Punctures Bleeding Tenderness Lacerations Shock,Deformities Contusions Airway Pulse Breathing Tenderness Lacerations Swelling,Deformities Circulation Abrasions Pulse Burns Tenderness Lacerations Swelling,A,DCAP-BTLS stands for Deformities Contusions Abrasions Punctures/Penetrations Burns Tenderness Lacerations and Swelling. It is used during physical examination to identify signs of trauma to each body region.
EMR-VOCAB-167,Medical Terminology,Abbreviations,vocabulary,BSI,What does the abbreviation BSI stand for?,Basic safety inspection,Body substance isolation,Blood sample investigation,Breathing status indicator,B,BSI stands for body substance isolation which refers to infection control practices that treat all body fluids as potentially infectious. This includes wearing gloves eye protection and other PPE when exposure is possible.
