id,category,subcategory,question,option_a,option_b,option_c,option_d,correct_answer,rationale,certification,difficulty
1,Medical,Diabetes,Type 1 diabetes results from:,Insulin resistance,Autoimmune destruction of insulin-producing cells,Obesity,Medication side effect,B,Type 1 is autoimmune destruction of pancreatic beta cells requiring insulin.,AEMT,medium
2,Medical,Diabetes,Type 2 diabetes results from:,Autoimmune destruction,Insulin resistance and relative insulin deficiency,Viral infection,Trauma,B,Type 2 involves insulin resistance; cells do not respond properly to insulin.,AEMT,medium
3,Medical,Diabetes,Insulin is produced by:,Liver,Pancreatic beta cells,Adrenal glands,Thyroid,B,Insulin produced by beta cells in islets of Langerhans in pancreas.,AEMT,medium
4,Medical,Diabetes,Glucagon is produced by:,Beta cells,Alpha cells of the pancreas,Liver,Adrenal glands,B,Glucagon produced by pancreatic alpha cells; raises blood glucose.,AEMT,medium
5,Medical,Diabetes,Normal fasting blood glucose is:,40-60 mg/dL,70-100 mg/dL,120-150 mg/dL,200-300 mg/dL,B,Normal fasting glucose 70-100 mg/dL.,AEMT,medium
6,Medical,Diabetes,Hypoglycemia signs and symptoms result from:,High blood sugar,Brain and body deprived of glucose and catecholamine release,Dehydration,Infection,B,Low glucose causes CNS dysfunction and sympathetic activation.,AEMT,medium
7,Medical,Diabetes,Early signs of hypoglycemia include:,Dry skin,Sweating anxiety tremor hunger,Fruity breath,Kussmaul respirations,B,Early hypoglycemia: diaphoresis anxiety tremor tachycardia hunger.,AEMT,medium
8,Medical,Diabetes,Severe hypoglycemia may cause:,Improved alertness,Seizures unconsciousness,Polyuria,Kussmaul breathing,B,Severe hypoglycemia can cause seizures unconsciousness brain damage death.,AEMT,medium
9,Medical,Diabetes,Blood glucose level for hypoglycemia treatment:,Less than 100 mg/dL,Less than 70 mg/dL with symptoms,Less than 200 mg/dL,Less than 300 mg/dL,B,Treat hypoglycemia when glucose less than 70 mg/dL with symptoms.,AEMT,medium
10,Medical,Diabetes,Oral glucose is contraindicated when:,Patient is alert,Patient cannot swallow or protect airway,Blood sugar is low,Patient is conscious,B,Do not give oral glucose if patient cannot swallow or protect airway.,AEMT,medium
11,Medical,Diabetes,After giving oral glucose reassess in:,30 minutes,10-15 minutes,1 hour,5 minutes,B,Reassess blood glucose 10-15 minutes after oral glucose administration.,AEMT,medium
12,Medical,Diabetes,Glucagon onset of action is:,Immediate,10-20 minutes,1 hour,30 seconds,B,Glucagon IM takes 10-20 minutes to raise blood glucose.,AEMT,medium
13,Medical,Diabetes,Glucagon may be ineffective in:,Type 1 diabetics,Patients with depleted glycogen stores alcoholics malnourished,Type 2 diabetics,Obese patients,B,Glucagon requires liver glycogen stores; ineffective if depleted.,AEMT,medium
14,Medical,Diabetes,IV dextrose onset of action is:,10-20 minutes,Almost immediate 1-2 minutes,30 minutes,1 hour,B,IV dextrose works almost immediately raising blood glucose.,AEMT,medium
15,Medical,Diabetes,D50 should be given through:,Any IV size,Patent IV to avoid tissue damage,IM injection,Subcutaneous,B,D50 is hyperosmolar; extravasation causes tissue necrosis; ensure patent IV.,AEMT,medium
16,Medical,Diabetes,D10 advantage over D50 is:,Higher concentration,Less risk of tissue damage if extravasation,Faster onset,Longer duration,B,D10 is less hyperosmolar; less tissue damage risk; easier to titrate.,AEMT,medium
17,Medical,Diabetes,Signs of hyperglycemia include:,Diaphoresis and tremor,Polyuria polydipsia polyphagia,Seizures,Cold clammy skin,B,Hyperglycemia: polyuria polydipsia polyphagia weight loss fatigue.,AEMT,medium
18,Medical,Diabetes,Diabetic ketoacidosis develops over:,Minutes,Hours to days,Weeks,Immediately,B,DKA typically develops over hours to days with illness or missed insulin.,AEMT,medium
19,Medical,Diabetes,DKA occurs most commonly in:,Type 2 diabetes,Type 1 diabetes,Pre-diabetes,Gestational diabetes,B,DKA more common in Type 1; can occur in Type 2 under severe stress.,AEMT,medium
20,Medical,Diabetes,Precipitating factors for DKA include:,Rest,Infection missed insulin illness stress,Exercise,Eating regularly,B,DKA triggers: infection illness missed insulin surgery trauma.,AEMT,medium
21,Medical,Neurological,Stroke is also called:,Heart attack,Cerebrovascular accident CVA,Seizure,Syncope,B,Stroke or CVA is disruption of blood supply to part of brain.,AEMT,medium
22,Medical,Neurological,Ischemic stroke is caused by:,Bleeding in brain,Blocked blood vessel in brain,Head trauma,Infection,B,Ischemic stroke from clot blocking cerebral artery; most common type.,AEMT,medium
23,Medical,Neurological,Hemorrhagic stroke is caused by:,Blood clot,Bleeding into brain tissue,Tumor,Infection,B,Hemorrhagic stroke from ruptured blood vessel bleeding into brain.,AEMT,medium
24,Medical,Neurological,TIA transient ischemic attack:,Causes permanent damage,Resolves within 24 hours without permanent damage,Is not serious,Requires no follow-up,B,TIA symptoms resolve within 24 hours; warning sign for future stroke.,AEMT,medium
25,Medical,Neurological,Sudden severe headache worst ever may indicate:,Tension headache,Hemorrhagic stroke or aneurysm,Migraine,Sinus headache,B,Thunderclap headache may indicate subarachnoid hemorrhage.,AEMT,medium
26,Medical,Neurological,Facial droop arm drift and speech abnormality are assessed by:,Glasgow Coma Scale,Cincinnati Stroke Scale,APGAR,Trauma score,B,Cincinnati Stroke Scale or FAST assesses for stroke.,AEMT,medium
27,Medical,Neurological,FAST stands for:,Face Arms Speech Time,First Aid Stroke Treatment,Fast Action Stroke Team,Face Arm Strength Test,A,FAST: Face drooping Arm weakness Speech difficulty Time to call 911.,AEMT,medium
28,Medical,Neurological,Treatment for stroke focuses on:,Lowering blood pressure rapidly,Maintaining oxygenation protecting airway rapid transport,Giving aspirin always,IV fluids,B,Stroke treatment: airway protection oxygenation rapid transport to stroke center.,AEMT,medium
29,Medical,Neurological,Blood glucose should be checked in stroke patients because:,All stroke patients are diabetic,Hypoglycemia can mimic stroke,It is required,Hyperglycemia worsens stroke,B,Check glucose; hypoglycemia can cause stroke-like symptoms and is treatable.,AEMT,medium
30,Medical,Neurological,Stroke patients should be transported to:,Closest hospital,Stroke center if available within appropriate time,Any hospital,Trauma center,B,Transport to stroke center for tPA evaluation and specialized care.,AEMT,medium
31,Medical,Seizures,A seizure results from:,Heart problems,Abnormal electrical discharge in brain,Respiratory failure,Drug overdose,B,Seizures are caused by abnormal excessive electrical activity in brain.,AEMT,medium
32,Medical,Seizures,Aura before seizure refers to:,Seizure activity,Warning sensation patient experiences,Post-seizure confusion,Absence seizure,B,Aura is sensory warning before seizure; patient may sense it coming.,AEMT,medium
33,Medical,Seizures,Tonic phase of seizure is:,Jerking movements,Muscle rigidity and stiffening,Relaxation,Postictal state,B,Tonic phase is sustained muscle contraction stiffening.,AEMT,medium
34,Medical,Seizures,Clonic phase of seizure is:,Sustained stiffness,Rhythmic jerking movements,Relaxation,Aura,B,Clonic phase is rhythmic jerking muscle contractions.,AEMT,medium
35,Medical,Seizures,Postictal state is:,Before seizure,Recovery period after seizure,During seizure,Normal state,B,Postictal is recovery period with confusion drowsiness headache.,AEMT,medium
36,Medical,Seizures,Absence seizures are characterized by:,Convulsions,Brief staring episodes,Postictal confusion,Falling,B,Absence seizures are brief staring spells without convulsions.,AEMT,medium
37,Medical,Seizures,Causes of seizures include:,Head injury only,Epilepsy head injury hypoglycemia fever drugs,Only epilepsy,Only fever,B,Many causes: epilepsy trauma hypoglycemia electrolytes drugs fever.,AEMT,medium
38,Medical,Seizures,During active seizure you should:,Restrain patient,Protect from injury time seizure do not restrain,Insert OPA,Give medications,B,Protect from injury move hazards time seizure do not restrain or insert objects.,AEMT,medium
39,Medical,Seizures,After seizure stops priority is:,Wake patient,Maintain airway and monitor breathing,Start IV immediately,Transport sitting up,B,Post-seizure: maintain airway provide O2 suction if needed monitor.,AEMT,medium
40,Medical,Seizures,Transport position for postictal patient:,Sitting upright,Recovery position if no spinal concerns,Supine,Trendelenburg,B,Recovery position allows drainage protects airway in postictal patient.,AEMT,medium
