emr_id,category,subcategory,question_type,statement,correct_answer,rationale
EMR-TF-501,Special Populations,Labor and Delivery,true_false,Crowning occurs when the baby's head is visible at the vaginal opening and does not retract between contractions.,TRUE,Crowning indicates delivery is imminent. The head remains visible even between contractions. Do not transport when crowning is present. Prepare for delivery on scene. Attempting transport with crowning baby risks delivery in the ambulance.
EMR-TF-502,Special Populations,Labor and Delivery,true_false,During delivery the head should be supported but not pulled as it emerges.,TRUE,Support the baby's head as it delivers but do not pull. Pulling can cause injury to the baby or mother. The baby will deliver with contractions. Gentle support and guidance is appropriate but let the natural process occur.
EMR-TF-503,Special Populations,Labor and Delivery,true_false,After the head delivers check for the umbilical cord wrapped around the neck.,TRUE,Nuchal cord occurs in about 25% of deliveries. After head delivers run fingers along the neck to check for cord. If present gently slip it over the head or clamp and cut if too tight. This prevents strangulation during delivery.
EMR-TF-504,Special Populations,Labor and Delivery,true_false,The baby's head typically delivers face down then rotates to the side for shoulder delivery.,TRUE,Normal vertex delivery has the head deliver face down occiput anterior then rotate externally to align with the shoulders. Support this rotation gently. The shoulders then deliver with gentle downward then upward guidance.
EMR-TF-505,Special Populations,Labor and Delivery,true_false,After delivery the baby should be dried stimulated and kept warm.,TRUE,Newborns lose heat rapidly. Immediately dry the baby thoroughly which also stimulates breathing. Replace wet blankets with dry ones. Keep the baby warm ideally skin-to-skin with the mother. Hypothermia is dangerous for newborns.
EMR-TF-506,Special Populations,Labor and Delivery,true_false,The umbilical cord should be clamped and cut within seconds of delivery.,FALSE,Delayed cord clamping for 1-3 minutes is now recommended for healthy newborns as it improves iron stores. In an emergency with a vigorous baby there is no urgency to cut the cord immediately. Clamp in two places and cut between.
EMR-TF-507,Special Populations,Labor and Delivery,true_false,A newborn's APGAR score is assessed at 1 minute and 5 minutes after birth.,TRUE,APGAR assesses Appearance color Pulse heart rate Grimace reflex irritability Activity muscle tone and Respirations at 1 and 5 minutes. Scores range from 0-10 with higher scores indicating better condition. Low scores indicate need for intervention.
EMR-TF-508,Special Populations,Labor and Delivery,true_false,Vigorous crying in a newborn indicates adequate respiratory effort.,TRUE,A crying newborn is breathing. Crying requires air movement and indicates the baby has transitioned to breathing air. Absence of crying or weak cry may indicate respiratory compromise requiring stimulation and possibly assisted ventilation.
EMR-TF-509,Special Populations,Labor and Delivery,true_false,Newborns who are not breathing or have heart rate below 60 need immediate CPR.,TRUE,Newborn resuscitation begins with warming drying and stimulation. If no response provide positive pressure ventilation. If heart rate remains below 60 despite effective ventilation begin chest compressions. Newborn CPR ratio is 3:1 compressions to breaths.
EMR-TF-510,Special Populations,Labor and Delivery,true_false,The placenta typically delivers within 30 minutes after the baby.,TRUE,The third stage of labor is placental delivery usually occurring 5-30 minutes after birth. Do not pull on the cord. Allow natural delivery. Save the placenta for hospital examination. Bleeding may occur if placenta is incomplete.
EMR-TF-511,Special Populations,Labor and Delivery,true_false,Postpartum hemorrhage is defined as blood loss greater than 500 mL after vaginal delivery.,TRUE,Some bleeding after delivery is normal but excessive bleeding more than 500 mL is postpartum hemorrhage. Causes include uterine atony retained placenta and lacerations. Uterine massage oxygen and rapid transport are indicated.
