emr_id,category,subcategory,question_type,question,option_a,option_b,option_c,option_d,correct_answer,rationale
EMR-SCEN-346,Assessment,Primary Assessment,scenario,You arrive to find a 60-year-old man on the floor. He is unresponsive and you hear gurgling respirations. What is your immediate priority?,Check blood pressure,Open the airway and suction to clear the gurgling sounds. Airway management is the first priority. Gurgling indicates fluid or secretions in the airway that must be cleared before adequate ventilation can occur,Start chest compressions,Obtain a history from family,B,Gurgling indicates airway obstruction from fluids. The airway must be opened and cleared before anything else. Use head-tilt chin-lift or jaw-thrust then suction to clear secretions. This is A in ABCDE.
EMR-SCEN-347,Assessment,Secondary Assessment,scenario,During secondary assessment of a trauma patient you find tenderness and guarding in the right upper quadrant of the abdomen. There is no visible injury. Based on anatomical location what organ might be injured?,Spleen,Liver. The liver occupies most of the right upper quadrant. RUQ tenderness and guarding after trauma suggests possible liver injury which can cause significant internal hemorrhage,Appendix,Left kidney,B,The liver is located in the RUQ. Tenderness and guarding there after trauma suggests hepatic injury. The liver is highly vascular and lacerations cause significant bleeding. Monitor for shock signs.
EMR-SCEN-348,Assessment,Vital Signs,scenario,A trauma patient has HR 126 RR 28 BP 88/62 and delayed capillary refill. He is anxious and pale. What do these vital signs indicate?,Normal response to stress,Signs of hypovolemic shock. Tachycardia tachypnea hypotension delayed capillary refill pallor and anxiety indicate inadequate perfusion from blood loss. This patient needs aggressive hemorrhage control and rapid transport,He needs pain medication,Vital signs are within normal limits,B,These findings indicate shock with inadequate tissue perfusion. The body is compensating with tachycardia and tachypnea but BP is dropping indicating decompensation. Find and control bleeding source and transport rapidly.
EMR-SCEN-349,Airway,Obstruction,scenario,A restaurant patron is clutching his throat and cannot speak cough or breathe. He is still conscious. What should you do?,Begin CPR,Perform abdominal thrusts Heimlich maneuver. The universal choking sign and inability to speak cough or breathe indicates complete airway obstruction. Continue thrusts until the object is expelled or he becomes unconscious,Give oxygen by mask,Tell him to cough forcefully,B,Complete airway obstruction requires immediate abdominal thrusts. Stand behind him place fist above navel and thrust upward. Continue until object dislodges or patient becomes unconscious then begin CPR with airway checks.
EMR-SCEN-350,Airway,Ventilation,scenario,You are ventilating an apneic patient with a BVM. You notice the abdomen is becoming distended and ventilations are becoming harder to deliver. What is happening and how do you fix it?,This is normal continue ventilating,Gastric insufflation. Air is entering the stomach. Reduce ventilation rate and volume. Give slow breaths over 1 second with only enough volume for visible chest rise. Reposition airway if chest is not rising,Give faster ventilations,Stop ventilating,B,Gastric distension from air entering stomach impairs ventilation and increases aspiration risk. Slow down give smaller breaths over 1 second and watch for chest rise not stomach rise. Reposition if needed.
EMR-SCEN-351,Breathing,Respiratory Distress,scenario,A patient with asthma history is sitting tripod using accessory muscles and can only speak in 2-word phrases. SpO2 is 88%. She has her inhaler but has already used it twice with minimal relief. What should you do?,Tell her to use her inhaler again,Give high-flow oxygen via non-rebreather. This is severe respiratory distress. She needs maximum oxygen support. Assist with additional inhaler per protocol but the priority is oxygenation. Prepare for assisted ventilation if she tires. Transport urgently,She just needs to relax and breathe slowly,Wait to see if the inhaler works,B,Severe asthma with accessory muscle use speaking difficulty and SpO2 of 88% is an emergency. High-flow oxygen is priority. Assist with bronchodilator if protocol allows. Be prepared for respiratory failure. Transport urgently.
EMR-SCEN-352,Circulation,CPR,scenario,You find an unresponsive adult who is not breathing and has no pulse. What is the correct compression to ventilation ratio for single-rescuer CPR?,15:2,30:2. For adult CPR the ratio is 30 compressions to 2 ventilations whether one or two rescuers. Compress at least 2 inches deep at 100-120 per minute allowing full recoil,15:1,30:1,B,Adult CPR uses 30:2 ratio for both single and two rescuers. Compress at least 2 inches at 100-120/minute with full recoil. Minimize interruptions. Apply AED as soon as available.
EMR-SCEN-353,Circulation,Bleeding,scenario,A patient has a deep laceration on the inner thigh with dark red blood flowing steadily. Direct pressure is not controlling the bleeding. What should you do next?,Continue direct pressure indefinitely,Apply a tourniquet high and tight on the thigh. This appears to be venous bleeding from a major vessel. If direct pressure fails on extremity bleeding apply a tourniquet 2-3 inches above the wound,Elevate the leg and wait,Apply pressure to a pressure point,B,When direct pressure fails to control extremity hemorrhage apply a tourniquet. Current guidelines recommend early tourniquet use for life-threatening bleeding. Apply high and tight and tighten until bleeding stops.
EMR-SCEN-354,Medical,Cardiac,scenario,A 55-year-old man has substernal chest pressure radiating to his jaw and left arm. He is diaphoretic and nauseated. BP is 142/88. He has prescribed nitroglycerin. What should you do?,Have him take 3 nitroglycerin at once,Give oxygen position of comfort and assist with one nitroglycerin checking BP first. This presentation is classic for MI. If BP above 100 one nitroglycerin is appropriate. Have him chew aspirin 160-325mg if not allergic. Prepare for cardiac arrest,Wait to see if pain resolves,Tell him it is probably indigestion,B,Classic MI presentation requires immediate action. Oxygen position of comfort aspirin if not contraindicated and assist with nitroglycerin if BP above 100. Be prepared for sudden cardiac arrest. Transport to cardiac-capable facility.
EMR-SCEN-355,Medical,Stroke,scenario,A 70-year-old woman has sudden right-sided weakness facial droop and slurred speech. Her husband says symptoms started 45 minutes ago. She is alert but confused. What is the priority?,Give her aspirin immediately,Recognize this as likely stroke and transport immediately to a stroke center. Document symptom onset time of 45 minutes ago as this affects treatment options. Keep her calm give oxygen and monitor for deterioration during transport,Lay her flat to increase brain blood flow,Wait to see if symptoms resolve,B,Sudden neurological deficits are stroke until proven otherwise. Time is critical because clot-dissolving treatments have narrow windows. Document onset time transport to stroke center and monitor closely. Do not give aspirin for possible stroke.
EMR-SCEN-356,Medical,Diabetic,scenario,A 35-year-old diabetic man is confused combative and diaphoretic. His wife says he took insulin but did not eat. Blood glucose is 38 mg/dL. He can follow simple commands but is uncooperative. What should you do?,Give him oral glucose since he can follow commands,If he can swallow safely attempt oral glucose with assistance from family. If he is too combative to safely give oral glucose do not force it as he may aspirate. Protect from injury and transport for IV glucose or glucagon,Restrain him and force feed glucose,Give him insulin since he is diabetic,B,Blood glucose of 38 with altered mental status is hypoglycemia. If he can swallow safely attempt oral glucose. If too combative protect from injury and transport for parenteral glucose. Never force anything by mouth if aspiration risk exists.
EMR-SCEN-357,Medical,Seizure,scenario,You arrive as a patient is having a generalized seizure. He is on the floor jerking rhythmically. Family says it started 2 minutes ago. What should you do during the seizure?,Hold him down to prevent injury,Protect him from injury by moving objects away but do not restrain. Do not put anything in his mouth. Time the seizure. Position on side when convulsions stop to protect airway. Most seizures stop within 2 minutes,Put a wallet in his mouth,Give him oxygen by mask during seizure,B,During seizure protect from injury without restraining. Do not put anything in mouth. Time duration. After seizure stops position on side clear airway suction if needed and provide oxygen. If seizure exceeds 5 minutes it is status epilepticus.
