id,category,subcategory,question,option_a,option_b,option_c,option_d,correct_answer,rationale
1,Trauma,Scene Assessment,You respond to a report of a person struck by a vehicle at an intersection. Upon arrival you see a 34-year-old male lying in the roadway approximately 20 feet from a stopped car with front-end damage. Traffic is still moving through the intersection. Bystanders are gathered around the patient. The driver of the vehicle is standing nearby appearing distraught. What is your first priority before approaching the patient?,Begin patient assessment immediately,Ensure scene safety by coordinating with law enforcement to stop traffic and identify any hazards before approaching,Check on the driver who appears upset,Interview bystanders about what happened,B,Scene safety is always the first priority in any emergency response. A patient in an active roadway with moving traffic creates danger for both the patient and rescuers. Coordinate with law enforcement or use your vehicle to block traffic before approaching. Once the scene is safe you can begin patient assessment. The driver can be evaluated after the primary patient is stabilized. Bystander interviews are important but secondary to scene safety and patient care.
2,Trauma,Scene Assessment,You arrive at a single-vehicle motorcycle crash on a rural highway. The 28-year-old male rider is found 30 feet from his motorcycle which struck a guardrail. He is unresponsive and not wearing a helmet. As you approach you notice fuel leaking from the motorcycle and smell gasoline. The motorcycle engine is still running. What action should you take?,Begin immediate spinal immobilization where the patient lies,Move the patient away from the potential fire hazard before beginning assessment then request fire department response,Leave the patient and wait for the fire department to arrive,Turn off the motorcycle engine then begin assessment in place,B,Leaking fuel with a running engine creates an immediate fire and explosion hazard. The patient must be moved to safety using an emergency move before detailed assessment. While spinal precautions are important they are secondary to removing someone from an immediately life-threatening environmental hazard. Request fire department response for hazmat and fire standby. Once in a safe location begin your trauma assessment with appropriate spinal precautions.
3,Trauma,Mechanism of Injury,A 45-year-old female was the restrained driver in a moderate-speed frontal collision. The airbag deployed. She is alert and oriented complaining only of mild chest soreness where the seatbelt crossed. She wants to refuse transport stating she feels fine. Vital signs are BP 128/78 HR 82 RR 16 SpO2 98% on room air. What findings would indicate potentially serious injury despite her stable presentation?,No findings suggest serious injury if she feels fine,Seatbelt sign bruising across chest or abdomen steering wheel deformity windshield damage or intrusion into passenger compartment would suggest significant mechanism requiring evaluation,Only unrestrained passengers need hospital evaluation,Airbag deployment means injuries are unlikely,B,The seatbelt sign is bruising across the chest or abdomen from the restraint and indicates significant force was applied. This can be associated with internal injuries including cardiac contusion pulmonary contusion and intra-abdominal injuries particularly hollow organ injury and lumbar spine fractures called Chance fractures. Steering wheel deformity suggests the driver struck it despite restraints. Intrusion into the compartment indicates high-energy crash. These findings warrant transport for evaluation even with normal vital signs as internal injuries may not be immediately apparent.
4,Trauma,Mechanism of Injury,You respond to a fall at a construction site. A 52-year-old male fell approximately 15 feet from scaffolding landing on concrete. He is awake and complaining of severe back pain and bilateral heel pain. He denies hitting his head and has no loss of consciousness. Vital signs are BP 138/86 HR 96 RR 18 SpO2 97% on room air. Based on the mechanism what injuries should you suspect?,Only the areas where he has pain need evaluation,Suspect spinal fracture particularly lumbar and calcaneal fractures. Falls from height with foot-first landing transmit force through the axial skeleton,Since he did not hit his head cervical spine injury is unlikely,The height was not significant enough to cause serious injury,B,Falls from greater than 10-15 feet or 3 times the patient's height are considered significant mechanisms. Landing feet-first transmits force through the calcaneus heels up through the axial skeleton often causing calcaneal fractures and lumbar compression fractures which is called Don Juan syndrome. The bilateral heel pain confirms calcaneal involvement. Even without head strike the force transmitted through the spine can cause injury. Full spinal immobilization is indicated and this patient needs imaging of his entire spine and bilateral feet.
5,Trauma,Primary Survey,A 22-year-old male was stabbed in the left chest during an altercation. He is sitting on the ground leaning forward struggling to breathe. He is pale and diaphoretic with obvious distress. The stab wound is at the 5th intercostal space in the midaxillary line and is approximately 2 inches long with blood bubbling from it. Vital signs are BP 92/68 HR 128 RR 32 labored SpO2 82% on room air. What type of chest injury is present and what is the immediate treatment?,Simple pneumothorax apply oxygen and transport,Open pneumothorax sucking chest wound. Immediately apply an occlusive dressing secured on three sides or use a vented chest seal,Hemothorax start two large bore IVs and give fluid bolus,Cardiac tamponade prepare for pericardiocentesis,B,An open pneumothorax occurs when a chest wound creates a direct communication between the atmosphere and pleural space. Air preferentially enters through the wound rather than the trachea because it follows the path of least resistance. The bubbling blood indicates air movement through the wound. Treatment is an occlusive dressing taped on three sides allowing air to escape during exhalation but sealing during inhalation or a commercial vented chest seal. If a completely occlusive dressing is used monitor for tension pneumothorax development which would require briefly lifting the dressing to release trapped air.
6,Trauma,Primary Survey,You are treating the stabbing victim with the open chest wound. You have applied a vented chest seal and provided high-flow oxygen. His SpO2 has improved to 91% but he is becoming more agitated and his BP has dropped to 78/54 with HR 138. His neck veins are becoming distended and trachea appears deviated to the right away from the wound on the left. Breath sounds are absent on the left. What has developed and what is your action at the AEMT level?,The chest seal is working and he just needs more oxygen,Tension pneumothorax has developed. Burp the chest seal by briefly lifting one edge to release trapped air. If no improvement request ALS for needle decompression,He is having an anxiety attack provide reassurance,Start an IV and give a 1000 mL fluid bolus for the hypotension,B,Tension pneumothorax occurs when air enters the pleural space but cannot escape creating a one-way valve effect. Pressure builds collapsing the lung and eventually shifting the mediastinum compressing the opposite lung and great vessels. Signs include severe respiratory distress absent breath sounds on affected side hypotension distended neck veins and late tracheal deviation away from affected side. At AEMT level first attempt to burp the chest seal by lifting one edge to release trapped air. If this fails or if needle decompression is in your protocols and you are trained perform it. Otherwise request ALS backup and provide supportive care during rapid transport.
7,Trauma,Primary Survey,A 67-year-old female fell down a flight of stairs at home. She is found at the bottom lying on her side moaning. She responds to voice but is confused. There is blood visible in her right ear canal and bruising behind both ears. She also has bruising around both eyes though she denies direct facial trauma. Vital signs are BP 158/94 HR 68 RR 16 SpO2 96% on room air. What do these physical findings indicate?,These are minor soft tissue injuries from the fall,Battle sign bruising behind ears and raccoon eyes periorbital bruising indicate basilar skull fracture. Blood from ear suggests CSF leak or tympanic membrane rupture,The bruising indicates she was assaulted before the fall,These findings are normal for an elderly patient who fell,B,Battle sign mastoid bruising and raccoon eyes periorbital ecchymosis are classic signs of basilar skull fracture. These findings may take hours to develop so their presence suggests significant injury. Blood or clear fluid CSF from the ears or nose can indicate skull base fracture with dural tear. The relatively low heart rate with elevated blood pressure could indicate early Cushing response to increased intracranial pressure. This patient needs cervical spine immobilization careful handling to prevent worsening of skull fracture and transport to a trauma center for CT imaging.
8,Trauma,Primary Survey,A 19-year-old male was assaulted and struck in the head multiple times with a baseball bat. He was initially unconscious but woke up and seemed okay then approximately 20 minutes later became progressively confused and is now unresponsive. His left pupil is 6mm and sluggishly reactive while his right is 3mm and briskly reactive. He has weakness on his right side. Vital signs are BP 168/98 HR 58 RR 12 irregular SpO2 94% on room air. What type of intracranial bleeding does this lucid interval suggest?,Subdural hematoma,Epidural hematoma which classically presents with loss of consciousness then a lucid interval followed by rapid deterioration as arterial bleeding expands,Subarachnoid hemorrhage,Concussion with delayed symptoms,B,Epidural hematoma typically results from temporal bone fracture tearing the middle meningeal artery. The classic presentation is initial loss of consciousness brief lucid interval where patient appears to recover then rapid deterioration as the arterial hematoma expands. The ipsilateral dilated pupil indicates uncal herniation with CN3 compression. Cushing triad hypertension bradycardia irregular respirations indicates severely elevated ICP. This is a time-critical neurosurgical emergency. At AEMT level provide airway management with cervical spine precautions high-flow oxygen and rapid transport to a trauma center with neurosurgical capability.
9,Trauma,Primary Survey,A 78-year-old male on warfarin for atrial fibrillation fell and hit his head on a coffee table 3 days ago. He initially felt fine but his wife brought him in today because he has become increasingly confused and sleepy over the past 2 days. He has a small laceration on his forehead that is healing. Vital signs are BP 148/82 HR 78 irregular RR 16 SpO2 97% on room air. He is oriented only to person with mild right-sided weakness. What type of intracranial bleeding is most likely given the timeline?,Epidural hematoma,Subdural hematoma which develops slowly over days to weeks especially in elderly patients on anticoagulation who may have only minor or unrecognized trauma,Subarachnoid hemorrhage,Intracerebral hemorrhage,B,Subdural hematoma results from tearing of bridging veins between the brain and dura. Unlike epidural hematoma which is arterial and progresses rapidly subdural bleeding is venous and can accumulate slowly over days to weeks. Elderly patients are at higher risk because brain atrophy stretches bridging veins making them vulnerable to injury from even minor trauma. Anticoagulation dramatically increases risk and severity. Symptoms develop gradually and may include headache confusion personality changes and focal deficits. This patient needs urgent CT imaging and likely anticoagulation reversal and possible surgical evacuation.
10,Trauma,Hemorrhage Control,A 35-year-old male was using a chainsaw when it kicked back and lacerated his left thigh. He has a 6-inch gaping wound on his anterior thigh with dark red blood flowing steadily. He is alert but anxious and his pants are soaked with blood. There is a large pool of blood on the ground. Vital signs are BP 102/74 HR 118 RR 22 SpO2 98% on room air. He is pale and diaphoretic. What is the most appropriate method to control this bleeding?,Apply direct pressure with bulky dressings and elevate the leg,Apply a tourniquet proximal to the wound as this is severe extremity hemorrhage with signs of shock,Apply a pressure point at the femoral artery in the groin,Pack the wound loosely with gauze and apply ice,B,This patient has severe hemorrhage from a major vessel with signs of compensated shock tachycardia diaphoresis pallor borderline hypotension. The large amount of blood loss and ongoing steady flow indicates direct pressure alone may be insufficient. For severe life-threatening extremity hemorrhage tourniquets are first-line treatment. Apply the tourniquet 2-3 inches proximal to the wound and tighten until bleeding stops. Note the time of application. A properly applied tourniquet is painful but necessary. Tourniquets can safely remain in place for 2 hours and longer if needed to save a life.
11,Trauma,Hemorrhage Control,You have applied a tourniquet to the chainsaw injury patient's left thigh. The bleeding has significantly decreased but has not completely stopped. The patient rates his pain at 8 out of 10 where the tourniquet is applied. His vital signs are now BP 96/68 HR 124 RR 24 SpO2 97%. What should you do?,Loosen the tourniquet because he is in pain,Apply a second tourniquet proximal to the first and tighten both until bleeding completely stops,Remove the tourniquet and try direct pressure instead,The tourniquet is adequate if most bleeding has stopped,B,If a tourniquet does not completely stop bleeding it needs to be tightened further or a second tourniquet should be applied proximal to the first. The goal is complete cessation of bleeding. Pain from tourniquet application is expected and does not indicate a problem with the technique rather it indicates the tourniquet is tight enough to be effective. Do not loosen or remove a tourniquet once applied. This patient's worsening vital signs indicate ongoing blood loss requiring more aggressive hemorrhage control. Document the time of both tourniquet applications.
12,Trauma,Hemorrhage Control,A 28-year-old female was involved in an industrial accident and has a deep laceration to her right groin and upper thigh junction at the inguinal crease. Bright red blood is pulsating from the wound. Direct pressure is difficult to maintain due to the location. A tourniquet cannot be applied effectively because the wound is too proximal. Vital signs are BP 88/58 HR 136 RR 28 SpO2 96% on room air. She is confused and pale. What is the best method to control this junctional hemorrhage?,Continue attempting direct pressure,Pack the wound with hemostatic gauze or plain gauze pushed deep into the wound and held with firm continuous pressure. Consider junctional tourniquet if available,Apply a tourniquet around the waist,There is nothing that can be done for junctional wounds,B,Junctional hemorrhage occurs in areas where tourniquets cannot be applied including the groin axilla and neck. For these wounds the best treatment is wound packing. Hemostatic gauze impregnated with agents like kaolin or chitosan is ideal but plain gauze can be used. The gauze must be packed deep into the wound directly against the bleeding vessel and held with firm continuous pressure for at least 3 minutes. Junctional tourniquets like the SAM Junctional Tourniquet are designed for groin and axillary hemorrhage if available. This is a critical life-threatening injury requiring aggressive treatment and rapid transport.
13,Trauma,Hemorrhage Control,A 42-year-old male was stabbed in the right side of his neck during a robbery. He has a 2-inch wound at the lateral neck with moderate bleeding and some air bubbling from the wound. He is holding his hand over the wound. He can speak but his voice is hoarse. Vital signs are BP 118/76 HR 108 RR 22 SpO2 94% on room air. What are the immediate concerns and management for this penetrating neck injury?,Apply a tourniquet to the neck to stop bleeding,Cover the wound with an occlusive dressing apply direct pressure and be prepared for airway compromise. Do not explore or remove any clots from the wound,Pack the wound tightly with gauze,This is a minor wound that just needs a bandage,B,Penetrating neck trauma can injure major vessels the airway and the esophagus. The air bubbling suggests tracheal injury. The hoarse voice indicates laryngeal involvement. Concerns include hemorrhage both external and internal airway compromise from swelling hematoma or direct injury and air embolism if a major vein is open. Apply an occlusive dressing to prevent air embolism and control bleeding with gentle direct pressure. Do not apply circumferential pressure that could compromise the airway. Do not explore the wound or remove clots which may be tamponading vessels. Prepare for possible airway deterioration requiring intervention.
14,Trauma,Shock Assessment,A 24-year-old male was shot once in the abdomen. He is lying on the ground with his knees drawn up complaining of severe abdominal pain. The entrance wound is just below the umbilicus and there is no visible exit wound. His abdomen is rigid and tender to light touch. Vital signs are BP 94/72 HR 126 RR 26 SpO2 97% on room air. Skin is pale cool and diaphoretic. Capillary refill is 4 seconds. Based on his vital signs and physical findings what class of hemorrhagic shock is he likely experiencing?,Class I with less than 15% blood loss,Class II with 15-30% blood loss,Class III with 30-40% blood loss showing hypotension tachycardia and altered perfusion,Class IV with greater than 40% blood loss,C,This patient shows signs of Class III hemorrhagic shock including tachycardia over 120 hypotension below 90 systolic delayed capillary refill over 3 seconds cool pale diaphoretic skin tachypnea and anxiety. Class III represents 30-40% blood volume loss approximately 1500-2000 mL in an adult. The rigid abdomen suggests significant intra-abdominal hemorrhage likely from solid organ or vascular injury. Class I and II patients typically maintain normal blood pressure through compensatory mechanisms. Class IV patients are obtunded with profound hypotension. This patient needs aggressive resuscitation and immediate surgical intervention.
15,Trauma,Shock Assessment,You are treating the gunshot wound patient. You have applied a sterile occlusive dressing to the wound and established two large-bore IVs. What is the current approach to fluid resuscitation in hemorrhagic shock from trauma?,Give 2 liters of crystalloid as rapidly as possible then reassess,Use permissive hypotension targeting SBP of 80-90 mmHg with small fluid boluses. Avoid large volume crystalloid resuscitation which can worsen coagulopathy,Withhold all fluids until the patient reaches the operating room,Give crystalloid until blood pressure normalizes to 120/80,B,Current trauma resuscitation emphasizes damage control resuscitation which includes permissive hypotension limited crystalloid and early blood products. Large volume crystalloid resuscitation dilutes clotting factors and causes hypothermia worsening the lethal triad of hypothermia acidosis and coagulopathy. For penetrating torso trauma target SBP of 80-90 mmHg which is enough to maintain some perfusion without disrupting forming clots. Give small boluses of 250-500 mL and reassess. The definitive treatment for this patient is surgical hemorrhage control not fluid resuscitation. Rapid transport to a trauma center is the priority.
16,Trauma,Shock Assessment,A 56-year-old female was the unrestrained passenger in a high-speed rollover crash. She was ejected from the vehicle. She is unresponsive with labored breathing. She has obvious deformity of her right femur and pelvis with her right leg shortened and externally rotated. There is blood at the urethral meatus. Vital signs are BP 72/50 HR 140 weak thready RR 28 SpO2 88% on room air. What is the likely source of her shock and what is a key intervention?,Femur fracture is causing her shock. Apply a traction splint,Pelvic fracture with retroperitoneal hemorrhage is the likely source. Apply a pelvic binder and avoid traction splint until pelvis is stabilized. Blood at meatus indicates urethral injury,Head injury is causing neurogenic shock. Elevate her legs,She is in cardiogenic shock from cardiac contusion,B,Unstable pelvic fractures can cause massive retroperitoneal hemorrhage sometimes exceeding 3-4 liters because the retroperitoneal space can accommodate large volumes without tamponade. Signs include pelvic instability leg length discrepancy rotational deformity and hemodynamic instability. Blood at the urethral meatus indicates urethral injury which is common with pelvic fractures and contraindicates urinary catheter placement. Apply a pelvic binder or sheet wrapped tightly around the greater trochanters to reduce pelvic volume and provide some tamponade. Do not apply traction splint to the femur until the pelvis is stabilized as it may worsen pelvic hemorrhage.
17,Trauma,Chest Trauma,A 31-year-old male driver was in a frontal collision with significant steering wheel deformity. He is complaining of chest pain and shortness of breath. On exam you notice paradoxical movement of a segment of his right chest wall which moves inward during inspiration and outward during expiration. He has crepitus over several ribs on the right. Vital signs are BP 108/72 HR 112 RR 28 shallow SpO2 89% on room air. What injury is present and what is the underlying cause of his respiratory distress?,Simple rib fractures requiring pain medication only,Flail chest where three or more adjacent ribs are fractured in two places creating a free-floating segment. Respiratory distress is primarily from underlying pulmonary contusion not the mechanical flail,Tension pneumothorax requiring needle decompression,Cardiac tamponade requiring pericardiocentesis,B,Flail chest occurs when three or more adjacent ribs are fractured in two or more places creating a segment that moves paradoxically with respiration. While the paradoxical movement is visible the main cause of respiratory compromise is the underlying pulmonary contusion which affects gas exchange. The force required to create flail chest almost always causes significant pulmonary contusion. Treatment focuses on oxygenation pain control to allow adequate ventilation and positive pressure ventilation if needed which internally splints the flail segment. Position the patient with the injured side down if possible to optimize ventilation of the uninjured lung.
18,Trauma,Chest Trauma,You are treating the flail chest patient. Despite high-flow oxygen via non-rebreather his SpO2 remains 88% and he is becoming more fatigued and confused. His respiratory rate has slowed to 14 and breaths are becoming more shallow. BP is now 98/68 HR 124. He is too exhausted to speak in full sentences. What intervention is needed at this point?,Continue high-flow oxygen and transport. He will improve with rest,Begin positive pressure ventilation with BVM and prepare for possible advanced airway. He is in respiratory failure,Needle decompression is needed for tension pneumothorax,Give IV fluids for his hypotension,B,This patient is developing respiratory failure from the combination of flail chest and pulmonary contusion. The decreasing respiratory rate with worsening mental status and oxygen saturation indicates he can no longer maintain adequate ventilation. Assist ventilations with a BVM which will also provide internal splinting of the flail segment. Be prepared for advanced airway placement if BVM ventilation is inadequate. At AEMT level supraglottic airways like the King LT or i-gel are options if you cannot adequately ventilate with BVM. The hypotension is likely from hypoxia and will improve with adequate oxygenation.
