id,category,subcategory,question,option_a,option_b,option_c,option_d,correct_answer,rationale
1,Neurology,Stroke Assessment,You respond to a 68-year-old male who was eating breakfast when his wife noticed his face looked droopy on one side. He tried to speak but his words were slurred and he could not lift his right arm. His wife called 911 immediately and states symptoms began exactly 45 minutes ago. He has a history of hypertension atrial fibrillation and type 2 diabetes. His medications include metoprolol warfarin metformin and lisinopril. Vital signs are BP 178/96 HR 88 irregular RR 16 SpO2 97% on room air. On exam he has right facial droop with forehead sparing right arm weakness with drift and dysarthria. What is the significance of the forehead sparing in his facial droop?,Forehead sparing indicates the facial weakness is from a peripheral nerve injury like Bell palsy,Forehead sparing indicates an upper motor neuron lesion consistent with stroke because the forehead receives bilateral cortical innervation,Forehead sparing means this is not a stroke,The forehead is always spared in facial weakness,B,The forehead muscles receive innervation from both cerebral hemispheres so a stroke affecting one hemisphere will spare forehead movement because the other hemisphere can still innervate those muscles. In contrast peripheral facial nerve palsy like Bell palsy affects the entire half of the face including forehead because all fibers to that side travel through the damaged nerve. This patient's presentation with forehead-sparing facial droop arm weakness and dysarthria is classic for acute stroke. The atrial fibrillation is a major risk factor for cardioembolic stroke.
2,Neurology,Stroke Assessment,Continuing with the previous patient you perform a stroke assessment using the Cincinnati Prehospital Stroke Scale. What are the three components of this scale and what is the significance of an abnormal finding?,Arm drift speech and pupil response. One abnormality suggests possible stroke,Facial droop arm drift and speech. One abnormality has 72% probability of stroke and all three abnormal has greater than 85% probability,Blood pressure heart rate and oxygen saturation,Pupil response grip strength and verbal response,B,The Cincinnati Prehospital Stroke Scale assesses three components: facial droop by asking patient to smile arm drift by having patient hold arms out with eyes closed and speech by having patient repeat a sentence. If any one component is abnormal there is a 72% probability of stroke. If all three are abnormal probability exceeds 85%. This simple rapid assessment helps identify stroke patients who may benefit from time-sensitive interventions like thrombolytics. This patient has all three components abnormal making stroke highly likely.
3,Neurology,Stroke Assessment,You are transporting the stroke patient to a comprehensive stroke center 25 minutes away. Medical control asks for the NIHSS score but you have not been trained in this assessment. They instead ask for the LAMS score. The patient has facial droop cannot hold his right arm up at all and cannot grip with his right hand. He has no leg weakness. What is the LAMS score and what does it indicate?,LAMS 0 indicating minor stroke,LAMS 4 indicating likely large vessel occlusion requiring thrombectomy evaluation,LAMS 10 indicating massive stroke,LAMS cannot be calculated without CT scan,B,The Los Angeles Motor Scale LAMS is a prehospital tool to identify large vessel occlusion LVO strokes that may benefit from mechanical thrombectomy. It scores facial droop 0-1 arm drift 0-2 and grip strength 0-2 for a total of 0-5. A score of 4 or greater suggests high probability of LVO. This patient scores 1 for facial droop 2 for arm falls immediately and 1 for weak grip for a total LAMS of 4 suggesting possible LVO. This information helps determine destination hospital as LVO strokes need comprehensive stroke centers capable of thrombectomy.
4,Neurology,Stroke Assessment,A 72-year-old female presents with sudden onset of difficulty speaking. Her husband states she was talking normally then suddenly began making sounds that do not make sense. She appears frustrated when trying to communicate. She can follow simple commands and has no facial droop or arm weakness. Vital signs are BP 168/94 HR 78 RR 16 SpO2 98% on room air. What type of aphasia is this patient demonstrating and what area of the brain is likely affected?,Receptive aphasia from damage to Wernicke area in the temporal lobe,Expressive aphasia from damage to Broca area in the frontal lobe. She understands but cannot produce meaningful speech,Global aphasia from damage to both language areas,Dysarthria from cerebellar damage,B,Expressive or Broca aphasia occurs when the patient understands language and knows what they want to say but cannot produce meaningful speech. Words may be garbled nonsensical or absent. Patients are often frustrated because they know they are not communicating properly. Broca area is located in the posterior inferior frontal lobe usually in the left hemisphere. In contrast receptive or Wernicke aphasia involves inability to understand language with fluent but meaningless speech production. This patient can follow commands indicating intact comprehension but cannot speak properly indicating expressive aphasia.
5,Neurology,Stroke Assessment,A 65-year-old male is found by his daughter who states she spoke to him on the phone 6 hours ago and he was fine. She found him on the floor unable to move his left side. He is awake but confused about what happened. She does not know exactly when symptoms began. Vital signs are BP 188/102 HR 82 RR 18 SpO2 96% on room air. He has left facial droop left arm and leg weakness with neglect of his left side. For time-sensitive stroke treatments what is the significance of the unknown time of onset?,Unknown time of onset does not affect treatment decisions,The last known well time is 6 hours ago which may exclude him from IV tPA but advanced imaging at the hospital may identify patients who can still benefit from thrombectomy,He cannot receive any stroke treatment because onset time is unknown,Assume onset was just before he was found and he is eligible for all treatments,B,For IV thrombolytics tPA the traditional window is 3 to 4.5 hours from symptom onset. When onset is unknown the last known well time is used which is 6 hours in this case placing him outside the tPA window. However mechanical thrombectomy can be performed up to 24 hours in select patients based on advanced imaging showing salvageable brain tissue. CT perfusion or MRI can identify mismatch between infarcted core and at-risk penumbra. This patient should still be transported emergently to a stroke center for imaging evaluation as he may benefit from thrombectomy despite the unknown onset time.
6,Neurology,Stroke Management,You are transporting a 58-year-old female with acute stroke symptoms that began 90 minutes ago. She has right-sided weakness and aphasia. Her blood pressure is 204/118. Medical control asks about blood pressure management. What are the blood pressure parameters for potential tPA candidates and what is the danger of aggressive blood pressure reduction in acute stroke?,Blood pressure should be lowered to normal 120/80 immediately,For tPA eligibility BP must be below 185/110. However aggressive BP reduction can worsen stroke by decreasing perfusion to ischemic penumbra,Blood pressure does not matter for stroke treatment,Higher blood pressure is always better in stroke,B,Blood pressure management in acute stroke is nuanced. For patients who may receive tPA blood pressure must be below 185/110 before administration and below 180/105 after. However aggressive blood pressure lowering is dangerous because elevated BP may be a compensatory mechanism to maintain perfusion to the ischemic penumbra. Dropping BP too quickly can extend the infarct. For patients not receiving tPA permissive hypertension up to 220/120 is generally allowed unless there is another indication for treatment like aortic dissection or hypertensive emergency with other end-organ damage.
7,Neurology,Stroke Management,A 70-year-old male had sudden onset of left-sided weakness and facial droop 2 hours ago. At the emergency department CT scan shows no hemorrhage. He is given IV tPA. During transport to the ICU he develops severe headache becomes less responsive and his right pupil becomes dilated and nonreactive. Blood pressure increases to 210/120 and heart rate drops to 52. What complication has likely occurred?,The tPA is working and the stroke is resolving,He has developed hemorrhagic transformation with intracerebral hemorrhage and possible herniation. The tPA should be stopped immediately and reversal agents considered,He is having a seizure,He is experiencing a migraine headache,B,Hemorrhagic transformation is the most feared complication of tPA occurring in approximately 6% of patients with symptomatic hemorrhage in about 2-3%. Signs include sudden neurological deterioration severe headache vomiting and signs of increased intracranial pressure. The dilated nonreactive pupil with Cushing triad of hypertension bradycardia and irregular respirations suggests uncal herniation from mass effect. Management includes stopping tPA immediately administering cryoprecipitate and tranexamic acid to reverse fibrinolysis emergent CT scan and neurosurgical consultation for possible hematoma evacuation.
8,Neurology,Stroke Types,A 55-year-old female presents with the worst headache of her life that began suddenly 3 hours ago while exercising. She describes it as a thunderclap headache that reached maximum intensity within seconds. She has vomited twice and has a stiff neck. She has no focal weakness. Vital signs are BP 168/98 HR 92 RR 18 SpO2 98% on room air. She is photophobic and has pain with neck flexion. What type of stroke is most likely and what is the underlying cause?,Ischemic stroke from carotid artery stenosis,Subarachnoid hemorrhage most commonly from ruptured cerebral aneurysm,Hemorrhagic stroke from hypertension,Transient ischemic attack,B,Subarachnoid hemorrhage SAH presents with sudden severe thunderclap headache often described as the worst headache of my life. The headache reaches maximum intensity within seconds unlike migraines which build over minutes to hours. Associated symptoms include nausea vomiting photophobia and meningismus neck stiffness due to blood irritating the meninges. The most common cause is rupture of a cerebral aneurysm. SAH can occur without focal deficits initially. Diagnosis is by CT scan which is 95% sensitive in first 24 hours followed by lumbar puncture if CT is negative. Rebleeding is a major concern with high mortality.
9,Neurology,Stroke Types,A 78-year-old male with a history of poorly controlled hypertension presents with sudden onset of severe headache left-sided weakness and decreasing level of consciousness over the past hour. His daughter states he was fine this morning then complained of headache and progressively became weaker and more confused. Vital signs are BP 228/134 HR 68 RR 14 SpO2 95% on room air. Left pupil is 6mm and sluggishly reactive. Right pupil is 3mm and reactive. He has dense left hemiplegia. What type of stroke is most likely and why is blood pressure management different than for ischemic stroke?,Ischemic stroke. Allow permissive hypertension to 220/120,Intracerebral hemorrhage from hypertension. Blood pressure should be reduced more aggressively to SBP less than 140 to reduce hematoma expansion,Subarachnoid hemorrhage. Blood pressure does not require treatment,Transient ischemic attack that is resolving,B,Intracerebral hemorrhage ICH presents with sudden focal neurological deficits progressive deterioration headache and signs of increased ICP. Hypertension is the most common cause with bleeding typically in the basal ganglia thalamus pons or cerebellum. The anisocoric pupils and declining consciousness suggest mass effect and possible early herniation. Unlike ischemic stroke where permissive hypertension preserves penumbral blood flow in ICH elevated BP promotes hematoma expansion. Current guidelines recommend SBP reduction to less than 140 mmHg for ICH patients presenting with SBP 150-220 using IV antihypertensives like nicardipine or labetalol.
10,Neurology,Stroke Types,A 62-year-old male presents with sudden onset of vertigo nausea vomiting difficulty walking and slurred speech. He has no headache or weakness. On exam he has horizontal nystagmus that is worse when looking to the left ataxic gait with falling to the left and dysarthria. Finger to nose testing shows dysmetria on the left. Vital signs are stable. He has a history of hypertension and diabetes. What area of the brain is likely affected and why is this presentation concerning?,This is benign positional vertigo and is not a stroke,This suggests a cerebellar stroke which is concerning because the posterior fossa is a confined space and cerebellar edema can cause brainstem compression and hydrocephalus,This is labyrinthitis and not a stroke,This is a migraine with aura,B,Cerebellar strokes present with vertigo ataxia nystagmus dysarthria and dysmetria without the hemiparesis seen in hemispheric strokes. The HINTS exam can help differentiate central from peripheral vertigo. Cerebellar strokes are particularly dangerous because the posterior fossa is a closed space. Cerebellar edema can compress the brainstem causing coma and death or obstruct CSF flow causing hydrocephalus. Patients can deteriorate rapidly and may require emergent suboccipital craniectomy. Any patient with acute vertigo and neurological findings should be evaluated for posterior circulation stroke.
