id,category,subcategory,question,option_a,option_b,option_c,option_d,correct_answer,rationale,certification,difficulty
1,Trauma,Hemorrhage Advanced,Lethal triad of trauma:,Pain shock hemorrhage,Hypothermia acidosis coagulopathy,Hypoxia hypotension hypercarbia,Tachycardia hypotension altered mental status,B,Lethal triad: hypothermia acidosis coagulopathy; each worsens the others.,Paramedic,medium
2,Trauma,Hemorrhage Advanced,Damage control resuscitation includes:,Aggressive crystalloid,Permissive hypotension limited crystalloid early blood products,Rapid fluid infusion,Delayed blood products,B,DCR: permissive hypotension limit crystalloid 1:1:1 blood products TXA.,Paramedic,medium
3,Trauma,Hemorrhage Advanced,Massive transfusion protocol activation criteria:,Any trauma,Hemorrhagic shock requiring greater than 10 units PRBC in 24 hours,Minor bleeding,Stable vital signs,B,MTP: anticipated need for greater than 10 units PRBC or ongoing major hemorrhage.,Paramedic,medium
4,Trauma,Hemorrhage Advanced,Whole blood resuscitation advantage:,Cheaper,Contains all components platelets clotting factors RBCs,More available,Longer shelf life,B,Whole blood: all components balanced; closer to what patient is losing.,Paramedic,medium
5,Trauma,Hemorrhage Advanced,TXA contraindications:,Active hemorrhage,Greater than 3 hours from injury known thrombotic disease,Coagulopathy,Pregnancy,B,TXA: avoid if greater than 3 hours may increase mortality; contraindicated active thrombosis.,Paramedic,medium
6,Trauma,Hemorrhage Advanced,REBOA stands for:,Resuscitative Endovascular Balloon Occlusion of Aorta,Rapid Emergency Blood Occlusion Algorithm,Resuscitative External Balloon Occlusion,None of above,A,REBOA: balloon catheter occludes aorta controls hemorrhage below; bridge to surgery.,Paramedic,medium
7,Trauma,Hemorrhage Advanced,Zone 1 REBOA placement:,Descending thoracic aorta,Between left subclavian and celiac trunk,Between renal and iliac,Ascending aorta,B,Zone 1: descending thoracic to celiac; for abdominal hemorrhage.,Paramedic,medium
8,Trauma,Hemorrhage Advanced,Zone 3 REBOA placement:,Descending thoracic,Infrarenal abdominal aorta,Above diaphragm,Ascending aorta,B,Zone 3: infrarenal to iliac; for pelvic hemorrhage.,Paramedic,medium
9,Trauma,Head Advanced,Cerebral perfusion pressure equals:,MAP minus ICP,Systolic BP minus ICP,Diastolic BP plus ICP,Heart rate times stroke volume,A,CPP = MAP - ICP; maintain CPP greater than 60-70 mmHg.,Paramedic,medium
10,Trauma,Head Advanced,Target CPP in severe TBI:,30-40 mmHg,60-70 mmHg,100-110 mmHg,20 mmHg,B,Target CPP 60-70 mmHg; too low causes ischemia too high may worsen edema.,Paramedic,medium
