id,category,subcategory,question,option_a,option_b,option_c,option_d,correct_answer,rationale,certification,difficulty
1,Trauma,Head,A 25-year-old male has GCS 7 after MVC. He has a dilated right pupil and left-sided posturing. BP 170/100 HR 55 RR irregular. This represents:,Diffuse axonal injury,Right-sided uncal herniation with Cushing response,Spinal shock,Diabetic emergency,B,Cushing triad with unilateral blown pupil and contralateral posturing indicates uncal herniation.,Paramedic,medium
2,Trauma,Head,Management priority for the patient above includes:,Hyperventilation to EtCO2 20,Elevate head RSI with neuroprotective agents brief hyperventilation if herniating,Lay flat give fluids,Immediate craniotomy in field,B,Herniation: elevate head RSI avoid hypoxia hypotension brief hyperventilation to EtCO2 30-35.,Paramedic,medium
3,Trauma,Head,Target parameters for severe TBI include:,SpO2 greater than 90 SBP greater than 90,SpO2 greater than 94 SBP greater than 90-100 EtCO2 35-40,Any BP any SpO2,SpO2 100 SBP 80,B,Severe TBI goals: SpO2 greater than 94 SBP greater than 90-100 normocapnia EtCO2 35-40.,Paramedic,medium
4,Trauma,Head,A patient with head injury has clear fluid draining from nose. You should:,Pack the nose,Allow drainage do not pack suspect basilar skull fracture,Suction aggressively,Insert NPA,B,CSF rhinorrhea indicates basilar skull fracture. Do not pack. Fracture contraindicates NPA.,Paramedic,medium
5,Trauma,Head,A patient with moderate head injury GCS 11 becomes combative and is pulling at oxygen mask. Best management:,Physical restraints only,Sedation to allow treatment and prevent secondary injury,Withhold oxygen,Let patient refuse,B,Combative head injury patient: sedation prevents agitation-related ICP spikes and secondary injury.,Paramedic,medium
6,Trauma,Head,Mannitol is indicated in head injury for:,All head injuries,Signs of herniation unresponsive to other measures,Prophylaxis,Minor head injury,B,Mannitol 0.5-1g/kg for herniation signs. Not for prophylaxis. Hypertonic saline is alternative.,Paramedic,medium
7,Trauma,Head,A pediatric patient fell from playground equipment and had brief LOC. Now GCS 15 with no focal deficits but has large scalp hematoma. Management:,Immediate transport no treatment,Observe for deterioration delayed hemorrhage possible,Discharge to parents,CT scan in field,B,Children can have delayed deterioration from intracranial hemorrhage. Monitor closely transport for evaluation.,Paramedic,medium
8,Trauma,Head,An elderly patient on warfarin fell and hit head. Initially GCS 15 now becoming confused. Suspect:,Stroke,Delayed subdural hematoma expanding due to anticoagulation,Normal aging,Infection,B,Anticoagulated elderly: high risk for delayed subdural expansion. Needs reversal and urgent imaging.,Paramedic,medium
9,Trauma,Head,Epidural hematoma classic presentation:,Gradual onset confusion,LOC lucid interval then rapid deterioration,Immediate coma,No LOC ever,B,Epidural: arterial bleed with classic lucid interval then rapid decompensation from expanding hematoma.,Paramedic,medium
10,Trauma,Head,A motorcycle crash victim has deformity to the right temporal area. GCS dropped from 14 to 8 over 10 minutes. Most likely injury:,Concussion,Epidural hematoma,Subdural hematoma,Diffuse axonal injury,B,Rapid deterioration with temporal trauma suggests epidural from middle meningeal artery injury.,Paramedic,medium
11,Trauma,Spine,A patient has complete loss of motor and sensory function below T6 after a fall. This suggests:,Incomplete spinal cord injury,Complete spinal cord injury at T6 level,Spinal shock only,Neurogenic shock only,B,Loss of all function below a level indicates complete cord injury. Prognosis for recovery is poor.,Paramedic,medium
12,Trauma,Spine,Same patient has BP 70/40 and HR 50 with warm dry skin. This is:,Hypovolemic shock,Neurogenic shock,Cardiogenic shock,Septic shock,B,Hypotension bradycardia warm skin with spinal injury is neurogenic shock from sympathetic disruption.,Paramedic,medium
13,Trauma,Spine,A patient has loss of motor function and pain/temp sensation but preserved proprioception and vibration. This is:,Central cord syndrome,Anterior cord syndrome,Brown-Sequard syndrome,Complete cord injury,B,Anterior cord: motor and pain/temp lost but posterior columns proprioception vibration preserved.,Paramedic,medium
14,Trauma,Spine,A patient has weakness greater in arms than legs after hyperextension injury. This is:,Anterior cord syndrome,Central cord syndrome,Brown-Sequard syndrome,Complete transection,B,Central cord: upper extremity weakness greater than lower typically from hyperextension.,Paramedic,medium
