id,category,subcategory,question,option_a,option_b,option_c,option_d,correct_answer,rationale,certification,difficulty
1,Cardiovascular,Anatomy,The heart has how many chambers:,2,3,4,5,C,The heart has 4 chambers: 2 atria and 2 ventricles.,AEMT,medium
2,Cardiovascular,Anatomy,The right atrium receives blood from the:,Pulmonary veins,Superior and inferior vena cava,Aorta,Pulmonary artery,B,Deoxygenated blood returns to right atrium via superior and inferior vena cava.,AEMT,medium
3,Cardiovascular,Anatomy,The left atrium receives blood from the:,Vena cava,Pulmonary veins,Coronary sinus,Aorta,B,Oxygenated blood returns from lungs to left atrium via pulmonary veins.,AEMT,medium
4,Cardiovascular,Anatomy,The tricuspid valve is located between the:,Left atrium and left ventricle,Right atrium and right ventricle,Right ventricle and pulmonary artery,Left ventricle and aorta,B,Tricuspid valve separates right atrium from right ventricle.,AEMT,medium
5,Cardiovascular,Anatomy,The mitral valve is located between the:,Right atrium and right ventricle,Left atrium and left ventricle,Left ventricle and aorta,Right ventricle and pulmonary artery,B,Mitral bicuspid valve separates left atrium from left ventricle.,AEMT,medium
6,Cardiovascular,Anatomy,The aortic valve is located between the:,Left atrium and left ventricle,Left ventricle and aorta,Right ventricle and pulmonary artery,Right atrium and right ventricle,B,Aortic valve prevents backflow from aorta into left ventricle.,AEMT,medium
7,Cardiovascular,Anatomy,The primary pacemaker of the heart is the:,AV node,SA node,Bundle of His,Purkinje fibers,B,SA node is the primary pacemaker setting heart rate at 60-100 bpm.,AEMT,medium
8,Cardiovascular,Anatomy,The SA node is located in the:,Left atrium,Right atrium,Left ventricle,Right ventricle,B,SA node is in the upper right atrium near the SVC junction.,AEMT,medium
9,Cardiovascular,Anatomy,The coronary arteries supply blood to the:,Lungs,Heart muscle itself,Brain,Kidneys,B,Coronary arteries supply oxygenated blood to the myocardium.,AEMT,medium
10,Cardiovascular,Anatomy,Coronary artery perfusion occurs primarily during:,Systole,Diastole,Both equally,Neither,B,Coronary perfusion occurs mainly during diastole when ventricles relax.,AEMT,medium
11,Cardiovascular,Physiology,Cardiac output equals:,Heart rate times blood pressure,Heart rate times stroke volume,Stroke volume times blood pressure,Blood pressure divided by heart rate,B,Cardiac output = HR x SV measured in liters per minute.,AEMT,medium
12,Cardiovascular,Physiology,Normal adult cardiac output is approximately:,2-3 liters per minute,5-6 liters per minute,10-12 liters per minute,15-20 liters per minute,B,Normal resting cardiac output is approximately 5-6 L/min.,AEMT,medium
13,Cardiovascular,Physiology,Stroke volume is the amount of blood:,In the heart at rest,Pumped per beat,Pumped per minute,In the vena cava,B,Stroke volume is blood ejected from the ventricle with each contraction.,AEMT,medium
14,Cardiovascular,Physiology,Blood pressure is determined by:,Heart rate only,Cardiac output and peripheral vascular resistance,Stroke volume only,Respiratory rate,B,BP = CO x PVR; both cardiac output and vessel resistance affect pressure.,AEMT,medium
15,Cardiovascular,Physiology,Systolic blood pressure represents:,Pressure during ventricular relaxation,Pressure during ventricular contraction,Average pressure,Venous pressure,B,Systolic pressure is the peak pressure during ventricular contraction.,AEMT,medium
16,Cardiovascular,Physiology,Diastolic blood pressure represents:,Pressure during ventricular contraction,Pressure during ventricular relaxation,Peak pressure,Pulse pressure,B,Diastolic is the lowest pressure during ventricular relaxation.,AEMT,medium
17,Cardiovascular,Physiology,Normal adult blood pressure is approximately:,90/60 mmHg,120/80 mmHg,160/100 mmHg,80/50 mmHg,B,Normal adult BP is approximately 120/80 mmHg.,AEMT,medium
18,Cardiovascular,Physiology,Hypotension in adults is generally defined as systolic BP less than:,100 mmHg,90 mmHg,80 mmHg,70 mmHg,B,Hypotension is generally SBP less than 90 mmHg.,AEMT,medium
19,Cardiovascular,Physiology,The pulse is created by:,Blood flowing through veins,Ventricular contraction creating pressure waves,Atrial contraction,Valve closure,B,Pulse is the pressure wave from ventricular contraction felt in arteries.,AEMT,medium
20,Cardiovascular,Physiology,Normal adult heart rate is:,40-60 bpm,60-100 bpm,100-150 bpm,150-200 bpm,B,Normal adult resting heart rate is 60-100 beats per minute.,AEMT,medium
21,Cardiovascular,Assessment,The carotid pulse is assessed in:,All patients,Unresponsive patients,Children only,Never,B,Carotid pulse checked in unresponsive patients; radial in responsive.,AEMT,medium
22,Cardiovascular,Assessment,A weak thready pulse indicates:,Good perfusion,Poor perfusion or low blood volume,High blood pressure,Normal finding,B,Weak thready pulse suggests decreased cardiac output or hypovolemia.,AEMT,medium
23,Cardiovascular,Assessment,Capillary refill time in adults should be less than:,1 second,2 seconds,4 seconds,6 seconds,B,Normal capillary refill is less than 2 seconds.,AEMT,medium
24,Cardiovascular,Assessment,Delayed capillary refill may indicate:,Good perfusion,Poor peripheral perfusion,Fever,Anxiety,B,Delayed cap refill suggests poor perfusion from shock or cold exposure.,AEMT,medium
25,Cardiovascular,Assessment,Jugular venous distension JVD may indicate:,Dehydration,Right heart failure or cardiac tamponade,Left heart failure only,Hypotension,B,JVD suggests increased right heart pressure from CHF tamponade or tension pneumo.,AEMT,medium
26,Cardiovascular,Assessment,Peripheral edema in cardiac patients usually indicates:,Left heart failure,Right heart failure,Pulmonary edema,Hypertension,B,Peripheral edema results from right heart failure causing venous congestion.,AEMT,medium
27,Cardiovascular,Assessment,Orthopnea is defined as:,Chest pain,Difficulty breathing when lying flat,Rapid breathing,Slow breathing,B,Orthopnea is dyspnea when supine relieved by sitting up; seen in CHF.,AEMT,medium
28,Cardiovascular,Assessment,Paroxysmal nocturnal dyspnea is:,Daytime shortness of breath,Sudden awakening with severe dyspnea,Chronic cough,Chest pain at night,B,PND is sudden nighttime dyspnea from fluid redistribution in CHF.,AEMT,medium
29,Cardiovascular,Assessment,Signs of poor perfusion include:,Warm dry skin,Cool pale clammy skin and altered mental status,Flushed skin,Increased urine output,B,Poor perfusion causes cool pale diaphoretic skin altered mentation decreased urine.,AEMT,medium
30,Cardiovascular,Assessment,Pulsus paradoxus is:,Absent pulse,Decrease in BP greater than 10 mmHg during inspiration,Irregular pulse,Bounding pulse,B,Pulsus paradoxus is exaggerated BP drop with inspiration seen in tamponade.,AEMT,medium
31,Cardiovascular,ECG Basics,The P wave represents:,Ventricular depolarization,Atrial depolarization,Ventricular repolarization,Atrial repolarization,B,P wave represents electrical depolarization of both atria.,AEMT,medium
32,Cardiovascular,ECG Basics,The QRS complex represents:,Atrial depolarization,Ventricular depolarization,Atrial repolarization,Ventricular repolarization,B,QRS represents electrical depolarization of the ventricles.,AEMT,medium
33,Cardiovascular,ECG Basics,The T wave represents:,Atrial depolarization,Ventricular repolarization,Atrial repolarization,Ventricular depolarization,B,T wave represents ventricular repolarization or recovery.,AEMT,medium
34,Cardiovascular,ECG Basics,Normal sinus rhythm has a rate of:,40-60 bpm,60-100 bpm,100-150 bpm,20-40 bpm,B,Normal sinus rhythm has rate 60-100 with regular rhythm and upright P waves.,AEMT,medium
35,Cardiovascular,ECG Basics,Sinus bradycardia is a heart rate less than:,100 bpm,60 bpm,50 bpm,40 bpm,B,Sinus bradycardia is sinus rhythm with rate less than 60 bpm.,AEMT,medium
36,Cardiovascular,ECG Basics,Sinus tachycardia is a heart rate greater than:,60 bpm,80 bpm,100 bpm,120 bpm,C,Sinus tachycardia is sinus rhythm with rate greater than 100 bpm.,AEMT,medium
37,Cardiovascular,ECG Basics,Atrial fibrillation is characterized by:,Regular rhythm with P waves,Irregularly irregular rhythm with no distinct P waves,Regular slow rhythm,Wide QRS complexes,B,AFib has irregularly irregular rhythm with fibrillatory baseline no P waves.,AEMT,medium
38,Cardiovascular,ECG Basics,Ventricular fibrillation appears as:,Normal QRS complexes,Chaotic disorganized electrical activity,Regular wide complexes,Flat line,B,VF is chaotic with no identifiable P QRS or T waves.,AEMT,medium
39,Cardiovascular,ECG Basics,Asystole appears as:,Chaotic activity,Flat line with no electrical activity,Regular rhythm,Wide complexes,B,Asystole is absence of electrical activity appearing as flat line.,AEMT,medium
40,Cardiovascular,ECG Basics,PEA stands for:,Primary Electrical Activity,Pulseless Electrical Activity,Paroxysmal Ectopic Activity,Premature Ectopic Arrhythmia,B,PEA is organized electrical rhythm without palpable pulse.,AEMT,medium
41,Cardiovascular,ACS,Acute coronary syndrome includes:,Only heart attack,Unstable angina NSTEMI and STEMI,Only stable angina,Heart failure,B,ACS spectrum includes unstable angina NSTEMI and STEMI.,AEMT,medium
42,Cardiovascular,ACS,Classic chest pain of MI is described as:,Sharp and pleuritic,Crushing pressure or squeezing,Burning only,Positional,B,MI pain typically crushing squeezing pressure radiating to arm jaw neck.,AEMT,medium
