emr_id,category,subcategory,question_type,term,definition,option_a,option_b,option_c,option_d,correct_answer,rationale
EMR-VOCAB-201,Pharmacology,Routes,vocabulary,Sublingual,Under the tongue for rapid absorption,In the muscle,Under the tongue,Through the skin,Into a vein,B,Sublingual administration places medication under the tongue where it absorbs rapidly through the mucous membranes directly into the bloodstream bypassing the digestive system. Nitroglycerin is commonly given sublingually.
EMR-VOCAB-202,Pharmacology,Routes,vocabulary,Buccal,Between the cheek and gum for absorption,Through the nose,Between cheek and gum,Into the eye,Under the skin,B,Buccal administration places medication between the cheek and gum for absorption through the oral mucosa. This provides relatively rapid absorption and avoids first-pass metabolism in the liver.
EMR-VOCAB-203,Pharmacology,Routes,vocabulary,Intramuscular (IM),Injection into muscle tissue,Into a vein,Under the skin,Into muscle,Into the bone,C,Intramuscular injection delivers medication deep into muscle tissue where it is absorbed into the bloodstream. Epinephrine auto-injectors deliver medication IM into the thigh.
EMR-VOCAB-204,Pharmacology,Routes,vocabulary,Subcutaneous (SC),Injection into the fatty tissue beneath the skin,Into muscle,Into fatty tissue under skin,Into a vein,Into the bone,B,Subcutaneous injection delivers medication into the fatty layer beneath the skin. Absorption is slower than IM. Insulin is commonly given subcutaneously.
EMR-VOCAB-205,Pharmacology,Routes,vocabulary,Intravenous (IV),Directly into a vein for immediate effect,Into muscle,Under the skin,Directly into a vein,By mouth,C,Intravenous administration delivers medication directly into the bloodstream through a vein providing immediate effect. This route requires advanced training and is typically ALS scope.
EMR-VOCAB-206,Pharmacology,Routes,vocabulary,Inhalation,Breathing medication into the lungs,Swallowing medication,Breathing medication in,Applying to skin,Under the tongue,B,Inhalation delivers medication directly to the respiratory tract. Metered-dose inhalers and nebulizers deliver bronchodilators this way for rapid effect on the airways.
EMR-VOCAB-207,Pharmacology,Routes,vocabulary,Oral,Taken by mouth and swallowed,By mouth,Through the skin,Into muscle,Under the tongue,A,Oral administration means swallowing the medication. It is absorbed through the GI tract. This route has slower onset but is convenient. Aspirin and oral glucose are given orally.
EMR-VOCAB-208,Pharmacology,Routes,vocabulary,Transdermal,Absorbed through the skin usually via patch,By mouth,Through a vein,Through the skin,Into muscle,C,Transdermal medications are absorbed through the skin often from patches. Nitroglycerin patches and fentanyl patches deliver medication continuously this way.
EMR-VOCAB-209,Pharmacology,Routes,vocabulary,Intranasal (IN),Administered into the nose,Into the nose,Under the tongue,Into the eye,By mouth,A,Intranasal administration delivers medication through the nasal mucosa. Naloxone is commonly given intranasally for opioid overdose providing rapid absorption without needles.
EMR-VOCAB-210,Pharmacology,Routes,vocabulary,Nebulized,Medication converted to mist for inhalation,Made into a tablet,Converted to mist,Injected into muscle,Applied to skin,B,Nebulization converts liquid medication into a fine mist that can be inhaled deeply into the lungs. This is used for bronchodilators and other respiratory medications.
EMR-VOCAB-211,Pharmacology,Medication Forms,vocabulary,Metered-Dose Inhaler (MDI),Pressurized device delivering measured medication doses,IV pump,Pressurized inhaler,Tablet form,Skin patch,B,An MDI is a handheld device that delivers a specific measured dose of medication as an aerosol spray. Patients press down to release medication while inhaling.
EMR-VOCAB-212,Pharmacology,Medication Forms,vocabulary,Auto-injector,Pre-filled device that automatically injects medication,Manual syringe,Automatic injection device,Inhaler,Transdermal patch,B,Auto-injectors like EpiPen contain pre-measured medication and automatically inject when pressed against the body. They are designed for emergency use by patients or bystanders.
EMR-VOCAB-213,Pharmacology,Medication Terms,vocabulary,Indication,Reason or condition for which a medication is used,Side effect,Reason for use,Contraindication,Dose,B,An indication is the medical condition or symptom that a medication is intended to treat. For example chest pain is an indication for nitroglycerin.
EMR-VOCAB-214,Pharmacology,Medication Terms,vocabulary,Contraindication,Reason NOT to give a medication,Reason to give medication,Correct dose,Reason not to give,Side effect,C,A contraindication is a condition that makes a medication inappropriate or potentially harmful. For example hypotension is a contraindication for nitroglycerin.
EMR-VOCAB-215,Pharmacology,Medication Terms,vocabulary,Side effect,Unintended effect of a medication,Main purpose,Unintended effect,Correct dose,Indication,B,Side effects are effects of medication other than the intended therapeutic effect. They may be mild or serious. Headache is a common side effect of nitroglycerin.
EMR-VOCAB-216,Pharmacology,Medication Terms,vocabulary,Adverse reaction,Harmful or unintended response to medication,Expected effect,Harmful response,Correct dose,Indication,B,An adverse reaction is a harmful or unpleasant reaction to a medication. These can range from mild to life-threatening and may require stopping the medication.
EMR-VOCAB-217,Pharmacology,Medication Terms,vocabulary,Allergic reaction,Immune system response to a medication,Normal response,Immune response,Expected effect,Therapeutic effect,B,An allergic reaction occurs when the immune system identifies a medication as harmful and mounts a response ranging from mild rash to life-threatening anaphylaxis.
EMR-VOCAB-218,Pharmacology,Medication Terms,vocabulary,Generic name,Non-proprietary official name of a medication,Brand name,Official drug name,Street name,Chemical formula,B,The generic name is the official non-proprietary name of a medication. For example acetaminophen is the generic name while Tylenol is a brand name.
EMR-VOCAB-219,Pharmacology,Medication Terms,vocabulary,Trade name,Brand or proprietary name of a medication,Generic name,Brand name,Chemical name,Street name,B,Trade name is the proprietary name given by the manufacturer. EpiPen is a trade name for epinephrine auto-injector.
EMR-VOCAB-220,Pharmacology,Medication Terms,vocabulary,Dose,Amount of medication given at one time,Frequency,Amount given,Route,Indication,B,Dose is the amount of medication administered at one time usually measured in milligrams or milliliters. Correct dosing is critical for safety and effectiveness.
EMR-VOCAB-221,Pharmacology,Drug Actions,vocabulary,Agonist,Medication that activates a receptor producing an effect,Blocks receptor,Activates receptor,Neutralizes receptor,Has no effect,B,An agonist binds to a receptor and activates it producing a physiological response. Epinephrine is an agonist at adrenergic receptors.
EMR-VOCAB-222,Pharmacology,Drug Actions,vocabulary,Antagonist,Medication that blocks a receptor preventing an effect,Activates receptor,Blocks receptor,Enhances receptor,Creates receptor,B,An antagonist binds to a receptor but does not activate it blocking other substances from activating it. Naloxone is an opioid antagonist.
EMR-VOCAB-223,Pharmacology,Drug Actions,vocabulary,Bronchodilator,Medication that relaxes and opens airways,Constricts airways,Opens airways,Stops breathing,Increases mucus,B,Bronchodilators relax smooth muscle in the bronchi causing airways to dilate. Albuterol is a common bronchodilator used for asthma and COPD.
EMR-VOCAB-224,Pharmacology,Drug Actions,vocabulary,Vasoconstrictor,Medication that narrows blood vessels,Widens blood vessels,Narrows blood vessels,Stops blood flow,Thins blood,B,Vasoconstrictors cause blood vessels to narrow increasing vascular resistance and blood pressure. Epinephrine has vasoconstrictive properties.
EMR-VOCAB-225,Pharmacology,Drug Actions,vocabulary,Vasodilator,Medication that widens blood vessels,Narrows blood vessels,Widens blood vessels,Blocks blood vessels,Clots blood,B,Vasodilators cause blood vessels to relax and widen decreasing vascular resistance and blood pressure. Nitroglycerin is a vasodilator.
EMR-VOCAB-226,Pharmacology,Drug Actions,vocabulary,Antiplatelet,Medication that prevents platelet aggregation,Increases clotting,Prevents platelet clumping,Dissolves clots,Thickens blood,B,Antiplatelet medications prevent platelets from clumping together reducing clot formation. Aspirin is an antiplatelet used in suspected heart attack.
EMR-VOCAB-227,Pharmacology,Drug Actions,vocabulary,Analgesic,Pain-relieving medication,Causes pain,Relieves pain,Causes numbness,Induces sleep,B,Analgesics relieve pain without causing loss of consciousness. They include non-opioid medications like acetaminophen and opioid medications like morphine.
EMR-VOCAB-228,Pharmacology,Drug Actions,vocabulary,Antipyretic,Fever-reducing medication,Increases fever,Reduces fever,Causes sweating,Stops shivering,B,Antipyretic medications reduce fever. Acetaminophen and ibuprofen have antipyretic properties working on the hypothalamic temperature regulation center.
EMR-VOCAB-229,Pharmacology,Drug Actions,vocabulary,Antiemetic,Medication that prevents or treats nausea and vomiting,Causes vomiting,Prevents vomiting,Increases appetite,Causes diarrhea,B,Antiemetic medications control nausea and vomiting through various mechanisms. Ondansetron is a common antiemetic.
EMR-VOCAB-230,Pharmacology,Drug Actions,vocabulary,Antihistamine,Medication that blocks histamine effects,Increases histamine,Blocks histamine,Creates histamine,Has no effect on histamine,B,Antihistamines block histamine receptors reducing allergic symptoms like itching swelling and hives. Diphenhydramine is a common antihistamine.
EMR-VOCAB-231,Pharmacology,EMR Medications,vocabulary,Oxygen,Medical gas that supports cellular respiration,Nitrogen,Life-supporting gas,Carbon dioxide,Helium,B,Oxygen is a medication that increases the amount of oxygen available for tissue perfusion. It is indicated for hypoxia and many emergencies.
EMR-VOCAB-232,Pharmacology,EMR Medications,vocabulary,Oral glucose,Sugar gel or liquid for treating hypoglycemia,Insulin,Sugar for low blood sugar,Blood thinner,Pain reliever,B,Oral glucose is a simple sugar given to conscious patients with hypoglycemia who can swallow. It rapidly raises blood glucose levels.
EMR-VOCAB-233,Pharmacology,EMR Medications,vocabulary,Aspirin,Antiplatelet and analgesic medication,Antibiotic,Antiplatelet pain reliever,Blood pressure medication,Insulin,B,Aspirin inhibits platelet aggregation and relieves pain. In suspected MI it helps prevent additional clot formation. Dose is typically 160-325mg chewed.
EMR-VOCAB-234,Pharmacology,EMR Medications,vocabulary,Epinephrine,Hormone and medication that reverses anaphylaxis,Antihistamine,Anaphylaxis reversal drug,Pain medication,Blood thinner,B,Epinephrine reverses anaphylaxis by causing bronchodilation vasoconstriction and increased heart rate. It is given via auto-injector for severe allergic reactions.
EMR-VOCAB-235,Pharmacology,EMR Medications,vocabulary,Naloxone,Opioid antagonist that reverses overdose effects,Opioid,Opioid reversal agent,Stimulant,Sedative,B,Naloxone rapidly reverses respiratory depression and sedation from opioid overdose. It can be given IV IM or intranasally.
EMR-VOCAB-236,Pharmacology,Patient Medications,vocabulary,Nitroglycerin,Vasodilator for chest pain,Stimulant,Vessel-widening heart medication,Antibiotic,Blood thinner,B,Nitroglycerin is a vasodilator that reduces cardiac workload and may improve coronary blood flow. EMRs may assist patients with their prescribed nitroglycerin.
EMR-VOCAB-237,Pharmacology,Patient Medications,vocabulary,Albuterol,Bronchodilator for asthma and COPD,Antihistamine,Airway-opening medication,Pain reliever,Blood pressure medication,B,Albuterol is a beta-2 agonist bronchodilator that relaxes airway smooth muscle. EMRs may assist patients with their prescribed inhalers.
EMR-VOCAB-238,Pharmacology,Patient Medications,vocabulary,Insulin,Hormone that lowers blood glucose,Raises blood sugar,Lowers blood sugar,Blood thinner,Pain reliever,B,Insulin allows glucose to enter cells lowering blood sugar. Diabetic patients may take insulin by injection or pump. Overdose causes hypoglycemia.
EMR-VOCAB-239,Pharmacology,Patient Medications,vocabulary,Metformin,Oral medication for type 2 diabetes,Insulin injection,Oral diabetes medication,Blood thinner,Heart medication,B,Metformin is an oral medication for type 2 diabetes that decreases glucose production and increases insulin sensitivity.
EMR-VOCAB-240,Pharmacology,Patient Medications,vocabulary,Warfarin,Anticoagulant that prevents blood clots,Thickens blood,Blood thinner,Dissolves clots,Insulin,B,Warfarin inhibits clotting factor production used to prevent stroke and blood clots. Patients on warfarin bleed more with trauma.
EMR-VOCAB-241,Pharmacology,Patient Medications,vocabulary,Beta-blocker,Medication that slows heart rate and lowers blood pressure,Speeds heart rate,Slows heart lowers BP,Raises blood pressure,Thins blood,B,Beta-blockers block beta-adrenergic receptors slowing heart rate and reducing blood pressure. Overdose causes bradycardia and hypotension.
EMR-VOCAB-242,Pharmacology,Patient Medications,vocabulary,ACE inhibitor,Blood pressure medication that relaxes blood vessels,Constricts vessels,Relaxes vessels lowers BP,Speeds heart rate,Thins blood,B,ACE inhibitors cause vasodilation and reduced blood pressure. Names often end in -pril like lisinopril. They can cause angioedema.
