emr_id,category,subcategory,question_type,question,option_a,option_b,option_c,option_d,correct_answer,rationale
EMR-SCEN-171,Trauma,Amputation,scenario,A factory worker's hand was amputated by machinery. The amputated part is lying nearby. Bleeding from the stump is severe. What are your priorities?,Find the amputated part first,Control bleeding from the stump first using direct pressure and tourniquet if needed. Then care for the amputated part by wrapping it in moist gauze placing in plastic bag and keeping cool but not directly on ice,The amputated part cannot be reattached so discard it,Attempt to reattach the hand on scene,B,Life-threatening bleeding takes priority over preserving the amputated part. Control hemorrhage with pressure and tourniquet. Then wrap the amputated part in moist saline gauze place in sealed plastic bag and place bag on ice. Do not freeze or place directly on ice.
EMR-SCEN-172,Trauma,Mechanism of Injury,scenario,You respond to a high-speed rollover crash where a passenger was ejected from the vehicle. The patient is found 30 feet from the car. Even if injuries are not immediately obvious what should you assume?,If he is talking he must be okay,Assume severe injuries including spinal trauma internal bleeding and multiple fractures. Ejection dramatically increases injury severity and mortality. Treat as high-priority trauma with full spinal precautions and rapid transport to trauma center,Ejection usually protects people from injury,Only worry about injuries you can see,B,Ejection from a vehicle is one of the highest-risk mechanisms. Ejected patients have dramatically higher mortality rates. Assume severe injuries including spine trauma internal bleeding TBI and multiple fractures even if patient appears stable initially.
EMR-SCEN-173,Trauma,Mechanism of Injury,scenario,A pedestrian was struck by a car traveling approximately 35 mph. He is an adult who was hit from the side. Based on mechanism what injuries would you expect?,Only leg injuries from direct impact,Waddell triad in adults includes lower extremity fractures from bumper impact thorax or abdominal injuries from hood impact and head injury from windshield or ground impact. Expect multiple system involvement,Only head injuries,Pedestrians struck by cars rarely have serious injuries,B,Pedestrians struck by vehicles typically have predictable injury patterns. Adults struck from the side suffer leg fractures from bumper torso injuries from hood impact and head injuries from windshield or ground. Suspect multiple injuries based on mechanism.
EMR-SCEN-174,Trauma,Mechanism of Injury,scenario,A patient fell from a roof approximately 15 feet high. He landed on his feet and now has bilateral heel pain. What other injuries should you suspect?,Only foot fractures since he landed on his feet,Axial loading injuries including calcaneal heel fractures lumbar spine compression fractures and possibly basilar skull fracture from force transmitted up the spine. Falls from height cause predictable injury patterns,If he can stand his spine is fine,Heel pain means ankle sprain only,B,Falls from height with feet-first landing cause axial loading injuries. Force travels up through the heels to the spine. Suspect calcaneus fractures lumbar spine fractures and potentially skull base fracture. Mechanism predicts injury patterns.
EMR-SCEN-175,Trauma,Blast Injury,scenario,An explosion occurred at a construction site. A worker was close to the blast. He has no visible injuries but complains of ringing in his ears and abdominal pain. Are his complaints significant?,Ringing ears is temporary and abdominal pain is probably anxiety,Yes. Blast injuries affect air-filled organs. Tympanic membrane rupture indicates significant blast exposure and hollow abdominal organs may be ruptured. Lung injury is also possible. Treat as serious trauma even without visible injuries,Without visible injuries he is fine,Only his ears need evaluation,B,Blast injuries cause primary damage to air-filled structures through pressure waves. Ear injury indicates significant exposure. Abdominal pain suggests possible hollow organ injury. Blast lung can cause delayed respiratory failure. Treat as potentially serious multi-system trauma.
EMR-SCEN-176,Trauma,Pediatric Trauma,scenario,A 5-year-old was an unrestrained passenger in a crash. She has a seatbelt-shaped bruise across her abdomen. She complains of tummy pain but is talking and alert with normal vital signs. Should you be reassured by her normal vitals?,Yes normal vital signs indicate she is stable,No. Children maintain normal vital signs until significant blood loss occurs then decompensate rapidly. The seatbelt sign indicates high risk for internal abdominal injury. Transport rapidly even though she appears stable,She is fine since she is talking,Seatbelt bruises are only skin deep,B,Children compensate extremely well maintaining normal vitals despite significant injury. Seatbelt sign indicates high-energy force to the abdomen suggesting internal organ injury. Do not be reassured by normal vitals in an injured child with concerning mechanism.
EMR-SCEN-177,Trauma,Geriatric Trauma,scenario,An 82-year-old woman tripped on a rug and fell striking her head. She takes warfarin blood thinner. She denies significant symptoms and has only a small bump on her head. Can she be safely left at home?,Yes if she feels fine she can stay home,No. Elderly patients on anticoagulants are at very high risk for intracranial bleeding even from minor falls. Bleeding may be delayed. She needs evaluation at a hospital and likely CT scan. Transport even if she feels fine,Only if she loses consciousness,Warfarin does not increase bleeding risk,B,Elderly anticoagulated patients are extremely high-risk for intracranial hemorrhage. Minor mechanisms can cause major bleeding that may be delayed. Transport all head-injured patients on blood thinners for evaluation regardless of symptom severity.
EMR-SCEN-178,Trauma,Abdominal Trauma,scenario,A car crash patient has a rigid distended abdomen with diffuse tenderness. He is hypotensive with tachycardia. He has no external wounds on his abdomen. What do these findings indicate?,He has indigestion from a recent meal,He has significant intra-abdominal hemorrhage or organ injury causing peritonitis and shock. The rigid abdomen indicates blood or bowel contents irritating the peritoneum. He needs immediate surgical intervention,Without a wound his abdomen is fine,Give him antacids,B,Rigid distended tender abdomen with shock indicates serious intra-abdominal injury. Blood or bowel contents cause peritoneal irritation and rigidity. This patient needs emergent surgical exploration. Rapid transport to trauma center is critical.
EMR-SCEN-179,Trauma,Chest Trauma,scenario,A patient struck the steering wheel in a crash. He now has chest pain worse with breathing and crepitus when you palpate his sternum. What injury should you suspect?,Muscle strain,Sternal fracture. Crepitus over the sternum indicates fracture. More importantly suspect underlying cardiac contusion from the same impact. Monitor for arrhythmias and signs of cardiac dysfunction. This is significant blunt chest trauma,Simple bruising,Fractured clavicle,B,Crepitus over the sternum indicates sternal fracture. The significant concern is the force required to fracture the sternum likely caused cardiac contusion. These patients need cardiac monitoring for arrhythmias and evaluation for myocardial injury.
EMR-SCEN-180,Trauma,Pelvic Fracture,scenario,A motorcycle crash patient has pain when you gently press on his iliac crests. His pelvis feels unstable. He is hypotensive with tachycardia. What should you do?,Rock his pelvis back and forth to confirm instability,Do NOT repeatedly manipulate the pelvis. Pelvic fractures cause massive internal hemorrhage. Stabilize with a pelvic binder or sheet wrapped tightly around the hips. Treat for shock and transport immediately,Pelvic fractures are not serious,Have him try to stand to assess stability,B,Never repeatedly compress or rock a suspected unstable pelvis as this worsens bleeding. Pelvic fractures can cause 2+ liters of blood loss into the retroperitoneum. Apply pelvic binder or circumferential sheet for stabilization. Treat shock and transport emergently.
