emr_id,category,subcategory,question_type,statement,correct_answer,rationale
EMR-TF-051,Legal/Ethics,Consent,true_false,Expressed consent is given when a competent adult patient verbally or non-verbally agrees to treatment.,TRUE,Expressed consent occurs when a patient explicitly indicates agreement to treatment either verbally by saying yes or non-verbally by nodding or offering their arm for blood pressure measurement. It is required before treating any competent adult.
EMR-TF-052,Legal/Ethics,Consent,true_false,Implied consent allows EMRs to treat unconscious patients based on the assumption that they would want lifesaving treatment.,TRUE,Implied consent is a legal doctrine that assumes an unconscious or otherwise incapacitated patient would consent to emergency lifesaving treatment if they were able. It allows providers to treat patients who cannot give expressed consent.
EMR-TF-053,Legal/Ethics,Consent,true_false,A parent or legal guardian must give consent before an EMR can treat a minor child.,TRUE,Minors generally cannot give legal consent for medical treatment. A parent or legal guardian must provide consent except in emergencies when a parent is not available in which case implied consent applies. Some exceptions exist for emancipated minors.
EMR-TF-054,Legal/Ethics,Consent,true_false,An emancipated minor is considered a legal adult and can give consent for their own medical treatment.,TRUE,Emancipated minors are individuals under 18 who have been legally declared adults. This can occur through marriage military service court order or in some states living independently. They can consent to their own treatment without parental involvement.
EMR-TF-055,Legal/Ethics,Consent,true_false,Informed consent requires that the patient understand the treatment risks benefits and alternatives before agreeing.,TRUE,Informed consent means the patient has been given enough information to make an educated decision about their care. This includes explanation of the proposed treatment its risks and benefits and what alternatives exist including the option to refuse treatment.
EMR-TF-056,Legal/Ethics,Consent,true_false,A competent adult patient can refuse treatment even if refusal is likely to result in death.,TRUE,Competent adult patients have the absolute right to refuse treatment based on the principle of autonomy. Providers must ensure the patient understands the risks of refusal document the refusal thoroughly and have the patient sign an Against Medical Advice form.
EMR-TF-057,Legal/Ethics,Consent,true_false,If a patient initially refuses treatment they cannot change their mind and request care later.,FALSE,Patients can change their mind at any time. A patient who initially refuses treatment can later consent to care and conversely a patient who consented can withdraw consent. Providers should never abandon a patient who has refused care but remains on scene.
EMR-TF-058,Legal/Ethics,Consent,true_false,In a psychiatric emergency a patient who is a danger to themselves or others can be treated and transported against their will.,TRUE,When a patient is experiencing a psychiatric emergency that makes them dangerous to themselves or others they can be treated and transported involuntarily for evaluation. This typically requires law enforcement involvement and specific legal procedures vary by state.
EMR-TF-059,Legal/Ethics,Negligence,true_false,Negligence occurs when a provider fails to provide the standard of care that a reasonable provider would provide resulting in harm to the patient.,TRUE,Negligence has four components duty to act breach of duty by failing to meet standard of care the breach causing harm proximate cause and actual damages occurring. All four must be present for a successful negligence claim.
EMR-TF-060,Legal/Ethics,Negligence,true_false,If a patient is not harmed by improper treatment a negligence claim cannot be successful.,TRUE,For negligence to be proven actual damages must occur. Even if there was a duty to act and a breach of the standard of care if no harm resulted from the breach there are no damages and the negligence claim cannot succeed.
EMR-TF-061,Legal/Ethics,Negligence,true_false,An EMR has a duty to act when on duty and dispatched to a call.,TRUE,Duty to act is established by employment or volunteer status. When on duty and dispatched to a call EMS providers have a legal duty to respond and provide care. Off-duty providers generally do not have a duty to act though ethical obligations may exist.
EMR-TF-062,Legal/Ethics,Negligence,true_false,Abandonment occurs when an EMR leaves a patient without transferring care to an equally or more qualified provider.,TRUE,Abandonment is a form of negligence that occurs when a provider discontinues care without ensuring appropriate ongoing care. Care must be transferred to a provider of equal or higher training level. Leaving a patient without proper transfer can result in civil and criminal liability.
EMR-TF-063,Legal/Ethics,Negligence,true_false,Following established protocols protects EMRs from all liability even if the patient has a bad outcome.,FALSE,Following protocols provides significant legal protection but does not guarantee immunity from liability. Providers must still exercise reasonable judgment and protocols must be appropriate for the situation. Blindly following protocols without assessing the specific patient could still result in liability.
