emr_id,category,subcategory,question_type,term,definition,option_a,option_b,option_c,option_d,correct_answer,rationale
EMR-VOCAB-651,Terminology,Prefixes,vocabulary,Poly-,Prefix meaning many or much,Few,Many,None,One,B,Poly- means many or much. Polydipsia means excessive thirst polyuria means excessive urination and polypharmacy means taking many medications.
EMR-VOCAB-652,Terminology,Prefixes,vocabulary,Oligo-,Prefix meaning few or little,Many,Few or scanty,None,Normal,B,Oligo- means few scanty or little. Oliguria means decreased urine output. It is the opposite of poly- which means many.
EMR-VOCAB-653,Terminology,Prefixes,vocabulary,Eu-,Prefix meaning normal or good,Abnormal,Normal or good,Bad,Excessive,B,Eu- means normal or good. Eupnea means normal breathing and euthyroid means normal thyroid function. It indicates a healthy or normal state.
EMR-VOCAB-654,Terminology,Prefixes,vocabulary,Dys-,Prefix meaning difficult painful or abnormal,Normal,Difficult or abnormal,Good,Easy,B,Dys- means difficult painful or abnormal. Dyspnea means difficulty breathing dysrhythmia means abnormal rhythm and dysphagia means difficulty swallowing.
EMR-VOCAB-655,Terminology,Prefixes,vocabulary,Mal-,Prefix meaning bad or poor,Good,Bad or poor,Normal,Excessive,B,Mal- means bad or poor. Malaise means general discomfort malignant means cancerous or harmful and malnutrition means poor nutrition.
EMR-VOCAB-656,Terminology,Prefixes,vocabulary,Pseudo-,Prefix meaning false,True,False,Half,Normal,B,Pseudo- means false or fake. Pseudoseizure is a non-epileptic event resembling a seizure. The prefix indicates something that appears to be something it is not.
EMR-VOCAB-657,Terminology,Prefixes,vocabulary,Ante-,Prefix meaning before,After,Before,During,None,B,Ante- means before. Antepartum means before birth and anterior means toward the front or before. It indicates something that comes first.
EMR-VOCAB-658,Terminology,Prefixes,vocabulary,Post-,Prefix meaning after,Before,After,During,None,B,Post- means after. Postpartum means after birth postictal means after a seizure and posterior means toward the back or behind.
EMR-VOCAB-659,Terminology,Prefixes,vocabulary,Peri-,Prefix meaning around,Inside,Around,Through,Above,B,Peri- means around or surrounding. Pericardium is the membrane around the heart and peripheral means around the edges or outer areas.
EMR-VOCAB-660,Terminology,Prefixes,vocabulary,Trans-,Prefix meaning across or through,Around,Across or through,Above,Below,B,Trans- means across or through. Transdermal means through the skin transport means to carry across and transfusion moves blood from one person to another.
EMR-VOCAB-661,Terminology,Prefixes,vocabulary,Retro-,Prefix meaning behind or backward,Forward,Behind or backward,Above,Below,B,Retro- means behind or backward. Retroperitoneal means behind the peritoneum and retrograde means moving backward.
EMR-VOCAB-662,Terminology,Prefixes,vocabulary,Contra-,Prefix meaning against or opposite,For,Against or opposite,With,Same,B,Contra- means against or opposite. Contraindication is a reason not to give something and contralateral means the opposite side.
EMR-VOCAB-663,Terminology,Prefixes,vocabulary,Ipsi-,Prefix meaning same side,Opposite side,Same side,Both sides,Neither side,B,Ipsi- means same side. Ipsilateral means on the same side. If injury is on the right ipsilateral findings would also be on the right.
EMR-VOCAB-664,Terminology,Suffixes,vocabulary,-ectomy,Suffix meaning surgical removal,Surgical opening,Surgical removal,Surgical repair,Incision,B,The suffix -ectomy means surgical removal or excision. Appendectomy is removal of appendix and cholecystectomy is removal of gallbladder.
EMR-VOCAB-665,Terminology,Suffixes,vocabulary,-ostomy,Suffix meaning creating an opening,Removal,Creating an opening,Repair,Incision,B,The suffix -ostomy means creating an artificial opening. Tracheostomy is an opening in the trachea and colostomy is an opening in the colon.
EMR-VOCAB-666,Terminology,Suffixes,vocabulary,-otomy,Suffix meaning cutting into,Removal,Cutting into,Creating opening,Repair,B,The suffix -otomy means cutting into or incision. Tracheotomy is cutting into the trachea. It differs from -ostomy which creates a permanent opening.
EMR-VOCAB-667,Terminology,Suffixes,vocabulary,-plasty,Suffix meaning surgical repair or reconstruction,Removal,Surgical repair,Incision,Viewing,B,The suffix -plasty means surgical repair or reconstruction. Angioplasty is repair of blood vessels and rhinoplasty is reconstruction of the nose.
EMR-VOCAB-668,Terminology,Suffixes,vocabulary,-scopy,Suffix meaning visual examination,Surgical repair,Visual examination,Removal,Incision,B,The suffix -scopy means visual examination using a scope. Endoscopy is examination of the interior and bronchoscopy is examination of the bronchi.
EMR-VOCAB-669,Terminology,Suffixes,vocabulary,-gram,Suffix meaning a record or image,Instrument,Record or image,Process,Removal,B,The suffix -gram means a record or image. Electrocardiogram ECG is a record of heart electrical activity and radiogram is an x-ray image.
EMR-VOCAB-670,Terminology,Suffixes,vocabulary,-graph,Suffix meaning instrument that records,Record,Recording instrument,Process,Image,B,The suffix -graph means the instrument that records. Electrocardiograph is the machine that records the ECG. Compare to -gram which is the record itself.
EMR-VOCAB-671,Terminology,Suffixes,vocabulary,-meter,Suffix meaning measuring instrument,Record,Measuring device,Process,Treatment,B,The suffix -meter means an instrument for measuring. Thermometer measures temperature and sphygmomanometer measures blood pressure.
EMR-VOCAB-672,Terminology,Suffixes,vocabulary,-centesis,Suffix meaning surgical puncture to remove fluid,Incision,Puncture for fluid removal,Repair,Viewing,B,The suffix -centesis means surgical puncture to remove fluid. Thoracentesis removes fluid from the chest and paracentesis removes fluid from the abdomen.
EMR-VOCAB-673,Terminology,Suffixes,vocabulary,-lysis,Suffix meaning breakdown or destruction,Building up,Breaking down,Viewing,Measuring,B,The suffix -lysis means breakdown destruction or loosening. Hemolysis is breakdown of red blood cells and thrombolysis is breakdown of blood clots.
EMR-VOCAB-674,Terminology,Suffixes,vocabulary,-stasis,Suffix meaning stopping or controlling,Moving,Stopping or standing,Starting,Flowing,B,The suffix -stasis means stopping controlling or standing still. Hemostasis is stopping bleeding and homeostasis is maintaining stable internal conditions.
EMR-VOCAB-675,Terminology,Suffixes,vocabulary,-phagia,Suffix meaning eating or swallowing,Speaking,Eating or swallowing,Breathing,Seeing,B,The suffix -phagia means eating or swallowing. Dysphagia is difficulty swallowing and polyphagia is excessive eating.
