id,category,subcategory,question,option_a,option_b,option_c,option_d,correct_answer,rationale,certification,difficulty
1,Pharmacology,Dosing,Epinephrine 1:1000 concentration equals:,0.1 mg/mL,1 mg/mL,10 mg/mL,0.01 mg/mL,B,1:1000 means 1 gram per 1000 mL which equals 1 mg/mL used for IM injection.,Paramedic,medium
2,Pharmacology,Dosing,Epinephrine 1:10000 concentration equals:,0.1 mg/mL,1 mg/mL,10 mg/mL,0.01 mg/mL,A,1:10000 means 1 gram per 10000 mL which equals 0.1 mg/mL used for IV push.,Paramedic,medium
3,Pharmacology,Dosing,Adenosine first dose for SVT is:,3 mg rapid IV push,6 mg rapid IV push,12 mg rapid IV push,18 mg rapid IV push,B,Adenosine 6 mg rapid IV push followed by 20 mL flush; second dose 12 mg if needed.,Paramedic,medium
4,Pharmacology,Dosing,Amiodarone dose for pulseless VT/VF is:,150 mg IV push,300 mg IV push,450 mg IV push,1 mg/kg IV push,B,Amiodarone 300 mg IV/IO push for VF/pVT; second dose 150 mg in 3-5 minutes if needed.,Paramedic,medium
5,Pharmacology,Dosing,Amiodarone dose for stable wide complex tachycardia is:,150 mg over 10 minutes,300 mg IV push,450 mg over 30 minutes,150 mg IV push,A,Stable VT: amiodarone 150 mg IV over 10 minutes; may repeat; then 1 mg/min infusion.,Paramedic,medium
6,Pharmacology,Dosing,Lidocaine first dose for VF/pVT is:,0.5 mg/kg IV,1-1.5 mg/kg IV,2 mg/kg IV,3 mg/kg IV,B,Lidocaine 1-1.5 mg/kg IV/IO; may repeat at 0.5-0.75 mg/kg every 5-10 min max 3 mg/kg.,Paramedic,medium
7,Pharmacology,Dosing,Atropine dose for symptomatic bradycardia is:,0.25 mg IV every 3-5 min,0.5 mg IV every 3-5 min,1 mg IV every 3-5 min,2 mg IV every 3-5 min,B,Atropine 0.5 mg IV every 3-5 minutes; may give 1 mg; maximum total dose 3 mg.,Paramedic,medium
8,Pharmacology,Dosing,Atropine dose for organophosphate poisoning:,0.5 mg IV,1-2 mg IV repeated until secretions dry,0.5 mg IV once only,5 mg IV once,B,Organophosphate: atropine 1-2 mg IV doubled every 5 min until secretions controlled; may need large doses.,Paramedic,medium
9,Pharmacology,Dosing,Dopamine infusion rate for cardiogenic shock:,1-2 mcg/kg/min,5-10 mcg/kg/min,10-20 mcg/kg/min,25-30 mcg/kg/min,C,Dopamine 10-20 mcg/kg/min for cardiogenic shock provides alpha and beta effects.,Paramedic,medium
10,Pharmacology,Dosing,Dopamine dose for renal perfusion:,1-5 mcg/kg/min,5-10 mcg/kg/min,10-15 mcg/kg/min,15-20 mcg/kg/min,A,Low dose dopamine 1-5 mcg/kg/min for dopaminergic effects though clinical benefit debated.,Paramedic,medium
11,Pharmacology,Dosing,Norepinephrine starting dose for septic shock:,0.1-0.5 mcg/kg/min,1-2 mcg/kg/min,5-10 mcg/kg/min,20 mcg/kg/min,A,Norepinephrine start 0.1-0.5 mcg/kg/min titrate to MAP 65 or greater.,Paramedic,medium
12,Pharmacology,Dosing,Magnesium sulfate dose for torsades de pointes:,500 mg IV,1-2 grams IV over 5-20 min,4 grams IV push,10 grams IV,B,Torsades: magnesium sulfate 1-2 grams IV over 5-20 minutes; may repeat.,Paramedic,medium
13,Pharmacology,Dosing,Magnesium sulfate dose for eclampsia:,1-2 grams IV,4-6 grams IV loading,10 grams IV,500 mg IV,B,Eclampsia: magnesium 4-6 grams IV over 15-20 min then 1-2 g/hr maintenance infusion.,Paramedic,medium
14,Pharmacology,Dosing,Magnesium sulfate dose for severe asthma:,500 mg IV,1-2 grams IV over 20 min,4-6 grams IV,10 grams IV,B,Severe asthma: magnesium 1-2 grams IV over 20 minutes for bronchodilation.,Paramedic,medium
15,Pharmacology,Dosing,Calcium chloride dose for hyperkalemia:,500 mg IV,1 gram IV over 2-5 min,2 grams IV push,100 mg IV,B,Calcium chloride 1 gram 10 mL of 10% IV over 2-5 min; contains 3x calcium of gluconate.,Paramedic,medium
16,Pharmacology,Dosing,Calcium gluconate dose for hyperkalemia:,500 mg IV,1-3 grams IV over 2-5 min,5 grams IV,100 mg IV,B,Calcium gluconate 1-3 grams IV over 2-5 min; 3x volume needed compared to chloride.,Paramedic,medium
17,Pharmacology,Dosing,Sodium bicarbonate dose for severe acidosis:,25 mEq IV,50 mEq IV or 1 mEq/kg,100 mEq IV push,10 mEq IV,B,Sodium bicarbonate 1 mEq/kg or 50 mEq IV; use cautiously in arrest.,Paramedic,medium
18,Pharmacology,Dosing,Dextrose 50% dose for hypoglycemia:,10 grams IV,25 grams IV,50 grams IV,100 grams IV,B,D50W 25 grams which is 50 mL of 50% dextrose IV push; recheck glucose.,Paramedic,medium
19,Pharmacology,Dosing,Dextrose 10% dose for neonatal hypoglycemia:,1-2 mL/kg IV,5-10 mL/kg IV,25 mL/kg IV,50 mL/kg IV,A,Neonatal hypoglycemia: D10W 2-4 mL/kg IV; avoid D50 due to hyperosmolarity.,Paramedic,medium
20,Pharmacology,Dosing,Glucagon dose for hypoglycemia:,0.5 mg IM,1 mg IM/IV/IN,2 mg IM,5 mg IM,B,Glucagon 1 mg IM/IV/SubQ/IN for hypoglycemia when no IV access; onset 10-20 min IM.,Paramedic,medium
21,Pharmacology,Dosing,Glucagon dose for beta blocker overdose:,1 mg IV,3-5 mg IV bolus then 2-5 mg/hr infusion,10 mg IV push,0.5 mg IV,B,Beta blocker OD: glucagon 3-5 mg IV over 1 min then 2-5 mg/hr infusion.,Paramedic,medium
22,Pharmacology,Dosing,Naloxone starting dose for opioid overdose with respiratory depression:,0.04-0.1 mg IV titrated,0.4 mg IV initial,2 mg IV initial,4 mg IV initial,A,Start low 0.04-0.1 mg IV titrate to respiratory effort; avoid precipitating withdrawal.,Paramedic,medium
23,Pharmacology,Dosing,Naloxone dose for complete respiratory arrest from opioids:,0.04 mg IV,0.4 mg IV,2 mg IV/IM/IN,0.1 mg IV,C,Apnea from opioids: larger initial dose 2 mg IV/IM/IN appropriate; repeat every 2-3 min.,Paramedic,medium
24,Pharmacology,Dosing,Narcan intranasal dose:,1 mg per nostril,2-4 mg per nostril,0.4 mg per nostril,10 mg per nostril,B,Intranasal naloxone 2-4 mg using atomizer; may need higher doses for fentanyl.,Paramedic,medium
25,Pharmacology,Dosing,Flumazenil dose for benzodiazepine overdose:,0.1 mg IV,0.2 mg IV initial then 0.2-0.5 mg every minute,1 mg IV push,5 mg IV,B,Flumazenil 0.2 mg IV over 30 sec; repeat 0.2-0.5 mg every min to max 3-5 mg; seizure risk.,Paramedic,medium
26,Pharmacology,Dosing,Morphine dose for acute coronary syndrome:,1-2 mg IV every 5 min,2-4 mg IV every 5-15 min,10 mg IV push,0.5 mg IV,B,Morphine 2-4 mg IV every 5-15 min PRN for ACS pain; use cautiously.,Paramedic,medium
27,Pharmacology,Dosing,Fentanyl dose for pain management:,10-25 mcg IV,25-100 mcg IV/IM/IN,200-300 mcg IV,500 mcg IV,B,Fentanyl 25-100 mcg IV slow push or 50-100 mcg IN; rapid onset short duration.,Paramedic,medium
28,Pharmacology,Dosing,Ketamine dose for analgesia:,0.1-0.3 mg/kg IV,1-2 mg/kg IV,4-5 mg/kg IV,10 mg/kg IV,A,Subdissociative ketamine 0.1-0.3 mg/kg IV for analgesia; higher doses for sedation.,Paramedic,medium
29,Pharmacology,Dosing,Ketamine dose for RSI induction:,0.5 mg/kg IV,1-2 mg/kg IV,4-5 mg/kg IM,10 mg/kg IV,B,RSI ketamine 1-2 mg/kg IV or 4-5 mg/kg IM for induction.,Paramedic,medium
30,Pharmacology,Dosing,Etomidate dose for RSI:,0.1 mg/kg IV,0.3 mg/kg IV,0.5 mg/kg IV,1 mg/kg IV,B,Etomidate 0.3 mg/kg IV for RSI; minimal cardiovascular effects.,Paramedic,medium
31,Pharmacology,Dosing,Succinylcholine dose for RSI:,0.5 mg/kg IV,1-1.5 mg/kg IV,2-3 mg/kg IV,5 mg/kg IV,B,Succinylcholine 1-1.5 mg/kg IV or 2 mg/kg IM; onset 30-60 sec IV.,Paramedic,medium
32,Pharmacology,Dosing,Rocuronium dose for RSI:,0.3 mg/kg IV,0.6 mg/kg IV,1-1.2 mg/kg IV,2 mg/kg IV,C,Rocuronium 1-1.2 mg/kg IV for RSI; 0.6 mg/kg for standard intubation.,Paramedic,medium
33,Pharmacology,Dosing,Sugammadex dose to reverse rocuronium:,2 mg/kg IV,4 mg/kg IV,16 mg/kg IV for immediate reversal,All are correct based on depth,D,Sugammadex 2 mg/kg for moderate block 4 mg/kg for deep block 16 mg/kg for immediate reversal.,Paramedic,medium
34,Pharmacology,Dosing,Midazolam dose for seizures IM:,2 mg IM,5 mg IM,10 mg IM,20 mg IM,C,Midazolam 10 mg IM or 5 mg IV or 10 mg IN for status epilepticus.,Paramedic,medium
35,Pharmacology,Dosing,Diazepam dose for seizures IV:,2-5 mg IV,5-10 mg IV,20 mg IV,50 mg IV,B,Diazepam 5-10 mg IV slow push every 10-15 min PRN for seizures; max 30 mg.,Paramedic,medium
36,Pharmacology,Dosing,Lorazepam dose for seizures:,0.5 mg IV,2-4 mg IV,10 mg IV,20 mg IV,B,Lorazepam 2-4 mg IV over 2-5 min; may repeat once in 10-15 min.,Paramedic,medium
