id,category,subcategory,question,option_a,option_b,option_c,option_d,correct_answer,rationale,certification,difficulty
1,OB/GYN,Anatomy,The fundal height at 20 weeks gestation is at the level of:,Symphysis pubis,Umbilicus,Xiphoid process,Below symphysis,B,Fundal height approximates weeks gestation; 20 weeks equals umbilicus level.,Paramedic,medium
2,OB/GYN,Anatomy,The placenta normally implants in the:,Lower uterine segment,Upper posterior uterine wall,Cervix,Fallopian tube,B,Normal placental implantation is in upper posterior uterine wall.,Paramedic,medium
3,OB/GYN,Anatomy,Blood volume increases during pregnancy by approximately:,10%,25%,45-50%,75%,C,Blood volume increases 45-50% during pregnancy peaking around 32 weeks.,Paramedic,medium
4,OB/GYN,Anatomy,Cardiac output increases during pregnancy by:,10%,30-50%,75%,100%,B,Cardiac output increases 30-50% during pregnancy.,Paramedic,medium
5,OB/GYN,Anatomy,The uterus becomes an abdominal organ at approximately:,8 weeks,12 weeks,20 weeks,28 weeks,B,Uterus rises above pelvic brim at approximately 12 weeks gestation.,Paramedic,medium
6,OB/GYN,Physiology,Supine hypotensive syndrome occurs due to:,Decreased blood volume,IVC compression by gravid uterus,Placental insufficiency,Maternal anemia,B,Gravid uterus compresses IVC in supine position reducing venous return and cardiac output.,Paramedic,medium
7,OB/GYN,Physiology,Normal fetal heart rate range is:,80-100 bpm,110-160 bpm,160-200 bpm,60-80 bpm,B,Normal FHR 110-160 bpm; bradycardia less than 110 tachycardia greater than 160.,Paramedic,medium
8,OB/GYN,Physiology,Braxton Hicks contractions differ from true labor in that they:,Are regular and progressive,Are irregular and do not increase in intensity,Cause cervical change,Require tocolytics,B,Braxton Hicks: irregular non-progressive no cervical change; true labor regular progressive.,Paramedic,medium
9,OB/GYN,Physiology,Bloody show indicates:,Placental abruption,Mucus plug release signaling labor onset,Placenta previa,Uterine rupture,B,Bloody show: mucus plug with blood-tinged discharge indicates cervical changes and labor onset.,Paramedic,medium
10,OB/GYN,Physiology,Normal duration of first stage of labor for primigravida:,1-2 hours,6-12 hours,12-18 hours,24-36 hours,C,First stage primigravida 12-18 hours; multigravida 6-8 hours.,Paramedic,medium
11,OB/GYN,Physiology,Second stage of labor is from:,Onset of contractions to full dilation,Full cervical dilation to delivery of baby,Delivery of baby to delivery of placenta,Delivery of placenta to 1 hour postpartum,B,Second stage: full dilation 10 cm to delivery of baby.,Paramedic,medium
12,OB/GYN,Physiology,Third stage of labor normally lasts:,5-30 minutes,1-2 hours,3-4 hours,Less than 5 minutes,A,Third stage placental delivery normally 5-30 minutes; greater than 30 min is prolonged.,Paramedic,medium
13,OB/GYN,Assessment,GTPAL stands for:,Gravida Term Preterm Abortions Living,Gestation Term Parity Abortion Labor,Gravity Trimester Pregnancy Abortion Living,None of the above,A,GTPAL: Gravida total pregnancies Term deliveries Preterm deliveries Abortions/miscarriages Living children.,Paramedic,medium
