emr_id,category,subcategory,question_type,question,option_a,option_b,option_c,option_d,correct_answer,rationale
EMR-SCEN-371,Assessment,Scene Size-up,scenario,You are dispatched to a residence for a person down. As you approach you notice the front door is broken and you hear yelling inside. What should you do?,Enter immediately to help the patient,Stage at a safe distance and request law enforcement. A broken door and yelling suggest potential violence. Do not enter until police secure the scene. Your safety is the first priority,Announce yourself loudly and enter,Go around to the back door,B,Scene safety first. A broken door and yelling indicate possible violence. Stage safely and wait for police to secure the scene. You cannot help patients if you become a victim.
EMR-SCEN-372,Assessment,Primary Assessment,scenario,You find a patient who fell from a ladder. He is responsive only to painful stimuli with snoring respirations. His airway sounds obstructed. What is your first action?,Check his blood pressure,Open his airway using jaw-thrust maneuver due to trauma mechanism. Snoring respirations indicate the tongue is obstructing the airway. Address airway first in the primary assessment sequence,Start chest compressions,Apply a cervical collar,B,Snoring indicates tongue obstruction. Open the airway immediately using jaw-thrust for trauma patients. Airway always comes first. The patient cannot be assessed further if the airway is not managed.
EMR-SCEN-373,Assessment,Vital Signs,scenario,A patient has BP 160/100 HR 58 RR 10 and one pupil is larger than the other. He was in a car crash and hit his head. What do these findings suggest?,Normal findings after a crash,Cushing triad indicating increased intracranial pressure. Hypertension bradycardia and irregular respirations with unequal pupils suggest rising ICP and possible brain herniation. This is a critical emergency requiring immediate transport,Simple concussion,Shock from blood loss,B,Cushing triad hypertension bradycardia abnormal respirations indicates increased ICP. Combined with unilateral pupil dilation this suggests herniation. This is immediately life-threatening requiring emergent neurosurgical intervention.
EMR-SCEN-374,Airway,Foreign Body,scenario,An infant becomes suddenly unable to cry or breathe while eating. She is conscious but turning blue. What should you do?,Begin infant CPR,Give 5 back blows followed by 5 chest thrusts. The infant has complete airway obstruction. For conscious choking infants alternate back blows and chest thrusts until the object is expelled or she becomes unconscious,Perform blind finger sweeps,Give abdominal thrusts,B,Conscious choking infant protocol is 5 back blows then 5 chest thrusts. Support the head and give firm back blows between the shoulder blades then turn over for chest thrusts. Continue until object clears or she becomes unconscious.
EMR-SCEN-375,Airway,Ventilation,scenario,You are ventilating a patient with a BVM. Each ventilation takes about half a second and you are giving 20 breaths per minute. The chest is rising minimally. What should you change?,Ventilate even faster,Slow down and give each breath over 1 second. Watch for adequate chest rise. You are ventilating too fast and too shallowly. Slower breaths with adequate volume improve oxygenation and reduce gastric insufflation,Add more rescuers,Nothing this is correct technique,B,Proper ventilation is 1 breath over 1 second with enough volume for visible chest rise. Fast shallow breaths are ineffective. Slow down give adequate volume and watch for chest rise with each breath.
EMR-SCEN-376,Breathing,Respiratory Failure,scenario,A patient with COPD is exhausted from breathing. Her respiratory rate has slowed from 32 to 12 and she is becoming less responsive. SpO2 is 78%. What is happening?,She is getting better since she is breathing slower,She is in respiratory failure and needs immediate assisted ventilation. The slowing respiratory rate with decreasing responsiveness indicates exhaustion and impending respiratory arrest not improvement. Begin BVM ventilation,Her COPD is improving,Wait to see if she recovers,B,Slowing respiratory rate with decreasing consciousness in a previously tachypneic patient indicates respiratory failure from exhaustion. This is pre-arrest. Begin assisted ventilation immediately with BVM and high-flow oxygen.
EMR-SCEN-377,Circulation,Shock Recognition,scenario,A trauma patient has HR 128 RR 26 BP 118/80 and delayed capillary refill. He is anxious and pale. His BP is normal so is he in shock?,No his blood pressure is normal,Yes this is compensated shock. He is tachycardic tachypneic pale and anxious with delayed capillary refill. These are signs of shock despite normal BP. The body is compensating to maintain pressure. Treat for shock and transport rapidly,Only if BP drops below 90,He is just nervous,B,Normal BP does not rule out shock. Compensatory mechanisms maintain BP until late. Tachycardia pallor delayed capillary refill and anxiety indicate tissue hypoperfusion. This is compensated shock requiring immediate treatment.
EMR-SCEN-378,Circulation,CPR Quality,scenario,During CPR on an adult you notice the compressor is pushing down about 1.5 inches and not allowing full recoil between compressions. What feedback should you give?,Compressions look great,Compress deeper at least 2 inches and allow complete chest recoil. Compressions of 1.5 inches are too shallow for adults. Leaning between compressions prevents cardiac refilling. Coach to improve both depth and recoil,Speed up the compressions,Compress more shallowly,B,Adult compressions require at least 2 inches depth. Complete recoil allows cardiac refilling. Coach the compressor to push deeper and come all the way up between compressions without leaning.
EMR-SCEN-379,Medical,Chest Pain,scenario,A 62-year-old woman has epigastric discomfort and nausea for 2 hours. She is diaphoretic and feels weak. She thinks it is indigestion. Should you be concerned about her heart?,No epigastric pain is GI not cardiac,Yes atypical MI presentation. Women often present with GI symptoms fatigue and weakness rather than classic chest pain. Diaphoresis adds to concern. Treat as possible cardiac event with oxygen aspirin and transport,Only men have heart attacks,Indigestion is never serious,B,Atypical MI presentations are common in women. Epigastric discomfort nausea weakness and diaphoresis can all be cardiac symptoms. Do not dismiss as GI. Treat as possible MI and transport for evaluation.
EMR-SCEN-380,Medical,Respiratory,scenario,A patient with asthma used her inhaler 3 times but is still in severe distress. She can barely speak and is using accessory muscles. SpO2 is 85%. Her wheezing has become quieter. Is the quieter wheezing good news?,Yes less wheezing means improvement,No this is ominous. Decreasing wheezes with worsening patient condition indicates severe bronchospasm with minimal air movement. She is approaching respiratory failure. Provide high-flow oxygen prepare for assisted ventilation and transport emergently,Her asthma is resolving,Give her inhaler again and wait,B,Quiet chest in a worsening asthmatic indicates severe bronchospasm with almost no air movement. This is silent chest and indicates impending respiratory failure. She needs immediate intervention and emergent transport.
