emr_id,category,subcategory,question_type,question,option_a,option_b,option_c,option_d,correct_answer,rationale
EMR-SCEN-321,Operations,Scene Safety,scenario,You respond to a shooting. Dispatch reports the shooter may still be in the area. Police are en route but have not arrived. What should you do?,Enter immediately to help the victim,Stage at a safe location and wait for police to secure the scene. Your safety is the priority. You cannot help patients if you become a victim. Do not enter until law enforcement confirms the scene is safe,Drive slowly through the area looking for the shooter,Approach on foot to avoid being heard,B,Never enter an active shooter scene or any violent scene until law enforcement secures it. Stage at a safe distance out of sight and wait for police clearance. Even after clearance maintain situational awareness.
EMR-SCEN-322,Operations,Scene Safety,scenario,You arrive at a motor vehicle crash on a busy highway. Traffic is still flowing past the scene. What safety measures should you take?,Park anywhere and run to the patient,Position your ambulance to block traffic and protect the scene. Turn on all warning lights. Wear high-visibility vest. Use cones or flares if available. Keep aware of traffic and never turn your back to oncoming vehicles,Turn off your lights to avoid distracting drivers,Park on the opposite side of the highway,B,Traffic is a major hazard at roadway incidents. Position your vehicle as a barrier between traffic and the scene. Use all warning lights and high-visibility clothing. Maintain awareness and never turn your back to traffic.
EMR-SCEN-323,Operations,Scene Safety,scenario,While assessing a patient in their home you notice a strong chemical smell and the patient mentions they were cleaning. You start to feel dizzy and nauseated. What should you do?,Continue assessment and finish quickly,Immediately remove yourself and the patient from the environment. The chemical fumes are affecting you. Fresh air is essential. Do not become a victim. Call for hazmat if needed once outside and safe,Open a window and continue,Call for another crew to take over,B,If you are experiencing symptoms from a hazardous environment remove yourself immediately. You cannot help the patient if you become incapacitated. Get to fresh air then determine if hazmat response is needed.
EMR-SCEN-324,Operations,Scene Safety,scenario,You respond to a domestic disturbance where a woman was reportedly injured. A man is yelling on the front porch. Police are 10 minutes away. The woman is visible through the window. What should you do?,Approach and try to calm the man,Stage out of sight and wait for police. Domestic violence scenes are dangerous and unpredictable. Even if the patient is visible do not approach until law enforcement secures the scene,Go to the back door to avoid the man,Have your partner distract him while you treat the patient,B,Domestic violence scenes are high-risk. The agitated person poses a threat. Stage safely and wait for police. Patient care cannot occur if you become a victim. The 10-minute wait is worth your safety.
EMR-SCEN-325,Operations,Lifting,scenario,You need to move a 280-pound patient from the floor to the stretcher. Your partner is a small female. What should you do?,You can handle it if you lift with your back,Request additional personnel for a safe lift. Know your limitations and your partner's capabilities. Attempting to lift beyond combined abilities causes injury. Patient and provider safety require adequate resources,Have the patient help by pulling themselves up,Drag the patient to the stretcher,B,Recognize lifting limitations. A 280-pound patient requires adequate personnel for safe lifting. Request additional help from fire department or other crews. Preventing injury to providers ensures they can continue helping patients.
EMR-SCEN-326,Operations,Lifting,scenario,You are carrying a patient down a narrow stairway. What is the best position for providers?,Strongest person at the head going down first,Strongest person at the foot when going downstairs to bear more weight as gravity shifts the load. Go slowly and communicate throughout. Consider using a stair chair for narrow spaces,Both providers side by side,Patient should walk if able regardless of condition,B,When going downstairs the person at the foot bears more weight due to gravity. Position your strongest person at the foot. Use proper equipment like stair chairs when appropriate. Communicate with your partner throughout.
EMR-SCEN-327,Operations,Communications,scenario,You are giving a radio report to the hospital for a chest pain patient. What information should you include?,Only that you are coming with a chest pain patient,Patient age and gender chief complaint of chest pain with OPQRST description vital signs including BP HR RR SpO2 12-lead interpretation if available treatments given such as oxygen aspirin nitro and patient response ETA and any requests,Just vital signs,Wait until arrival to give report,B,Radio reports should include patient identification age gender chief complaint with relevant history pertinent assessment findings vital signs treatments given and patient response and ETA. This allows the hospital to prepare.
EMR-SCEN-328,Operations,Communications,scenario,A family member at the hospital asks you for details about what happened to their loved one during the call. What should you tell them?,Give them a complete report of everything,Politely explain that patient information is confidential and they should speak with hospital staff. HIPAA protects patient information. Direct family to appropriate hospital personnel who can share information appropriately,Lie about what happened,Tell them everything since they are family,B,Patient information is protected by HIPAA. Even family members should receive information through appropriate hospital channels not from EMS. Politely redirect them to hospital staff who can properly handle family communication.
EMR-SCEN-329,Operations,Documentation,scenario,You treated a patient who became combative and you had to use soft restraints for safety. Now you need to document this. What should you include?,Just write patient was restrained,Document objective behaviors that necessitated restraint specific safety concerns the type of restraints used how they were applied frequency of monitoring circulation checks and patient response. Document attempts at de-escalation before restraint,Do not document restraint use,Write patient was dangerous and out of control,B,Restraint documentation should be thorough and objective. Include specific behaviors justifying restraint less restrictive measures attempted type of restraints monitoring performed and patient response. Avoid subjective characterizations.
EMR-SCEN-330,Operations,Documentation,scenario,You realize after completing your PCR that you forgot to document giving the patient aspirin. What should you do?,Add it to the original narrative without noting it was added later,Make a late entry noting the current date and time and documenting that aspirin was given during the call. Late entries are appropriate for adding omitted information but must be clearly marked as late entries,Change the times to make it fit,The aspirin was not documented so it did not happen,B,Late entries are acceptable for adding information omitted from the original documentation. Clearly mark it as a late entry with current date and time. Never alter original entries or change times. Document what was actually done.
