id,category,subcategory,question,option_a,option_b,option_c,option_d,correct_answer,rationale,certification,difficulty
1,Cardiology,ECG Advanced,A narrow complex tachycardia at 150 bpm with sawtooth baseline is:,Sinus tachycardia,Atrial flutter with 2:1 block,Atrial fibrillation,SVT,B,Atrial flutter typically 300 bpm with 2:1 conduction equals 150 bpm sawtooth in II III aVF.,Paramedic,medium
2,Cardiology,ECG Advanced,Irregularly irregular narrow complex tachycardia without distinct P waves is:,Sinus arrhythmia,Atrial fibrillation,Atrial flutter,MAT,B,AFib: irregularly irregular no organized P waves fibrillatory baseline.,Paramedic,medium
3,Cardiology,ECG Advanced,Multifocal atrial tachycardia requires:,Regular rhythm,At least 3 different P wave morphologies,Sawtooth pattern,Wide QRS,B,MAT: irregular rhythm 3 or more P wave morphologies varying PR often in COPD.,Paramedic,medium
4,Cardiology,ECG Advanced,Delta wave short PR and wide QRS indicates:,LBBB,WPW syndrome,First degree AV block,Hyperkalemia,B,WPW: accessory pathway preexcitation short PR delta wave wide QRS.,Paramedic,medium
5,Cardiology,ECG Advanced,WPW with atrial fibrillation is dangerous because:,Slow ventricular rate,Rapid conduction via accessory pathway can cause VF,Causes bradycardia,Converts to sinus,B,WPW-AFib: bypass tract conducts rapidly potentially VF; avoid AV nodal blockers.,Paramedic,medium
6,Cardiology,ECG Advanced,Treatment for WPW with rapid AFib:,Adenosine,Procainamide or cardioversion,Diltiazem,Digoxin,B,WPW-AFib: procainamide or cardioversion; avoid adenosine diltiazem beta blockers digoxin.,Paramedic,medium
7,Cardiology,ECG Advanced,Brugada pattern on ECG shows:,ST elevation V1-V3 with RBBB pattern,ST depression inferiorly,Delta waves,Prolonged QT,A,Brugada: coved ST elevation V1-V3 RBBB pattern; sudden cardiac death risk.,Paramedic,medium
8,Cardiology,ECG Advanced,Long QT syndrome increases risk of:,Atrial fibrillation,Torsades de Pointes,First degree block,Sinus bradycardia,B,Long QT predisposes to Torsades polymorphic VT; congenital or acquired.,Paramedic,medium
9,Cardiology,ECG Advanced,QTc greater than what value is prolonged:,400 ms,440-460 ms depending on sex,500 ms,350 ms,B,Prolonged QTc: greater than 450 males 460 females; greater than 500 high risk.,Paramedic,medium
10,Cardiology,ECG Advanced,Causes of prolonged QT include:,Hypercalcemia,Hypokalemia hypomagnesemia medications,Hyperkalemia,Hyperthyroidism,B,Long QT: hypoK hypoMg hypoCa medications class IA III antiarrhythmics congenital.,Paramedic,medium
