emr_id,category,subcategory,question_type,statement,correct_answer,rationale
EMR-TF-401,Environmental,Heat Emergencies,true_false,Heat cramps are painful muscle spasms that occur during or after exertion in hot environments.,TRUE,Heat cramps are caused by electrolyte imbalances from sweating during activity in heat. They typically affect large muscle groups used during activity. Treatment includes rest cooling and electrolyte replacement.
EMR-TF-402,Environmental,Heat Emergencies,true_false,Heat exhaustion occurs when the body cannot cool itself adequately and is characterized by heavy sweating and weakness.,TRUE,Heat exhaustion results from fluid and electrolyte losses through sweating. The body is still attempting to cool itself through sweating. Symptoms include heavy sweating weakness headache nausea and normal to slightly elevated temperature.
EMR-TF-403,Environmental,Heat Emergencies,true_false,In heat exhaustion the patient typically has hot dry skin because sweating has stopped.,FALSE,In heat exhaustion sweating continues as the body attempts to cool itself. Hot dry skin with no sweating indicates heat stroke where the thermoregulatory system has failed. This distinction is important for treatment urgency.
EMR-TF-404,Environmental,Heat Emergencies,true_false,Heat stroke is a life-threatening emergency characterized by body temperature above 104°F and altered mental status.,TRUE,Heat stroke occurs when thermoregulation fails and body temperature rises uncontrollably. Altered mental status confusion combativeness seizures is the key distinguishing feature. This is immediately life-threatening without rapid cooling.
EMR-TF-405,Environmental,Heat Emergencies,true_false,Classic heat stroke typically shows hot dry skin while exertional heat stroke patients may still be sweating.,TRUE,Classic heat stroke in elderly or those with impaired thermoregulation shows hot dry skin. Exertional heat stroke in athletes or workers may still show sweating initially. Both have high temperature and altered mental status requiring aggressive cooling.
EMR-TF-406,Environmental,Heat Emergencies,true_false,Treatment of heat stroke requires immediate aggressive cooling.,TRUE,Heat stroke is an emergency requiring rapid cooling. Methods include removing clothing applying cool water fanning applying ice packs to neck groin and armpits and cold water immersion if available. Delay in cooling worsens outcomes.
EMR-TF-407,Environmental,Heat Emergencies,true_false,Elderly patients are at higher risk for heat-related illness because of decreased ability to thermoregulate.,TRUE,Aging impairs the body's ability to regulate temperature through decreased sweating response and reduced thirst sensation. Medications and chronic diseases common in elderly also increase risk. Elderly in heat waves are particularly vulnerable.
EMR-TF-408,Environmental,Heat Emergencies,true_false,Young children are more susceptible to heat illness than adults.,TRUE,Children have higher metabolic rates and produce more heat relative to body size. They also have less developed sweating capacity and may not recognize or report symptoms. They depend on adults to ensure adequate hydration and cooling.
EMR-TF-409,Environmental,Heat Emergencies,true_false,Athletes or workers who develop confusion or disorientation during activity in heat should be assumed to have heat stroke.,TRUE,Any mental status change during heat exposure should be treated as heat stroke until proven otherwise. Do not assume confusion is from fatigue or dehydration alone. Begin cooling immediately while assessing as delayed treatment worsens outcomes.
EMR-TF-410,Environmental,Heat Emergencies,true_false,Patients with heat stroke should be given large amounts of water to drink.,FALSE,Heat stroke patients often have altered mental status and cannot safely swallow increasing aspiration risk. Additionally oral hydration cannot correct the emergency quickly enough. Cooling is the priority. IV fluids will be given at the hospital.
