id,category,subcategory,question,option_a,option_b,option_c,option_d,correct_answer,rationale,certification,difficulty
1,Pharmacology,Cardiac,You respond to a 67-year-old male at a grocery store complaining of chest pain. He is diaphoretic and pale with his hand clutched to his chest. He states the pain started 20 minutes ago while he was shopping and describes it as a heavy pressure radiating to his left arm. His wife states he has a history of hypertension and takes lisinopril and amlodipine daily. Vital signs are BP 158/94 HR 88 RR 20 SpO2 96% on room air. 12-lead ECG shows ST elevation in leads V1-V4. After applying oxygen and establishing IV access you administer 324 mg of aspirin. The patient asks why he needs to chew the aspirin instead of swallowing it whole. What is the correct explanation?,Chewing releases a mint flavor that reduces nausea,Chewing allows faster absorption through buccal mucosa and faster onset of antiplatelet effects,Chewing prevents the aspirin from causing gastric ulcers,Chewing is required because the patient may lose consciousness and aspirate a whole tablet,B,Chewing aspirin allows faster absorption and more rapid inhibition of platelet aggregation compared to swallowing whole tablets. In acute coronary syndrome time to antiplatelet effect is critical. Chewed aspirin reaches peak plasma levels in about 15 minutes versus 60 minutes for swallowed tablets.,Paramedic,hard
2,Pharmacology,Cardiac,You are treating a 54-year-old female who called 911 for chest pain that woke her from sleep at 3 AM. She describes substernal pressure rated 8 out of 10 with associated shortness of breath and nausea. She has a history of type 2 diabetes hypertension and hyperlipidemia. Her medications include metformin glipizide lisinopril and atorvastatin. Vital signs are BP 168/96 HR 102 RR 22 SpO2 94% on room air. 12-lead shows ST elevation in II III and aVF with ST depression in aVL. You have given aspirin and established IV access. You prepare to administer nitroglycerin 0.4 mg sublingual. Before administration what critical question must you ask this patient?,Have you taken any erectile dysfunction medications in the past 48 hours,Have you eaten anything in the past 6 hours,Are you allergic to nitrates,Have you ever had a heart attack before,A,Phosphodiesterase-5 inhibitors such as sildenafil tadalafil and vardenafil potentiate the hypotensive effects of nitrates and can cause profound life-threatening hypotension. Sildenafil and vardenafil contraindicate nitrates for 24 hours and tadalafil for 48 hours due to its longer half-life. This is true for both male and female patients as these medications are also used for pulmonary hypertension.,Paramedic,hard
3,Pharmacology,Cardiac,A 71-year-old male with a history of inferior wall MI three years ago presents with chest pain and dyspnea. He states he took three of his own nitroglycerin tablets at home without relief. His wife says he has been increasingly short of breath over the past week and has gained 8 pounds. On exam you note jugular venous distension bilateral lower extremity edema and crackles in both lung bases. Vital signs are BP 88/62 HR 110 RR 28 SpO2 88% on room air. 12-lead shows ST elevation in II III and aVF with right-sided leads showing ST elevation in V4R. Given this complete clinical picture why is nitroglycerin relatively contraindicated in this patient?,Nitroglycerin will worsen his crackles,Nitroglycerin will cause reflex tachycardia and increase oxygen demand,Right ventricular infarction is preload-dependent and nitroglycerin reduces preload causing profound hypotension,Nitroglycerin is ineffective after home nitroglycerin has been taken,C,Right ventricular infarction makes the heart dependent on adequate preload to maintain cardiac output. The infarcted RV cannot increase contractility to compensate for reduced filling. Nitroglycerin causes venodilation reducing preload which can cause severe hypotension in RV infarct. Treatment includes IV fluids to maintain preload and avoiding nitrates and diuretics.,Paramedic,hard
4,Pharmacology,Cardiac,You respond to a 45-year-old male who collapsed at a construction site. Coworkers state he complained of palpitations and dizziness before losing consciousness. He is now awake but confused. The cardiac monitor shows a wide complex tachycardia at a rate of 210 with a regular rhythm. Vital signs are BP 78/50 HR 210 RR 24 SpO2 94%. The patient is diaphoretic with cool clammy skin. You recognize this as hemodynamically unstable ventricular tachycardia. While preparing for synchronized cardioversion you establish IV access. What medication should you administer to provide sedation before cardioversion?,Adenosine 6 mg IV push,Midazolam 2-5 mg IV or Etomidate 0.1-0.2 mg/kg IV,Amiodarone 150 mg IV over 10 minutes,Atropine 0.5 mg IV,B,Synchronized cardioversion is painful and patients who are conscious should receive procedural sedation if time and hemodynamic status permit. Midazolam or etomidate provide rapid onset sedation. Adenosine is not used for VT. Amiodarone is for stable VT or refractory VF. Atropine is for bradycardia. However in severely unstable patients cardioversion should not be delayed for sedation.,Paramedic,hard
5,Pharmacology,Cardiac,A 62-year-old female presents with sudden onset of palpitations and lightheadedness while at dinner. She has a history of mitral valve prolapse but takes no daily medications. She is alert and oriented but anxious. The cardiac monitor shows a regular narrow complex tachycardia at 188 beats per minute with no visible P waves. Vital signs are BP 102/68 HR 188 RR 18 SpO2 98% on room air. Vagal maneuvers have failed to convert the rhythm. You prepare to administer adenosine. What is the correct dose route and administration technique for adenosine in this patient?,Adenosine 6 mg slow IV push over 1-2 minutes through antecubital IV followed by saline flush,Adenosine 6 mg rapid IV push through proximal IV site immediately followed by 20 mL rapid saline flush and arm elevation,Adenosine 12 mg IV push followed by 10 mL saline flush,Adenosine 6 mg IV push repeated every 5 minutes until conversion,B,Adenosine has an extremely short half-life of less than 10 seconds and must be administered as a rapid IV push followed immediately by a 20 mL saline flush using a stopcock or push-pull technique. The IV should be as proximal as possible to ensure the drug reaches the heart before degradation. Arm elevation helps with rapid delivery. The initial dose is 6 mg with 12 mg for subsequent doses if needed.,Paramedic,hard
6,Pharmacology,Cardiac,You are called to a 78-year-old female at a nursing home who staff reports has been increasingly confused over the past two days. She has a history of atrial fibrillation and heart failure. Her medications include digoxin furosemide potassium chloride and metoprolol. On exam she is oriented only to person with visual hallucinations. She complains of nausea and seeing yellow halos around lights. Vital signs are BP 104/62 HR 52 irregular RR 18 SpO2 95% on 2L NC. The cardiac monitor shows atrial fibrillation with slow ventricular response and frequent PVCs including some in a bigeminal pattern. What is the most likely cause of this presentation?,Worsening heart failure,Stroke,Digoxin toxicity,Urinary tract infection with sepsis,C,This presentation is classic digoxin toxicity featuring GI symptoms such as nausea and vomiting visual disturbances particularly yellow-green halos called xanthopsia and cardiac arrhythmias. The combination of atrial fibrillation with slow response and increased ectopy particularly bigeminy is characteristic. Elderly patients and those with renal impairment or electrolyte imbalances are at increased risk. Treatment includes withholding digoxin and digoxin-specific antibody fragments for severe toxicity.,Paramedic,hard
7,Pharmacology,Cardiac,Continuing with the previous patient who you suspect has digoxin toxicity her rhythm suddenly changes to a wide complex tachycardia and she becomes unresponsive. Her BP is now 60/40 and she has weak pulses. The monitor shows what appears to be bidirectional ventricular tachycardia at 160 bpm. What is the treatment of choice for this life-threatening digoxin-induced arrhythmia?,Synchronized cardioversion at 100 joules,Amiodarone 300 mg IV push,Digoxin immune Fab fragments,Calcium chloride 1 gram IV,C,Digoxin immune Fab also known as Digibind or DigiFab is the specific antidote for severe digoxin toxicity with life-threatening arrhythmias. It binds free digoxin and is excreted renally. Cardioversion may be ineffective and can precipitate refractory arrhythmias in digoxin toxicity. Calcium is contraindicated as it can worsen digoxin-induced arrhythmias. The dose is based on estimated digoxin body load or empirically 10-20 vials for acute severe toxicity.,Paramedic,hard
8,Pharmacology,Cardiac,A 58-year-old male presents with crushing chest pain of 45 minutes duration. He is diaphoretic pale and clutching his chest. History includes hypertension diabetes and he underwent coronary stent placement 6 months ago. His medications include aspirin clopidogrel metoprolol lisinopril metformin and atorvastatin. Vital signs are BP 146/92 HR 96 RR 22 SpO2 95% on room air. 12-lead ECG shows 4 mm ST elevation in V2-V5 with reciprocal depression inferiorly. The cath lab is 45 minutes away. Medical control asks if the patient is a thrombolytic candidate. What is the PRIMARY contraindication to thrombolytic therapy in this patient?,His history of diabetes mellitus,His current use of clopidogrel,His coronary stent was placed only 6 months ago,Recent PCI with stent placement is not a contraindication and he may be a thrombolytic candidate if no other contraindications exist,D,Prior PCI with stent placement is not a contraindication to thrombolytic therapy. Absolute contraindications include prior intracranial hemorrhage known cerebrovascular malformation active internal bleeding suspected aortic dissection significant head trauma within 3 months and ischemic stroke within 3 months. Being on antiplatelet therapy like clopidogrel increases bleeding risk but is not an absolute contraindication. Primary PCI is preferred over thrombolytics when available within 120 minutes.,Paramedic,hard
9,Pharmacology,Respiratory,A 24-year-old female college student presents with acute shortness of breath and wheezing that began 30 minutes ago after she was exposed to a cat at her friend's apartment. She has a history of asthma and uses an albuterol inhaler as needed. She states she used her inhaler twice without relief before calling 911. On exam she is sitting upright using accessory muscles to breathe. You hear diffuse expiratory wheezing bilaterally. She is able to speak in short sentences only. Vital signs are BP 128/78 HR 118 RR 28 SpO2 91% on room air. After applying oxygen you prepare to administer a nebulized bronchodilator. What is the appropriate dose of albuterol for nebulization in this patient?,Albuterol 0.5 mg in 3 mL normal saline over 10-15 minutes,Albuterol 2.5 mg in 3 mL normal saline over 5-15 minutes and may repeat every 20 minutes or give continuously,Albuterol 5 mg in 10 mL normal saline over 30 minutes,Albuterol 10 mg IV push over 2 minutes,B,The standard nebulized albuterol dose for acute bronchospasm is 2.5 mg diluted in 3 mL normal saline delivered over 5-15 minutes. This can be repeated every 20 minutes for up to 3 doses or given as continuous nebulization in severe cases. Albuterol is a beta-2 agonist that causes bronchial smooth muscle relaxation. Side effects include tachycardia tremor and hypokalemia.,Paramedic,hard
10,Pharmacology,Respiratory,You continue treating the 24-year-old asthmatic patient. After two albuterol treatments her wheezing has improved slightly but she remains in moderate respiratory distress with SpO2 of 92% on 15L non-rebreather. Her vital signs are now BP 132/80 HR 132 RR 26. Your medical protocols allow for administration of ipratropium bromide in combination with albuterol for refractory bronchospasm. What is the mechanism of action and appropriate dose of ipratropium?,Ipratropium is a beta-2 agonist given as 0.5 mg nebulized to enhance albuterol effects,Ipratropium is an anticholinergic that blocks muscarinic receptors causing bronchodilation given as 0.5 mg nebulized with albuterol,Ipratropium is a corticosteroid that reduces inflammation given as 0.25 mg nebulized,Ipratropium is an antihistamine that blocks bronchospasm given as 1 mg nebulized,B,Ipratropium bromide is an anticholinergic agent that blocks acetylcholine at muscarinic receptors in bronchial smooth muscle causing bronchodilation. Unlike beta-agonists it works through a different mechanism providing additive bronchodilation when combined with albuterol. The dose is 0.5 mg or 500 mcg nebulized typically combined with albuterol in the same nebulizer. It has a slower onset than albuterol but provides additional benefit in moderate to severe asthma exacerbations.,Paramedic,hard
