id,category,subcategory,question,option_a,option_b,option_c,option_d,correct_answer,rationale,certification,difficulty
1,Airway,Anatomy,The epiglottis is a leaf-shaped structure that:,Produces mucus,Prevents food from entering the trachea,Warms inspired air,Filters particles from air,B,The epiglottis covers the laryngeal opening during swallowing to prevent aspiration.,AEMT,medium
2,Airway,Anatomy,The trachea bifurcates into the right and left mainstem bronchi at the:,Thyroid cartilage,Cricoid cartilage,Carina,Larynx,C,The carina is located at approximately T4-T5 where the trachea divides.,AEMT,medium
3,Airway,Anatomy,The cricoid cartilage is significant because it:,Is the only complete cartilage ring in the airway,Contains the vocal cords,Is the largest cartilage,Produces surfactant,A,The cricoid is the only complete ring providing structural support.,AEMT,medium
4,Airway,Anatomy,Gas exchange occurs in the:,Bronchi,Bronchioles,Alveoli,Trachea,C,Alveoli are the functional units where oxygen and carbon dioxide exchange occurs.,AEMT,medium
5,Airway,Anatomy,The structure that contains the vocal cords is the:,Pharynx,Larynx,Trachea,Bronchus,B,The larynx contains the vocal cords and is also called the voice box.,AEMT,medium
6,Airway,Anatomy,In infants the airway differs from adults because:,The tongue is proportionally larger,The trachea is more rigid,The epiglottis is smaller,The airway is less anterior,A,Infants have proportionally larger tongues and more anterior and higher airways.,AEMT,medium
7,Airway,Anatomy,The narrowest part of the pediatric airway is the:,Vocal cords,Cricoid cartilage,Trachea,Nasopharynx,B,In children under 8-10 years the cricoid ring is the narrowest portion.,AEMT,medium
8,Airway,Anatomy,The nasopharynx is located:,Behind the nose,Behind the mouth,Below the larynx,In the chest,A,The nasopharynx is the upper portion of the pharynx behind the nasal cavity.,AEMT,medium
9,Airway,Anatomy,The right mainstem bronchus is more vertical than the left which means:,Aspiration is more common on the left,Aspiration is more common on the right,Both sides are equally affected,Aspiration does not occur,B,The right bronchus is shorter wider and more vertical making right-sided aspiration more common.,AEMT,medium
10,Airway,Anatomy,Surfactant is produced by:,Type I pneumocytes,Type II pneumocytes,Goblet cells,Ciliated cells,B,Type II pneumocytes produce surfactant which reduces surface tension in alveoli.,AEMT,medium
11,Airway,Assessment,Stridor indicates obstruction at the:,Lower airway,Upper airway,Alveoli,Bronchioles,B,Stridor is a high-pitched sound indicating upper airway or laryngeal obstruction.,AEMT,medium
12,Airway,Assessment,Wheezing indicates:,Upper airway obstruction,Lower airway obstruction,Cardiac failure,Pulmonary embolism,B,Wheezing is caused by narrowing of the lower airways typically from bronchospasm.,AEMT,medium
13,Airway,Assessment,Snoring respirations in an unconscious patient indicate:,Fluid in the lungs,Tongue obstructing the pharynx,Bronchospasm,Laryngeal edema,B,Snoring indicates soft tissue obstruction usually the tongue falling back.,AEMT,medium
14,Airway,Assessment,Grunting in a pediatric patient indicates:,Upper airway obstruction,Attempt to maintain positive pressure,Normal breathing,Crying,B,Grunting is the patient creating PEEP by exhaling against a partially closed glottis.,AEMT,medium
15,Airway,Assessment,Normal respiratory rate for an adult is:,8-12 breaths per minute,12-20 breaths per minute,20-30 breaths per minute,30-40 breaths per minute,B,Normal adult respiratory rate is 12-20 breaths per minute.,AEMT,medium
16,Airway,Assessment,Normal respiratory rate for an infant is:,12-20 breaths per minute,20-30 breaths per minute,30-60 breaths per minute,60-80 breaths per minute,C,Infants normally breathe 30-60 times per minute.,AEMT,medium
17,Airway,Assessment,Accessory muscle use indicates:,Normal breathing,Respiratory distress,Cardiac arrest,Sleep,B,Use of neck and chest accessory muscles indicates increased work of breathing.,AEMT,medium
18,Airway,Assessment,Nasal flaring in children indicates:,Normal breathing,Respiratory distress,Allergic reaction,Sinus infection,B,Nasal flaring is a sign of respiratory distress in pediatric patients.,AEMT,medium
