emr_id,category,subcategory,question_type,statement,correct_answer,rationale
EMR-TF-251,Trauma,Bleeding Control,true_false,Direct pressure is the first method used to control external bleeding.,TRUE,Direct pressure is the initial and most effective method for controlling external bleeding. Apply firm continuous pressure with a gloved hand and sterile dressing. Most external bleeding can be controlled with direct pressure alone.
EMR-TF-252,Trauma,Bleeding Control,true_false,Arterial bleeding is characterized by bright red blood that spurts with each heartbeat.,TRUE,Arterial blood is oxygenated and bright red. Because arteries carry blood under high pressure from the heart arterial bleeding spurts in rhythm with the pulse. Arterial bleeding is life-threatening and requires immediate control.
EMR-TF-253,Trauma,Bleeding Control,true_false,Venous bleeding is characterized by dark red blood that flows steadily.,TRUE,Venous blood is deoxygenated giving it a darker red color. Veins carry blood under lower pressure so bleeding flows steadily rather than spurting. Venous bleeding can still be serious especially from large veins.
EMR-TF-254,Trauma,Bleeding Control,true_false,Capillary bleeding oozes slowly and usually clots on its own.,TRUE,Capillary bleeding involves the smallest blood vessels and oozes slowly. It is usually dark red and often clots spontaneously. Capillary bleeding is typically not life-threatening but still requires cleaning and appropriate wound care.
EMR-TF-255,Trauma,Bleeding Control,true_false,Tourniquets should only be used as a last resort after all other methods have failed.,FALSE,Current evidence supports early tourniquet use for life-threatening extremity hemorrhage. Tourniquets are now recommended as a first-line treatment for severe limb bleeding not as a last resort. Early tourniquet application saves lives.
EMR-TF-256,Trauma,Bleeding Control,true_false,A tourniquet should be applied 2-3 inches above the wound on the extremity.,TRUE,Place the tourniquet 2-3 inches above the wound on the arm or leg proximal to the injury. Do not place over a joint. Tighten until bleeding stops and note the time of application. Do not cover the tourniquet.
EMR-TF-257,Trauma,Bleeding Control,true_false,Once applied a tourniquet should not be loosened in the field.,TRUE,Once a tourniquet is applied and bleeding is controlled it should not be loosened in the field. Loosening can release clots and cause additional blood loss. Tourniquet removal should only be done by a physician in a controlled setting.
EMR-TF-258,Trauma,Bleeding Control,true_false,Wound packing involves pushing gauze deep into a wound to control internal bleeding.,TRUE,For deep wounds that cannot be controlled with direct pressure alone wound packing involves firmly packing gauze into the wound cavity to apply pressure from within. Pack tightly and maintain pressure on top of the packing.
EMR-TF-259,Trauma,Bleeding Control,true_false,Pressure points can help control bleeding by compressing an artery against a bone.,TRUE,Pressure points are locations where arteries can be compressed against underlying bone to reduce blood flow to a wound. Common sites include brachial artery in the arm and femoral artery in the groin. Used in addition to direct pressure.
EMR-TF-260,Trauma,Bleeding Control,true_false,Elevation of an injured extremity helps reduce bleeding by decreasing blood flow to the area.,TRUE,Elevating an injured extremity above the level of the heart uses gravity to reduce blood pressure and flow to the wound. Elevation is used in conjunction with direct pressure not as a replacement for it.
EMR-TF-261,Trauma,Shock,true_false,Shock occurs when the circulatory system fails to provide adequate perfusion to body tissues.,TRUE,Shock is inadequate tissue perfusion regardless of cause. When cells do not receive adequate oxygen and nutrients they begin to fail. Shock can result from blood loss pump failure vessel dilation or obstruction to blood flow.
EMR-TF-262,Trauma,Shock,true_false,Hypovolemic shock is caused by loss of blood or body fluids.,TRUE,Hypovolemic shock results from decreased blood volume due to hemorrhage severe dehydration burns or other fluid loss. The heart has insufficient volume to pump resulting in decreased perfusion. Treatment includes stopping bleeding and fluid replacement.
EMR-TF-263,Trauma,Shock,true_false,Early signs of compensated shock include rapid heart rate pale cool clammy skin and anxiety.,TRUE,In compensated shock the body attempts to maintain blood pressure through vasoconstriction and increased heart rate. Signs include tachycardia pale cool diaphoretic skin narrowing pulse pressure and altered mental status like anxiety or restlessness.
EMR-TF-264,Trauma,Shock,true_false,Hypotension is an early sign of shock that appears before other symptoms.,FALSE,Hypotension is a late sign of shock indicating decompensation. The body can maintain blood pressure through compensatory mechanisms until approximately 30% of blood volume is lost. Earlier signs include tachycardia and skin changes.
EMR-TF-265,Trauma,Shock,true_false,Treatment of shock includes controlling bleeding maintaining body temperature and positioning appropriately.,TRUE,Shock treatment priorities include controlling hemorrhage maintaining airway and breathing providing oxygen preventing heat loss keeping patient calm positioning appropriately and rapid transport. Specific treatments depend on shock type.
EMR-TF-266,Trauma,Shock,true_false,The shock position elevating the legs may help increase blood flow to vital organs.,TRUE,Elevating the legs 6-12 inches can help return blood to the central circulation improving perfusion to vital organs. This position is contraindicated in head injury spinal injury difficulty breathing and some other conditions.
EMR-TF-267,Trauma,Shock,true_false,Children can compensate for blood loss longer than adults and may not show hypotension until very late.,TRUE,Children have excellent compensatory mechanisms and can maintain blood pressure despite significant blood loss. When compensation fails they decompensate rapidly. Do not be reassured by normal blood pressure in an injured child.
EMR-TF-268,Trauma,Wounds,true_false,An abrasion is a wound caused by scraping or rubbing that removes the outer layer of skin.,TRUE,Abrasions are superficial wounds that result from friction removing the epidermis. They are often called road rash or rug burns. Though painful they are typically not serious but should be cleaned to prevent infection.
EMR-TF-269,Trauma,Wounds,true_false,A laceration is a jagged wound caused by tearing of the skin and underlying tissue.,TRUE,Lacerations are irregular wounds with torn edges often caused by blunt trauma or impact with sharp objects. They may have significant contamination and tissue damage. Deep lacerations can involve underlying structures.
EMR-TF-270,Trauma,Wounds,true_false,An incision is a smooth wound made by a sharp cutting object like a knife or glass.,TRUE,Incisions have smooth regular edges caused by sharp objects. They tend to bleed more freely than lacerations because blood vessels are cleanly cut. Despite the clean edges incisions can be deep and damage underlying structures.
EMR-TF-271,Trauma,Wounds,true_false,A puncture wound may appear minor on the surface but can cause deep internal damage.,TRUE,Puncture wounds have small external openings that belie potentially serious internal injury. Objects can damage deep structures including blood vessels nerves and organs. There is high risk of infection as bacteria are carried deep into tissues.
EMR-TF-272,Trauma,Wounds,true_false,An avulsion involves a flap of skin or tissue that is torn loose or completely detached.,TRUE,Avulsions occur when tissue is forcibly separated from the body either as a flap still partially attached or completely detached. If tissue is detached preserve it in moist saline gauze and transport with the patient.
EMR-TF-273,Trauma,Wounds,true_false,An amputation is the complete severing of a body part from the body.,TRUE,Amputation is the complete separation of a limb or body part. Control bleeding from the stump preserve the amputated part wrapped in moist gauze in a plastic bag on ice and transport both patient and part for possible reimplantation.
EMR-TF-274,Trauma,Wounds,true_false,Impaled objects should be removed in the field to control bleeding.,FALSE,Impaled objects should be stabilized in place and not removed in the field. The object may be tamponading bleeding and removal could cause severe hemorrhage. Stabilize with bulky dressings transport with object in place.
EMR-TF-275,Trauma,Wounds,true_false,An evisceration occurs when abdominal organs protrude through an open wound.,TRUE,Evisceration is the protrusion of abdominal contents usually intestines through an abdominal wound. Do not attempt to push organs back in. Cover with moist sterile dressing and occlusive outer layer to prevent drying.
EMR-TF-276,Trauma,Burns,true_false,Burns are classified by depth as superficial partial thickness and full thickness.,TRUE,Superficial burns first degree affect only the epidermis. Partial thickness burns second degree extend into the dermis with blisters. Full thickness burns third degree destroy all skin layers. Depth affects treatment and healing.
EMR-TF-277,Trauma,Burns,true_false,The rule of nines is used to estimate the total body surface area burned in adults.,TRUE,The rule of nines divides the adult body into sections of 9% or multiples. Head is 9% each arm is 9% each leg is 18% anterior trunk is 18% posterior trunk is 18% and perineum is 1%. This helps assess burn severity.
EMR-TF-278,Trauma,Burns,true_false,Cool water should be applied to burns to stop the burning process and relieve pain.,TRUE,Cool running water not ice helps stop the burning process and provides pain relief. Apply for 10-20 minutes for thermal burns. Do not use ice which can cause additional tissue damage. Cover with clean dry dressing after cooling.
EMR-TF-279,Trauma,Burns,true_false,Chemical burns should be irrigated with large amounts of water to dilute and remove the chemical.,TRUE,Chemical burns require copious irrigation with water to dilute and remove the agent. Brush dry chemicals off before irrigating. Continue irrigation for at least 20 minutes or until EMS arrives. Remove contaminated clothing.
EMR-TF-280,Trauma,Burns,true_false,Electrical burns often cause more internal damage than the external burns suggest.,TRUE,Electrical burns cause injury along the path of current through the body. Small entrance and exit wounds may hide significant internal damage to muscles nerves blood vessels and organs. Cardiac monitoring is essential.
EMR-TF-281,Trauma,Burns,true_false,Burn patients are at high risk for hypothermia because damaged skin cannot regulate temperature.,TRUE,Burns destroy the skin's ability to regulate temperature and prevent fluid loss. Burn patients lose heat rapidly and are prone to hypothermia. Keep patients warm with clean dry coverings while avoiding contaminating the burn.
EMR-TF-282,Trauma,Head Injury,true_false,A concussion is a mild traumatic brain injury caused by a bump blow or jolt to the head.,TRUE,Concussion is a form of mild TBI that affects brain function. Symptoms include headache confusion dizziness nausea and memory problems. Most concussions do not involve loss of consciousness. Rest and monitoring are important.
EMR-TF-283,Trauma,Head Injury,true_false,Loss of consciousness even briefly after head trauma indicates potentially serious brain injury.,TRUE,Any loss of consciousness after head trauma indicates the brain was affected significantly. These patients need medical evaluation. Duration of unconsciousness correlates with injury severity but even brief LOC is concerning.
EMR-TF-284,Trauma,Head Injury,true_false,Unequal pupils after head injury can indicate increased pressure inside the skull.,TRUE,Unequal pupils anisocoria with one fixed and dilated pupil after head trauma suggests increased intracranial pressure compressing cranial nerve III. This is a serious sign indicating herniation and need for immediate neurosurgical intervention.
EMR-TF-285,Trauma,Head Injury,true_false,Battle sign bruising behind the ear indicates possible basilar skull fracture.,TRUE,Battle sign is bruising behind the ear mastoid area that appears hours after injury. Along with raccoon eyes and CSF leakage it indicates basilar skull fracture. These patients need careful handling and neurosurgical evaluation.
EMR-TF-286,Trauma,Head Injury,true_false,Patients with head injuries should be monitored for changes in level of consciousness.,TRUE,Level of consciousness is the most sensitive indicator of brain function. Any decrease in mental status worsening confusion increasing lethargy or failure to improve indicates deteriorating brain injury requiring urgent intervention.
EMR-TF-287,Trauma,Spinal Injury,true_false,Spinal injuries should be suspected in patients with significant trauma especially involving the head neck or back.,TRUE,Suspect spinal injury with mechanisms including MVCs falls from height diving accidents sports injuries and any significant trauma. Maintain spinal motion restriction until injury is ruled out at the hospital.
EMR-TF-288,Trauma,Spinal Injury,true_false,Manual inline stabilization means holding the head in alignment with the spine to prevent movement.,TRUE,Manual inline stabilization involves holding the head in a neutral position aligned with the body preventing flexion extension rotation and lateral movement. It should be applied immediately upon suspecting spinal injury and maintained until secured.
EMR-TF-289,Trauma,Spinal Injury,true_false,A patient with a spinal cord injury may have loss of sensation or movement below the injury level.,TRUE,Spinal cord injury can cause paralysis and loss of sensation below the level of injury. Complete injuries cause total loss while incomplete injuries may have some preserved function. Level of injury determines which functions are affected.
EMR-TF-290,Trauma,Spinal Injury,true_false,Cervical spine injuries can be life-threatening because they can affect breathing.,TRUE,The cervical spinal cord contains nerves controlling the diaphragm primary breathing muscle. High cervical injuries can cause respiratory failure. Lower cervical injuries affect arm function. All cervical injuries are potentially devastating.
EMR-TF-291,Trauma,Spinal Injury,true_false,Patients with spinal injuries should not be moved unless necessary for safety or to provide critical care.,TRUE,Movement of patients with suspected spinal injury should be minimized and when necessary performed with proper technique maintaining alignment. Only move for safety threats or to provide life-saving care. Movement requires coordinated team effort.
EMR-TF-292,Trauma,Chest Injury,true_false,An open chest wound can allow air to enter the chest cavity and collapse the lung.,TRUE,An open pneumothorax or sucking chest wound allows air to enter the pleural space during inspiration collapsing the lung. Cover with an occlusive dressing sealed on three sides to allow air to escape but not enter.
EMR-TF-293,Trauma,Chest Injury,true_false,Paradoxical chest wall movement indicates flail chest with multiple rib fractures.,TRUE,Flail chest occurs when a segment of chest wall moves opposite to the rest during breathing due to multiple rib fractures. The flail segment moves in during inspiration and out during expiration impairing ventilation.
EMR-TF-294,Trauma,Chest Injury,true_false,Tension pneumothorax can cause the trachea to deviate away from the affected side.,TRUE,Tension pneumothorax causes progressive air accumulation in the pleural space. Pressure builds pushing the mediastinum and trachea toward the opposite side. This is a late sign indicating severe life-threatening condition.
EMR-TF-295,Trauma,Chest Injury,true_false,Rib fractures are painful and can cause underlying lung injury.,TRUE,Rib fractures are very painful and the sharp ends can puncture the lung causing pneumothorax or hemothorax. Pain causes splinting which reduces breathing depth. Elderly patients are especially vulnerable to complications from rib fractures.
EMR-TF-296,Trauma,Abdominal Injury,true_false,Abdominal injuries may cause internal bleeding that is not visible externally.,TRUE,The abdomen can hold a large amount of blood from injured solid organs like the liver and spleen without external signs. Watch for signs of shock in patients with abdominal trauma. Internal bleeding can be rapidly fatal.
EMR-TF-297,Trauma,Abdominal Injury,true_false,A rigid abdomen with guarding indicates serious intra-abdominal injury.,TRUE,Rigidity and involuntary guarding occur when the peritoneum is irritated by blood or bowel contents. These findings indicate serious injury requiring surgical evaluation. Do not repeatedly palpate a tender abdomen.
EMR-TF-298,Trauma,Abdominal Injury,true_false,The spleen is the most commonly injured organ in blunt abdominal trauma.,TRUE,The spleen located in the left upper quadrant is highly vascular and commonly injured in blunt trauma. Splenic injury can cause massive internal hemorrhage. Left upper quadrant tenderness or referred left shoulder pain Kehr sign suggests splenic injury.
EMR-TF-299,Trauma,Extremity Injury,true_false,DCAP-BTLS is a mnemonic for assessing extremity injuries including deformities contusions abrasions and punctures.,TRUE,DCAP-BTLS reminds providers to assess for Deformities Contusions Abrasions Punctures/Penetrations Burns Tenderness Lacerations and Swelling when examining extremities and other body regions during the secondary assessment.
EMR-TF-300,Trauma,Extremity Injury,true_false,Distal pulses sensation and movement should be checked before and after splinting.,TRUE,Neurovascular status including pulse motor function and sensation distal to an injury should be assessed before and after splinting. Splinting can compromise circulation or nerve function. Reassess frequently and loosen splint if compromise occurs.
