id,category,subcategory,question,option_a,option_b,option_c,option_d,correct_answer,rationale,certification,difficulty
1,Operations,EMS Systems,The EMS system includes:,Only ambulances,Access medical care transportation integration,Only hospitals,Only 911,B,EMS includes public access medical oversight care transportation integration.,AEMT,medium
2,Operations,EMS Systems,Medical direction is provided by:,EMTs,Physician medical director,Hospital administrators,Dispatchers,B,Physician medical director provides medical oversight online and offline.,AEMT,medium
3,Operations,EMS Systems,Online medical direction is:,Protocols and standing orders,Real-time communication with physician,Training only,Quality improvement,B,Online is real-time direction via phone radio or video.,AEMT,medium
4,Operations,EMS Systems,Offline medical direction includes:,Phone consultation,Protocols standing orders training quality improvement,Real-time orders,Direct supervision,B,Offline includes protocols training guidelines developed in advance.,AEMT,medium
5,Operations,EMS Systems,Quality improvement in EMS:,Is not important,Continuously evaluates and improves care,Is only for hospitals,Focuses on billing,B,QI continuously reviews care outcomes to improve system performance.,AEMT,medium
6,Operations,EMS Systems,Research in EMS:,Is unnecessary,Helps develop evidence-based practices,Is only academic,Does not apply to field,B,Research provides evidence base for prehospital practices and protocols.,AEMT,medium
7,Operations,Documentation,Patient care report serves as:,Optional form,Legal medical document,Billing document only,Internal form only,B,PCR is legal document medical record communication tool QI source.,AEMT,medium
8,Operations,Documentation,Minimum documentation includes:,Chief complaint only,Times assessment findings treatment response,Name and address,Transport time only,B,Document times assessment vitals treatment patient response and transport.,AEMT,medium
9,Operations,Documentation,Subjective information includes:,Vital signs,Patient complaints and history symptoms,Physical findings,Test results,B,Subjective is what patient or others tell you; symptoms history.,AEMT,medium
10,Operations,Documentation,Objective information includes:,Patient complaints,Physical findings vital signs observations,Patient history,Symptoms described,B,Objective is what you observe measure examine.,AEMT,medium
11,Operations,Documentation,SOAP format stands for:,Symptoms Options Assessment Plan,Subjective Objective Assessment Plan,Signs Observations Actions Plan,Standard Outline Assessment Protocol,B,SOAP: Subjective Objective Assessment Plan documentation format.,AEMT,medium
12,Operations,Documentation,Pertinent negatives are:,Unimportant findings,Expected findings that are absent,Positive findings,Errors in documentation,B,Pertinent negatives are relevant findings NOT present; help rule out conditions.,AEMT,medium
13,Operations,Documentation,If error made in PCR:,Use white out,Single line through date initial write correct info,Start new form,Ignore the error,B,Draw single line through error initial date write correct information.,AEMT,medium
14,Operations,Documentation,Falsifying documentation:,Is acceptable if minor,Is illegal and unethical,Is allowed sometimes,Has no consequences,B,Falsifying records is illegal unethical and grounds for decertification.,AEMT,medium
15,Operations,Documentation,Late entries to PCR should:,Never be made,Be clearly labeled as late with date and time,Replace original,Be on new form,B,Late entries acceptable if clearly marked as such with date time.,AEMT,medium
16,Operations,Communication,Therapeutic communication includes:,Talking only,Listening empathy appropriate language,Ignoring patient,Technical jargon,B,Therapeutic communication is respectful empathetic patient-centered.,AEMT,medium
17,Operations,Communication,When communicating with patients:,Use medical terms,Use simple clear language at appropriate level,Speak quickly,Assume understanding,B,Use plain language avoid jargon confirm patient understanding.,AEMT,medium
18,Operations,Communication,Non-verbal communication includes:,Only words,Body language eye contact facial expressions,Tone only,Written communication,B,Non-verbal: posture gestures eye contact facial expression touch.,AEMT,medium
19,Operations,Communication,Radio report to hospital should be:,Very detailed,Brief organized relevant information,Casual conversation,Read from protocol,B,Radio report: brief organized age sex chief complaint vitals treatment ETA.,AEMT,medium
20,Operations,Communication,SBAR stands for:,Symptoms Background Assessment Report,Situation Background Assessment Recommendation,Signs Baseline Action Response,Standard Baseline Assessment Report,B,SBAR: Situation Background Assessment Recommendation format.,AEMT,medium
21,Operations,Legal,Scope of practice is defined by:,Individual provider,State law regulations and medical direction,Federal law only,Hospital policy,B,Scope defined by state laws regulations protocols medical direction.,AEMT,medium
22,Operations,Legal,Standard of care is:,Minimum care,Care expected of similarly trained provider in similar situation,Maximum possible care,Hospital protocol only,B,Standard of care is what competent provider would do in similar circumstances.,AEMT,medium
23,Operations,Legal,Negligence requires:,Intent to harm,Duty breach causation damages,Bad outcome only,Patient complaint only,B,Negligence requires proof of all four elements.,AEMT,medium
24,Operations,Legal,Duty to act exists when:,You see an accident,You are on duty or have begun care,Only at work,Only with protocols,B,Duty exists when on duty as EMS or after initiating patient care.,AEMT,medium
25,Operations,Legal,Breach of duty is:,Failing to meet standard of care,Causing injury,Patient dissatisfaction,Any error,A,Breach is failure to perform according to standard of care.,AEMT,medium
26,Operations,Legal,Proximate cause means:,Direct relationship,Breach directly caused injury,Patient complaint,Time relationship,A,Proximate cause links breach of duty directly to harm.,AEMT,medium
27,Operations,Legal,Damages in negligence refers to:,Lawsuit,Actual harm or injury to patient,Emotional upset,Inconvenience,B,Damages are actual physical psychological or financial harm.,AEMT,medium
28,Operations,Legal,Patient autonomy means:,Provider decides care,Competent patients decide their own care,Hospital decides,Family decides always,B,Autonomy is patient right to make informed decisions about care.,AEMT,medium
29,Operations,Legal,Informed consent requires:,Signature only,Explanation of treatment risks benefits alternatives,Written form always,Medical director approval,B,Informed consent requires patient understand what how why risks alternatives.,AEMT,medium
30,Operations,Legal,Minors can consent for themselves when:,Never,Emancipated or in certain situations,Only with parent,Only at age 21,B,Emancipated minors or specific situations like pregnancy may self-consent.,AEMT,medium
31,Operations,Legal,Confidentiality can be broken when:,Never,Required by law or patient consents,Family requests,For convenience,B,Share information only with legitimate need or legal requirement.,AEMT,medium
32,Operations,Legal,EMTALA requires:,Billing before treatment,Medical screening and stabilization regardless of payment,DNR compliance,Patient transport,B,EMTALA requires emergency screening and stabilization.,AEMT,medium
33,Operations,Legal,Good Samaritan laws:,Protect all providers,May protect off-duty providers acting in good faith,Guarantee immunity,Require assistance,B,Good Samaritan may protect volunteer good faith assistance.,AEMT,medium
34,Operations,Legal,Advance directives include:,Treatment protocols,Living wills DNR POLST,Hospital policies,EMS protocols,B,Advance directives are legal documents expressing patient wishes.,AEMT,medium
35,Operations,Legal,DNR orders:,Prevent all treatment,Only prevent resuscitation for cardiac arrest,Prevent transport,Prevent pain management,B,DNR only applies to cardiac arrest not other treatments.,AEMT,medium
36,Operations,Safety,Lifting should be done with:,Back muscles,Legs keeping back straight,Arms only,Any muscles,B,Lift with legs not back; keep back straight weight close to body.,AEMT,medium
37,Operations,Safety,When carrying patient on stairs:,Go fast,Keep stretcher as horizontal as possible,Always head first,Always feet first,B,Keep stretcher level; head end may be elevated going up.,AEMT,medium
38,Operations,Safety,Body mechanics for reaching:,Reach as far as possible,Keep weight close minimize reaching,Twist while reaching,Stand on toes,B,Keep weight close minimize reaching avoid twisting.,AEMT,medium
39,Operations,Safety,Safe lifting weight limit:,No limit,Consider patient weight provider strength equipment,100 lbs always,200 lbs always,B,Consider total weight providers available and proper equipment.,AEMT,medium
40,Operations,Safety,Ambulance crashes most often occur:,At night,At intersections,On highways,In parking lots,B,Most ambulance crashes occur at intersections.,AEMT,medium
41,Operations,Safety,Due regard when driving means:,Ignoring traffic laws,Driving safely while others yield,Full exemption from laws,Driving fast,B,Due regard means driving carefully responsibly even with emergency privileges.,AEMT,medium
42,Operations,Safety,Lights and sirens:,Guarantee right of way,Increase risk and should be used appropriately,Are always required,Are never effective,B,Lights and sirens increase crash risk; use judiciously.,AEMT,medium
43,Operations,Safety,Seat belts in ambulance:,Are optional,Should be worn whenever possible,Are not required,Interfere with patient care,B,Wear seat belts; secure patients and equipment for transport.,AEMT,medium
44,Operations,Safety,Hostile or dangerous scenes require:,Immediate entry,Staging until scene is safe,Ignoring danger,Entering alone,B,Stage at safe distance until law enforcement secures scene.,AEMT,medium
45,Operations,Safety,Crime scene preservation:,Is not EMS responsibility,Is important but patient care comes first,Prevents patient care,Is only for police,B,Preserve evidence when possible but patient care is priority.,AEMT,medium
46,Operations,Special Populations,Pediatric patients require:,Same treatment as adults,Age-appropriate equipment and techniques,Only hospital care,No prehospital care,B,Pediatric care requires appropriate sized equipment and modified techniques.,AEMT,medium
47,Operations,Special Populations,Pediatric assessment triangle assesses:,Only ABC,Appearance work of breathing circulation to skin,Vital signs only,Age only,B,PAT: quick general impression appearance breathing circulation.,AEMT,medium
48,Operations,Special Populations,Pediatric vital signs:,Are same as adult,Vary by age,Are always faster,Are always slower,B,Pediatric vital signs vary by age; know normal ranges.,AEMT,medium
49,Operations,Special Populations,Normal pediatric systolic BP can be estimated:,Same as adults,70 + 2 x age in years for children 1-10,Always 90,Always 120,B,Systolic BP lower limit: 70 plus 2 times age for children 1-10.,AEMT,medium
50,Operations,Special Populations,Fontanelles in infants:,Are abnormal,Are soft spots useful for assessment,Should be firm,Are not important,B,Fontanelles are normal; sunken suggests dehydration bulging suggests increased ICP.,AEMT,medium
51,Operations,Special Populations,Pediatric airway differs from adult:,No difference,Larger tongue smaller airway more anterior airway,Larger airway,Same proportions,B,Pediatric: proportionally larger tongue smaller airway more anterior higher larynx.,AEMT,medium
52,Operations,Special Populations,Pediatric dehydration signs include:,Weight gain,Decreased tears dry mucous membranes sunken fontanelle,Bulging fontanelle,Increased urine,B,Dehydration: decreased tears dry mouth sunken fontanelle poor skin turgor.,AEMT,medium
53,Operations,Special Populations,Child abuse indicators include:,Single bruise,Multiple injuries inconsistent history delayed care,Normal injuries,Minor injuries,B,Abuse: multiple injuries various stages inconsistent history caregiver inconsistency.,AEMT,medium
54,Operations,Special Populations,Mandatory reporting of child abuse:,Is optional,Is required by law in all states,Requires proof,Only for severe abuse,B,Healthcare providers are mandatory reporters; report suspected abuse.,AEMT,medium
55,Operations,Special Populations,Geriatric patients may have:,Same physiology as young adults,Decreased physiologic reserve altered response,Better compensation,Faster healing,B,Elderly have decreased reserve blunted responses atypical presentations.,AEMT,medium
56,Operations,Special Populations,Elderly patients may not show:,Any symptoms,Typical signs like fever or tachycardia,Pain,Confusion,B,Elderly may have atypical presentations; normal vitals despite serious illness.,AEMT,medium
57,Operations,Special Populations,Polypharmacy in elderly means:,One medication,Multiple medications increasing interaction risk,No medications,Over-the-counter only,B,Polypharmacy is multiple medications with interaction and side effect risks.,AEMT,medium
58,Operations,Special Populations,Falls in elderly:,Are minor,May indicate serious underlying problem,Are always mechanical,Never cause injury,B,Falls may indicate infection UTI cardiac neuro or medication problems.,AEMT,medium
59,Operations,Special Populations,Elder abuse includes:,Only physical abuse,Physical neglect emotional financial abuse,Only financial,Only neglect,B,Elder abuse includes physical emotional neglect financial and sexual abuse.,AEMT,medium
60,Operations,Special Populations,Patients with disabilities:,Cannot communicate,Can often communicate with modifications and patience,Should be ignored,Always have caregivers,B,Use patience alternative communication involve patient in care.,AEMT,medium
61,Operations,Special Populations,Hearing impaired patients may benefit from:,Shouting,Face-to-face communication writing,Talking faster,Ignoring them,B,Face patient speak clearly use writing gestures visual aids.,AEMT,medium
62,Operations,Special Populations,Visually impaired patients should be:,Left alone,Described what is happening and guided verbally,Ignored,Touched without warning,B,Explain what you are doing describe environment guide verbally.,AEMT,medium
63,Operations,Special Populations,Patients with developmental disabilities:,Cannot understand,May understand with simple clear communication,Should be restrained,Are always aggressive,B,Use simple language patience involve caregivers familiar with patient.,AEMT,medium
64,Operations,Special Populations,Patients with autism may:,Never communicate,Be sensitive to stimuli benefit from calm approach,Always be nonverbal,Always be aggressive,B,ASD: may be sensitive to touch noise light; use calm predictable approach.,AEMT,medium
65,Operations,Special Populations,Bariatric patients may require:,Standard equipment,Specialized equipment larger team members,No special consideration,Smaller equipment,B,May need bariatric stretchers larger BP cuffs more personnel.,AEMT,medium
66,Operations,Special Populations,Homeless patients:,Do not deserve care,Deserve respectful nonjudgmental care,Should be refused,Are always intoxicated,B,All patients deserve respectful professional care regardless of status.,AEMT,medium
67,Operations,Special Populations,Pregnant patients in third trimester:,Should lie flat,Should be positioned on left side to prevent IVC compression,Need no special positioning,Should sit upright always,B,Left lateral position prevents supine hypotension from IVC compression.,AEMT,medium
