emr_id,category,subcategory,question_type,question,option_a,option_b,option_c,option_d,correct_answer,rationale
EMR-SCEN-246,Special Populations,Pediatric Assessment,scenario,You respond to an ill 18-month-old. From across the room you notice she is lying limp in mother's arms not looking around not interested in you and makes weak sounds when moved. Her breathing appears fast and she looks pale. Using the PAT what is your impression?,She is sleeping normally,Abnormal appearance limp disinterested weak cry. Work of breathing increased. Circulation abnormal pallor. All three PAT components are abnormal indicating a seriously ill child requiring immediate intervention,She is just shy around strangers,Children this age always appear this way,B,The PAT shows abnormal appearance not interactive limp increased work of breathing and abnormal circulation pale. A child with all three PAT components abnormal is critically ill. This requires immediate assessment and intervention.
EMR-SCEN-247,Special Populations,Pediatric Respiratory,scenario,A 2-year-old has a barking cough that sounds like a seal. He has inspiratory stridor and mild retractions. No drooling and he has had cold symptoms for 2 days. Fever is 101°F. What condition is this likely to be?,Epiglottitis,Croup. The barking cough gradual onset after cold symptoms mild fever and absence of drooling suggest viral croup not epiglottitis. Keep him calm provide humidified oxygen if available and transport,Asthma,Foreign body aspiration,B,Croup presents with barking cough and stridor after viral illness with gradual onset. Epiglottitis has rapid onset high fever drooling and toxic appearance. Croup is managed with calm environment cool mist and monitoring for worsening.
EMR-SCEN-248,Special Populations,Pediatric Respiratory,scenario,A 4-year-old has sudden onset high fever drooling and difficulty breathing. He is sitting tripod leaning forward with his neck extended. He looks very ill and has stridor. He has not been coughing. What do you suspect and what should you avoid?,Croup. Look in his throat to confirm diagnosis,Epiglottitis. Do NOT examine his throat or lay him down as this could trigger complete airway obstruction. Allow position of comfort provide blow-by oxygen and transport immediately for emergency airway management,Asthma. Give a breathing treatment,Foreign body. Perform back blows,B,Rapid onset high fever drooling tripod posture and toxic appearance without cough suggest epiglottitis. Never examine the throat or force the child to lie down as this can cause complete obstruction. This is an airway emergency.
EMR-SCEN-249,Special Populations,Pediatric Respiratory,scenario,An 8-year-old known asthmatic is in moderate respiratory distress. She is using accessory muscles and has audible wheezing. SpO2 is 91%. She has her prescribed albuterol inhaler. What should you do?,Withhold her inhaler and transport immediately,Give oxygen and assist with her prescribed albuterol inhaler. Bronchodilators can provide rapid relief. Monitor closely for improvement or deterioration. If severe distress or no improvement transport urgently,Tell her to breathe into a paper bag,Wait for ALS before giving any treatment,B,Asthma with moderate distress and hypoxia needs oxygen and bronchodilator. Assist with her prescribed inhaler per protocol. Multiple treatments may be needed. Monitor for improvement. Worsening or severe distress requires urgent transport.
EMR-SCEN-250,Special Populations,Pediatric Respiratory,scenario,A 6-year-old was eating peanuts when he suddenly started choking coughing and wheezing. Now he has decreased breath sounds on the right side and persistent cough. What should you suspect?,Asthma triggered by peanut allergy,Foreign body aspiration. Sudden onset while eating with unilateral findings suggests an aspirated foreign body. Peanuts are a common culprit. If he is coughing effectively do not interfere. Transport for bronchoscopy if symptoms persist,Pneumonia,Anxiety attack,B,Sudden onset respiratory distress while eating with unilateral decreased breath sounds suggests foreign body aspiration. If the child is coughing effectively and moving air allow continued coughing. Transport for evaluation and possible bronchoscopic removal.
EMR-SCEN-251,Special Populations,Pediatric Cardiac,scenario,A 5-year-old collapsed during soccer and is unresponsive. He has no pulse and is not breathing. What should you do and what should you suspect?,Wait for parents to arrive,Begin CPR immediately and apply AED as soon as available. Sudden cardiac arrest in a child during exertion suggests possible underlying cardiac condition like hypertrophic cardiomyopathy or arrhythmia. Early CPR and defibrillation are critical,He is just tired from running,Only children with heart problems have cardiac arrest,B,Sudden collapse during exertion in a child is cardiac arrest until proven otherwise. Begin immediate CPR and use AED. While pediatric arrest is usually respiratory some children have undiagnosed cardiac conditions. Early intervention is essential for survival.
EMR-SCEN-252,Special Populations,Pediatric Cardiac,scenario,An 8-month-old has a heart rate of 60 beats per minute. She is lethargic with mottled skin and weak cry. Her breathing is shallow at 15 breaths per minute. What does the bradycardia indicate?,This is a normal heart rate for an infant,Bradycardia in an infant indicates severe distress likely from hypoxia. Normal infant HR is 100-160. A rate of 60 with other signs indicates this baby is in critical condition. Provide immediate ventilatory support with BVM and prepare for CPR,The monitor must be malfunctioning,She is just sleeping deeply,B,Infant heart rate of 60 is critically low. Normal is 100-160. Bradycardia in infants usually results from hypoxia. Provide immediate positive pressure ventilation. If HR remains below 60 despite effective ventilation begin chest compressions. This is a pre-arrest state.
EMR-SCEN-253,Special Populations,Pediatric Trauma,scenario,A 3-year-old fell from a second-story window landing on grass. She is alert and crying with no obvious external injuries. Her mother says she seems fine. Should she go to the hospital?,No if she is alert and crying she is fine,Yes. Falls from significant height especially in children require evaluation regardless of initial appearance. Children compensate well and can have serious internal injuries without external signs. Transport for thorough evaluation,Only if she loses consciousness,Only if she stops crying,B,Significant mechanism of injury like fall from height warrants evaluation even if the child appears well initially. Children can have serious injuries without external findings. Their ability to compensate can mask internal bleeding or organ injury.
EMR-SCEN-254,Special Populations,Pediatric Trauma,scenario,A 7-year-old restrained passenger has a seatbelt mark across his abdomen. He complains of abdominal pain. Vitals are HR 132 RR 24 BP 88/60. He is pale. What should you suspect?,He is just scared,Internal abdominal injury from seatbelt. The seatbelt sign and pain indicate significant force was applied. His tachycardia pallor and borderline low BP suggest he may be bleeding internally. Rapid transport to trauma center is needed,The seatbelt protected him from injury,His vitals are normal for his age,B,Seatbelt sign with abdominal pain indicates significant force and high likelihood of internal injury. The vital signs showing tachycardia and low-normal BP with pallor suggest compensated shock. Children maintain BP until late. Transport rapidly.
EMR-SCEN-255,Special Populations,Pediatric Medical,scenario,A 4-year-old has had a seizure lasting 8 minutes and is still seizing. This is his first seizure. His temperature is 104°F. He was sick with a cold yesterday. What type of seizure is this and why is duration concerning?,Simple febrile seizure which always lasts this long,Status epilepticus. While this may have started as a febrile seizure any seizure lasting over 5 minutes is status epilepticus requiring emergency treatment. Prolonged seizures cause brain injury. Transport immediately while providing supportive care,He will stop on his own eventually,This is a normal febrile seizure,B,Any seizure lasting more than 5 minutes is status epilepticus regardless of initial cause. Prolonged seizure activity causes hypoxia hyperthermia and brain damage. This child needs immediate transport and medication to stop the seizure.
