emr_id,category,subcategory,question_type,statement,correct_answer,rationale
EMR-TF-001,EMS Systems,Certification Levels,true_false,The Emergency Medical Responder (EMR) is the entry-level certification in the EMS system designed to provide immediate lifesaving care while waiting for higher-level EMS providers.,TRUE,The EMR is the first level of EMS certification. EMRs are trained to provide basic emergency care including CPR bleeding control and assisting with certain medications until EMTs or paramedics arrive to provide additional care and transport.
EMR-TF-002,EMS Systems,Certification Levels,true_false,Emergency Medical Technicians (EMTs) can perform all the same skills as paramedics including starting IVs and administering medications.,FALSE,EMTs and paramedics have different scopes of practice. Paramedics receive more extensive training and can perform advanced skills including IV and IO access medication administration advanced airway management and cardiac monitoring that EMTs cannot perform.
EMR-TF-003,EMS Systems,Certification Levels,true_false,The four nationally recognized levels of EMS certification from lowest to highest are EMR EMT AEMT and Paramedic.,TRUE,The National EMS Scope of Practice Model establishes four certification levels. EMR is the entry level followed by EMT then Advanced EMT AEMT and finally Paramedic which requires the most training and has the broadest scope of practice.
EMR-TF-004,EMS Systems,Medical Direction,true_false,Medical direction refers to the physician oversight of patient care provided by EMS personnel.,TRUE,Medical direction is physician oversight of EMS patient care. It includes offline or indirect direction through protocols and standing orders and online or direct direction through real-time communication with a physician for specific patient care decisions.
EMR-TF-005,EMS Systems,Medical Direction,true_false,EMRs can perform any procedure they feel is necessary without consulting medical direction or following protocols.,FALSE,EMRs must follow established protocols and operate within their scope of practice under medical direction. They cannot independently decide to perform procedures outside their training and authorization even if they believe it might help the patient.
EMR-TF-006,EMS Systems,Medical Direction,true_false,Standing orders are written protocols that allow EMS providers to perform certain interventions without directly contacting medical control.,TRUE,Standing orders or protocols are predetermined treatment guidelines approved by the medical director that allow providers to initiate specific treatments without real-time physician contact. They represent offline or indirect medical direction.
EMR-TF-007,EMS Systems,Quality Improvement,true_false,Quality improvement in EMS involves reviewing patient care to identify areas for improvement and ensure optimal outcomes.,TRUE,Quality improvement QI is a systematic process of evaluating and improving patient care. It involves reviewing documentation analyzing outcomes identifying trends and implementing changes to protocols or training to improve the quality of care provided.
EMR-TF-008,EMS Systems,Scene Safety,true_false,Scene safety should always be the first priority when responding to any emergency call.,TRUE,Scene safety is always the first priority. An injured rescuer cannot help the patient and may become an additional victim. EMRs must assess for hazards such as traffic violence hazardous materials and unstable structures before approaching patients.
EMR-TF-009,EMS Systems,Scene Safety,true_false,If a scene appears unsafe an EMR should immediately enter to rescue the patient regardless of personal risk.,FALSE,EMRs should never enter an unsafe scene. If hazards are present they should wait at a safe distance until the scene is secured by appropriate personnel such as law enforcement fire department or hazmat teams. Personal safety always comes first.
EMR-TF-010,EMS Systems,Scene Safety,true_false,Body substance isolation BSI precautions should only be used when there is visible blood present.,FALSE,BSI precautions should be used for all patient contacts as any body fluid can potentially transmit infection. Blood saliva vomit urine and other fluids can all carry pathogens. Standard precautions assume all patients are potentially infectious.
EMR-TF-011,EMS Systems,PPE,true_false,Gloves should be worn for all patient contacts regardless of whether blood or body fluids are visible.,TRUE,Gloves are the minimum PPE for all patient contacts. They provide a barrier against pathogens that may not be visible. Gloves should be changed between patients to prevent cross-contamination.
EMR-TF-012,EMS Systems,PPE,true_false,The same pair of gloves can be worn for multiple patients as long as there is no visible contamination.,FALSE,Gloves should be changed between every patient contact regardless of visible contamination. Microorganisms can be present without being visible and using the same gloves between patients can spread infection from one patient to another.
EMR-TF-013,EMS Systems,PPE,true_false,Eye protection should be worn when there is potential for splashing of blood or body fluids.,TRUE,Eye protection such as safety glasses goggles or face shields should be worn whenever there is a risk of blood or body fluid splashing into the eyes. This includes procedures like suctioning or caring for patients who are vomiting or bleeding heavily.
EMR-TF-014,EMS Systems,PPE,true_false,N95 respirators are required for protection against airborne diseases like tuberculosis.,TRUE,N95 respirators filter at least 95% of airborne particles and are required when caring for patients with suspected or confirmed airborne diseases such as tuberculosis measles or chickenpox. Standard surgical masks do not provide adequate protection against airborne pathogens.
