emr_id,category,subcategory,question_type,statement,correct_answer,rationale
EMR-TF-201,CPR/Cardiac,Cardiac Arrest,true_false,Cardiac arrest occurs when the heart stops pumping blood effectively and can result from heart attack drowning or trauma.,TRUE,Cardiac arrest means the heart has stopped contracting effectively. It can result from cardiac causes like heart attack or non-cardiac causes like drowning choking drug overdose or trauma. Without CPR brain death begins within minutes.
EMR-TF-202,CPR/Cardiac,Cardiac Arrest,true_false,Brain damage can begin within 4-6 minutes of cardiac arrest without CPR and AED.,TRUE,The brain is extremely sensitive to oxygen deprivation. Irreversible brain damage begins within 4-6 minutes of cardiac arrest. Early CPR maintains some blood flow to the brain buying time until defibrillation can restore normal rhythm.
EMR-TF-203,CPR/Cardiac,Cardiac Arrest,true_false,The chain of survival includes early recognition early CPR early defibrillation and early advanced care.,TRUE,The chain of survival describes the critical steps for cardiac arrest survival. Each link must be strong for best outcomes including recognizing arrest calling 911 starting CPR using an AED and receiving advanced medical care.
EMR-TF-204,CPR/Cardiac,Cardiac Arrest,true_false,Survival from cardiac arrest decreases by 7-10% for every minute without CPR and defibrillation.,TRUE,Without intervention survival from cardiac arrest decreases approximately 7-10% per minute. CPR alone can double or triple survival. When combined with early defibrillation survival rates can be 50% or higher.
EMR-TF-205,CPR/Cardiac,CPR Technique,true_false,The correct hand placement for adult CPR is on the lower half of the sternum between the nipples.,TRUE,Place the heel of one hand on the lower half of the sternum center of the chest between the nipples. Place the other hand on top. This position allows effective compression of the heart between the sternum and spine.
EMR-TF-206,CPR/Cardiac,CPR Technique,true_false,The recommended compression depth for adult CPR is at least 2 inches but no more than 2.4 inches.,TRUE,Adult compressions should be at least 2 inches 5 cm deep but not exceed 2.4 inches 6 cm. Adequate depth is necessary to generate blood flow but excessive depth can cause injury. Allow full chest recoil between compressions.
EMR-TF-207,CPR/Cardiac,CPR Technique,true_false,The recommended compression rate for CPR is 100-120 compressions per minute for all ages.,TRUE,Compression rate of 100-120 per minute is recommended for all ages. This rate optimizes blood flow. Rates below 100 provide inadequate circulation while rates above 120 reduce compression depth and cardiac filling time.
EMR-TF-208,CPR/Cardiac,CPR Technique,true_false,Full chest recoil between compressions allows the heart to refill with blood.,TRUE,Complete chest recoil is essential because it creates negative pressure that allows blood to fill the heart. Leaning on the chest between compressions prevents refilling reducing the effectiveness of the next compression.
EMR-TF-209,CPR/Cardiac,CPR Technique,true_false,The compression to ventilation ratio for single-rescuer adult CPR is 30:2.,TRUE,For single-rescuer CPR on adults the ratio is 30 compressions to 2 ventilations. This ratio minimizes interruptions to chest compressions which is critical for maintaining blood flow and improving survival.
EMR-TF-210,CPR/Cardiac,CPR Technique,true_false,Interruptions to chest compressions should be minimized because they reduce blood flow to vital organs.,TRUE,Any pause in compressions causes blood flow to drop to zero. It takes several compressions to rebuild adequate pressure. Interruptions should be limited to less than 10 seconds for pulse checks ventilations or AED analysis.
EMR-TF-211,CPR/Cardiac,CPR Technique,true_false,Rescuers performing CPR should switch roles every 2 minutes to prevent fatigue and maintain compression quality.,TRUE,Compression quality deteriorates with fatigue often before the rescuer realizes it. Switching compressors every 2 minutes or approximately every 5 cycles of 30:2 maintains high-quality compressions throughout resuscitation.
EMR-TF-212,CPR/Cardiac,Pediatric CPR,true_false,The compression depth for child CPR is approximately one-third the depth of the chest or about 2 inches.,TRUE,Child compressions should depress the chest about one-third its depth which is approximately 2 inches 5 cm. This is slightly less than adult depth because children have smaller more compliant chests.
EMR-TF-213,CPR/Cardiac,Pediatric CPR,true_false,The compression depth for infant CPR is approximately one-third the depth of the chest or about 1.5 inches.,TRUE,Infant compressions should be about one-third chest depth which is approximately 1.5 inches 4 cm. Use two fingers for single rescuer or encircling thumbs technique for two-rescuer infant CPR.
