emr_id,category,subcategory,question_type,question,option_a,option_b,option_c,option_d,correct_answer,rationale
EMR-SCEN-001,Assessment,Scene Size-Up,scenario,You are dispatched to a residential address for a person with difficulty breathing. As you approach the house you notice several people running out the front door and there is a strong smell of gas in the air. What is your first action?,Enter the house immediately to find the patient,Stop at a safe distance and request the fire department to secure the scene before approaching,Put on a dust mask and enter to rescue the patient,Honk your horn to get the patient to come outside,B,Scene safety is always the first priority. The smell of gas indicates a hazardous atmosphere that could cause explosion or harm to rescuers. EMRs should never enter potentially hazardous scenes. Wait at a safe distance and request fire department response.
EMR-SCEN-002,Assessment,Scene Size-Up,scenario,You arrive at a nighttime highway scene where a vehicle has struck a tree. What safety precautions should you take before approaching the crashed car?,Run directly to the car to check on victims,Position your vehicle to protect the scene with emergency lights on wear a reflective vest watch for traffic and check for hazards like leaking fuel,Wait in your vehicle until police arrive,Turn off your headlights to avoid blinding other drivers,B,Nighttime highway scenes present multiple hazards. Position your vehicle as a barrier with emergency lights on. Wear high-visibility clothing. Check for traffic leaking fuel fire and downed power lines before approaching.
EMR-SCEN-003,Assessment,Primary Assessment,scenario,You find a 67-year-old male lying on the kitchen floor. He does not respond to your voice or when you shake his shoulder. What is his AVPU level and what should you do next?,He is Alert. Ask him questions,He is Unresponsive. Check for breathing and pulse. If absent begin CPR,He is Verbal because you spoke to him,He is Pain because you touched him,B,This patient does not respond to verbal or tactile stimuli. On AVPU he is U for Unresponsive. Immediately check for breathing and pulse. If absent begin CPR. If breathing ensure airway is open.
EMR-SCEN-004,Assessment,Primary Assessment,scenario,You approach an unresponsive patient who is breathing but making snoring sounds. His head is flexed forward with chin on chest. What is causing the snoring and what should you do?,The snoring is normal sleep sounds,The snoring indicates partial airway obstruction from the tongue. Perform head-tilt chin-lift to open the airway,Give him oxygen by non-rebreather mask,Roll him onto his stomach,B,Snoring in an unresponsive patient indicates partial upper airway obstruction usually from the tongue falling back. Head-tilt chin-lift lifts the tongue off the airway. Use jaw thrust if spinal injury is suspected.
EMR-SCEN-005,Assessment,Primary Assessment,scenario,After opening the airway the patient is breathing only 6 times per minute with shallow breaths. His lips are bluish. What does this indicate and what should you do?,His breathing is adequate. Apply nasal cannula,His breathing is inadequate causing hypoxia. Assist ventilations with bag-valve-mask and supplemental oxygen,The bluish color is normal,Give oxygen by non-rebreather mask only,B,A respiratory rate of 6 with shallow depth is inadequate ventilation. Cyanosis confirms hypoxia. This patient needs assisted ventilation with BVM providing positive pressure breaths. Passive oxygen alone cannot correct inadequate ventilation.
EMR-SCEN-006,Assessment,Primary Assessment,scenario,You are assessing an alert 45-year-old female with abdominal pain. Her skin is pale cool and moist. Her pulse is rapid and weak. What do these findings suggest?,These are normal findings for someone in pain,These signs suggest shock. Check for bleeding and prepare for rapid transport,She is just nervous about the ambulance,Focus only on her abdominal pain,B,Pale cool moist skin with rapid weak pulse are classic shock signs. Early shock can present with normal mental status while skin signs indicate compensatory vasoconstriction. Assess for cause of shock such as internal bleeding.
EMR-SCEN-007,Assessment,Primary Assessment,scenario,A construction worker fell from scaffolding. He opens his eyes when you speak and tells you his name but is confused about where he is. What is his AVPU level?,Alert,Verbal,Pain,Unresponsive,B,This patient responds to verbal stimuli by opening his eyes when spoken to but is confused. On AVPU he is V for Verbal meaning he responds to verbal stimuli but is not fully alert and oriented.
EMR-SCEN-008,Assessment,Primary Assessment,scenario,The fall victim has obvious deformity of his right thigh with swelling. His skin is pale cool and diaphoretic with weak rapid pulse at 120. What should you suspect?,The leg injury is minor,Suspect internal bleeding and shock. Femur fractures can cause 1-2 liters of blood loss into the thigh,His pulse is fast because of pain,These findings are normal for trauma,B,Femur fractures cause significant internal blood loss of 1000-2000 mL into the thigh. Despite no external bleeding this patient shows compensated shock signs. High-priority patient requiring spinal precautions splinting and rapid transport.
EMR-SCEN-009,Assessment,Primary Assessment,scenario,You find a 72-year-old male in cardiac arrest. His wife says he collapsed 3 minutes ago after clutching his chest. He is unresponsive not breathing with no pulse. What is your immediate action?,Begin chest compressions and call for AED,Check his blood sugar first,Obtain complete history from wife,Perform detailed physical exam,A,For cardiac arrest immediate high-quality CPR and early defibrillation are priorities. Begin compressions immediately while partner gets AED. History can be gathered during CPR. Every minute without CPR decreases survival 7-10%.
EMR-SCEN-010,Assessment,Primary Assessment,scenario,A car accident patient is responsive with neck pain. You need to assess his airway but are concerned about spinal injury. How should you open his airway if needed?,Use head-tilt chin-lift because it works best,Use jaw-thrust maneuver which opens airway without extending the neck,Do not open the airway due to spinal concerns,Wait for paramedics to assess,B,In patients with potential spinal injury jaw-thrust is preferred. It advances the mandible forward lifting the tongue without extending or moving the cervical spine. Maintain manual inline stabilization throughout.
EMR-SCEN-011,Assessment,Primary Assessment,scenario,During primary assessment you discover severe bleeding from a forearm laceration. Blood is spurting in rhythm with heartbeat. What should you do?,Continue assessment and address bleeding during secondary survey,Immediately control bleeding with direct pressure or tourniquet as arterial bleeding is life-threatening,Apply a bandage loosely and continue,This bleeding will stop on its own,B,Spurting blood indicates arterial bleeding which can cause death in minutes. Control life-threatening hemorrhage during primary assessment. Apply direct pressure or tourniquet immediately before continuing other assessment.
EMR-SCEN-012,Assessment,Primary Assessment,scenario,A 28-year-old female was stung by a bee. She says her throat feels tight and her voice is hoarse. She has hives spreading on her chest. HR 118 RR 24 BP 100/60. What emergency is developing?,The hives are the main concern,Throat tightness and hoarse voice indicate anaphylaxis with airway swelling requiring immediate epinephrine and rapid transport,Her vital signs are normal so not serious,She is just anxious about the sting,B,Throat tightness hoarse voice and difficulty swallowing indicate angioedema in anaphylaxis which can progress to complete airway obstruction. Hives and mild hypotension are additional signs. Epinephrine is life-saving treatment.
EMR-SCEN-013,Assessment,Secondary Assessment,scenario,During secondary assessment you palpate a soft boggy area on the back of a trauma patient's skull with crepitus. What does this suggest?,This is a normal finding,This suggests skull fracture. Boggy swelling is blood accumulation and crepitus indicates fractured bone,It is just a bruise,Crepitus means the patient needs oxygen,B,Boggy swelling at the skull with crepitus suggests skull fracture with underlying hematoma indicating significant force and high risk of brain injury. Maintain spinal precautions and transport emergently.
EMR-SCEN-014,Assessment,Secondary Assessment,scenario,You examine a car accident patient's chest. The left chest wall moves inward during inhalation and outward during exhalation opposite of the right side. What is this finding?,Normal breathing mechanics,Paradoxical motion indicating flail chest from multiple rib fractures creating a free-floating segment,The patient is breathing strangely from anxiety,This indicates collapsed lung,B,Paradoxical chest wall movement is the hallmark of flail chest requiring fractures of at least three consecutive ribs in two places. This severely impairs breathing and indicates significant thoracic trauma.
EMR-SCEN-015,Assessment,Secondary Assessment,scenario,A patient punched in the stomach has a rigid board-like abdomen with guarding and rebound tenderness. What do these findings indicate?,He is just ticklish,Rigid abdomen with guarding and rebound indicates peritonitis from likely internal injury requiring surgical evaluation,Normal abdominal findings,He needs antacids,B,Rigid board-like abdomen with involuntary guarding and rebound tenderness indicates peritoneal irritation from internal bleeding ruptured organ or bowel injury. Transport rapidly and monitor for shock.
EMR-SCEN-016,Assessment,Secondary Assessment,scenario,An elderly fall patient has her right foot rotated outward and the leg appears shortened compared to left. No open wound is visible. What injury do you suspect?,Knee sprain,Hip fracture. External rotation and shortening are classic signs especially in elderly patients after falls,Ankle sprain,Legs are naturally different lengths,B,External rotation and shortening of a lower extremity are classic hip fracture signs. Common in elderly after falls. Immobilize in position found and transport for surgical repair.
EMR-SCEN-017,Assessment,SAMPLE History,scenario,A patient with chest pain tells you he is allergic to penicillin takes metoprolol for high blood pressure had a heart attack 2 years ago and pain started 20 minutes ago at rest. Which SAMPLE component is most concerning?,Allergies because penicillin allergy is serious,Past medical history. Prior heart attack with current chest pain strongly suggests another cardiac event,Last oral intake,Events because rest is unusual,B,Prior MI dramatically increases likelihood that current chest pain is cardiac. This patient should be treated as probable cardiac emergency with oxygen aspirin and rapid transport.
EMR-SCEN-018,Assessment,OPQRST,scenario,A 52-year-old male describes chest pain as heavy pressure that started suddenly 30 minutes ago radiating to left arm and jaw rated 8/10 with nothing making it better. What does this suggest?,Muscle strain,Classic acute myocardial infarction pattern. Sudden onset pressure radiating to arm and jaw with high severity are cardiac red flags,Heartburn,Anxiety causing tightness,B,These OPQRST findings describe classic cardiac chest pain requiring emergent treatment with oxygen aspirin positioning for comfort and rapid transport to cardiac care.
EMR-SCEN-019,Assessment,Vital Signs,scenario,A 35-year-old female fainted at work. She is now alert. BP 88/56 HR 112 RR 18 SpO2 97%. She has had vomiting and diarrhea for 2 days. What do her vital signs indicate?,Vital signs are normal,Low BP and elevated HR indicate hypovolemia from dehydration. Tachycardia is compensating for low blood volume,Heart rate elevated from anxiety,SpO2 is good so she is fine,B,Hypotension with compensatory tachycardia indicates hypovolemia. Her history of vomiting and diarrhea explains fluid loss. She needs evaluation for fluid replacement.
EMR-SCEN-020,Assessment,Vital Signs,scenario,An elderly man is confused since yesterday. BP 168/98 HR 88 RR 16 SpO2 95% Temp 101.8F. He is oriented to person only. Which vital sign is most concerning with his symptoms?,Blood pressure because it is elevated,Temperature because fever with acute confusion in elderly strongly suggests infection as the cause,Oxygen saturation,Heart rate,B,Fever combined with acute onset confusion in elderly patients commonly indicates infection such as UTI or pneumonia. Infection often presents with confusion as the primary symptom in elderly.
EMR-SCEN-021,Assessment,Vital Signs,scenario,A 25-year-old collapsed during exercise. He is confused with extremely hot dry skin and no sweating. HR 138 RR 28 estimated temperature very high. What condition is this?,Heat exhaustion,Heat stroke. Hot dry skin indicates sweating mechanism has failed which is life-threatening and requires immediate aggressive cooling,Just tired from exercise,Dehydration,B,Hot dry skin indicates heat stroke where thermoregulation has failed. Normal heat response includes sweating. When sweating stops temperature rises uncontrollably requiring immediate aggressive cooling.
EMR-SCEN-022,Assessment,Vital Signs,scenario,You assess a 6-year-old who fell off her bicycle. HR 110 RR 24 BP 95/60. Her mother asks if these are normal for a child. What do you tell her?,These indicate shock,These vital signs are normal for a 6-year-old. Children have higher heart rates and respiratory rates than adults with lower blood pressures,Heart rate is dangerously high,Blood pressure is too low,B,Pediatric vital signs differ from adults. Normal 6-year-old HR is 70-120 RR is 18-30 and systolic BP is 80-110. This child's vitals are within normal range for her age.
EMR-SCEN-023,Assessment,Pupils,scenario,An unresponsive patient's right pupil is 6mm and non-reactive. The left pupil is 3mm and constricts to light. What is the significance?,Unequal pupils are normal variation,Unequal pupils with one fixed dilated suggests serious brain pathology such as herniation requiring immediate transport to neurosurgical facility,Patient is blind in one eye,Caused by room lighting,B,A unilateral fixed dilated pupil suggests brain herniation or serious intracranial pathology. The pressure is compressing cranial nerve III. Requires immediate transport to facility with neurosurgical capability.
EMR-SCEN-024,Assessment,Reassessment,scenario,A stable trauma patient's BP drops from 128/82 to 96/64 and HR increases from 76 to 118 during transport. Patient is now pale and anxious. What does this indicate?,Patient is improving,Patient is deteriorating and developing shock. Something changed such as internal bleeding worsening. Expedite transport and prepare to manage shock,Blood pressure cuff is broken,Normal changes during transport,B,Trending vitals showing BP drop with compensatory tachycardia and skin changes indicates developing shock. In trauma this suggests bleeding. Increase monitoring and expedite transport.
EMR-SCEN-025,Assessment,Reassessment,scenario,You gave oral glucose to a confused diabetic patient with blood sugar of 48. Five minutes later she is alert and oriented with glucose now 86. What does this tell you?,Treatment was successful. Patient responded well to oral glucose as shown by improved mental status and normalized blood sugar. Continue monitoring and encourage a meal,Improvement is coincidence,Glucometer malfunctioning,Patient is faking,A,Reassessment confirms treatment effectiveness. Mental status improved and blood glucose normalized demonstrating successful hypoglycemia treatment. Continue monitoring as blood sugar can drop again.
