emr_id,category,subcategory,question_type,statement,correct_answer,rationale
EMR-TF-101,Assessment,Scene Size-Up,true_false,Scene size-up should be performed before approaching any patient to identify potential hazards.,TRUE,Scene size-up is the first step upon arrival and includes assessing scene safety determining the mechanism of injury or nature of illness estimating the number of patients and determining what additional resources may be needed.
EMR-TF-102,Assessment,Scene Size-Up,true_false,Standard precautions including gloves should be put on before patient contact as part of scene size-up.,TRUE,Putting on appropriate PPE is part of the scene size-up process. At minimum gloves should be worn for all patient contacts. Additional PPE such as eye protection gowns or masks may be needed based on the situation.
EMR-TF-103,Assessment,Scene Size-Up,true_false,The mechanism of injury can help predict what types of injuries a trauma patient may have.,TRUE,Understanding the mechanism of injury helps providers anticipate injury patterns. For example a frontal impact MVC may cause head face chest and knee injuries while a fall from height may cause spinal injuries and lower extremity fractures.
EMR-TF-104,Assessment,Scene Size-Up,true_false,Nature of illness refers to the medical condition that caused the patient's symptoms in a medical emergency.,TRUE,Nature of illness NOI is used for medical patients similar to how mechanism of injury MOI is used for trauma patients. It describes what medical condition such as chest pain or difficulty breathing is causing the patient's current problem.
EMR-TF-105,Assessment,Primary Assessment,true_false,The primary assessment is performed to identify and treat immediately life-threatening conditions.,TRUE,The primary assessment focuses on finding and treating conditions that will kill the patient in minutes if not addressed. This includes airway obstruction respiratory failure severe bleeding and shock. The order is scene safety general impression airway breathing circulation.
EMR-TF-106,Assessment,Primary Assessment,true_false,The correct order of the primary assessment is Circulation Airway Breathing.,FALSE,The traditional primary assessment order is Airway Breathing Circulation ABC. Some newer protocols use CAB Circulation Airway Breathing for cardiac arrest to emphasize early compressions but for general assessment ABC remains standard.
EMR-TF-107,Assessment,Primary Assessment,true_false,The general impression is formed in the first few seconds of patient contact and indicates how sick the patient appears.,TRUE,The general impression is an across-the-room assessment of the patient's overall condition. It includes observing the patient's level of consciousness apparent distress skin color and obvious injuries or conditions. It helps prioritize care urgency.
EMR-TF-108,Assessment,Primary Assessment,true_false,AVPU is a scale used to rapidly assess a patient's level of consciousness.,TRUE,AVPU stands for Alert responds to Verbal stimuli responds to Painful stimuli and Unresponsive. It provides a quick assessment of mental status. A patient who is A is alert and oriented. V responds only when spoken to. P responds only to pain. U has no response.
EMR-TF-109,Assessment,Primary Assessment,true_false,A patient who only responds when you pinch their shoulder would be classified as P on the AVPU scale.,TRUE,A patient who responds to Painful stimuli but not verbal stimuli is classified as P on AVPU. This indicates significantly altered mental status requiring close monitoring and potentially indicating serious underlying conditions.
EMR-TF-110,Assessment,Primary Assessment,true_false,An open airway means that air can move freely from the environment into and out of the lungs.,TRUE,An open or patent airway allows unobstructed airflow. Obstructions can include the tongue in unconscious patients foreign bodies blood secretions or swelling. Ensuring an open airway is the first priority after determining the patient is unresponsive.
EMR-TF-111,Assessment,Primary Assessment,true_false,The head-tilt chin-lift maneuver should be used to open the airway in all patients.,FALSE,The head-tilt chin-lift is used for patients without suspected spinal injury. For patients with possible spine injury the jaw-thrust maneuver should be used as it opens the airway without extending the neck.
EMR-TF-112,Assessment,Primary Assessment,true_false,Breathing assessment includes checking if breathing is present and whether it is adequate in rate and depth.,TRUE,Breathing assessment involves determining if the patient is breathing if breathing is adequate normal rate depth and effort and if supplemental oxygen or ventilation assistance is needed. Look for chest rise listen for breath sounds and feel for air movement.
EMR-TF-113,Assessment,Primary Assessment,true_false,A respiratory rate of 24 breaths per minute in an adult indicates normal breathing.,FALSE,Normal adult respiratory rate at rest is 12-20 breaths per minute. A rate of 24 is elevated tachypnea and may indicate respiratory distress pain fever or other conditions. The cause should be identified and addressed.
EMR-TF-114,Assessment,Primary Assessment,true_false,Circulation assessment includes checking pulse skin color temperature moisture and capillary refill.,TRUE,Circulation assessment evaluates whether blood is circulating adequately. This includes checking for presence and quality of pulse assessing skin signs color temperature moisture and checking capillary refill time. Abnormalities suggest shock or circulatory compromise.
EMR-TF-115,Assessment,Primary Assessment,true_false,Capillary refill time is checked by pressing on the nail bed and timing how long it takes for color to return.,TRUE,Capillary refill is assessed by pressing on the nail bed until it blanches white then releasing and counting seconds until normal color returns. Normal refill is less than 2 seconds. Delayed refill may indicate poor perfusion.
EMR-TF-116,Assessment,Primary Assessment,true_false,All major bleeding should be controlled during the primary assessment before moving to the secondary assessment.,TRUE,Life-threatening hemorrhage must be controlled during the primary assessment as part of the circulation check. Uncontrolled major bleeding can cause death in minutes. Control bleeding before proceeding to secondary assessment.
EMR-TF-117,Assessment,Secondary Assessment,true_false,The secondary assessment is a systematic head-to-toe examination to identify injuries or conditions not found in the primary assessment.,TRUE,The secondary assessment is a more detailed examination performed after life threats are addressed. It involves systematically examining the entire body from head to toe using inspection palpation and auscultation to identify all injuries or conditions.
EMR-TF-118,Assessment,Secondary Assessment,true_false,DCAP-BTLS is a mnemonic used during the secondary assessment to identify signs of trauma.,TRUE,DCAP-BTLS stands for Deformities Contusions Abrasions Punctures/Penetrations Burns Tenderness Lacerations and Swelling. It reminds providers what to look and feel for during the physical examination of each body region.
EMR-TF-119,Assessment,Secondary Assessment,true_false,The secondary assessment should be skipped if the patient has an immediately life-threatening condition.,TRUE,If the patient has critical life threats that require ongoing management such as CPR or severe hemorrhage transport should not be delayed for a complete secondary assessment. A rapid focused assessment or secondary assessment during transport may be performed instead.
EMR-TF-120,Assessment,Secondary Assessment,true_false,SAMPLE history includes asking about Signs/Symptoms Allergies Medications Past history Last oral intake and Events.,TRUE,SAMPLE is a mnemonic for obtaining patient history. S is signs and symptoms A is allergies M is medications P is past medical history L is last oral intake and E is events leading up to the emergency.
EMR-TF-121,Assessment,Secondary Assessment,true_false,OPQRST is used to assess the characteristics of a patient's pain or chief complaint.,TRUE,OPQRST helps thoroughly assess pain or other complaints. O is onset P is provocation/palliation Q is quality R is radiation S is severity usually 1-10 scale and T is time or duration.
EMR-TF-122,Assessment,Vital Signs,true_false,Vital signs include blood pressure pulse respiratory rate and oxygen saturation.,TRUE,Vital signs are objective measurements of basic body functions. Standard vital signs include blood pressure heart rate pulse respiratory rate temperature and pulse oximetry SpO2. They provide important information about the patient's condition.
EMR-TF-123,Assessment,Vital Signs,true_false,Normal adult resting heart rate is 60-100 beats per minute.,TRUE,Normal adult resting heart rate ranges from 60-100 beats per minute. Athletes may have lower resting rates. Rates above 100 tachycardia or below 60 bradycardia may indicate various conditions depending on context.
EMR-TF-124,Assessment,Vital Signs,true_false,Normal adult blood pressure is approximately 120/80 mmHg.,TRUE,120/80 mmHg is considered normal adult blood pressure. The top number systolic is pressure during heart contraction. The bottom number diastolic is pressure during heart relaxation. Significant variations may indicate hypertension or hypotension.
EMR-TF-125,Assessment,Vital Signs,true_false,Hypotension is defined as a systolic blood pressure below 90 mmHg in adults.,TRUE,While definitions vary systolic blood pressure below 90 mmHg is generally considered hypotension in adults. Hypotension can indicate shock blood loss dehydration cardiac problems or other serious conditions requiring intervention.
EMR-TF-126,Assessment,Vital Signs,true_false,The pulse should be assessed for rate rhythm and strength.,TRUE,When checking pulse assess rate how many beats per minute rhythm regular or irregular and strength strong weak or thready. These characteristics provide information about cardiac function and perfusion status.
EMR-TF-127,Assessment,Vital Signs,true_false,The radial pulse is the preferred pulse check location for unresponsive patients.,FALSE,For unresponsive patients the carotid pulse in the neck is preferred because central pulses remain palpable longer than peripheral pulses when blood pressure drops. The radial pulse may be absent in shock while the carotid is still present.
EMR-TF-128,Assessment,Vital Signs,true_false,In infants the brachial pulse is the preferred location for pulse assessment.,TRUE,The brachial pulse on the inside of the upper arm is preferred for infants because their short necks make carotid assessment difficult. The brachial is also used for blood pressure measurement in children.
EMR-TF-129,Assessment,Vital Signs,true_false,Pulse oximetry measures the percentage of hemoglobin saturated with oxygen.,TRUE,Pulse oximetry SpO2 measures oxygen saturation the percentage of hemoglobin molecules carrying oxygen. Normal SpO2 is 94-100% on room air. Values below 94% may indicate hypoxia and need for supplemental oxygen.
EMR-TF-130,Assessment,Vital Signs,true_false,Pulse oximetry readings are always accurate and do not have any limitations.,FALSE,Pulse oximetry has limitations. It may be inaccurate with poor circulation carbon monoxide poisoning which gives falsely normal readings dark nail polish or excessive patient movement. It measures saturation not oxygen delivery to tissues.
EMR-TF-131,Assessment,Vital Signs,true_false,Normal body temperature is approximately 98.6 degrees Fahrenheit or 37 degrees Celsius.,TRUE,Normal core body temperature is approximately 98.6°F or 37°C. Temperature may vary slightly by measurement site and throughout the day. Fever is generally defined as temperature above 100.4°F or 38°C.
EMR-TF-132,Assessment,Vital Signs,true_false,Vital signs should be reassessed regularly to monitor changes in patient condition.,TRUE,Vital signs should be rechecked at regular intervals typically every 5 minutes for unstable patients and every 15 minutes for stable patients. Changes in vital signs may indicate improvement or deterioration and guide treatment decisions.
EMR-TF-133,Assessment,Vital Signs,true_false,A patient's baseline vital signs are the normal values for that individual which may differ from standard normal ranges.,TRUE,Baseline vital signs are what is normal for a specific patient. An athlete might have a normal resting HR of 50 while a hypertensive patient might normally have BP of 150/90. Changes from baseline may be more significant than absolute values.
EMR-TF-134,Assessment,Skin Assessment,true_false,Skin color can indicate the patient's perfusion and oxygenation status.,TRUE,Skin color provides important information. Pale skin may indicate poor perfusion or blood loss. Cyanosis blue indicates hypoxia. Flushed red skin may indicate fever or carbon monoxide poisoning. Jaundice yellow indicates liver problems.
EMR-TF-135,Assessment,Skin Assessment,true_false,Diaphoresis profuse sweating may be a sign of shock pain or cardiac emergency.,TRUE,Diaphoresis is profuse sweating beyond what temperature regulation requires. It can indicate shock heart attack hypoglycemia severe pain or other distress. It is often described as cold clammy skin when combined with pallor.
EMR-TF-136,Assessment,Skin Assessment,true_false,Cool moist pale skin is a classic sign of shock.,TRUE,The combination of cool moist pale skin is classic for shock. As the body shunts blood away from the skin to vital organs the skin becomes cool and pale. Sympathetic activation causes sweating. This triad should prompt immediate evaluation for shock.
EMR-TF-137,Assessment,Skin Assessment,true_false,Hot dry red skin is associated with heat stroke.,TRUE,Heat stroke causes the body to lose its ability to sweat and regulate temperature. The skin becomes hot dry and red. This is a medical emergency requiring rapid cooling. It differs from heat exhaustion where sweating is still present.
EMR-TF-138,Assessment,Pupils,true_false,Pupils should be assessed for size equality and reactivity to light.,TRUE,Pupil assessment includes size measured in millimeters equality comparing both pupils and reactivity how they respond to light. Abnormalities can indicate brain injury drug effects or eye injury.
EMR-TF-139,Assessment,Pupils,true_false,PERRL stands for Pupils Equal Round Reactive to Light.,TRUE,PERRL is documentation shorthand indicating normal pupil findings. Both pupils are the same size round in shape and constrict when light is shined in them. This is a normal finding.
EMR-TF-140,Assessment,Pupils,true_false,One pupil that is dilated and non-reactive may indicate serious brain injury or stroke.,TRUE,A unilateral fixed and dilated pupil can indicate increased intracranial pressure herniation or stroke affecting cranial nerve III. This is a serious finding requiring immediate transport to an appropriate facility.
EMR-TF-141,Assessment,Pupils,true_false,Bilaterally constricted pupils may be seen in opioid overdose.,TRUE,Opioid overdose causes bilateral pinpoint pupils miosis along with respiratory depression and decreased consciousness. This finding combined with the clinical picture helps identify opioid overdose.
EMR-TF-142,Assessment,Glasgow Coma Scale,true_false,The Glasgow Coma Scale measures eye opening verbal response and motor response.,TRUE,GCS has three components. Eye opening is scored 1-4 verbal response 1-5 and motor response 1-6. Total score ranges from 3 minimum to 15 normal. It provides a standardized assessment of consciousness level.
EMR-TF-143,Assessment,Glasgow Coma Scale,true_false,A Glasgow Coma Scale score of 15 indicates a patient who is fully alert and oriented.,TRUE,GCS of 15 is the maximum score indicating a patient who opens eyes spontaneously 4 is oriented with appropriate verbal response 5 and follows commands 6. Lower scores indicate decreasing levels of consciousness.
EMR-TF-144,Assessment,Glasgow Coma Scale,true_false,A Glasgow Coma Scale score of 8 or below generally indicates severe brain injury.,TRUE,GCS of 8 or below indicates severe impairment. These patients typically cannot protect their airway and may need advanced airway management. GCS is used to classify head injuries as mild 13-15 moderate 9-12 or severe 3-8.
EMR-TF-145,Assessment,Reassessment,true_false,Reassessment should include repeating the primary assessment vital signs and checking interventions.,TRUE,Ongoing assessment involves repeating the primary assessment to check for new life threats rechecking vital signs assessing response to treatments and identifying any changes in condition. It ensures problems are caught early.
EMR-TF-146,Assessment,Reassessment,true_false,Unstable patients should be reassessed more frequently than stable patients.,TRUE,Unstable patients should be reassessed every 5 minutes or after any intervention. Stable patients can be reassessed every 15 minutes. The frequency allows providers to catch deterioration early and assess treatment effectiveness.
EMR-TF-147,Assessment,Special Populations,true_false,Normal vital signs for children differ from adult normal values.,TRUE,Children have higher normal heart rates and respiratory rates than adults and lower normal blood pressures. These values change with age. Providers must know age-appropriate normal ranges to accurately assess pediatric patients.
EMR-TF-148,Assessment,Special Populations,true_false,Elderly patients may have atypical presentations of serious conditions.,TRUE,Elderly patients often present atypically. They may have heart attacks without chest pain infections without fever or serious illness with subtle symptoms. Providers should maintain high suspicion for serious conditions even with vague complaints.
EMR-TF-149,Assessment,Special Populations,true_false,When assessing infants the fontanelles should be checked as they can indicate hydration status and intracranial pressure.,TRUE,Fontanelles are soft spots where skull bones have not yet fused. A sunken fontanelle may indicate dehydration while a bulging fontanelle may indicate increased intracranial pressure. They are valuable assessment findings in infants.
EMR-TF-150,Assessment,Documentation,true_false,Assessment findings should be documented objectively using specific descriptions rather than subjective interpretations.,TRUE,Documentation should be objective and specific. Instead of writing patient looks bad write patient is pale diaphoretic with respiratory rate of 28. Objective documentation is more useful for other providers and more defensible legally.
