aemt_id,category,subcategory,question,option_a,option_b,option_c,option_d,correct_answer,rationale
AEMT-CARD-001,AEMT Cardiology,Chest Pain Assessment,You respond to a 58-year-old male at a restaurant who is complaining of chest discomfort that began 45 minutes ago while eating dinner. He describes it as a pressure or squeezing sensation in the center of his chest that radiates to his left arm and jaw. He is diaphoretic and appears anxious. He has loosened his collar and is rubbing his chest. His wife states he has a history of high blood pressure and high cholesterol and takes lisinopril and atorvastatin. He has never had a heart attack. Vital signs are BP 162/98 HR 94 RR 20 SpO2 96% on room air. What is your initial assessment and what interventions should you perform at the AEMT level?,This is likely indigestion from eating too fast. Give him antacids and have him rest,This presentation is highly suspicious for acute coronary syndrome. Give aspirin 324 mg chewed oxygen if SpO2 drops below 94% establish IV access obtain 12-lead ECG if capable and administer nitroglycerin 0.4 mg SL if BP permits,He is having a panic attack and needs reassurance only,Wait to see if the pain resolves on its own before treating,B,This patient has classic signs of acute coronary syndrome including substernal chest pressure radiating to arm and jaw diaphoresis and multiple cardiac risk factors. At AEMT level immediate interventions include aspirin 324 mg chewed to inhibit platelet aggregation supplemental oxygen only if SpO2 is below 94% or patient is dyspneic IV access for potential medication administration 12-lead ECG if trained and equipped and nitroglycerin 0.4 mg sublingual if systolic BP is above 100 and no contraindications. Nitroglycerin can be repeated every 5 minutes up to 3 doses. Rapid transport to a cardiac-capable facility is essential.
AEMT-CARD-002,AEMT Cardiology,Chest Pain Assessment,You are treating the chest pain patient and have given aspirin 324 mg. Before administering nitroglycerin you ask about other medications. The patient states he took sildenafil Viagra last night for erectile dysfunction. His blood pressure is 158/94 and pain is 8 out of 10. Why is this information critical and how does it change your treatment plan?,Sildenafil does not interact with nitroglycerin so proceed with NTG administration,Sildenafil and similar erectile dysfunction medications potentiate the hypotensive effects of nitroglycerin. Do NOT give nitroglycerin as it could cause life-threatening hypotension. Continue other ACS treatment and transport rapidly,You can give half the normal nitroglycerin dose,The medication interaction only matters if he took it today,B,Phosphodiesterase-5 inhibitors like sildenafil Viagra tadalafil Cialis and vardenafil Levitra cause vasodilation and significantly potentiate the hypotensive effects of nitrates. Concurrent use can cause profound potentially fatal hypotension. Sildenafil and vardenafil are contraindications to nitroglycerin for 24 hours and tadalafil for 48 hours due to its longer half-life. Continue other ACS treatments including aspirin IV access oxygen if indicated and obtain 12-lead ECG. Transport rapidly and notify the hospital so they can prepare alternative treatments for his pain and ischemia.
AEMT-CARD-003,AEMT Cardiology,Chest Pain Assessment,A 67-year-old female presents with sudden onset of shortness of breath and mild chest discomfort that began 2 hours ago. She denies classic crushing chest pain but states she feels like an elephant is sitting on her chest. She has nausea and has vomited once. She appears pale and is diaphoretic. She has a history of diabetes and hypertension. Her medications include metformin glipizide and lisinopril. Vital signs are BP 146/88 HR 102 RR 24 SpO2 93% on room air. Blood glucose is 186 mg/dL. Why should you suspect ACS despite her atypical presentation?,Her blood sugar is elevated so this is a diabetic emergency not cardiac,Women and diabetics often have atypical ACS presentations. Her symptoms of dyspnea chest pressure nausea diaphoresis with cardiac risk factors should be treated as ACS. Give aspirin oxygen establish IV and obtain 12-lead ECG,Since she denies crushing chest pain this is not a heart attack,She is too young to have a heart attack,B,Women diabetics and elderly patients frequently present with atypical symptoms of acute coronary syndrome. Instead of classic crushing substernal chest pain they may have dyspnea fatigue nausea vomiting back pain jaw pain or vague discomfort. Diabetic neuropathy can blunt cardiac pain perception. This patient has multiple risk factors diabetes hypertension older age and symptoms that could represent ACS. Treat her the same as a patient with classic symptoms including aspirin supplemental oxygen for her hypoxia IV access and 12-lead ECG. Her atypical presentation does not make her condition less serious.
AEMT-CARD-004,AEMT Cardiology,12-Lead ECG,You have obtained a 12-lead ECG on a 62-year-old male with chest pain. The ECG shows ST segment elevation of 3 mm in leads II III and aVF with reciprocal ST depression in leads I and aVL. The patient's blood pressure is 88/58 and he feels lightheaded when sitting up. Before giving nitroglycerin what must you consider about this ECG pattern?,The low blood pressure alone contraindicates nitroglycerin,ST elevation in leads II III aVF indicates inferior wall MI which often involves the right ventricle. RV infarction is preload-dependent and nitroglycerin can cause severe hypotension. With his already low BP nitroglycerin is contraindicated. Give IV fluid bolus instead,This ECG pattern is normal and he does not need treatment,Give nitroglycerin to improve his blood flow,B,ST elevation in leads II III and aVF indicates inferior wall myocardial infarction typically caused by right coronary artery occlusion. The RCA also supplies the right ventricle in most people so inferior MI often involves RV infarction. The right ventricle depends heavily on preload to maintain cardiac output. Nitroglycerin causes venodilation reducing preload which can cause severe hypotension and cardiovascular collapse in RV infarction. This patient already has hypotension making nitroglycerin especially dangerous. Instead give IV normal saline bolus to maintain preload. Right-sided ECG leads particularly V4R can confirm RV involvement if you are trained to obtain them.
AEMT-CARD-005,AEMT Cardiology,12-Lead ECG,You obtain a 12-lead ECG on a 55-year-old male with crushing chest pain. The ECG shows ST elevation in leads V1 V2 V3 and V4 with reciprocal depression in the inferior leads. What does this indicate and what is the significance for the patient?,This is a normal ECG variant and not concerning,This shows anterior wall STEMI involving the left anterior descending artery. This is a large territory MI with significant mortality risk. Activate the cath lab early and transport immediately to a PCI-capable hospital,This indicates the patient is having a panic attack,Wait to get a second ECG to confirm,B,ST elevation in the precordial leads V1-V4 indicates anterior wall myocardial infarction caused by occlusion of the left anterior descending LAD artery. The LAD supplies a large territory including the anterior wall of the left ventricle and the anterior interventricular septum. Anterior MIs carry higher mortality than inferior MIs due to the larger amount of myocardium at risk. Early recognition allows activation of the cardiac catheterization lab so the team is ready when the patient arrives. Time is muscle and every minute of delay increases myocardial damage. Transport rapidly to a PCI-capable facility.
AEMT-CARD-006,AEMT Cardiology,Nitroglycerin Administration,A 72-year-old female with a history of angina presents with chest pain similar to her usual angina. She took one of her own nitroglycerin tablets 10 minutes ago without relief. Her pain is now 7 out of 10. Vital signs are BP 148/88 HR 82 RR 18 SpO2 97% on room air. She denies taking any erectile dysfunction medications and has no other contraindications. You have given aspirin. What is the appropriate approach to nitroglycerin administration?,She already took nitroglycerin so you should not give more,Administer nitroglycerin 0.4 mg sublingual. You can give up to 3 doses total including her home dose at 5-minute intervals as long as systolic BP remains above 100 and she has no contraindications,Give her three nitroglycerin tablets at once for faster relief,Nitroglycerin is not appropriate for angina only for heart attacks,B,Nitroglycerin causes coronary vasodilation and venodilation reducing cardiac workload and improving blood flow to ischemic myocardium. It can be administered every 5 minutes up to 3 total doses for ongoing chest pain as long as systolic blood pressure remains above 100 mmHg and there are no contraindications. Her home dose counts toward the total. Monitor blood pressure before each dose. If pain persists after 3 doses and BP remains adequate this suggests more severe ischemia or infarction rather than stable angina. Continue monitoring and transport. Document response to each nitroglycerin dose.
AEMT-CARD-007,AEMT Cardiology,Nitroglycerin Administration,After the second nitroglycerin dose the angina patient states her pain is now 3 out of 10 much improved. However her blood pressure has dropped from 148/88 to 96/62 and she feels dizzy. What should you do?,Give a third nitroglycerin to eliminate the remaining pain,Do not give additional nitroglycerin due to the hypotension. Lay her supine elevate her legs and consider a small IV fluid bolus. Monitor closely and be prepared if blood pressure drops further,Her pain improved so the blood pressure drop is acceptable,Give her aspirin to raise her blood pressure,B,Hypotension is a side effect of nitroglycerin due to its vasodilatory effects. A systolic blood pressure below 100 mmHg is a contraindication to additional nitroglycerin. Lay the patient supine and elevate her legs to improve venous return and blood pressure. A small IV fluid bolus 250 mL may help restore blood pressure. Continue to monitor her closely. Her chest pain has improved significantly which is the goal but you cannot give more nitroglycerin with this blood pressure. If her blood pressure does not improve or she develops signs of shock further interventions may be needed. Document the blood pressure drop and your response.
AEMT-CARD-008,AEMT Cardiology,Cardiac Rhythm Recognition,A 68-year-old male presents with palpitations and lightheadedness that started suddenly 1 hour ago. He has no chest pain. He has a history of hypertension. Vital signs are BP 108/72 HR 178 regular RR 18 SpO2 98% on room air. The cardiac monitor shows a regular narrow complex tachycardia at 178 bpm without visible P waves. What is the most likely rhythm and what is the AEMT role in management?,This is ventricular tachycardia and he needs immediate defibrillation,This is most likely supraventricular tachycardia SVT. At AEMT level provide supportive care IV access monitoring consider vagal maneuvers if trained and protocolized and prepare for transport. Adenosine is typically a paramedic-level intervention,This is normal sinus tachycardia from anxiety,His heart rate is not fast enough to cause symptoms,B,A regular narrow complex tachycardia at 178 bpm without visible P waves is most consistent with supraventricular tachycardia likely AVNRT or AVRT. The patient is hemodynamically stable with adequate blood pressure and only mild symptoms. At AEMT level your role includes establishing IV access continuous cardiac monitoring and considering vagal maneuvers such as Valsalva or modified Valsalva if these are within your protocols and training. Vagal maneuvers can terminate SVT by increasing parasympathetic tone. Adenosine administration is typically at the paramedic level. Monitor for deterioration and transport for definitive treatment.
AEMT-CARD-009,AEMT Cardiology,Cardiac Rhythm Recognition,Your SVT patient suddenly becomes pale and diaphoretic. His blood pressure drops to 76/50 and he states he feels like he might pass out. He is now confused. The rhythm remains narrow complex tachycardia at 182 bpm. What has changed and what is now indicated?,Continue monitoring and transport as he is still stable,He has become hemodynamically unstable with hypotension and altered mental status. Unstable tachycardia requires synchronized cardioversion which is ALS intervention. Provide supportive care call for ALS backup if available and transport rapidly,Give nitroglycerin to improve his blood flow,This is a normal response to SVT,B,This patient has transitioned from stable to unstable tachycardia. Signs of hemodynamic instability include hypotension altered mental status syncope chest pain and signs of shock. Unstable tachycardia requires immediate intervention to restore perfusion. Synchronized cardioversion is the treatment for unstable narrow complex tachycardia and is typically a paramedic-level intervention. At AEMT level provide supportive care including IV access oxygen and positioning. Call for ALS intercept if available. If the patient loses pulses this becomes pulseless VT or VF requiring defibrillation. Prepare for possible cardiac arrest and transport rapidly.
AEMT-CARD-010,AEMT Cardiology,Cardiac Rhythm Recognition,A 75-year-old female presents with fatigue and dizziness for the past day. She nearly passed out this morning. She has a history of heart disease and takes metoprolol and lisinopril. Vital signs are BP 94/58 HR 42 regular RR 16 SpO2 96% on room air. The cardiac monitor shows a regular rhythm at 42 bpm with narrow QRS complexes. P waves are visible and each P wave is followed by a QRS. What is this rhythm and how should you manage this patient?,This is sinus bradycardia with symptoms. Provide supportive care with IV fluids position supine with legs elevated and monitor closely. Atropine and pacing are ALS interventions,This is a heart block requiring immediate CPR,Her heart rate is normal for an elderly patient on metoprolol,Give nitroglycerin to increase her heart rate,A,This is sinus bradycardia at 42 bpm which is slow. The consistent P waves each followed by a QRS indicates the rhythm originates in the SA node and conducts normally just at a slow rate. This patient is symptomatic with hypotension near-syncope and fatigue making this symptomatic bradycardia. Her metoprolol a beta-blocker may be contributing to the slow rate. At AEMT level provide supportive care including IV access IV fluid bolus for hypotension positioning supine with legs elevated to improve perfusion and continuous monitoring. Atropine and transcutaneous pacing are ALS interventions. Transport with monitoring.
