id,category,subcategory,question,option_a,option_b,option_c,option_d,correct_answer,rationale,certification,difficulty
1,Cardiology,STEMI Recognition,A 58-year-old male presents at a local hardware store clutching his chest. He is diaphoretic and appears anxious. He tells you the pain started about 40 minutes ago while he was loading bags of concrete into his truck. He describes the pain as a heavy pressure in the center of his chest radiating to his left arm and jaw rated 9 out of 10. He has a history of hypertension high cholesterol and smokes one pack of cigarettes daily. His medications include lisinopril hydrochlorothiazide and atorvastatin. Vital signs are BP 164/98 HR 92 RR 22 SpO2 95% on room air. You obtain a 12-lead ECG which shows ST elevation of 3mm in leads V1 through V4 with reciprocal ST depression in leads II III and aVF. Based on this presentation and ECG findings which coronary artery is most likely occluded?,Right coronary artery,Left circumflex artery,Left anterior descending artery,Posterior descending artery,C,ST elevation in the precordial leads V1-V4 indicates an anterior wall myocardial infarction which is caused by occlusion of the left anterior descending LAD artery. The LAD supplies the anterior wall of the left ventricle and the anterior two-thirds of the interventricular septum. Reciprocal changes seen as ST depression in the inferior leads II III aVF support the diagnosis of acute injury. Anterior MIs carry significant mortality risk due to the large amount of myocardium at risk.,Paramedic,hard
2,Cardiology,STEMI Recognition,You respond to a 72-year-old female at her home who called 911 for nausea and fatigue that began approximately 2 hours ago. She denies chest pain but admits to some mild shortness of breath and feeling like something is just not right. Her daughter who is present states her mother seems more confused than normal. The patient has a history of type 2 diabetes hypertension and hyperlipidemia. Her medications include metformin glipizide lisinopril amlodipine and rosuvastatin. Vital signs are BP 142/88 HR 98 RR 20 SpO2 94% on room air. Blood glucose is 186 mg/dL. You obtain a 12-lead ECG which shows ST elevation of 2mm in leads II III and aVF with ST depression in leads I and aVL. What is significant about this patient's presentation?,Her symptoms are classic for inferior STEMI,She is having an atypical MI presentation common in diabetics and women where classic chest pain may be absent,Her symptoms indicate a stroke not a heart attack,She is likely having a panic attack given the vague symptoms,B,Women and diabetic patients frequently present with atypical symptoms of acute coronary syndrome. Instead of classic crushing chest pain they may experience fatigue weakness nausea dyspnea or vague discomfort. Diabetic neuropathy can blunt the perception of cardiac pain. This patient's ECG clearly shows an inferior STEMI despite her lack of chest pain. The ST elevation in II III aVF indicates inferior wall involvement typically from right coronary artery occlusion. Clinicians must maintain high suspicion for ACS in high-risk patients even without typical symptoms.,Paramedic,hard
3,Cardiology,STEMI Recognition,A 64-year-old male presents with chest discomfort and shortness of breath that began 90 minutes ago. He describes the discomfort as pressure in his chest that goes straight through to his back between his shoulder blades. He is nauseated and has vomited once. His history includes hypertension atrial fibrillation and he had a stent placed in his right coronary artery three years ago. Medications include metoprolol diltiazem apixaban and aspirin. Vital signs are BP 168/94 HR 78 irregular RR 22 SpO2 93% on room air. You obtain a 12-lead ECG which shows atrial fibrillation with ST depression of 2-3mm in leads V1 V2 and V3 with tall R waves in V1 and V2. There is no ST elevation in any lead. What does this ECG pattern suggest?,Anterior wall ischemia only,This pattern suggests posterior wall STEMI which appears as ST depression and tall R waves in V1-V3. Obtain posterior leads V7-V9,The patient is not having an MI because there is no ST elevation,Left bundle branch block,B,ST depression in V1-V3 with tall R waves is the mirror image of what would be ST elevation and Q waves if you could see the posterior wall directly. This pattern strongly suggests posterior wall STEMI typically from occlusion of the left circumflex or distal right coronary artery. To confirm obtain posterior leads V7 V8 V9 which will show ST elevation of 0.5mm or greater if posterior MI is present. Posterior MIs are frequently missed because standard 12-lead does not directly view the posterior wall. This patient needs the same emergent treatment as any STEMI.,Paramedic,hard
4,Cardiology,STEMI Recognition,You are called to evaluate a 55-year-old male who experienced a syncopal episode at work. He is now conscious and complaining of mild chest discomfort and dizziness. He has no significant medical history and takes no medications. He appears pale and diaphoretic. Vital signs are BP 86/54 HR 44 RR 18 SpO2 96% on room air. You obtain a 12-lead ECG which shows sinus bradycardia at 44 bpm with ST elevation of 4mm in leads II III and aVF. You note ST depression in I and aVL and there is ST elevation of 2mm in V4R on a right-sided ECG. Why is this patient hypotensive and bradycardic and what treatment must you avoid?,He is in cardiogenic shock and needs immediate dopamine,The inferior STEMI with right ventricular involvement causes preload-dependent hypotension. Avoid nitroglycerin and diuretics which reduce preload,He needs immediate transcutaneous pacing for the bradycardia,The bradycardia is causing the hypotension and atropine will fix everything,B,Inferior STEMI frequently involves the right ventricle because the RCA supplies both areas. RV infarction makes cardiac output extremely dependent on adequate preload. The damaged RV cannot compensate for any reduction in filling pressure. Nitroglycerin causes venodilation reducing preload and can cause profound hypotension or cardiovascular collapse in RV infarct. Similarly diuretics reduce preload and are contraindicated. Treatment includes IV fluid boluses to maintain preload and avoiding nitrates and diuretics. The bradycardia results from RCA also supplying the SA and AV nodes.,Paramedic,hard
5,Cardiology,STEMI Recognition,A 48-year-old female presents with intermittent chest pain over the past 2 days that has become constant over the past 3 hours. She describes sharp pain that worsens when she takes a deep breath or lies flat and improves when she sits up and leans forward. She had a viral upper respiratory infection last week. She has no cardiac history and takes only birth control pills. Vital signs are BP 118/72 HR 88 RR 18 SpO2 98% on room air. You obtain a 12-lead ECG which shows diffuse ST elevation in leads I II III aVL aVF and V2-V6 with PR segment depression in multiple leads. This presentation is most consistent with:,Acute anterior STEMI requiring emergent cardiac catheterization,Acute pericarditis which mimics STEMI but has diffuse ST elevation and PR depression,Unstable angina,Pulmonary embolism,B,Acute pericarditis causes inflammation of the pericardial sac and can mimic STEMI on ECG. Key differentiating features include diffuse ST elevation not conforming to a coronary artery distribution PR segment depression which is specific for pericarditis positional and pleuritic chest pain and recent viral illness. Unlike STEMI pericarditis does not benefit from reperfusion therapy and anticoagulation for presumed ACS could cause hemorrhagic pericarditis. Treatment includes NSAIDs and colchicine. The classic finding of PR depression reflects atrial inflammation.,Paramedic,hard
6,Cardiology,STEMI Recognition,A 67-year-old male with a history of prior CABG surgery 8 years ago presents with crushing substernal chest pain radiating to both arms that began 1 hour ago. He is diaphoretic pale and anxious. His medications include aspirin metoprolol lisinopril and atorvastatin. Vital signs are BP 148/92 HR 108 RR 24 SpO2 93% on room air. You obtain a 12-lead ECG which shows ST elevation of 2mm in leads V1-V4 with Q waves in V1-V2. The ST segments have a coved or tombstone appearance. What is the significance of the Q waves and ST segment morphology?,Q waves indicate this is an old MI not acute so no emergent treatment is needed,The tombstone ST elevation with new Q waves indicates a large acute MI with myocardial necrosis already occurring and high mortality risk,Q waves are normal variant in leads V1-V2,The Q waves indicate bundle branch block,B,Tombstone ST elevation describes ST segments that are massively elevated with a distinctive morphology associated with large acute MIs and high mortality. The presence of Q waves indicates that transmural myocardial necrosis has already begun. While Q waves can indicate old MI in this context with ongoing symptoms and tombstone ST elevation they represent early infarct evolution and are an ominous sign. This patient has a large anterior STEMI requiring immediate reperfusion. Time to treatment is critical and mortality increases with delay.,Paramedic,hard
7,Cardiology,STEMI Mimics,A 35-year-old male presents with sharp left-sided chest pain that began suddenly 2 hours ago while playing basketball. He has no medical history and takes no medications. He is tall and thin with long arms and fingers. The pain is constant and does not change with breathing or position. Vital signs are BP 158/62 HR 112 RR 20 SpO2 97% on room air. You note a significant blood pressure difference between arms with the right arm BP 158/62 and left arm BP 118/54. A 12-lead ECG shows sinus tachycardia with nonspecific ST changes. What condition must you consider in this patient and what treatment is contraindicated?,This is a classic STEMI presentation and he needs aspirin and heparin immediately,The BP differential and body habitus suggest possible aortic dissection. Anticoagulation and thrombolytics are absolutely contraindicated,He is having a panic attack and needs benzodiazepines,This is costochondritis and needs only NSAIDs,B,This patient has features concerning for aortic dissection including sudden onset tearing or sharp chest pain radiating to the back tall thin body habitus suggesting possible Marfan syndrome and greater than 20 mmHg blood pressure differential between arms. Aortic dissection can mimic MI on ECG if the dissection involves coronary ostia. Giving anticoagulation antiplatelet agents or thrombolytics to a patient with aortic dissection can be fatal by promoting hemorrhage. The wide pulse pressure also suggests aortic regurgitation from dissection. Treatment focuses on BP and heart rate control and emergent surgical consultation.,Paramedic,hard
8,Cardiology,STEMI Mimics,A 29-year-old male presents with palpitations and chest discomfort that began 30 minutes ago while at rest. He reports he has experienced similar episodes before that usually resolve on their own. He has no medical history and takes no medications but admits to heavy energy drink consumption today. He appears anxious but not in acute distress. Vital signs are BP 128/78 HR 188 regular RR 18 SpO2 99% on room air. The cardiac monitor shows a regular narrow complex tachycardia at 188 bpm with no discernible P waves. A 12-lead ECG confirms regular narrow complex tachycardia with ST depression in multiple leads. What is the rhythm and are the ST changes indicative of acute MI?,This is ventricular tachycardia and he needs immediate cardioversion,This is SVT and the ST depression is rate-related demand ischemia not acute MI. Treat the SVT and ST changes should resolve,This is atrial fibrillation with rapid ventricular response,This is sinus tachycardia from anxiety,B,Regular narrow complex tachycardia at this rate without visible P waves is supraventricular tachycardia most likely AVNRT or AVRT. The ST depression seen during SVT is typically rate-related demand ischemia caused by increased myocardial oxygen demand at rapid rates not acute coronary occlusion. These ST changes typically resolve when the rhythm is converted to normal sinus. Treatment should focus on terminating the SVT with vagal maneuvers followed by adenosine. Once rhythm is controlled repeat ECG should show resolution of ST changes in the absence of true coronary disease.,Paramedic,hard
9,Cardiology,STEMI Mimics,A 45-year-old female presents with severe dyspnea and pleuritic chest pain that began suddenly 6 hours ago. She recently returned from a 14-hour international flight two days ago. She has a history of obesity and takes oral contraceptives. She appears anxious and is tachypneic. Her right calf is swollen and tender. Vital signs are BP 108/72 HR 124 RR 28 SpO2 88% on room air. A 12-lead ECG shows sinus tachycardia at 124 with right axis deviation S wave in lead I Q wave in lead III and inverted T wave in lead III. This S1Q3T3 pattern combined with her presentation suggests:,Acute inferior STEMI,Acute pulmonary embolism causing right heart strain,Acute pericarditis,Hyperkalemia,B,This patient has multiple risk factors for pulmonary embolism including recent prolonged immobilization obesity and oral contraceptive use. The clinical presentation of sudden dyspnea pleuritic chest pain tachycardia hypoxia and unilateral leg swelling suggesting DVT is classic for PE. The S1Q3T3 pattern on ECG occurs in only 10-20% of PE cases but when present suggests significant right heart strain from large PE. Other ECG findings in PE include right axis deviation right bundle branch block and anterior T wave inversions. Treatment includes anticoagulation and hemodynamic support with possible thrombolytics for massive PE.,Paramedic,hard
10,Cardiology,Arrhythmia SVT,You respond to a 34-year-old female at a fitness center who developed sudden onset palpitations and lightheadedness during her spin class. She has a history of occasional palpitations but this is the most severe episode. She takes no medications and is otherwise healthy. She is awake alert and oriented but uncomfortable. Vital signs are BP 92/58 HR 210 regular RR 22 SpO2 96% on room air. The cardiac monitor shows a regular narrow complex tachycardia at 210 bpm. You do not see clear P waves but there appears to be a short RP interval. After applying oxygen and establishing IV access what is your first intervention for this rhythm?,Synchronized cardioversion at 50-100 joules,Attempt vagal maneuvers such as modified Valsalva or carotid sinus massage,Adenosine 6 mg rapid IV push,Amiodarone 150 mg IV over 10 minutes,B,Although this patient has borderline low blood pressure she is awake alert and stable enough to attempt vagal maneuvers first. The modified Valsalva maneuver with leg elevation after strain has shown improved conversion rates over traditional Valsalva. Carotid massage is another option after ensuring no carotid bruits or history of stroke. These maneuvers increase vagal tone slowing AV node conduction and can terminate AVNRT and AVRT. If vagal maneuvers fail proceed to adenosine. Cardioversion is reserved for unstable patients with altered mental status severe hypotension or signs of poor perfusion.,Paramedic,hard
