id,category,subcategory,question,option_a,option_b,option_c,option_d,correct_answer,rationale,certification,difficulty
1,Cardiology,STEMI,A 58-year-old male has crushing chest pain and diaphoresis. 12-lead shows ST elevation in II III and aVF with ST depression in I and aVL. This indicates:,Anterior STEMI,Inferior STEMI,Lateral STEMI,Posterior STEMI,B,ST elevation in inferior leads II III aVF with reciprocal depression in I aVL indicates inferior STEMI usually RCA occlusion.,Paramedic,medium
2,Cardiology,STEMI,The patient above becomes hypotensive after nitroglycerin. You should suspect:,Medication reaction,Right ventricular involvement,Cardiogenic shock,Aortic dissection,B,Inferior STEMI with hypotension after NTG suggests RV involvement. Obtain right-sided ECG confirm with V4R elevation.,Paramedic,medium
3,Cardiology,STEMI,Management of confirmed RV infarction includes:,More nitroglycerin,Fluid bolus and avoid nitrates,Aggressive diuresis,Immediate cardioversion,B,RV infarct is preload dependent. Give fluid bolus avoid nitrates and diuretics which reduce preload.,Paramedic,medium
4,Cardiology,STEMI,A 45-year-old female has chest pain with ST elevation in V1-V4 and Q waves in V1-V2. Time of symptom onset was 6 hours ago. This represents:,Acute anterior STEMI still within window,Completed anterior MI,Normal variant,Pericarditis,B,ST elevation with Q waves at 6 hours suggests evolving MI. Still transport for cath but reperfusion benefit decreasing.,Paramedic,medium
5,Cardiology,STEMI,ST elevation in V1-V4 with reciprocal depression in II III aVF indicates:,Inferior MI,Anterior MI likely LAD occlusion,Lateral MI,Posterior MI,B,Anterior leads V1-V4 indicate LAD territory. Reciprocal inferior depression confirms acute injury.,Paramedic,medium
6,Cardiology,STEMI,A patient with new LBBB and chest pain should be treated as:,Normal ECG,STEMI equivalent requiring emergent cath,Benign finding,Needs serial ECGs only,B,New LBBB with symptoms is STEMI equivalent. Sgarbossa criteria may help but treat as STEMI.,Paramedic,medium
7,Cardiology,STEMI,Sgarbossa criteria positive findings in LBBB include:,ST depression concordant with QRS,ST elevation greater than 1mm concordant with QRS,Any ST changes,T wave inversions,B,Concordant ST elevation greater than 1mm or discordant greater than 5mm or ratio greater than 0.25 suggests STEMI in LBBB.,Paramedic,medium
8,Cardiology,STEMI,A 65-year-old has chest pain with ST depression in V1-V3 and tall R waves in V1. You should suspect:,Anterior ischemia,Posterior STEMI,Right ventricular MI,Normal variant,B,ST depression with tall R in V1-V3 is mirror image of posterior STEMI. Obtain V7-V9 for confirmation.,Paramedic,medium
9,Cardiology,STEMI,Wellens syndrome T waves in V2-V3 indicate:,Completed MI,Critical LAD stenosis high risk for anterior MI,Benign finding,Posterior MI,B,Wellens pattern biphasic or deeply inverted T waves V2-V3 indicates critical proximal LAD stenosis. High risk even if pain-free.,Paramedic,medium
10,Cardiology,STEMI,De Winter T waves pattern shows:,ST elevation in precordial leads,ST depression at J point with upsloping ST and tall symmetric T waves V1-V6,Pathologic Q waves,T wave inversions,B,De Winter pattern is STEMI equivalent indicating proximal LAD occlusion without classic ST elevation.,Paramedic,medium
