emr_id,category,subcategory,question_type,question,option_a,option_b,option_c,option_d,correct_answer,rationale
EMR-SCEN-101,CPR/Cardiac,Cardiac Arrest Recognition,scenario,You find a 58-year-old man collapsed in a parking lot. He is unresponsive when you tap his shoulder and shout. His breathing appears abnormal with occasional gasping breaths every 10-15 seconds. You check his carotid pulse for 10 seconds and feel nothing. What should you do?,Wait to see if his breathing improves since he is gasping,Begin CPR immediately. Agonal gasps are not effective breathing. This is cardiac arrest requiring immediate chest compressions and AED,Give rescue breaths only since he is gasping,Roll him into recovery position,B,Agonal respirations are ineffective gasping breaths that commonly occur during cardiac arrest. They are not adequate breathing. Treat this patient as having cardiac arrest with no pulse and no effective breathing. Begin CPR immediately and apply AED.
EMR-SCEN-102,CPR/Cardiac,CPR Technique,scenario,You are performing single-rescuer CPR on an adult. What compression to ventilation ratio should you use and at what rate should you compress?,15:2 ratio at 80-100 compressions per minute,30:2 ratio at 100-120 compressions per minute with compression depth of at least 2 inches,30:2 ratio at 60-80 compressions per minute,15:2 ratio at 120-140 compressions per minute,B,Single-rescuer adult CPR uses 30 compressions to 2 ventilations at a rate of 100-120 compressions per minute. Compress at least 2 inches deep allowing full chest recoil between compressions. Minimize interruptions for maximum effectiveness.
EMR-SCEN-103,CPR/Cardiac,CPR Technique,scenario,During CPR you notice you are becoming fatigued after about 90 seconds. Your compressions feel less effective. A coworker has arrived to help. What should you do?,Continue compressions since you started them,Switch with your coworker immediately. Compression quality deteriorates with fatigue often before you realize it. Switch every 2 minutes or whenever quality decreases to maintain effective CPR,Take a break and let the patient rest too,Wait until the full 2 minutes before switching,B,Compression quality decreases with fatigue often before the rescuer perceives it. Switch compressors every 2 minutes or whenever quality deteriorates. Switching should take less than 10 seconds to minimize compression interruptions.
EMR-SCEN-104,CPR/Cardiac,AED Use,scenario,You are performing CPR when someone brings an AED. The patient is lying on wet grass and his shirt is soaking wet from rain. What should you do before using the AED?,Use the AED immediately without any changes,Quickly dry the patient's chest before applying pads. Wet skin can prevent proper pad adhesion and may cause the current to arc across the surface rather than through the heart,Move the patient to a dry location first,Do not use the AED on a wet patient,B,Wet skin can interfere with pad adhesion and energy delivery. Quickly dry the chest before applying AED pads. If the patient is in standing water move them if possible but a wet surface like grass is acceptable once the chest is dried.
EMR-SCEN-105,CPR/Cardiac,AED Use,scenario,You apply AED pads to a cardiac arrest patient. The AED analyzes and announces Shock advised. What should you do before pressing the shock button?,Confirm the patient still has no pulse,Ensure everyone is clear of the patient by announcing Clear and visually verifying no one is touching the patient then deliver the shock,Remove the AED pads to check chest placement,Wait 30 seconds before shocking,B,Before delivering a shock you must ensure no one is touching the patient. Loudly announce Clear or similar warning and visually confirm everyone has moved away. Then press the shock button. Contact during shock can injure rescuers.
EMR-SCEN-106,CPR/Cardiac,AED Use,scenario,After delivering an AED shock what should you do immediately?,Check for a pulse to see if the shock worked,Immediately resume CPR starting with chest compressions. Do not pause to check pulse. The AED will prompt for another analysis after 2 minutes,Wait for the AED to reanalyze,Give 2 rescue breaths first,B,After shock delivery immediately resume CPR starting with compressions. Do not pause to check pulse as this wastes time without compressions. Continue CPR for 2 minutes until the AED prompts for another rhythm analysis.
EMR-SCEN-107,CPR/Cardiac,AED Use,scenario,The AED analyzes the rhythm and states No shock advised. The patient still has no pulse. What does this mean and what should you do?,The patient is no longer in cardiac arrest,No shock advised means the rhythm is not shockable such as asystole or PEA but the patient is still in cardiac arrest. Continue CPR and follow AED prompts for reanalysis every 2 minutes,The AED is malfunctioning,Remove the AED pads since they are not needed,B,No shock advised indicates a non-shockable rhythm like asystole flat line or PEA. The patient still needs CPR. Continue high-quality compressions and ventilations. The AED will reanalyze every 2 minutes since rhythms can change.
EMR-SCEN-108,CPR/Cardiac,AED Use,scenario,You need to apply AED pads to a patient with a hairy chest. The pads are not sticking well. What should you do?,Apply the pads anyway and hope for the best,Quickly shave the area or use spare pads to remove hair by pressing and ripping them off then apply new pads. Good pad contact is essential for accurate analysis and effective shock delivery,Use extra tape to hold pads down,Place pads on the patient's back instead,B,Chest hair prevents good pad adhesion affecting rhythm analysis and shock delivery. Quickly shave the area if a razor is available. Alternatively use the spare pads included in many AED kits by pressing them on and pulling off to remove hair then apply fresh pads.
EMR-SCEN-109,CPR/Cardiac,AED Use,scenario,You are about to use an AED on a patient who has a medication patch on his chest where you need to place a pad. What should you do?,Place the pad directly over the patch,Remove the medication patch wipe the area dry then apply the AED pad. Medication patches can block energy delivery and may cause burns during defibrillation,Move the pad to a different location,AEDs cannot be used on patients with medication patches,B,Remove any medication patches from the chest and wipe the area before applying AED pads. Patches can block energy delivery to the heart and may cause burns when the shock is delivered. Clean the skin thoroughly.
EMR-SCEN-110,CPR/Cardiac,AED Use,scenario,A cardiac arrest patient has a visible pacemaker or defibrillator bulge under the skin on the left upper chest where you would normally place the AED pad. What should you do?,Do not use the AED on this patient,Place the AED pad at least one inch away from the implanted device. Do not place pads directly over pacemakers or ICDs as this can damage the device or reduce shock effectiveness,Place the pad directly over the device,Remove the implanted device first,B,Implanted devices like pacemakers and ICDs can interfere with AED function if pads are placed directly over them. Place pads at least 1 inch away from the device. Alternative pad placement such as anterior-posterior may be used.
