id,category,subcategory,question,option_a,option_b,option_c,option_d,correct_answer,rationale,certification,difficulty
1,Operations,Scene Safety,The first priority at any scene is:,Patient care,Scene safety,Calling for backup,Equipment check,B,Scene safety is always the first priority before patient contact.,AEMT,medium
2,Operations,Scene Safety,BSI/PPE should be used:,Only for trauma,For all patient contacts,Only when bleeding visible,Only for respiratory illness,B,Standard precautions for all patient contacts.,AEMT,medium
3,Operations,Scene Safety,Minimum PPE for most patient contacts:,Nothing required,Gloves,Full gown and mask,N95 only,B,Gloves are minimum; add protection based on anticipated exposure.,AEMT,medium
4,Operations,Scene Safety,Additional PPE for airway procedures includes:,Gloves only,Eye protection and mask,Nothing additional,Gown only,B,Add eye protection and mask for airway procedures and potential splash.,AEMT,medium
5,Operations,Scene Safety,If scene becomes unsafe you should:,Continue patient care,Retreat and call for appropriate resources,Stay with patient,Ignore the danger,B,Personal safety first; retreat and get help if scene becomes unsafe.,AEMT,medium
6,Operations,Scene Safety,Number of patients is determined during:,Transport,Scene size-up,Secondary survey,Hospital notification,B,Scene size-up identifies hazards patient count and resources needed.,AEMT,medium
7,Operations,Scene Safety,Mass casualty incident MCI is when:,10 or more patients,Resources are overwhelmed by casualties,Any trauma,Multiple ambulances respond,B,MCI when available resources are overwhelmed by patient numbers.,AEMT,medium
8,Operations,Scene Safety,START triage stands for:,Simple Triage And Rapid Treatment,Standard Treatment And Rapid Transport,Simple Transport And Rescue Techniques,Start Treatment After Rapid Triage,A,START: Simple Triage And Rapid Treatment.,AEMT,medium
9,Operations,Scene Safety,START triage first assessment is:,Pulse,Breathing,Blood pressure,Mental status,B,START: Respirations first then Perfusion then Mental status RPM.,AEMT,medium
10,Operations,Scene Safety,START triage red tag means:,Deceased,Immediate needs immediate care,Delayed can wait,Minor walking wounded,B,Red immediate: needs immediate intervention to survive.,AEMT,medium
11,Operations,Scene Safety,START triage black tag means:,Minor injuries,Deceased or expectant,Immediate,Delayed,B,Black deceased or expectant: no signs of life or unsurvivable injuries.,AEMT,medium
12,Operations,Scene Safety,START triage green tag means:,Most critical,Minor injuries walking wounded,Delayed,Deceased,B,Green minor: walking wounded can wait for treatment.,AEMT,medium
13,Operations,Scene Safety,START triage yellow tag means:,Deceased,Delayed can wait but needs care,Immediate,Minor,B,Yellow delayed: serious but can wait for treatment.,AEMT,medium
14,Operations,Scene Safety,NIMS stands for:,National Incident Management System,National Interstate Medical Services,New Incident Medical Standards,None of above,A,NIMS provides standardized approach to incident management.,AEMT,medium
15,Operations,Scene Safety,ICS stands for:,Incident Command System,Interstate Care Services,Immediate Care Standards,International Command Structure,A,ICS is standardized organizational structure for incidents.,AEMT,medium
16,Operations,Scene Safety,The Incident Commander is responsible for:,Patient care only,Overall management of the incident,Transport only,Triage only,B,IC has overall responsibility for incident management.,AEMT,medium
17,Operations,Scene Safety,Span of control in ICS is typically:,1-2 people,3-7 people,10-15 people,20-25 people,B,Optimal span of control is 3-7 with 5 being ideal.,AEMT,medium
18,Operations,Scene Safety,Hazmat zones are:,Hot warm cold,Red yellow green,Primary secondary,Inner outer,A,Hazmat: hot contaminated warm decon cold safe.,AEMT,medium
19,Operations,Scene Safety,The hot zone in hazmat requires:,No protection,Highest level of PPE specialized training,Standard PPE,No entry ever,B,Hot zone requires specialized PPE and hazmat training.,AEMT,medium
20,Operations,Scene Safety,Decontamination occurs in the:,Hot zone,Warm zone,Cold zone,All zones,B,Decontamination occurs in warm zone between hot and cold.,AEMT,medium
21,Operations,Legal,Expressed consent is:,Implied from unconsciousness,Verbal or written consent from competent patient,Consent from family,Consent from medical control,B,Expressed consent: informed competent patient agrees to treatment.,AEMT,medium
22,Operations,Legal,Implied consent applies when:,Patient refuses,Patient cannot consent and emergency exists,Patient signs form,Family consents,B,Implied consent: unconscious patient in emergency; assumes reasonable person would consent.,AEMT,medium
23,Operations,Legal,A competent adult may refuse treatment if:,Never,They understand risks and consequences,They are not injured,Family agrees,B,Competent adults can refuse if informed of risks and consequences.,AEMT,medium
24,Operations,Legal,Abandonment occurs when:,Patient refuses care,Care is terminated without proper transfer,Patient is transported,Care is completed,B,Abandonment: leaving patient without transferring to equal or higher care.,AEMT,medium
25,Operations,Legal,Assault is:,Unlawful touching,Threatening to harm,Improper documentation,Breaking equipment,B,Assault: threat of harm; battery is unlawful touching.,AEMT,medium
26,Operations,Legal,Battery is:,Threatening harm,Unlawful touching without consent,Verbal abuse,Documentation error,B,Battery: physical contact without consent.,AEMT,medium
27,Operations,Legal,Negligence requires proof of:,Duty breach causation damages,Intent only,Bad outcome only,Patient complaint only,A,Negligence: duty breach causation and damages all required.,AEMT,medium
28,Operations,Legal,DNR orders mean:,No treatment at all,Do not perform resuscitation for cardiac arrest,Do not transport,Do not assess,B,DNR: do not resuscitate for cardiac arrest; other treatment may continue.,AEMT,medium
29,Operations,Legal,HIPAA protects:,EMS providers,Patient health information privacy,Equipment,Ambulances,B,HIPAA protects patient health information privacy.,AEMT,medium
30,Operations,Legal,Patient information may be shared with:,Anyone who asks,Healthcare providers with need to know,News media,Anyone,B,Share information only with those who have legitimate need to know.,AEMT,medium
31,Operations,Legal,Documentation should be:,Brief and vague,Objective accurate and complete,Only positive findings,Completed next day,B,Document objectively accurately completely and promptly.,AEMT,medium
32,Operations,Legal,If error made in documentation:,White out and correct,Single line through initial date correct,Start new form,Ignore it,B,Corrections: single line initial date write correction.,AEMT,medium
33,Operations,Legal,Patient refusal documentation should include:,Nothing special,Assessment risks explained competency determination signature,Just signature,Only time,B,Document thorough assessment risks explained competency patient signature.,AEMT,medium
34,Operations,Legal,Scope of practice is determined by:,Individual provider,State law and medical direction,Federal law only,Hospital policy,B,Scope of practice: state law regulations medical direction.,AEMT,medium
35,Operations,Legal,Medical direction may be:,Online only,Offline only,Online or offline,Neither,C,Medical direction: online direct real-time or offline protocols standing orders.,AEMT,medium
36,Operations,Legal,Mandatory reporters must report:,All calls,Suspected abuse and certain conditions,Only confirmed abuse,Nothing,B,Mandatory reporting: suspected child/elder abuse certain injuries and conditions.,AEMT,medium
