emr_id,category,subcategory,question_type,term,definition,option_a,option_b,option_c,option_d,correct_answer,rationale
EMR-VOCAB-551,Procedures,Airway,vocabulary,Head-tilt chin-lift,Airway opening technique lifting chin while tilting head back,Trauma airway technique,Basic airway maneuver,Jaw-thrust maneuver,Recovery position,B,Head-tilt chin-lift opens the airway by extending the neck and lifting the chin which pulls the tongue away from the posterior pharynx. It is contraindicated in suspected spinal injury.
EMR-VOCAB-552,Procedures,Airway,vocabulary,Jaw-thrust,Airway technique lifting mandible without moving neck,Head-tilt variation,Spinal-safe airway maneuver,Chin-lift only,Head extension,B,The jaw-thrust maneuver lifts the mandible forward opening the airway without neck extension. It is the preferred technique for trauma patients with suspected cervical spine injury.
EMR-VOCAB-553,Procedures,Airway,vocabulary,Recovery position,Side-lying position to protect airway in unconscious breathing patient,Supine position,Lateral protective position,Prone position,Sitting position,B,The recovery position places an unconscious breathing patient on their side allowing fluids to drain from the mouth and preventing tongue obstruction. It is used when no spinal injury is suspected.
EMR-VOCAB-554,Procedures,Airway,vocabulary,Suctioning,Removing fluids and secretions from the airway,Adding oxygen,Fluid removal procedure,Ventilation technique,Airway insertion,B,Suctioning uses negative pressure to remove blood vomit and secretions from the airway. Duration is limited to 10-15 seconds to prevent hypoxia. Suction only on withdrawal of the catheter.
EMR-VOCAB-555,Procedures,Airway,vocabulary,OPA insertion,Placing oropharyngeal airway to maintain patent airway,NPA placement,Oral airway placement,Intubation,Ventilation,B,OPA insertion involves sizing the airway measuring from corner of mouth to earlobe and inserting with tip toward palate then rotating 180 degrees or inserting sideways and rotating. It requires absent gag reflex.
EMR-VOCAB-556,Procedures,Airway,vocabulary,NPA insertion,Placing nasopharyngeal airway through the nostril,OPA placement,Nasal airway placement,Intubation,Suctioning,B,NPA insertion involves sizing from nostril to earlobe lubricating and inserting along the floor of the nasal cavity with bevel toward septum. It is better tolerated than OPA in patients with intact gag reflex.
EMR-VOCAB-557,Procedures,Breathing,vocabulary,Bag-valve-mask ventilation,Delivering positive pressure breaths using BVM device,Mouth-to-mouth,Manual positive pressure breathing,CPR compressions,Oxygen delivery,B,BVM ventilation provides positive pressure breaths by squeezing the bag while maintaining mask seal. Two-person technique improves seal and ventilation. Ventilate over 1 second watching for chest rise.
EMR-VOCAB-558,Procedures,Breathing,vocabulary,Mouth-to-mask ventilation,Rescue breathing through barrier mask device,Direct mouth-to-mouth,Barrier device breathing,BVM ventilation,Oxygen mask,B,Mouth-to-mask ventilation uses a pocket mask as a barrier while providing rescue breaths. The mask has a one-way valve and can connect to oxygen. It is used when BVM is unavailable.
EMR-VOCAB-559,Procedures,Breathing,vocabulary,Oxygen administration,Providing supplemental oxygen to increase inspired oxygen,Ventilation,Supplemental oxygen delivery,CPR,Airway management,B,Oxygen administration involves selecting appropriate delivery device based on patient needs attaching to oxygen source setting flow rate and applying to patient. Monitor SpO2 and adjust as needed.
EMR-VOCAB-560,Procedures,Circulation,vocabulary,Chest compressions,Rhythmic pressing on sternum to circulate blood during cardiac arrest,Rescue breathing,Cardiac pumping technique,Defibrillation,Pulse check,B,Chest compressions manually pump the heart to circulate blood during cardiac arrest. Push hard at least 2 inches at 100-120/minute allowing full recoil. Minimize interruptions.
EMR-VOCAB-561,Procedures,Circulation,vocabulary,Defibrillation,Delivering electrical shock to restore normal heart rhythm,Cardioversion,Electrical shock treatment,Chest compressions,Pacing,B,Defibrillation delivers an electrical shock to depolarize the heart and allow normal rhythm to resume. AEDs analyze rhythm and advise shock for VF and pulseless VT only.
EMR-VOCAB-562,Procedures,Circulation,vocabulary,AED operation,Using automated defibrillator to analyze rhythm and deliver shocks,Manual defibrillation,Automatic shock procedure,CPR alone,Pulse check,B,AED operation involves powering on attaching pads analyzing rhythm clearing the patient and delivering shock when advised. Resume CPR immediately after shock.
EMR-VOCAB-563,Procedures,Circulation,vocabulary,Pulse check,Palpating artery to assess for heartbeat,Blood pressure,Heart rate assessment by touch,CPR,Defibrillation,B,Pulse check involves palpating an artery to detect heartbeat. Check carotid in adults brachial in infants. Limit pulse checks to 10 seconds during CPR to minimize interruptions.
EMR-VOCAB-564,Procedures,Circulation,vocabulary,Direct pressure,Applying firm pressure to wound to control bleeding,Tourniquet,Primary bleeding control,Elevation,Pressure points,B,Direct pressure is the first-line technique for bleeding control. Apply firm continuous pressure with gloved hand and sterile dressing. Do not release to check if bleeding has stopped.
EMR-VOCAB-565,Procedures,Circulation,vocabulary,Tourniquet application,Placing constricting band to stop severe extremity bleeding,Direct pressure,Extremity hemorrhage control,Wound packing,Elevation,B,Tourniquet application involves placing the device 2-3 inches above the wound and tightening until bleeding stops completely. Note the time of application. Do not remove once placed.
EMR-VOCAB-566,Procedures,Circulation,vocabulary,Wound packing,Filling wound cavity with gauze to control bleeding,Surface dressing,Deep wound hemorrhage control,Direct pressure,Tourniquet,B,Wound packing involves firmly pressing gauze deep into a wound cavity to apply pressure from within. It is used for junctional wounds that cannot be tourniqueted such as groin armpit and neck.
EMR-VOCAB-567,Procedures,Assessment,vocabulary,Primary assessment,Initial rapid evaluation for life-threatening conditions,Detailed exam,Life threat identification,History taking,Transport,B,Primary assessment rapidly identifies and treats immediate life threats following ABCDE sequence. It takes only 60-90 seconds and drives immediate interventions before detailed assessment.
EMR-VOCAB-568,Procedures,Assessment,vocabulary,Secondary assessment,Detailed head-to-toe physical examination,Initial assessment,Comprehensive physical exam,History only,Vital signs only,B,Secondary assessment is the systematic detailed examination performed after life threats are addressed. It includes head-to-toe exam vital signs and SAMPLE history to identify all problems.
EMR-VOCAB-569,Procedures,Assessment,vocabulary,Vital signs measurement,Obtaining pulse blood pressure respirations and other measurements,Physical exam,Quantitative patient assessment,History taking,Inspection,B,Vital signs measurement quantifies patient status including heart rate blood pressure respiratory rate temperature and SpO2. Serial measurements allow trending to identify improvement or deterioration.
EMR-VOCAB-570,Procedures,Assessment,vocabulary,Blood glucose testing,Measuring blood sugar level from finger stick sample,Blood pressure,Sugar level measurement,Pulse oximetry,Temperature,B,Blood glucose testing involves obtaining a small blood sample usually from a finger stick and using a glucometer to measure glucose concentration. It helps identify hypo or hyperglycemia.
EMR-VOCAB-571,Procedures,Assessment,vocabulary,Auscultation,Listening to body sounds with stethoscope,Looking at patient,Listening examination,Feeling patient,Tapping patient,B,Auscultation uses a stethoscope to listen to lung sounds heart sounds bowel sounds and blood pressure. It requires a quiet environment and skill to interpret findings.
EMR-VOCAB-572,Procedures,Assessment,vocabulary,Palpation,Examining by touch to assess various findings,Visual examination,Touch examination,Listening examination,Tapping examination,B,Palpation uses touch to assess pulses skin condition tenderness deformity crepitus and other findings. Use appropriate pressure and observe patient response for pain.
EMR-VOCAB-573,Procedures,Immobilization,vocabulary,Manual inline stabilization,Holding head and neck in neutral alignment by hand,Cervical collar alone,Hand stabilization of spine,Backboard only,Head blocks only,B,Manual inline stabilization involves holding the patient's head in neutral position to prevent cervical spine movement. It is maintained continuously until the patient is fully immobilized.
EMR-VOCAB-574,Procedures,Immobilization,vocabulary,Cervical collar application,Placing neck immobilization device on patient,Manual stabilization,Neck brace placement,Backboard use,Head block placement,B,C-collar application involves measuring for proper size then applying the collar while maintaining manual stabilization. The collar alone does not provide complete immobilization.
EMR-VOCAB-575,Procedures,Immobilization,vocabulary,Log roll,Technique for turning patient while maintaining spinal alignment,Regular roll,Spinal precaution turning,Lifting technique,Sliding technique,B,The log roll turns a patient as a unit maintaining spinal alignment. One rescuer maintains head stabilization while others roll the body together. It is used for examination and backboard placement.
EMR-VOCAB-576,Procedures,Immobilization,vocabulary,Backboard immobilization,Securing patient to rigid board for spinal protection,Stretcher placement,Full spine immobilization,Collar application,Splinting,B,Backboard immobilization secures the patient to a rigid board using straps and head immobilization devices. It prevents spinal movement during transport. Pad voids to prevent movement.
EMR-VOCAB-577,Procedures,Immobilization,vocabulary,Splinting,Immobilizing injured extremity to prevent movement,Bandaging,Extremity immobilization,Casting,Traction,B,Splinting immobilizes fractures and dislocations to prevent further injury reduce pain and protect neurovascular structures. Splint in position found unless pulse is absent. Check neurovascular status before and after.
