id,category,subcategory,question,option_a,option_b,option_c,option_d,correct_answer,rationale,certification,difficulty
1,Airway,RSI,A 45-year-old male with GCS 6 after head trauma has blood in the oropharynx and trismus. SpO2 is 84% on NRB. You attempt BVM but cannot achieve chest rise. Best next action:,Continue BVM with repositioning,Perform nasotracheal intubation,Perform surgical cricothyrotomy,Administer RSI medications and attempt oral intubation,C,Trismus prevents oral intubation and blood contraindicates blind nasal. Failed BVM with hypoxia and cannot intubate equals surgical airway.,Paramedic,medium
2,Airway,RSI,During RSI of a 32-year-old asthmatic in status asthmaticus you administer ketamine and rocuronium. After intubation the patient becomes hypotensive with BP 72/40. Most likely cause:,Anaphylaxis to medications,Auto-PEEP from breath stacking,Tension pneumothorax from barotrauma,Inadequate sedation,B,Post-intubation hypotension in asthmatic suggests auto-PEEP from air trapping reducing venous return. Disconnect briefly and allow exhalation.,Paramedic,medium
3,Airway,RSI,You are preparing to intubate a morbidly obese patient in respiratory failure. Which induction agent is MOST appropriate:,Etomidate 0.3 mg/kg based on actual body weight,Ketamine 2 mg/kg based on ideal body weight,Propofol 2 mg/kg based on actual body weight,Etomidate 0.3 mg/kg based on ideal body weight,D,Lipophilic drugs like etomidate should be dosed on ideal body weight to avoid overdose in obese patients.,Paramedic,medium
4,Airway,RSI,A 28-year-old female with severe facial burns and stridor requires intubation. During laryngoscopy you see significant supraglottic edema and cannot visualize the cords. SpO2 is dropping to 80%. Best action:,Attempt blind oral intubation,Place a supraglottic airway,Perform surgical cricothyrotomy,Administer additional paralytic and re-attempt,C,Severe supraglottic edema with failed visualization and critical hypoxia requires surgical airway. Supraglottic airway unlikely to work with significant edema.,Paramedic,medium
5,Airway,RSI,After successful RSI of a trauma patient EtCO2 reads 18 mmHg and waveform is present. What does this indicate:,Esophageal intubation,Proper tube placement with possible low cardiac output or hyperventilation,Equipment malfunction,Bronchial intubation,B,Waveform confirms tracheal placement. Low EtCO2 suggests either hyperventilation or low cardiac output from shock.,Paramedic,medium
6,Airway,RSI,You are intubating a patient with known difficult airway. After two failed attempts with direct laryngoscopy SpO2 is 88%. Best next step:,Third attempt with DL,Use video laryngoscopy or bougie,Immediate surgical cricothyrotomy,Wake the patient up,B,Two failed attempts with deteriorating oxygenation warrants changing technique. VL or bougie before surgical airway.,Paramedic,medium
7,Airway,RSI,During RSI the pulse oximeter suddenly reads 70% after paralytic administration but before intubation attempt. You should:,Proceed quickly with intubation,Attempt BVM ventilation before intubation,Administer sugammadex immediately,Perform cricothyrotomy,B,Desaturation after paralytic requires reoxygenation with BVM before intubation attempt. Do not rush intubation with critically low SpO2.,Paramedic,medium
8,Airway,RSI,A patient with suspected C-spine injury requires emergent intubation. Which is TRUE regarding RSI in this patient:,RSI is contraindicated with C-spine injury,Manual in-line stabilization should be maintained during laryngoscopy,Nasotracheal intubation is preferred,Succinylcholine is absolutely contraindicated,B,MILS should be maintained during RSI. RSI is not contraindicated. Remove anterior collar maintain stabilization.,Paramedic,medium
9,Airway,RSI,You intubate a 70 kg patient and insert the ETT to 23 cm at the teeth. Post-intubation you note absent breath sounds on the left with decreased SpO2. Most likely cause:,Esophageal intubation,Right mainstem bronchus intubation,Left tension pneumothorax,Equipment failure,B,ETT at 23 cm in 70 kg patient is too deep. Standard depth is 21-22 cm at teeth for average adult male. Right mainstem intubation confirmed by absent left breath sounds.,Paramedic,medium
10,Airway,RSI,Which patient is at HIGHEST risk for aspiration during RSI:,Fasting patient with isolated extremity fracture,Patient with active upper GI bleed,Patient with tension pneumothorax,Patient with acute asthma exacerbation,B,Active GI bleed means stomach full of blood with high aspiration risk. Rapid sequence with cricoid pressure indicated.,Paramedic,medium
