emr_id,category,subcategory,question_type,term,definition,option_a,option_b,option_c,option_d,correct_answer,rationale
EMR-VOCAB-351,Assessment,Vital Signs,vocabulary,Blood pressure,Measure of force of blood against arterial walls,Heart rate,Force of blood on arteries,Breathing rate,Oxygen level,B,Blood pressure measures the force exerted by blood on arterial walls. Systolic is pressure during contraction diastolic is pressure during relaxation. Normal adult BP is approximately 120/80 mmHg.
EMR-VOCAB-352,Assessment,Vital Signs,vocabulary,Systolic pressure,Pressure when heart contracts,Resting pressure,Contraction pressure,Average pressure,Minimum pressure,B,Systolic pressure is the higher number measured when the heart contracts pumping blood into arteries. It reflects cardiac output and arterial resistance. Normal adult systolic is around 120 mmHg.
EMR-VOCAB-353,Assessment,Vital Signs,vocabulary,Diastolic pressure,Pressure when heart relaxes between beats,Contraction pressure,Relaxation pressure,Maximum pressure,Pulse pressure,B,Diastolic pressure is the lower number measured when the heart relaxes between beats. It reflects peripheral vascular resistance. Normal adult diastolic is around 80 mmHg.
EMR-VOCAB-354,Assessment,Vital Signs,vocabulary,Pulse,Palpable arterial beat reflecting heart contractions,Blood pressure,Palpable heart beat,Breathing rate,Temperature,B,Pulse is the palpable expansion of an artery with each heartbeat. It provides information about heart rate rhythm and quality. Common sites include radial carotid and brachial arteries.
EMR-VOCAB-355,Assessment,Vital Signs,vocabulary,Respiratory rate,Number of breaths per minute,Heart rate,Breaths per minute,Blood pressure,Temperature,B,Respiratory rate is the number of complete respiratory cycles breaths per minute. Normal adult rate is 12-20. Rate quality and effort should all be assessed.
EMR-VOCAB-356,Assessment,Vital Signs,vocabulary,Tidal volume,Amount of air moved with each breath,Total lung capacity,Air per breath,Breathing rate,Residual volume,B,Tidal volume is the amount of air inhaled and exhaled with each normal breath approximately 500 mL in adults. It affects adequacy of ventilation along with respiratory rate.
EMR-VOCAB-357,Assessment,Vital Signs,vocabulary,SpO2,Oxygen saturation measured by pulse oximetry,Blood pressure,Oxygen saturation percentage,Heart rate,Carbon dioxide level,B,SpO2 is the percentage of hemoglobin saturated with oxygen measured non-invasively by pulse oximetry. Normal is 95-100%. Below 94% indicates hypoxemia requiring supplemental oxygen.
EMR-VOCAB-358,Assessment,Vital Signs,vocabulary,Capillary refill,Time for color to return after pressing on nail bed,Blood pressure test,Perfusion assessment,Temperature check,Oxygen test,B,Capillary refill time assesses peripheral perfusion. Press on nail bed release and count seconds for color to return. Normal is less than 2 seconds. Delayed refill suggests poor perfusion.
EMR-VOCAB-359,Assessment,Vital Signs,vocabulary,AVPU,Scale assessing level of consciousness,Pain scale,Consciousness level scale,Vital signs,Trauma score,B,AVPU is a rapid consciousness assessment. A equals Alert V equals responds to Verbal stimuli P equals responds to Painful stimuli U equals Unresponsive. It is simpler than GCS for rapid assessment.
EMR-VOCAB-360,Assessment,Vital Signs,vocabulary,Glasgow Coma Scale,Standardized scale measuring consciousness using eye verbal and motor responses,Blood pressure scale,Consciousness measurement scale,Pain scale,Breathing scale,B,GCS scores eye opening verbal response and motor response on a scale of 3-15. It provides more detailed consciousness assessment than AVPU and is used for trending and communication.
EMR-VOCAB-361,Assessment,Physical Exam,vocabulary,Inspection,Visual examination of the patient,Touching patient,Looking at patient,Listening to patient,Tapping on patient,B,Inspection is the first step of physical examination using observation to gather information. Look for symmetry skin color deformities respiratory effort level of consciousness and other visual findings.
EMR-VOCAB-362,Assessment,Physical Exam,vocabulary,Palpation,Examination by touch,Visual examination,Examination by touch,Listening examination,Tapping examination,B,Palpation uses touch to assess temperature texture moisture movement masses tenderness and crepitus. Use appropriate pressure and watch the patient's face for pain response.
EMR-VOCAB-363,Assessment,Physical Exam,vocabulary,Auscultation,Examination by listening usually with stethoscope,Visual examination,Listening examination,Touch examination,Tapping examination,B,Auscultation uses a stethoscope to listen to body sounds including lung sounds heart sounds bowel sounds and blood pressure. It requires a quiet environment and practice to interpret.
EMR-VOCAB-364,Assessment,Physical Exam,vocabulary,Percussion,Examination by tapping to assess underlying structures,Looking at patient,Tapping examination,Listening,Touching,B,Percussion involves tapping on the body surface to assess underlying structures by the sounds produced. It can detect fluid air or solid masses. Used on chest and abdomen.
EMR-VOCAB-365,Assessment,Physical Exam,vocabulary,Crepitus,Crackling or grinding sensation felt on palpation,Smooth skin texture,Crackling sensation,Warm skin,Cold skin,B,Crepitus is a crackling or grinding sensation felt or heard indicating air under the skin subcutaneous emphysema or bone fragments rubbing together fracture. It is always an abnormal finding.
EMR-VOCAB-366,Assessment,Physical Exam,vocabulary,JVD,Jugular vein distension indicating elevated venous pressure,Low blood pressure,Neck vein bulging,Low oxygen,Fever sign,B,JVD is visible distension of the jugular veins in the neck when the patient is at 45 degrees indicating elevated central venous pressure. It suggests right heart failure tension pneumothorax or cardiac tamponade.
EMR-VOCAB-367,Assessment,Physical Exam,vocabulary,Diaphoresis,Excessive sweating,Dry skin,Excessive sweating,Cool skin,Warm skin,B,Diaphoresis is profuse sweating often associated with stress pain sympathetic activation or certain medical conditions. Combined with other symptoms it can indicate MI hypoglycemia or shock.
EMR-VOCAB-368,Assessment,Physical Exam,vocabulary,Cyanosis,Bluish discoloration from low oxygen in blood,Red color,Blue color from low O2,Yellow color,Pale color,B,Cyanosis is bluish discoloration of skin and mucous membranes caused by deoxygenated hemoglobin. Central cyanosis lips tongue indicates serious hypoxemia. Peripheral cyanosis may indicate poor circulation.
EMR-VOCAB-369,Assessment,Physical Exam,vocabulary,Pallor,Abnormal paleness of skin,Red skin,Pale skin,Blue skin,Yellow skin,B,Pallor is abnormal paleness resulting from reduced blood flow or reduced hemoglobin. It may indicate anemia shock vasoconstriction or syncope. Check mucous membranes in dark-skinned patients.
EMR-VOCAB-370,Assessment,Physical Exam,vocabulary,Jaundice,Yellow discoloration from elevated bilirubin,Blue skin,Yellow skin,Pale skin,Red skin,B,Jaundice is yellowing of skin and sclera from elevated bilirubin caused by liver disease bile duct obstruction or excessive red cell breakdown. It indicates hepatic or biliary pathology.
EMR-VOCAB-371,Assessment,History,vocabulary,SAMPLE history,Mnemonic for patient history components,Vital signs mnemonic,History gathering mnemonic,Physical exam mnemonic,Treatment mnemonic,B,SAMPLE stands for Signs and symptoms Allergies Medications Past medical history Last oral intake Events leading to illness or injury. It provides organized approach to history gathering.
EMR-VOCAB-372,Assessment,History,vocabulary,OPQRST,Mnemonic for assessing pain or chief complaint,Vital signs assessment,Pain assessment mnemonic,Physical exam order,Treatment protocol,B,OPQRST assesses symptoms: Onset Provocation/Palliation Quality Region/Radiation Severity Time. It provides thorough assessment of pain or other chief complaints.
EMR-VOCAB-373,Assessment,History,vocabulary,Chief complaint,Primary reason patient called for help,Medical history,Main problem reason for call,Past medical history,Physical findings,B,The chief complaint is the primary symptom or concern that prompted the call for help. It should be documented in the patient's own words when possible and guides the focused assessment.
EMR-VOCAB-374,Assessment,History,vocabulary,Pertinent negative,Relevant finding that is absent,Positive finding,Important absent finding,Vital sign,Physical exam,B,Pertinent negatives are significant findings that are NOT present such as denies chest pain or no shortness of breath. They help rule out conditions and demonstrate thorough assessment.
EMR-VOCAB-375,Assessment,History,vocabulary,Onset,When symptoms began,Location of pain,Start time of symptoms,Severity of symptoms,Quality of symptoms,B,Onset refers to when symptoms began and how they started suddenly vs gradually. Sudden onset may indicate different conditions than gradual onset even for similar symptoms.
EMR-VOCAB-376,Assessment,Lung Sounds,vocabulary,Wheezing,High-pitched whistling sounds from narrowed airways,Normal breath sounds,Whistling airway sounds,Fluid sounds,Absent sounds,B,Wheezing is a high-pitched musical sound produced by air flowing through narrowed airways. It is characteristic of asthma bronchospasm and airway obstruction. Usually heard on expiration but can be inspiratory.
EMR-VOCAB-377,Assessment,Lung Sounds,vocabulary,Crackles,Crackling sounds from fluid or secretions in airways,Normal sounds,Crackling fluid sounds,Whistling sounds,Absent sounds,B,Crackles or rales are discontinuous popping sounds heard when air moves through fluid or secretions in small airways. They indicate pulmonary edema pneumonia or other fluid accumulation.
EMR-VOCAB-378,Assessment,Lung Sounds,vocabulary,Stridor,High-pitched inspiratory sound from upper airway obstruction,Expiratory wheeze,Inspiratory upper airway sound,Normal breathing,Crackling sounds,B,Stridor is a high-pitched harsh sound heard during inspiration caused by upper airway obstruction. Causes include croup epiglottitis foreign body and anaphylaxis. It indicates significant airway compromise.
EMR-VOCAB-379,Assessment,Lung Sounds,vocabulary,Rhonchi,Low-pitched rumbling sounds from secretions in large airways,High-pitched sounds,Low rumbling sounds,Absent sounds,Normal sounds,B,Rhonchi are low-pitched continuous sounds caused by secretions in larger airways. They may clear with coughing. Often heard in bronchitis and COPD with mucus production.
EMR-VOCAB-380,Assessment,Lung Sounds,vocabulary,Diminished breath sounds,Reduced or quiet lung sounds,Loud breath sounds,Quiet lung sounds,Extra sounds,B,Diminished breath sounds are quieter than normal and may indicate pneumothorax pleural effusion obesity or poor respiratory effort. Compare both sides noting any asymmetry.
EMR-VOCAB-381,Assessment,Pupils,vocabulary,PERRLA,Pupils Equal Round Reactive to Light and Accommodation,Blood pressure finding,Normal pupil assessment,Heart rhythm,Lung sounds,B,PERRLA documents normal pupil assessment: both pupils are equal in size round in shape and react to light and accommodation focusing. Deviations may indicate neurological problems or drug effects.
