id,category,subcategory,question,option_a,option_b,option_c,option_d,correct_answer,rationale,certification,difficulty
1,Trauma,Kinematics,Kinematics is the study of:,Patient anatomy,Motion and forces in trauma,Medication effects,Disease processes,B,Kinematics studies forces and motion to predict injuries from mechanism.,AEMT,medium
2,Trauma,Kinematics,Frontal impact MVC injury patterns include:,Lower extremity only,Head neck chest abdomen and lower extremity injuries,Back injuries only,No predictable pattern,B,Frontal impact: up-and-over or down-and-under pathways affecting multiple regions.,AEMT,medium
3,Trauma,Kinematics,Lateral impact MVC most commonly injures:,Legs,Side of impact including head neck chest pelvis,Front of body,Back only,B,Lateral T-bone impacts injure near side: head neck chest abdomen pelvis.,AEMT,medium
4,Trauma,Kinematics,Rear impact MVC commonly causes:,Facial injuries,Cervical spine injuries especially hyperextension,Chest injuries,Abdominal injuries,B,Rear impact causes hyperextension of neck if headrest inadequate.,AEMT,medium
5,Trauma,Kinematics,Rollover MVC:,Has predictable pattern,May cause unpredictable multiple injuries,Is less severe,Causes only head injury,B,Rollover causes multiple impacts with unpredictable injury patterns.,AEMT,medium
6,Trauma,Kinematics,Ejection from vehicle:,Is minor event,Greatly increases risk of death and serious injury,Is survivable usually,Causes minor injury,B,Ejection increases mortality 25 times; significant mechanism.,AEMT,medium
7,Trauma,Kinematics,Pedestrian struck typically has:,Single injury,Multiple injuries at different levels,Only leg injuries,No serious injuries,B,Pedestrian: Waddell triad bumper leg injury hood torso ground head.,AEMT,medium
8,Trauma,Kinematics,Motorcycle crash without helmet increases risk of:,Leg injuries,Head and facial injuries,Abdominal injuries,Chest injuries,B,No helmet greatly increases head and facial injury severity.,AEMT,medium
9,Trauma,Kinematics,Handlebar injuries may cause:,Leg fractures,Abdominal organ injuries,Head injury,Arm injuries,B,Handlebars can cause significant blunt abdominal organ injury.,AEMT,medium
10,Trauma,Kinematics,Fall from height greater than 3 times patient height:,Is minor,Is significant mechanism,Requires no workup,Is never serious,B,Significant fall: greater than 3x height in children greater than 20 feet adults.,AEMT,medium
