emr_id,category,subcategory,question_type,term,definition,option_a,option_b,option_c,option_d,correct_answer,rationale
EMR-VOCAB-251,Operations,EMS System,vocabulary,Emergency Medical Responder (EMR),Entry-level EMS provider who provides immediate care,Advanced paramedic,Entry-level EMS provider,Physician,Nurse,B,EMR is the entry-level EMS certification. EMRs provide immediate life-saving care until higher-level providers arrive. They are trained in basic assessment airway management CPR bleeding control and assisting with certain medications.
EMR-VOCAB-252,Operations,EMS System,vocabulary,Emergency Medical Technician (EMT),EMS provider trained in basic life support,Entry-level provider,Basic life support provider,Advanced provider,Physician,B,EMTs provide basic life support including advanced airway management additional medications and more comprehensive patient assessment. EMT is the certification level above EMR.
EMR-VOCAB-253,Operations,EMS System,vocabulary,Advanced EMT (AEMT),Provider with training between EMT and Paramedic,Entry-level provider,Basic provider,Intermediate provider,Physician,C,AEMTs have training beyond EMT including IV access and additional medications. They bridge the gap between basic EMT and Paramedic level care.
EMR-VOCAB-254,Operations,EMS System,vocabulary,Paramedic,Highest level prehospital care provider,Entry-level provider,Basic provider,Intermediate provider,Advanced life support provider,D,Paramedics are the highest level of prehospital care providing advanced life support including cardiac monitoring advanced airways IV medications and other interventions.
EMR-VOCAB-255,Operations,EMS System,vocabulary,Medical Direction,Physician oversight of EMS care,EMR supervision,Physician oversight,Hospital administration,Government regulation,B,Medical direction provides physician oversight of EMS systems. Online direct medical direction involves real-time physician consultation. Offline indirect direction includes protocols and standing orders.
EMR-VOCAB-256,Operations,EMS System,vocabulary,Protocol,Written guidelines for patient care,Verbal instructions,Written care guidelines,Personal preference,Random selection,B,Protocols are evidence-based written guidelines that direct EMS providers in patient care decisions. They are developed under medical direction and define scope of practice for specific situations.
EMR-VOCAB-257,Operations,EMS System,vocabulary,Standing Orders,Pre-authorized treatments that can be performed without calling medical direction,Orders requiring phone call,Pre-authorized treatments,Verbal orders,Post-treatment orders,B,Standing orders are protocols that authorize specific treatments without requiring real-time physician contact. They allow immediate intervention for time-critical conditions like cardiac arrest.
EMR-VOCAB-258,Operations,EMS System,vocabulary,Scope of Practice,Legal limits of what a provider can do based on certification,Personal preference,Legal practice limits,Training recommendations,Hospital policy,B,Scope of practice legally defines what procedures and treatments each certification level can perform. It is determined by state law and medical direction. Exceeding scope is illegal.
EMR-VOCAB-259,Operations,EMS System,vocabulary,Quality Improvement (QI),Systematic process to improve patient care quality,Quality of equipment,Process to improve care,Employee evaluation,Building maintenance,B,Quality improvement involves analyzing care delivery and outcomes to identify areas for improvement. It includes case review protocol evaluation and training needs assessment.
EMR-VOCAB-260,Operations,Communications,vocabulary,Dispatch,Central communication center that receives calls and sends units,Hospital,Communication center,Fire station,Police station,B,Dispatch or communications center receives 911 calls determines appropriate response and sends EMS units. Dispatchers may provide pre-arrival instructions to callers.
EMR-VOCAB-261,Operations,Communications,vocabulary,Pre-arrival Instructions,Guidance given by dispatchers to callers before EMS arrives,Instructions after arrival,Phone guidance before EMS,Hospital instructions,Training instructions,B,Pre-arrival instructions are directions given by trained dispatchers to 911 callers. They may include CPR instructions choking management and bleeding control while waiting for EMS.
EMR-VOCAB-262,Operations,Communications,vocabulary,Radio Report,Verbal patient information transmitted to hospital,Written report,Verbal report to hospital,Report to dispatch,Final documentation,B,Radio report or hospital notification provides the receiving facility with patient information including condition vital signs treatments and ETA allowing them to prepare for arrival.
EMR-VOCAB-263,Operations,Communications,vocabulary,Patient Care Report (PCR),Documentation of assessment and care provided,Radio transmission,Written care documentation,Verbal report,Hospital form,B,The PCR is the legal document recording all patient information assessment findings treatments and outcomes. It becomes part of the permanent medical record.
EMR-VOCAB-264,Operations,Communications,vocabulary,HIPAA,Federal law protecting patient health information privacy,Hospital policy,Health privacy law,Insurance regulation,Treatment protocol,B,HIPAA Health Insurance Portability and Accountability Act protects patient health information privacy. EMS providers must maintain confidentiality and only share information appropriately.
EMR-VOCAB-265,Operations,Communications,vocabulary,Phonetic Alphabet,Standardized words for letters to ensure clear communication,Secret code,Standard letter words,Medical terminology,Legal language,B,The phonetic alphabet Alpha Bravo Charlie etc ensures clear communication especially over radio. Each letter has a standard word to prevent confusion between similar-sounding letters.
