emr_id,category,subcategory,question_type,term,question,option_a,option_b,option_c,option_d,correct_answer,rationale
EMR-VOCAB-051,Anatomy,Directional Terms,vocabulary,Anterior,What anatomical term means toward the front of the body?,Posterior,Anterior,Superior,Inferior,B,Anterior or ventral means toward the front of the body. For example the sternum is anterior to the heart and the nose is on the anterior surface of the face. The opposite term posterior means toward the back.
EMR-VOCAB-052,Anatomy,Directional Terms,vocabulary,Posterior,What anatomical term means toward the back of the body?,Anterior,Posterior,Lateral,Medial,B,Posterior or dorsal means toward the back of the body. For example the spine is posterior to the heart and the shoulder blades are on the posterior thorax. The opposite term anterior means toward the front.
EMR-VOCAB-053,Anatomy,Directional Terms,vocabulary,Superior,What anatomical term means toward the head or upper part of the body?,Inferior,Superior,Proximal,Distal,B,Superior means toward the head or upper part of the body. For example the head is superior to the neck and the thorax is superior to the abdomen. The opposite term inferior means toward the feet or lower part.
EMR-VOCAB-054,Anatomy,Directional Terms,vocabulary,Inferior,What anatomical term means toward the feet or lower part of the body?,Superior,Inferior,Proximal,Distal,B,Inferior means toward the feet or lower part of the body. For example the abdomen is inferior to the thorax and the feet are inferior to the knees. The opposite term superior means toward the head or upper part.
EMR-VOCAB-055,Anatomy,Directional Terms,vocabulary,Medial,What anatomical term means toward the midline of the body?,Lateral,Medial,Proximal,Distal,B,Medial means toward the midline or center of the body. For example the nose is medial to the eyes and the ulna is medial to the radius. The opposite term lateral means away from the midline.
EMR-VOCAB-056,Anatomy,Directional Terms,vocabulary,Lateral,What anatomical term means away from the midline of the body?,Medial,Lateral,Proximal,Distal,B,Lateral means away from the midline of the body or toward the side. For example the ears are lateral to the nose and the shoulders are lateral to the neck. The opposite term medial means toward the midline.
EMR-VOCAB-057,Anatomy,Directional Terms,vocabulary,Proximal,What anatomical term means closer to the trunk or point of attachment of a limb?,Distal,Proximal,Superior,Inferior,B,Proximal means closer to the trunk or the point of attachment of a limb to the body. For example the elbow is proximal to the wrist and the shoulder is proximal to the elbow. The opposite term distal means farther from the trunk.
EMR-VOCAB-058,Anatomy,Directional Terms,vocabulary,Distal,What anatomical term means farther from the trunk or point of attachment of a limb?,Proximal,Distal,Superior,Inferior,B,Distal means farther from the trunk or the point of attachment of a limb. For example the fingers are distal to the wrist and the ankle is distal to the knee. The opposite term proximal means closer to the trunk.
EMR-VOCAB-059,Anatomy,Directional Terms,vocabulary,Superficial,What anatomical term means closer to the surface of the body?,Deep,Superficial,External,Peripheral,B,Superficial means closer to or on the surface of the body. For example the skin is superficial to the muscles and the epidermis is superficial to the dermis. The opposite term deep means farther from the surface.
EMR-VOCAB-060,Anatomy,Directional Terms,vocabulary,Deep,What anatomical term means farther from the surface of the body?,Superficial,Deep,Internal,Central,B,Deep means farther from the surface of the body or more internal. For example bones are deep to the muscles and muscles are deep to the skin. The opposite term superficial means closer to the surface.
EMR-VOCAB-061,Anatomy,Directional Terms,vocabulary,Prone,What term describes the body position when a patient is lying face down?,Supine,Prone,Lateral,Fowler,B,Prone position means lying face down with the anterior surface of the body toward the ground. This position may be used for examining the back or for patients with certain respiratory conditions. Spinal immobilization is more difficult in the prone position.
EMR-VOCAB-062,Anatomy,Directional Terms,vocabulary,Supine,What term describes the body position when a patient is lying face up on their back?,Prone,Supine,Lateral,Recovery,B,Supine position means lying face up with the back on the ground and the anterior surface facing upward. This is the standard position for CPR spinal immobilization and most patient assessments. It allows easy access to the airway and anterior body.
EMR-VOCAB-063,Anatomy,Directional Terms,vocabulary,Lateral Recumbent,What term describes the body position when a patient is lying on their side?,Supine,Prone,Lateral recumbent,Fowler,C,Lateral recumbent or recovery position means lying on the side. This position is used for unconscious breathing patients to help maintain airway patency and allow fluids to drain from the mouth. Left lateral recumbent is preferred for pregnant patients.
EMR-VOCAB-064,Anatomy,Directional Terms,vocabulary,Fowler Position,What term describes the position where a patient is sitting up at a 45 to 90 degree angle?,Supine,Prone,Trendelenburg,Fowler,D,Fowler position is a sitting position with the head elevated 45 to 90 degrees. It is used for patients with respiratory distress or chest pain as it allows gravity to help with breathing. Semi-Fowler is sitting at 30 to 45 degrees.
EMR-VOCAB-065,Anatomy,Body Regions,vocabulary,Thorax,What is the anatomical term for the chest region of the body?,Thorax,Abdomen,Pelvis,Trunk,A,The thorax or chest is the region of the body between the neck and abdomen. It is enclosed by the rib cage sternum and thoracic spine and contains the heart lungs great vessels esophagus and trachea. The thoracic cavity is separated from the abdominal cavity by the diaphragm.
EMR-VOCAB-066,Anatomy,Body Regions,vocabulary,Abdomen,What is the anatomical term for the region of the body between the thorax and pelvis containing digestive organs?,Thorax,Abdomen,Pelvis,Trunk,B,The abdomen is the region between the thorax and pelvis. It contains the stomach liver spleen pancreas kidneys and intestines. The abdomen is divided into four quadrants for assessment purposes right upper left upper right lower and left lower.
EMR-VOCAB-067,Anatomy,Body Regions,vocabulary,Quadrant,What term describes the four sections used to divide the abdomen for assessment purposes?,Quadrant,Region,Zone,Sector,A,The abdomen is divided into four quadrants by drawing imaginary vertical and horizontal lines through the umbilicus. The quadrants are right upper quadrant RUQ left upper quadrant LUQ right lower quadrant RLQ and left lower quadrant LLQ. This system helps localize abdominal pain and identify likely underlying organs.
EMR-VOCAB-068,Anatomy,Body Regions,vocabulary,Right Upper Quadrant,Which abdominal quadrant contains most of the liver and the gallbladder?,Right upper quadrant,Left upper quadrant,Right lower quadrant,Left lower quadrant,A,The right upper quadrant RUQ contains most of the liver the gallbladder the right kidney and portions of the stomach pancreas and intestines. Pain in this quadrant may indicate liver disease gallbladder problems or kidney issues.
EMR-VOCAB-069,Anatomy,Body Regions,vocabulary,Left Upper Quadrant,Which abdominal quadrant contains the spleen stomach and left kidney?,Right upper quadrant,Left upper quadrant,Right lower quadrant,Left lower quadrant,B,The left upper quadrant LUQ contains the spleen stomach left kidney and portions of the pancreas and intestines. The spleen is a highly vascular organ and splenic injury from trauma to this quadrant can cause life-threatening internal bleeding.
EMR-VOCAB-070,Anatomy,Body Regions,vocabulary,Right Lower Quadrant,Which abdominal quadrant contains the appendix and is associated with appendicitis pain?,Right upper quadrant,Left upper quadrant,Right lower quadrant,Left lower quadrant,C,The right lower quadrant RLQ contains the appendix cecum and portions of the small and large intestines. Pain in this quadrant particularly at McBurney point is classic for appendicitis. In females the right ovary and fallopian tube are also in this quadrant.
EMR-VOCAB-071,Anatomy,Body Regions,vocabulary,Left Lower Quadrant,Which abdominal quadrant contains the sigmoid colon and in females the left ovary?,Right upper quadrant,Left upper quadrant,Right lower quadrant,Left lower quadrant,D,The left lower quadrant LLQ contains the sigmoid colon descending colon and portions of the small intestine. In females the left ovary and fallopian tube are also in this quadrant. Diverticulitis commonly presents with LLQ pain.
EMR-VOCAB-072,Anatomy,Body Regions,vocabulary,Umbilicus,What is the anatomical term for the navel or belly button?,Umbilicus,Xiphoid,Epigastrium,Periumbilical,A,The umbilicus or navel is the central landmark of the abdomen marking the site of the former umbilical cord attachment. It is used as the reference point for dividing the abdomen into quadrants and is important for locating proper hand placement during abdominal thrusts.
EMR-VOCAB-073,Anatomy,Body Regions,vocabulary,Xiphoid Process,What is the small cartilaginous projection at the inferior end of the sternum?,Manubrium,Body of sternum,Xiphoid process,Costal margin,C,The xiphoid process is the small cartilaginous inferior portion of the sternum. It serves as an important landmark for CPR hand placement which should be on the lower half of the sternum avoiding the xiphoid. Pressure on the xiphoid can cause it to break and lacerate the liver.
EMR-VOCAB-074,Anatomy,Cardiovascular,vocabulary,Coronary Arteries,What blood vessels supply oxygenated blood to the heart muscle itself?,Pulmonary arteries,Coronary arteries,Carotid arteries,Aortic branches,B,The coronary arteries are the blood vessels that supply oxygenated blood to the myocardium heart muscle. They branch from the aorta just above the aortic valve. The main coronary arteries are the left main left anterior descending circumflex and right coronary artery. Blockage causes heart attack.
EMR-VOCAB-075,Anatomy,Cardiovascular,vocabulary,Vena Cava,What are the two large veins that return deoxygenated blood from the body to the right atrium?,Pulmonary veins,Jugular veins,Vena cava,Coronary veins,C,The vena cava are the two largest veins in the body. The superior vena cava returns blood from the head neck arms and upper body. The inferior vena cava returns blood from the abdomen pelvis and legs. Both empty into the right atrium.
EMR-VOCAB-076,Anatomy,Cardiovascular,vocabulary,Pulmonary Artery,Which blood vessel carries deoxygenated blood from the right ventricle to the lungs?,Aorta,Pulmonary artery,Pulmonary vein,Vena cava,B,The pulmonary artery is unique because it is an artery that carries deoxygenated blood. It originates from the right ventricle and carries blood to the lungs for oxygenation. It divides into right and left pulmonary arteries going to each lung.
