emr_id,category,subcategory,question_type,question,option_a,option_b,option_c,option_d,correct_answer,rationale
EMR-SCEN-221,Medical,Cardiac,scenario,A 58-year-old man has crushing chest pressure radiating to his left arm and jaw. He is pale sweating and anxious rating pain 9/10. It started 20 minutes ago at rest. BP 148/92 HR 96. He takes daily aspirin and has nitroglycerin prescribed. What should you do?,Have him take 3 nitroglycerin tablets at once,Give high-flow oxygen position of comfort and assist with one nitroglycerin if BP above 100. Since he already takes daily aspirin do not give more. Prepare for potential cardiac arrest. Transport rapidly to cardiac care facility,Wait to see if pain resolves on its own,This is just heartburn,B,This is classic MI presentation. Provide oxygen position of comfort. He takes daily aspirin so additional aspirin is not needed. Assist with one nitroglycerin checking BP first. Be prepared for cardiac arrest as MI can trigger arrhythmias. Rapid transport to cardiac center.
EMR-SCEN-222,Medical,Cardiac,scenario,A 72-year-old woman reports feeling extremely tired with mild nausea for the past hour. She has no chest pain but feels something is wrong. She is diabetic and her skin is pale and moist. Should you be concerned about a heart attack?,No because she has no chest pain,Yes. Elderly women and diabetics often have atypical heart attack presentations without classic chest pain. Fatigue nausea diaphoresis and a sense of doom can be MI symptoms. Maintain high suspicion and transport for cardiac evaluation,Only if she develops chest pain,Diabetes prevents heart attacks,B,Atypical MI presentations without chest pain are common in women elderly and diabetics. Fatigue weakness nausea and diaphoresis can be the only symptoms. Her pale moist skin and vague symptoms warrant high suspicion for cardiac event. Transport for evaluation.
EMR-SCEN-223,Medical,Cardiac,scenario,You are assisting a cardiac patient with his nitroglycerin. After one tablet his chest pain is unchanged. His BP is now 108/70 compared to initial 142/88. Should he take another nitroglycerin?,Yes give up to 3 doses regardless of BP,Use caution. His blood pressure dropped significantly. Recheck BP before another dose and do not give if systolic falls below 100. Nitroglycerin can cause dangerous hypotension. The BP drop suggests it is working even if pain persists,No nitroglycerin does not work for him,Give 3 more tablets,B,Nitroglycerin causes vasodilation which drops blood pressure. The significant BP decrease shows it is working. Always recheck BP before each dose and withhold if systolic below 100 to avoid dangerous hypotension. Pain relief may lag behind cardiovascular effects.
EMR-SCEN-224,Medical,Cardiac,scenario,A patient with known heart failure is sitting bolt upright and cannot lie down to breathe. He has severe shortness of breath and you hear crackles throughout both lungs. His legs are very swollen. What is happening?,Asthma attack,Acute decompensated heart failure with pulmonary edema. The failing heart cannot pump effectively causing fluid backup into the lungs. Orthopnea inability to breathe lying flat is classic. Keep him sitting upright give high-flow oxygen and transport,He just needs rest,Pneumonia,B,Pulmonary edema from CHF causes fluid in the lungs heard as crackles. Orthopnea forces patients to sit upright. Peripheral edema indicates fluid retention. Keep upright as lying down worsens breathing. High-flow oxygen and rapid transport for diuretics and other treatment.
EMR-SCEN-225,Medical,Respiratory,scenario,A 25-year-old asthmatic is having an attack. She is in tripod position using accessory muscles and can only speak in 2-word phrases. Wheezing is audible. SpO2 is 89%. She has her rescue inhaler. What should you do?,She can manage this at home with her inhaler,This is severe asthma. Give high-flow oxygen immediately and assist with her rescue inhaler. The inability to speak in sentences SpO2 below 90% and accessory muscle use indicate severe distress. Transport rapidly. Be prepared for respiratory failure,Tell her to relax and breathe slowly,Her inhaler is all she needs,B,Severe asthma with accessory muscle use fragmented speech and hypoxia is a medical emergency. High-flow oxygen is priority along with bronchodilator. Watch for silent chest which indicates deterioration. Be prepared for respiratory failure requiring assisted ventilation.
EMR-SCEN-226,Medical,Respiratory,scenario,The asthma patient has been wheezing loudly but suddenly becomes much quieter. She appears more tired and her SpO2 has dropped further to 84%. Is the decreasing wheeze a good sign?,Yes less wheezing means the attack is ending,No this is ominous. Decreasing wheeze with worsening condition indicates severe bronchospasm with minimal air movement which is a silent chest. She is in impending respiratory failure. Prepare for assisted ventilation and transport immediately,She just needs to rest,Give more inhaler treatments only,B,Decreasing wheeze with worsening patient condition indicates a silent chest with severe bronchospasm. Less air moving means less sound. This is pre-arrest. Prepare for assisted ventilation with BVM. This patient is critically ill and may need intubation.
EMR-SCEN-227,Medical,Respiratory,scenario,A 68-year-old COPD patient is in respiratory distress on his home oxygen at 2 LPM. His SpO2 is 82%. He is working hard to breathe. Family asks if you can increase his oxygen since they heard COPD patients should not get too much. What do you do?,Keep him at 2 LPM since COPD patients cannot have more,Increase oxygen to maintain SpO2 around 88-92%. Never withhold oxygen from a hypoxic patient. While some COPD patients have reduced hypoxic drive the immediate danger of hypoxia outweighs theoretical CO2 retention risk. Monitor closely,Remove his oxygen entirely,Give 100% oxygen without monitoring,B,Never withhold oxygen from a hypoxic patient. Titrate to maintain SpO2 88-92% in COPD. The hypoxic drive theory does not justify allowing dangerous hypoxia. Monitor for respiratory depression but treat the immediate life threat of low oxygen.
EMR-SCEN-228,Medical,Altered Mental Status,scenario,You respond to a 55-year-old man who is confused and combative. Family says he was fine this morning. He is diaphoretic and pale. He has no known medical history. What should you check first?,Pupil size for drug use,Blood glucose level. Hypoglycemia is a common reversible cause of altered mental status. It can cause confusion combativeness diaphoresis and pallor. Checking glucose is quick and can identify a rapidly treatable condition,Give him naloxone,Nothing just restrain him,B,Blood glucose should be checked in all patients with altered mental status. Hypoglycemia is common rapidly treatable and can present exactly like this with confusion combativeness and diaphoresis. A simple glucose check can be lifesaving.
EMR-SCEN-229,Medical,Altered Mental Status,scenario,The confused patient's blood glucose is 38 mg/dL. He is combative and will not cooperate with taking oral glucose. What should you do?,Force the oral glucose into his mouth,Do not force oral glucose as he cannot protect his airway safely while combative. Protect him from injury maintain safety for yourself and others and transport rapidly. He needs IV glucose or IM glucagon which require ALS or hospital,Give him insulin instead,Wait until he calms down,B,Oral glucose cannot be safely given to a combative patient who may aspirate. This patient needs parenteral IV or IM glucose or glucagon. Protect patient and providers from injury and transport rapidly for definitive treatment.
EMR-SCEN-230,Medical,Syncope,scenario,A 45-year-old woman fainted while standing in a long line on a hot day. She was unconscious for about 30 seconds then woke up feeling weak and nauseated. She is now alert and oriented. What likely happened?,Heart attack,Vasovagal syncope is most likely. Prolonged standing heat and stress can trigger a vagal response causing bradycardia and vasodilation leading to temporary decreased brain perfusion. She should still be evaluated to rule out other causes,Stroke,Seizure,B,Vasovagal syncope is triggered by prolonged standing heat emotional stress or pain. Brief loss of consciousness with rapid recovery is typical. While this is the most likely cause she should still be transported for evaluation to rule out cardiac or other causes.
EMR-SCEN-231,Medical,Syncope,scenario,A 65-year-old man passed out while mowing his lawn. He says his heart was racing before he collapsed. After regaining consciousness he still feels his heart pounding. His pulse is irregular and rapid at about 150. Should he be transported?,No he just overexerted himself,Yes absolutely. Syncope during exertion with palpitations and continued rapid irregular pulse is concerning for cardiac arrhythmia. Exertional syncope is a red flag for potentially dangerous heart conditions. He needs immediate cardiac evaluation,Only if he passes out again,Irregular pulse is normal during exercise,B,Exertional syncope with palpitations is concerning for cardiac arrhythmia. Syncope during physical activity suggests the heart cannot meet oxygen demands possibly due to arrhythmia or structural heart disease. The continued irregular rapid pulse requires immediate evaluation.
EMR-SCEN-232,Medical,Headache,scenario,A 52-year-old woman has the worst headache of her life that started suddenly 30 minutes ago. She says it felt like something popped in her head. She now has neck stiffness and has vomited twice. What should you suspect?,Migraine headache,Possible subarachnoid hemorrhage from ruptured brain aneurysm. Sudden severe thunderclap headache with neck stiffness and vomiting is classic presentation. This is a neurosurgical emergency. Transport immediately to a facility capable of neurosurgical intervention,Tension headache,Sinus infection,B,Thunderclap headache reaching maximum intensity instantly with neck stiffness and vomiting suggests subarachnoid hemorrhage. This is life-threatening. Keep patient calm provide oxygen and transport emergently to a center with neurosurgical capability.
EMR-SCEN-233,Medical,Headache,scenario,The suspected SAH patient becomes increasingly drowsy and her right pupil is now larger than the left. What is happening?,She is just tired from vomiting,This indicates worsening intracranial pressure and possible brain herniation. The dilating pupil shows cranial nerve III compression. This is immediately life-threatening. Transport emergently and update the receiving facility on her deterioration,Her headache is resolving,Pupil changes are not significant,B,Decreasing consciousness with unilateral pupil dilation indicates increasing intracranial pressure and impending herniation. Cranial nerve III is being compressed. This is a critical emergency requiring immediate neurosurgical intervention. Communicate deterioration to receiving facility.
EMR-SCEN-234,Medical,Environmental,scenario,Workers call 911 for a coworker who collapsed outside on a 95°F day. He was doing heavy labor. His skin is hot and dry with no sweating. He is confused and combative. Estimated temperature is very high. What is this?,Heat exhaustion,Heat stroke. Hot dry skin indicates the body's cooling mechanism has failed. Combined with altered mental status and high body temperature this is heat stroke which is life-threatening. Begin immediate aggressive cooling and transport,Dehydration only,He is just tired,B,Heat stroke is characterized by core temperature above 104°F with CNS dysfunction and failure of sweating. Hot dry skin in an exertion setting indicates thermoregulation failure. This is life-threatening. Begin immediate active cooling remove clothing apply cool water fan and transport emergently.
EMR-SCEN-235,Medical,Environmental,scenario,A hiker was found after spending a night lost in 40°F rain. He is confused shivering violently and has slurred speech. His skin is cold and pale. Core temperature is estimated to be around 92°F. How should you manage him?,Rub his arms and legs vigorously to generate heat,Handle gently as rough handling can trigger arrhythmias. Remove wet clothing and cover with dry blankets. Shield from wind. Do not rub extremities as this can cause cold blood to return to core. Rewarm gradually,Have him drink hot coffee immediately,Give him alcohol to warm up,B,Moderate hypothermia requires gentle handling as the cold heart is irritable and prone to arrhythmias. Remove wet clothing apply dry insulation and passive rewarming. Do not rub extremities vigorously. Avoid alcohol which worsens heat loss through vasodilation.
EMR-SCEN-236,Medical,Environmental,scenario,A cold water drowning victim was submerged for approximately 12 minutes before being pulled from the water. He is pulseless and not breathing. Should you attempt resuscitation?,No 12 minutes underwater is not survivable,Yes attempt resuscitation. Cold water rapidly induces hypothermia which protects organs especially the brain. Survival after prolonged cold water submersion has been documented. Follow standard resuscitation and transport for rewarming. Do not stop until warm and confirmed dead,Only if he was under for less than 5 minutes,Check for rigor mortis first,B,Cold water drowning has the best chance of survival due to protective hypothermia. The saying is they are not dead until warm and dead. Begin CPR on all cold water drowning victims regardless of submersion time. Continue resuscitation during transport.
EMR-SCEN-237,Medical,Bites,scenario,A hiker was bitten on the ankle by what he describes as a rattlesnake. You see two puncture marks with swelling and pain at the site. He is anxious but vital signs are stable. How should you manage this?,Apply a tourniquet above the bite,Keep him calm and still. Immobilize the bitten extremity at or below heart level. Remove jewelry distal to the bite. Do not apply tourniquet ice or attempt to suck out venom. Mark the edge of swelling with time to monitor progression. Transport for antivenom evaluation,Suck the venom out with your mouth,Apply ice to slow venom spread,B,Snake bite management includes keeping calm immobilizing the extremity at or below heart level removing constrictive items and marking swelling progression. Do not apply tourniquet ice or attempt venom extraction which do not help and may harm. Transport for antivenom evaluation.
EMR-SCEN-238,Medical,Obstetric,scenario,A woman who is 36 weeks pregnant feels dizzy and lightheaded when lying flat on your stretcher. Her blood pressure drops when supine. What is causing this and how do you correct it?,She is having a stroke,Supine hypotensive syndrome. The pregnant uterus compresses the inferior vena cava when supine reducing venous return. Position her on her left side or place a wedge under her right hip to tilt her left. This relieves IVC compression,She needs IV fluids immediately,This is normal in pregnancy,B,In late pregnancy the gravid uterus can compress the IVC when supine causing decreased venous return and hypotension. Left lateral positioning or left uterine displacement relieves compression. Never leave a late-pregnancy patient flat on her back.
