id,category,subcategory,question,option_a,option_b,option_c,option_d,correct_answer,rationale,certification,difficulty
1,Cardiovascular,Anatomy,The pulmonic valve is located between:,Left atrium and left ventricle,Right ventricle and pulmonary artery,Right atrium and right ventricle,Left ventricle and aorta,B,Pulmonic valve prevents backflow from pulmonary artery to right ventricle.,AEMT,medium
2,Cardiovascular,Anatomy,The chordae tendineae attach to:,AV valves and papillary muscles,Semilunar valves,Atrial walls,Ventricular septum,A,Chordae tendineae anchor AV valve leaflets to papillary muscles preventing prolapse.,AEMT,medium
3,Cardiovascular,Anatomy,The interventricular septum separates:,Right and left atria,Right and left ventricles,Atria from ventricles,Heart from pericardium,B,Interventricular septum is the wall between right and left ventricles.,AEMT,medium
4,Cardiovascular,Anatomy,The AV node is located:,In the right atrium near the septum,In the left atrium,In the ventricle,In the SA node,A,AV node is in lower right atrium near interatrial septum.,AEMT,medium
5,Cardiovascular,Anatomy,The Bundle of His is located:,In the atria,In the interventricular septum,In the SA node,In the AV node,B,Bundle of His travels through interventricular septum dividing into bundle branches.,AEMT,medium
6,Cardiovascular,Anatomy,Purkinje fibers are located:,In the atria,In ventricular walls,In the AV node,In the SA node,B,Purkinje fibers distribute electrical impulses throughout ventricular myocardium.,AEMT,medium
7,Cardiovascular,Anatomy,The pericardium is:,Heart muscle,Sac surrounding the heart,Inner lining of heart,Blood vessels,B,Pericardium is fibrous sac surrounding heart containing small amount of fluid.,AEMT,medium
8,Cardiovascular,Anatomy,The epicardium is the:,Inner heart lining,Outer layer of heart wall,Middle muscular layer,Sac around heart,B,Epicardium is outermost layer of heart wall also called visceral pericardium.,AEMT,medium
9,Cardiovascular,Anatomy,The myocardium is the:,Inner lining,Middle muscular layer of heart,Outer layer,Pericardial sac,B,Myocardium is thick muscular middle layer responsible for contraction.,AEMT,medium
10,Cardiovascular,Anatomy,The endocardium is the:,Innermost lining of heart chambers,Outer layer,Muscular layer,Pericardium,A,Endocardium lines inner surface of chambers and valves.,AEMT,medium
11,Cardiovascular,Physiology,Preload refers to:,Pressure the heart pumps against,Volume of blood in ventricle at end of diastole,Heart rate,Contractility,B,Preload is ventricular end-diastolic volume or stretch before contraction.,AEMT,medium
12,Cardiovascular,Physiology,Afterload refers to:,Volume in the heart,Resistance the heart must pump against,Heart rate,Blood returning to heart,B,Afterload is resistance or pressure ventricle must overcome to eject blood.,AEMT,medium
13,Cardiovascular,Physiology,Increasing preload generally:,Decreases cardiac output,Increases cardiac output up to a point,Has no effect,Decreases heart rate,B,Frank-Starling: increased preload increases contractility and output to a limit.,AEMT,medium
14,Cardiovascular,Physiology,Increased afterload:,Increases cardiac output,Decreases cardiac output,Has no effect,Increases preload,B,Increased afterload makes heart work harder and can decrease output.,AEMT,medium
15,Cardiovascular,Physiology,Chronotropy refers to:,Contractility,Heart rate,Conduction speed,Relaxation,B,Chronotropy relates to heart rate; positive chronotrope increases rate.,AEMT,medium
16,Cardiovascular,Physiology,Inotropy refers to:,Heart rate,Contractility or force of contraction,Conduction speed,Relaxation,B,Inotropy is strength of contraction; positive inotrope increases contractility.,AEMT,medium
17,Cardiovascular,Physiology,Dromotropy refers to:,Heart rate,Conduction velocity,Contractility,Relaxation,B,Dromotropy relates to conduction speed through heart.,AEMT,medium
18,Cardiovascular,Physiology,Automaticity is the ability of cardiac cells to:,Contract,Generate electrical impulses spontaneously,Conduct impulses,Relax,B,Automaticity allows pacemaker cells to self-generate electrical impulses.,AEMT,medium
19,Cardiovascular,Physiology,Normal cardiac conduction sequence:,AV node SA node ventricles,SA node AV node Bundle of His Purkinje fibers,Ventricles then atria,Purkinje fibers SA node AV node,B,Normal: SA node to atria to AV node to Bundle of His to Purkinje to ventricles.,AEMT,medium
20,Cardiovascular,Physiology,Stroke volume is affected by:,Preload afterload and contractility,Heart rate only,Blood pressure only,Age only,A,Stroke volume determined by preload afterload and contractile strength.,AEMT,medium
21,Cardiovascular,Assessment,Weak or thready pulse indicates:,Good perfusion,Decreased cardiac output or vasoconstriction,High blood pressure,Strong heart,B,Weak thready pulse suggests low stroke volume or peripheral vasoconstriction.,AEMT,medium
22,Cardiovascular,Assessment,Bounding pulse indicates:,Poor perfusion,High stroke volume or vasodilation,Heart failure,Shock,B,Bounding pulse seen with high output states fever sepsis or anxiety.,AEMT,medium
23,Cardiovascular,Assessment,Pulse deficit is when:,Radial pulse is present,Apical rate exceeds peripheral pulse rate,All pulses are equal,Pulse is regular,B,Pulse deficit: apical HR greater than radial; some beats not producing palpable pulse.,AEMT,medium
24,Cardiovascular,Assessment,Irregular pulse may indicate:,Normal finding always,Arrhythmia like atrial fibrillation,Strong heart,Good perfusion,B,Irregular pulse suggests arrhythmia; irregularly irregular suggests AFib.,AEMT,medium
25,Cardiovascular,Assessment,Pulsus alternans is:,Normal finding,Alternating strong and weak beats,Irregular rhythm,Absent pulse,B,Pulsus alternans alternates between strong and weak beats suggesting severe LV dysfunction.,AEMT,medium
26,Cardiovascular,Assessment,Capillary refill is tested by:,Checking pulse,Pressing nail bed and timing color return,Blood pressure,Heart rate,B,Press nail bed blanch then release; normal color returns in less than 2 seconds.,AEMT,medium
27,Cardiovascular,Assessment,Mottled skin indicates:,Good perfusion,Poor peripheral perfusion,Normal finding,Warm skin,B,Mottling is patchy discoloration indicating poor peripheral circulation.,AEMT,medium
28,Cardiovascular,Assessment,Diaphoresis in cardiac patient suggests:,Comfort,Sympathetic activation from pain or distress,Normal finding,Fever,B,Diaphoresis sweating indicates sympathetic response often seen in ACS.,AEMT,medium
29,Cardiovascular,Assessment,Pallor in cardiac patient indicates:,Good perfusion,Vasoconstriction and poor perfusion,Normal color,Fever,B,Pale skin from peripheral vasoconstriction shunting blood to vital organs.,AEMT,medium
