emr_id,category,subcategory,question_type,term,definition,option_a,option_b,option_c,option_d,correct_answer,rationale
EMR-VOCAB-501,Equipment,Airway,vocabulary,Oropharyngeal airway (OPA),Rigid curved device inserted through mouth to hold tongue forward,Nasal airway device,Mouth airway device,Suction device,Oxygen mask,B,The OPA is a rigid plastic device inserted through the mouth to prevent the tongue from obstructing the pharynx. It is used in unconscious patients without a gag reflex and must be properly sized.
EMR-VOCAB-502,Equipment,Airway,vocabulary,Nasopharyngeal airway (NPA),Flexible tube inserted through nose to maintain airway,Mouth airway,Nasal airway tube,Suction catheter,Oxygen tubing,B,The NPA is a soft flexible tube inserted through the nostril into the nasopharynx. It is better tolerated than OPA in patients with intact gag reflex and maintains airway patency.
EMR-VOCAB-503,Equipment,Airway,vocabulary,Suction catheter,Device used to remove secretions and fluids from airway,Airway adjunct,Fluid removal device,Oxygen delivery,IV catheter,B,Suction catheters connect to suction units to remove blood vomit and secretions from the airway. Rigid catheters are used for the oropharynx while flexible catheters reach deeper.
EMR-VOCAB-504,Equipment,Airway,vocabulary,Yankauer catheter,Rigid suction tip for oropharyngeal suctioning,Flexible catheter,Rigid oral suction tip,Nasal catheter,IV catheter,B,The Yankauer or tonsil tip catheter is a rigid plastic suction device designed for oral suctioning. Its large bore and rigid construction make it effective for removing thick secretions and vomit.
EMR-VOCAB-505,Equipment,Airway,vocabulary,Bag-valve-mask (BVM),Manual resuscitator for delivering positive pressure ventilation,Oxygen tank,Manual ventilation device,Blood pressure cuff,Suction unit,B,The BVM or Ambu bag is a handheld device for providing positive pressure ventilation. It consists of a self-inflating bag one-way valve and face mask. It can be used with or without supplemental oxygen.
EMR-VOCAB-506,Equipment,Airway,vocabulary,Pocket mask,Barrier device for mouth-to-mask ventilation,Face mask,Mouth-to-mask barrier,Surgical mask,Oxygen mask,B,The pocket mask provides a barrier between rescuer and patient during rescue breathing. It has a one-way valve and can connect to oxygen. It reduces disease transmission risk during ventilation.
EMR-VOCAB-507,Equipment,Oxygen,vocabulary,Oxygen cylinder,Pressurized container storing medical oxygen,Oxygen concentrator,Compressed oxygen tank,Air tank,Nitrogen tank,B,Oxygen cylinders store compressed oxygen under high pressure. Common sizes include D portable and M large cylinders. They have regulators to control flow rate and pressure gauges to monitor contents.
EMR-VOCAB-508,Equipment,Oxygen,vocabulary,Regulator,Device that controls oxygen flow from cylinder,Flow meter only,Pressure and flow control device,Oxygen mask,Tank valve,B,The regulator attaches to the oxygen cylinder reducing high tank pressure to usable pressure and allowing adjustment of flow rate in liters per minute. It includes a pressure gauge showing remaining oxygen.
EMR-VOCAB-509,Equipment,Oxygen,vocabulary,Flowmeter,Device measuring oxygen flow rate in liters per minute,Pressure gauge,Flow rate indicator,Regulator,Tank gauge,B,The flowmeter indicates oxygen flow rate typically measured in liters per minute. It may be a floating ball or dial type. Proper flow rate selection depends on the delivery device being used.
EMR-VOCAB-510,Equipment,Oxygen,vocabulary,Nasal cannula,Low-flow oxygen delivery device with prongs in nostrils,High-flow mask,Nasal prong device,Face mask,Ventilator,B,The nasal cannula delivers oxygen through two small prongs inserted into the nostrils. It provides 24-44% oxygen at 1-6 LPM and is comfortable for patients who can breathe adequately.
EMR-VOCAB-511,Equipment,Oxygen,vocabulary,Non-rebreather mask,High-flow mask with reservoir delivering up to 90% oxygen,Nasal cannula,High concentration mask,Simple mask,Venturi mask,B,The non-rebreather mask has a reservoir bag and one-way valves allowing delivery of approximately 90% oxygen at 10-15 LPM. The reservoir must remain inflated during inspiration.
