emr_id,category,subcategory,question_type,statement,correct_answer,rationale
EMR-TF-651,Airway,Anatomy,true_false,The trachea divides into the right and left main bronchi at the carina.,TRUE,The carina is the point where the trachea bifurcates into the right and left main bronchi approximately at the level of the sternal angle. The right bronchus is shorter wider and more vertical than the left.
EMR-TF-652,Airway,Anatomy,true_false,The right main bronchus is more vertical making foreign body aspiration more likely on the right side.,TRUE,The right main bronchus branches at a less acute angle from the trachea making it more likely for aspirated objects to enter the right lung. This is clinically significant for aspiration.
EMR-TF-653,Airway,Management,true_false,Head-tilt chin-lift is contraindicated in patients with suspected spinal injury.,TRUE,Head-tilt chin-lift extends the neck which could worsen cervical spine injury. Use jaw-thrust without head extension for patients with suspected spinal trauma to open the airway while maintaining spine stabilization.
EMR-TF-654,Airway,Management,true_false,The jaw-thrust maneuver opens the airway without moving the neck.,TRUE,Jaw-thrust lifts the mandible forward bringing the tongue away from the posterior pharynx without neck extension. It is the preferred airway maneuver for trauma patients with suspected spinal injury.
EMR-TF-655,Airway,Adjuncts,true_false,An oropharyngeal airway that is too small may push the tongue back and worsen obstruction.,TRUE,An OPA that is too small does not reach past the tongue base and may actually push the tongue posteriorly increasing obstruction. Proper sizing is essential for effectiveness.
EMR-TF-656,Airway,Adjuncts,true_false,Nasopharyngeal airways can be used in patients with an intact gag reflex.,TRUE,NPAs are better tolerated than OPAs and can be used in semi-conscious patients who may gag on an OPA. They are useful when mouth access is limited or when OPA is not tolerated.
EMR-TF-657,Airway,Suctioning,true_false,Suctioning should be limited to the time you can hold your own breath.,FALSE,While this is a reasonable guideline the actual limit is 10-15 seconds for adults and less for children to prevent hypoxia. The breath-holding guideline helps remember to limit suction time.
EMR-TF-658,Breathing,Assessment,true_false,Normal respiratory rate for adults is 12-20 breaths per minute.,TRUE,Normal adult respiratory rate is 12-20 per minute. Rates above or below this range may indicate pathology. Always assess rate along with quality depth and effort for complete respiratory assessment.
EMR-TF-659,Breathing,Assessment,true_false,Accessory muscle use indicates the patient is working harder to breathe.,TRUE,Accessory muscles sternocleidomastoid scalenes intercostals are recruited when normal breathing muscles are insufficient. Their use indicates increased work of breathing and respiratory distress.
EMR-TF-660,Breathing,Ventilation,true_false,Over-ventilation can cause gastric distension and decreased venous return.,TRUE,Excessive ventilation rate or volume causes air to enter the stomach causing distension and aspiration risk. High intrathoracic pressure from over-ventilation also impedes venous return reducing cardiac output.
EMR-TF-661,Breathing,Oxygen,true_false,A nasal cannula at 6 LPM delivers approximately 44% oxygen.,TRUE,Nasal cannula delivers approximately 24-44% oxygen at flow rates of 1-6 LPM. Each liter per minute adds approximately 4% to room air 21%. Higher concentrations require a mask.
EMR-TF-662,Breathing,Oxygen,true_false,A non-rebreather mask with reservoir can deliver up to 90% oxygen.,TRUE,A properly fitting non-rebreather mask with filled reservoir at 10-15 LPM can deliver approximately 90% oxygen. The reservoir must stay inflated during inspiration for maximum concentration.
EMR-TF-663,Circulation,Assessment,true_false,Absence of a radial pulse may indicate systolic blood pressure below 80 mmHg.,TRUE,Peripheral pulses become difficult to palpate as blood pressure drops. Absent radial pulse suggests significant hypotension. Carotid pulse may be present with lower pressures than required for radial pulse.
EMR-TF-664,Circulation,Assessment,true_false,Cool pale clammy skin is a sign of shock.,TRUE,In shock the sympathetic nervous system causes vasoconstriction shunting blood centrally. This results in cool pale skin from reduced peripheral blood flow and diaphoresis from sympathetic activation.
EMR-TF-665,Circulation,Bleeding,true_false,Dark red steadily flowing blood indicates venous bleeding.,TRUE,Venous blood is darker red due to lower oxygen content and flows steadily rather than spurting. Arterial bleeding is bright red and spurts with each heartbeat. Capillary bleeding oozes.
