aemt_id,category,subcategory,question,option_a,option_b,option_c,option_d,correct_answer,rationale
AEMT-RESP-001,AEMT Respiratory,Assessment,You respond to a 62-year-old male complaining of shortness of breath that has been worsening over the past 3 days. He is sitting upright on the edge of his bed leaning forward with his hands on his knees. He is using his neck muscles with each breath and you can see his nostrils flaring. He can only speak 3-4 words between breaths. His lips have a bluish tint. Vital signs are BP 152/94 HR 112 RR 28 SpO2 86% on room air. What do these physical findings tell you about the severity of his respiratory distress?,These are normal findings for someone who is short of breath,These findings indicate severe respiratory distress. Tripod positioning accessory muscle use nasal flaring inability to speak in full sentences and cyanosis are all signs of significant respiratory compromise requiring immediate intervention,He is just anxious and hyperventilating,His vital signs are normal so this is not serious,B,The physical examination reveals multiple signs of severe respiratory distress. Tripod positioning allows accessory muscle use and maximizes diaphragmatic excursion. Accessory muscle use sternocleidomastoid scalenes indicates the diaphragm alone cannot meet ventilatory demands. Nasal flaring reduces airway resistance. Inability to speak in full sentences indicates severe dyspnea as speaking requires breath holding. Cyanosis indicates hypoxemia with SpO2 typically below 85-90%. The SpO2 of 86% confirms significant hypoxia. This patient needs immediate high-flow oxygen and further assessment to determine the cause and appropriate treatment.
AEMT-RESP-002,AEMT Respiratory,Assessment,You are assessing the respiratory distress patient. On auscultation you hear high-pitched musical sounds during expiration throughout both lung fields. The expiratory phase is prolonged taking about twice as long as inspiration. He has a history of COPD and asthma. Based on these lung sounds what is the pathophysiology causing his distress?,The wheezing indicates fluid in his lungs,Wheezing indicates bronchospasm or airway narrowing. The prolonged expiratory phase occurs because air is trapped behind narrowed airways and takes longer to exhale. This pattern suggests obstructive airway disease like COPD or asthma exacerbation,Wheezing always indicates heart failure,The lung sounds are normal,B,Wheezing is a high-pitched musical sound caused by air flowing through narrowed airways. In obstructive diseases like asthma and COPD the airways narrow from bronchospasm inflammation and mucus. The narrowing is worse during expiration when airways naturally narrow slightly causing prolonged expiratory phase and air trapping. This patient likely has an acute exacerbation of his COPD or asthma. Treatment focuses on bronchodilation with medications like albuterol to open the airways and supplemental oxygen to correct hypoxia. The wheezing is an important finding guiding treatment selection.
AEMT-RESP-003,AEMT Respiratory,Assessment,A 55-year-old female presents with sudden onset shortness of breath that began 1 hour ago while watching television. She has no history of lung disease. She had knee surgery 2 weeks ago and has been mostly bedbound since. She is anxious and reports mild chest discomfort that worsens when she takes a deep breath. Vital signs are BP 138/88 HR 118 RR 26 SpO2 88% on room air. Lung sounds are clear bilaterally. What is significant about having severe hypoxia with clear lung sounds?,Clear lung sounds mean her oxygen level must be a measurement error,Clear lung sounds with significant hypoxia suggests a non-pulmonary cause of hypoxemia. Combined with her recent surgery immobility pleuritic chest pain and tachycardia you should suspect pulmonary embolism,Clear lungs mean she is not having a respiratory emergency,She needs albuterol for her wheezing,B,Most causes of hypoxia involve abnormal lung sounds pneumonia has crackles asthma and COPD have wheezing pulmonary edema has crackles. Clear lung sounds with significant hypoxia should raise suspicion for pulmonary embolism. PE causes hypoxia through ventilation-perfusion mismatch blocked blood flow to ventilated lung areas not from alveolar filling. This patient has multiple PE risk factors including recent surgery and immobilization. Classic presentation includes sudden dyspnea pleuritic chest pain tachycardia and hypoxia. Treatment is supportive with oxygen monitoring and rapid transport. Diagnosis requires imaging at the hospital.
AEMT-RESP-004,AEMT Respiratory,Assessment,You are assessing a 70-year-old male with respiratory distress. On auscultation you hear fine crackling sounds at the end of inspiration in both lower lung fields. The crackles do not clear with coughing. He has a history of heart failure. His legs are swollen and his neck veins appear distended when he sits at 45 degrees. What do these crackles represent and what is the underlying cause?,Crackles indicate asthma and he needs albuterol,Fine inspiratory crackles that do not clear with coughing indicate fluid in the alveoli. Combined with his heart failure history JVD and peripheral edema this suggests pulmonary edema from heart failure,Crackles are normal in elderly patients,He has pneumonia and needs antibiotics,B,Crackles or rales are caused by air bubbling through fluid in the small airways and alveoli or by collapsed airways snapping open during inspiration. Fine inspiratory crackles that do not clear with coughing suggest alveolar fluid. In the context of heart failure JVD and peripheral edema this indicates cardiogenic pulmonary edema where the failing left ventricle causes backup of blood into the pulmonary circulation. Fluid transudates into the alveoli impairing gas exchange. Treatment includes positioning upright high-flow oxygen or CPAP and nitroglycerin if blood pressure permits. Albuterol would not address the underlying fluid overload.
AEMT-RESP-005,AEMT Respiratory,Assessment,A 45-year-old male presents with cough fever and shortness of breath for 4 days. He has a productive cough with green sputum. On auscultation you hear coarse crackles and decreased breath sounds in the right lower lung field only. The left lung is clear. Vital signs are BP 128/78 HR 98 RR 24 SpO2 92% on room air Temp 101.8F. What is the most likely cause of his respiratory symptoms?,He has heart failure with pulmonary edema,The unilateral findings fever and productive cough suggest pneumonia. Pneumonia affects one area of the lung typically causing localized crackles and decreased breath sounds in the affected lobe,He has a pulmonary embolism,He has an asthma exacerbation,B,Pneumonia is an infection of the lung parenchyma causing inflammation and fluid accumulation in the affected alveoli. It typically affects one lobe or segment causing unilateral or localized findings unlike pulmonary edema which is usually bilateral. Clinical features include fever productive cough with purulent sputum dyspnea and focal lung findings. This patient's presentation with fever green sputum and right lower lobe crackles and decreased breath sounds is classic for community-acquired pneumonia. Treatment includes supplemental oxygen supportive care and transport for antibiotics. Position the patient comfortably usually sitting up.
AEMT-RESP-006,AEMT Respiratory,Oxygen Therapy,You are treating the COPD patient with SpO2 of 86%. You place him on a non-rebreather mask at 15 LPM. After 5 minutes his SpO2 improves to 96% but he is becoming increasingly drowsy and confused. His respiratory rate has decreased from 28 to 12. What is happening and how should you respond?,His improved oxygen level means he is getting better,He may be developing CO2 retention from loss of hypoxic respiratory drive. Some COPD patients depend on hypoxia to stimulate breathing. Reduce oxygen to target SpO2 88-92% and stimulate him to breathe. If he continues to deteriorate be prepared to assist ventilations,Continue high-flow oxygen since his SpO2 improved,Give him a stimulant to wake him up,B,Chronic COPD patients may develop tolerance to elevated CO2 levels and become dependent on hypoxic drive for respiratory stimulation. When given high-flow oxygen the hypoxic stimulus is removed respiratory drive decreases and CO2 accumulates causing CO2 narcosis manifested by drowsiness confusion and respiratory depression. For COPD patients titrate oxygen to SpO2 88-92% to maintain some hypoxic drive while correcting dangerous hypoxia. However never withhold oxygen from a severely hypoxic patient as hypoxia kills faster than hypercapnia. If he becomes apneic or severely hypoventilates you must assist ventilations regardless of the underlying cause.
AEMT-RESP-007,AEMT Respiratory,Oxygen Therapy,A 35-year-old female with asthma is in severe respiratory distress with diffuse wheezing SpO2 84% and RR 32. You need to deliver the highest concentration of oxygen possible while also giving a nebulized bronchodilator. How can you accomplish both?,Use a nasal cannula at 6 LPM during the nebulizer treatment,Connect the nebulizer to oxygen at 6-8 LPM to power the nebulizer which also delivers oxygen. For higher FiO2 you can place a non-rebreather mask over the nebulizer or use a special mask designed to deliver nebulized medication with supplemental oxygen,Nebulizers cannot be used with supplemental oxygen,Remove the oxygen to give the nebulizer,B,Standard nebulizers require 6-8 LPM of gas flow to aerosolize medication. Using oxygen to power the nebulizer delivers both medication and approximately 40% oxygen. For patients requiring higher oxygen concentrations you can place a non-rebreather mask over or around the nebulizer mouthpiece or use a specialized dual-oxygen nebulizer system. Never disconnect a severely hypoxic patient from oxygen to give treatments. With SpO2 of 84% this patient needs both bronchodilation and high-concentration oxygen simultaneously. Modern systems allow continuous nebulization through BVM or CPAP circuits for the most critical patients.
AEMT-RESP-008,AEMT Respiratory,Oxygen Therapy,You are transporting a patient with COPD exacerbation who has improved with bronchodilators. His SpO2 is now 91% on 4 LPM nasal cannula and he is more comfortable. He asks you to increase the oxygen because he feels he could breathe even better with more. How should you respond?,Increase oxygen to maximum to make him more comfortable,Explain that for COPD patients targeting SpO2 88-92% is appropriate. Higher oxygen levels may actually worsen his condition by suppressing his respiratory drive. Continue current treatment since he is in target range and improving,All patients should have SpO2 of 100%,Remove the oxygen since he is doing better,B,Oxygen therapy should be titrated to effect not simply maximized. For COPD patients the target SpO2 is 88-92% which maintains adequate oxygenation while preserving some hypoxic respiratory drive. This patient at 91% is in the optimal range. Explain to the patient that more oxygen is not always better and could actually cause problems for someone with his lung condition. This is an opportunity for patient education. Document that you titrated oxygen to target range and the patient's SpO2 and clinical response at that level. Patient comfort is important but must be balanced against physiologic goals.
AEMT-RESP-009,AEMT Respiratory,Albuterol Administration,A 28-year-old female with asthma presents with moderate respiratory distress. She is wheezing and using accessory muscles. She used her albuterol inhaler twice at home without relief. SpO2 is 93% on room air. You prepare to administer nebulized albuterol. What is the appropriate dose and how does nebulized medication work?,Albuterol 0.5 mg nebulized over 20 minutes,Albuterol 2.5 mg in 3 mL normal saline nebulized over 5-15 minutes. Nebulization converts liquid medication to fine mist that can be inhaled directly into the airways providing targeted bronchodilation with fewer systemic effects,Albuterol 25 mg nebulized,Albuterol can only be given by inhaler,B,Nebulized albuterol dose is 2.5 mg typically premixed in 3 mL of normal saline delivered over 5-15 minutes via nebulizer powered by oxygen at 6-8 LPM. Nebulization creates fine aerosolized particles 1-5 microns that can be inhaled deep into the bronchial tree providing direct bronchodilation. This route delivers medication where it is needed with lower systemic absorption than oral or IV routes reducing side effects like tachycardia and tremor. The treatment can be repeated every 20 minutes if needed or given continuously in severe cases. Monitor for improvement in wheezing work of breathing and SpO2.
AEMT-RESP-010,AEMT Respiratory,Albuterol Administration,After the first albuterol treatment your asthma patient reports some improvement. Her wheezing has decreased and SpO2 has improved from 93% to 96%. However she is now complaining of feeling shaky and her heart is racing. Her heart rate increased from 98 to 124. What is causing these symptoms and are they concerning?,The symptoms mean she is allergic to albuterol,Tremor and tachycardia are expected side effects of beta-2 agonists like albuterol. While uncomfortable these effects indicate the medication is being absorbed. Continue monitoring but the bronchodilation benefits typically outweigh these temporary side effects,She is having a heart attack,Stop albuterol immediately and give an antidote,B,Albuterol is a beta-2 adrenergic agonist that relaxes bronchial smooth muscle causing bronchodilation. However beta-2 receptors also exist in skeletal muscle causing tremor and in the heart causing tachycardia. These are expected dose-related side effects not allergic reactions. The effects are temporary and typically subside after the medication is metabolized. In most cases the benefit of bronchodilation outweighs the discomfort of these side effects. However in patients with cardiac disease significant tachycardia could be problematic and should be weighed against respiratory benefit. Document the side effects and monitor cardiac rhythm if available.
