emr_id,category,subcategory,question_type,statement,correct_answer,rationale
EMR-TF-301,Medical,Diabetic Emergencies,true_false,Hypoglycemia occurs when blood glucose levels drop too low usually below 70 mg/dL.,TRUE,Hypoglycemia is low blood sugar typically defined as below 70 mg/dL. Symptoms develop as the brain is deprived of its primary fuel source glucose. Severe hypoglycemia can cause seizures unconsciousness and death if untreated.
EMR-TF-302,Medical,Diabetic Emergencies,true_false,Hypoglycemia can cause altered mental status confusion combativeness and seizures.,TRUE,The brain depends on glucose for energy. When blood sugar drops the brain malfunctions causing symptoms ranging from confusion and irritability to combativeness seizures and unconsciousness. Symptoms can mimic intoxication or stroke.
EMR-TF-303,Medical,Diabetic Emergencies,true_false,Signs of hypoglycemia include pale cool clammy skin rapid heartbeat and shakiness.,TRUE,Hypoglycemia triggers a sympathetic response as the body tries to raise blood sugar. Signs include diaphoresis pallor tachycardia tremors anxiety and hunger. These differ from hyperglycemic emergencies which develop more slowly.
EMR-TF-304,Medical,Diabetic Emergencies,true_false,Oral glucose can be given to a conscious hypoglycemic patient who can swallow safely.,TRUE,Oral glucose gel tablets or sugar-containing drinks can rapidly raise blood sugar in conscious patients who can protect their airway. Do not give oral glucose to patients who cannot swallow safely due to aspiration risk.
EMR-TF-305,Medical,Diabetic Emergencies,true_false,Hyperglycemia develops rapidly over minutes like hypoglycemia.,FALSE,Hyperglycemia typically develops over hours to days as blood sugar gradually rises. This is unlike hypoglycemia which can develop within minutes. Diabetic ketoacidosis and hyperosmolar states are gradual-onset emergencies.
EMR-TF-306,Medical,Diabetic Emergencies,true_false,Diabetic ketoacidosis DKA can cause fruity breath odor and deep rapid breathing.,TRUE,In DKA the body produces ketones which cause a characteristic fruity or acetone breath odor. Kussmaul respirations which are deep rapid breaths are the body's attempt to compensate for metabolic acidosis by blowing off CO2.
EMR-TF-307,Medical,Diabetic Emergencies,true_false,When in doubt whether a diabetic emergency is high or low blood sugar give oral glucose if the patient can swallow.,TRUE,Giving glucose to a hypoglycemic patient is lifesaving while giving glucose to a hyperglycemic patient causes minimal additional harm. When unsure and the patient can safely swallow providing glucose is the safer choice.
EMR-TF-308,Medical,Diabetic Emergencies,true_false,A diabetic patient who is unconscious should receive oral glucose immediately.,FALSE,Never give oral glucose or any substance by mouth to an unconscious patient as they cannot protect their airway and will aspirate. Unconscious hypoglycemic patients need IV glucose or glucagon injection which requires ALS or hospital care.
EMR-TF-309,Medical,Stroke,true_false,A stroke occurs when blood flow to part of the brain is interrupted causing brain cells to die.,TRUE,Stroke cerebrovascular accident occurs when brain tissue is deprived of blood either by a clot blocking an artery ischemic stroke or by bleeding into the brain hemorrhagic stroke. Without blood flow brain cells die within minutes.
EMR-TF-310,Medical,Stroke,true_false,The FAST mnemonic helps identify stroke symptoms: Face drooping Arm weakness Speech difficulty Time to call 911.,TRUE,FAST is a validated tool for stroke recognition. Face drooping Arm weakness and Speech difficulty are common stroke signs. Time emphasizes that stroke is time-critical as treatments are only effective within hours of symptom onset.
