emr_id,category,subcategory,question_type,term,definition,option_a,option_b,option_c,option_d,correct_answer,rationale
EMR-VOCAB-601,Anatomy,Integumentary,vocabulary,Dermis,Layer of skin beneath epidermis containing blood vessels and nerves,Outer skin layer,Middle skin layer with vessels,Fat layer,Muscle layer,B,The dermis is the second layer of skin containing blood vessels nerve endings hair follicles and sweat glands. It provides structural support and sensation. Damage to dermis causes bleeding and pain.
EMR-VOCAB-602,Anatomy,Integumentary,vocabulary,Subcutaneous tissue,Fat layer beneath the dermis,Outer skin,Layer beneath dermis,Muscle tissue,Bone covering,B,Subcutaneous tissue or hypodermis is the fatty layer beneath the dermis. It provides insulation energy storage and cushioning. Deep wounds or burns extending to this layer are more serious.
EMR-VOCAB-603,Anatomy,Muscular,vocabulary,Skeletal muscle,Voluntary muscle attached to bones for movement,Heart muscle,Voluntary movement muscle,Organ muscle,Blood vessel muscle,B,Skeletal muscle is under voluntary control and attaches to bones via tendons. Contraction produces body movement. It appears striated under microscope and fatigues with prolonged use.
EMR-VOCAB-604,Anatomy,Muscular,vocabulary,Cardiac muscle,Specialized heart muscle that contracts automatically,Voluntary muscle,Automatic heart muscle,Smooth muscle,Skeletal muscle,B,Cardiac muscle is found only in the heart. It contracts automatically and rhythmically without conscious control. It is striated like skeletal muscle but has unique properties allowing coordinated contraction.
EMR-VOCAB-605,Anatomy,Muscular,vocabulary,Smooth muscle,Involuntary muscle in organs and blood vessels,Skeletal muscle,Organ and vessel muscle,Heart muscle,Voluntary muscle,B,Smooth muscle is involuntary muscle found in blood vessel walls airways digestive tract and other organs. It contracts slowly and can maintain tone. It is not striated under microscope.
EMR-VOCAB-606,Anatomy,Muscular,vocabulary,Tendon,Connective tissue attaching muscle to bone,Ligament,Muscle to bone connection,Bone to bone connection,Cartilage,B,Tendons are tough fibrous connective tissue that attach muscles to bones. When muscle contracts it pulls on the tendon which moves the bone. Tendon injuries affect movement.
EMR-VOCAB-607,Anatomy,Muscular,vocabulary,Ligament,Connective tissue connecting bone to bone,Tendon,Bone to bone connection,Muscle to bone connection,Cartilage,B,Ligaments connect bones to other bones at joints providing stability. Sprains are ligament injuries. Ligaments limit joint motion and prevent abnormal movement.
EMR-VOCAB-608,Anatomy,Skeletal,vocabulary,Cartilage,Flexible connective tissue in joints and other structures,Bone,Flexible joint tissue,Tendon,Ligament,B,Cartilage is smooth flexible connective tissue covering bone ends in joints cushioning the ear and nose and forming airway structures. It reduces friction and absorbs shock.
EMR-VOCAB-609,Anatomy,Skeletal,vocabulary,Manubrium,Upper portion of the sternum,Lower sternum,Upper sternum,Middle sternum,Xiphoid,B,The manubrium is the upper portion of the sternum articulating with the clavicles and first ribs. The suprasternal notch is the depression at its top between the clavicles.
EMR-VOCAB-610,Anatomy,Skeletal,vocabulary,Xiphoid process,Small cartilaginous extension at bottom of sternum,Upper sternum,Lower sternum tip,Middle sternum,Rib,B,The xiphoid process is the small cartilaginous projection at the inferior end of the sternum. It is a landmark for hand placement during CPR and can be damaged by improper compressions.
