emr_id,category,subcategory,question_type,statement,correct_answer,rationale
EMR-TF-151,Airway,Anatomy,true_false,The tongue is the most common cause of airway obstruction in unconscious patients.,TRUE,In unconscious patients muscle tone is lost and the tongue can fall back against the posterior pharynx blocking the airway. This is why head-tilt chin-lift or jaw thrust maneuvers are effective as they lift the tongue forward.
EMR-TF-152,Airway,Anatomy,true_false,The epiglottis is a leaf-shaped structure that covers the trachea during swallowing to prevent aspiration.,TRUE,The epiglottis is a cartilaginous flap that closes over the glottis opening to the larynx during swallowing. This directs food and liquid into the esophagus and prevents aspiration into the trachea and lungs.
EMR-TF-153,Airway,Anatomy,true_false,The right main bronchus is more vertical than the left making it the more common site for aspirated foreign objects.,TRUE,The right main bronchus branches from the trachea at a less acute angle than the left making it more vertical. Aspirated objects tend to follow gravity and the path of least resistance entering the right bronchus more frequently.
EMR-TF-154,Airway,Anatomy,true_false,An infant's airway is smaller and more easily obstructed than an adult's airway.,TRUE,Infants have proportionally smaller airways with less cartilage support. The tongue is relatively larger compared to the oral cavity. These factors make infants more susceptible to airway obstruction and more sensitive to swelling.
EMR-TF-155,Airway,Anatomy,true_false,The trachea is protected by complete rings of cartilage along its entire length.,FALSE,The trachea is supported by C-shaped cartilage rings not complete rings. The posterior portion is membranous allowing the esophagus which lies behind to expand during swallowing. Only the cricoid cartilage is a complete ring.
EMR-TF-156,Airway,Assessment,true_false,Snoring respirations in an unconscious patient indicate partial airway obstruction.,TRUE,Snoring or sonorous respirations indicate the tongue or soft tissues are partially obstructing the upper airway. This sound is created by air turbulence as it passes the obstruction. Airway positioning maneuvers are needed.
EMR-TF-157,Airway,Assessment,true_false,Gurgling sounds during breathing indicate the presence of fluid in the airway that needs to be suctioned.,TRUE,Gurgling indicates liquid such as blood vomit or secretions in the upper airway. This requires immediate suctioning to clear the airway and prevent aspiration. Position changes may also help drain fluid.
EMR-TF-158,Airway,Assessment,true_false,Stridor is a high-pitched sound heard during inspiration that indicates upper airway obstruction.,TRUE,Stridor is a harsh high-pitched sound typically heard during inspiration caused by turbulent airflow through a narrowed upper airway. Causes include croup epiglottitis foreign body and anaphylaxis. It indicates significant obstruction.
EMR-TF-159,Airway,Assessment,true_false,Wheezing is caused by narrowing of the lower airways and is commonly heard in asthma patients.,TRUE,Wheezing is a musical whistling sound caused by air moving through narrowed bronchioles. It is characteristic of asthma COPD and allergic reactions. Wheezing is typically heard during expiration but can occur during inspiration in severe cases.
EMR-TF-160,Airway,Assessment,true_false,Crackles or rales heard in the lungs indicate fluid in the alveoli often seen in heart failure or pneumonia.,TRUE,Crackles are discontinuous popping sounds heard during inspiration caused by air passing through fluid in the small airways and alveoli. They are common in pulmonary edema from heart failure and in pneumonia.
EMR-TF-161,Airway,Maneuvers,true_false,The head-tilt chin-lift is the preferred method for opening the airway in patients with suspected spinal injury.,FALSE,Head-tilt chin-lift extends the cervical spine and is contraindicated when spinal injury is suspected. The jaw-thrust maneuver opens the airway by displacing the mandible forward without moving the neck.
EMR-TF-162,Airway,Maneuvers,true_false,The jaw-thrust maneuver opens the airway by moving the mandible forward which lifts the tongue off the posterior pharynx.,TRUE,The jaw thrust displaces the lower jaw anteriorly which pulls the tongue forward and away from the back of the throat. This opens the airway without requiring neck extension making it safe for trauma patients.
EMR-TF-163,Airway,Maneuvers,true_false,Hyperextension of the neck is recommended for opening the airway in infants.,FALSE,Infants have large occiputs that naturally flex the neck when supine and their airways are more pliable. The neutral or sniffing position with slight extension is recommended. Hyperextension can actually kink and obstruct an infant's airway.
EMR-TF-164,Airway,OPA,true_false,An oropharyngeal airway OPA is used to prevent the tongue from obstructing the airway in unconscious patients.,TRUE,The OPA is a rigid curved device inserted into the mouth that holds the tongue away from the posterior pharynx. It maintains airway patency in unconscious patients who do not have a gag reflex.
EMR-TF-165,Airway,OPA,true_false,An OPA should only be used in patients who do not have a gag reflex.,TRUE,Inserting an OPA in a patient with an intact gag reflex can stimulate vomiting and aspiration. The OPA is only appropriate for deeply unconscious patients. If the patient gags during insertion remove it immediately.
EMR-TF-166,Airway,OPA,true_false,The correct OPA size is measured from the corner of the mouth to the angle of the jaw or earlobe.,TRUE,Proper OPA sizing ensures the device is long enough to hold the tongue forward but not so long that it pushes the epiglottis closed. Measure from the corner of the mouth to the earlobe or angle of the jaw.
EMR-TF-167,Airway,OPA,true_false,In adults the OPA is inserted with the tip pointing upward then rotated 180 degrees as it passes the tongue.,TRUE,Adult OPA insertion involves inserting with the tip toward the palate then rotating 180 degrees as the device passes the tongue. This prevents pushing the tongue backward. In children insert with tip pointing down without rotation.
EMR-TF-168,Airway,NPA,true_false,A nasopharyngeal airway NPA can be used in patients who have an intact gag reflex.,TRUE,The NPA is better tolerated than the OPA in patients with intact gag reflex or those who are not deeply unconscious. It is inserted through the nose and passes behind the tongue to maintain the airway.
EMR-TF-169,Airway,NPA,true_false,An NPA is contraindicated in patients with suspected basilar skull fracture or severe facial trauma.,TRUE,In basilar skull fracture the cribriform plate may be fractured. An NPA could potentially enter the cranial cavity through this defect. Signs of basilar skull fracture include raccoon eyes Battle sign and CSF leakage from nose or ears.
EMR-TF-170,Airway,NPA,true_false,The NPA should be lubricated with petroleum-based jelly before insertion.,FALSE,Water-soluble lubricant should be used for NPA insertion. Petroleum-based products like Vaseline can damage the device and if aspirated can cause lipoid pneumonia. Always use water-soluble lubricant.
EMR-TF-171,Airway,Suction,true_false,Suctioning should be limited to 10-15 seconds to prevent hypoxia.,TRUE,Suctioning removes air as well as secretions. Prolonged suctioning can cause hypoxia. Limit each suction attempt to 10-15 seconds and allow the patient to breathe or be ventilated between attempts.
EMR-TF-172,Airway,Suction,true_false,A rigid suction catheter like the Yankauer is best for suctioning thick secretions and vomit from the oropharynx.,TRUE,Rigid catheters like the Yankauer are designed for removing thick secretions blood clots and vomit from the mouth and oropharynx. They are more effective than flexible catheters for these materials.
EMR-TF-173,Airway,Suction,true_false,When suctioning an adult you should insert the catheter as far as possible to remove all secretions.,FALSE,Insert the rigid suction catheter only as far as you can see in the oropharynx. Blind deep insertion can cause trauma vomiting or laryngospasm. Suction only visible material in the mouth and throat.
EMR-TF-174,Airway,BVM,true_false,The bag-valve-mask BVM can deliver nearly 100% oxygen when connected to supplemental oxygen.,TRUE,When connected to oxygen at 15 LPM with a reservoir bag the BVM can deliver approximately 90-100% oxygen concentration. Without supplemental oxygen it delivers only room air at 21% oxygen.
EMR-TF-175,Airway,BVM,true_false,Two-person BVM ventilation is more effective than one-person technique.,TRUE,With two rescuers one can use both hands to maintain mask seal and airway position while the other squeezes the bag. This results in better tidal volumes and less air leak compared to single-rescuer technique.
EMR-TF-176,Airway,BVM,true_false,The proper ventilation rate for an adult using BVM is 10-12 breaths per minute.,TRUE,Adult ventilation rate with BVM is 10-12 breaths per minute or one breath every 5-6 seconds. Faster rates cause gastric insufflation and reduce venous return to the heart impairing circulation.
EMR-TF-177,Airway,BVM,true_false,Each BVM ventilation should deliver as much volume as possible to ensure adequate oxygenation.,FALSE,Excessive ventilation volume causes gastric insufflation increases aspiration risk and impairs venous return. Deliver just enough volume to see the chest rise which is approximately 500-600 mL in adults.
EMR-TF-178,Airway,BVM,true_false,Gastric distension during BVM ventilation indicates the ventilations are being delivered too fast or with too much volume.,TRUE,Gastric insufflation occurs when air enters the stomach instead of the lungs. This results from excessive volume rapid delivery or poor airway positioning. Correct by repositioning and using slower smaller breaths.
EMR-TF-179,Airway,Oxygen Delivery,true_false,A nasal cannula can deliver 24-44% oxygen at flow rates of 1-6 liters per minute.,TRUE,The nasal cannula is a low-flow device that delivers approximately 24% oxygen at 1 LPM increasing about 4% per liter up to approximately 44% at 6 LPM. Higher flows dry the nasal mucosa and provide little additional benefit.
EMR-TF-180,Airway,Oxygen Delivery,true_false,A non-rebreather mask at 15 LPM can deliver approximately 90% oxygen to the patient.,TRUE,The non-rebreather mask with reservoir bag at 15 LPM delivers high-concentration oxygen of approximately 90%. One-way valves prevent exhaled air from entering the reservoir ensuring high oxygen concentration with each breath.
EMR-TF-181,Airway,Oxygen Delivery,true_false,The reservoir bag on a non-rebreather mask should be fully inflated before placing the mask on the patient.,TRUE,The reservoir bag should be filled with oxygen before use by occluding the one-way valve or using the oxygen flush. If the bag is empty the patient will not receive adequate oxygen on the first breaths.
EMR-TF-182,Airway,Oxygen Delivery,true_false,Oxygen should never be given to patients with COPD because it will cause them to stop breathing.,FALSE,Never withhold oxygen from a hypoxic patient regardless of COPD status. While some COPD patients may have reduced respiratory drive with high oxygen the risk of hypoxia is more immediately life-threatening. Titrate oxygen to maintain adequate saturation.
EMR-TF-183,Airway,Oxygen Delivery,true_false,Blow-by oxygen is an appropriate technique for young children who will not tolerate a mask.,TRUE,Children who become distressed with masks on their face may tolerate blow-by oxygen where the mask or tubing is held near the face. A calm child receiving blow-by often maintains better oxygenation than a crying child fighting a mask.
