id,category,subcategory,question,option_a,option_b,option_c,option_d,correct_answer,rationale,certification,difficulty
1,Medical,Altered Mental Status,Causes of altered mental status can be remembered by:,SAMPLE,AEIOU-TIPS,OPQRST,DCAP-BTLS,B,AEIOU-TIPS: Alcohol Epilepsy Insulin Overdose Uremia Trauma Infection Psychiatric Stroke.,AEMT,medium
2,Medical,Altered Mental Status,Hypoglycemia is defined as blood glucose less than:,100 mg/dL,70 mg/dL,60 mg/dL,50 mg/dL,B,Hypoglycemia is generally blood glucose less than 70 mg/dL.,AEMT,medium
3,Medical,Altered Mental Status,Signs of hypoglycemia include:,Fruity breath and dry skin,Diaphoresis tremor confusion combativeness,Kussmaul respirations,Hot dry skin,B,Hypoglycemia causes sweating shakiness confusion anxiety combativeness seizures.,AEMT,medium
4,Medical,Altered Mental Status,Treatment for hypoglycemia in conscious patient:,IV dextrose,Oral glucose,Glucagon IM,Insulin,B,Conscious hypoglycemic patients receive oral glucose 15-25 grams.,AEMT,medium
5,Medical,Altered Mental Status,Treatment for hypoglycemia in unconscious patient:,Oral glucose,IV dextrose or glucagon,More insulin,Observation,B,Unconscious: D10 or D50 IV or glucagon IM if no IV access.,AEMT,medium
6,Medical,Altered Mental Status,Dextrose 50% contains how much glucose in 50 mL:,10 grams,25 grams,50 grams,100 grams,B,D50 contains 25 grams of glucose in 50 mL.,AEMT,medium
7,Medical,Altered Mental Status,Dextrose 10% adult dose is typically:,25 mL,100-250 mL,500 mL,1000 mL,B,D10 given 100-250 mL IV titrated to response.,AEMT,medium
8,Medical,Altered Mental Status,Glucagon dose for hypoglycemia is:,0.5 mg,1 mg IM,2 mg,5 mg,B,Glucagon 1 mg IM when no IV access; onset 10-20 minutes.,AEMT,medium
9,Medical,Altered Mental Status,Glucagon works by:,Directly providing glucose,Stimulating liver to release stored glycogen,Lowering blood sugar,Blocking insulin,B,Glucagon stimulates hepatic glycogenolysis releasing stored glucose.,AEMT,medium
10,Medical,Altered Mental Status,Hyperglycemia is generally blood glucose greater than:,100 mg/dL,150 mg/dL,200 mg/dL,300 mg/dL,D,Significant hyperglycemia generally greater than 300 mg/dL with symptoms.,AEMT,medium
11,Medical,Diabetic Emergencies,Diabetic ketoacidosis DKA is more common in:,Type 2 diabetes,Type 1 diabetes,Pre-diabetes,Gestational diabetes,B,DKA more common in Type 1 due to complete insulin deficiency.,AEMT,medium
