emr_id,category,subcategory,question_type,statement,correct_answer,rationale
EMR-TF-551,Operations,Scene Safety,true_false,Scene safety assessment should be performed before approaching any patient.,TRUE,Scene safety is always the first priority. Assess for hazards including traffic violence hazardous materials fire and structural dangers before approaching. An injured rescuer cannot help and becomes an additional patient.
EMR-TF-552,Operations,Scene Safety,true_false,If a scene is unsafe EMS providers should enter anyway to rescue the patient.,FALSE,EMS providers should never enter unsafe scenes. Wait for appropriate resources such as fire police or hazmat to secure the scene. Becoming a victim does not help the patient and creates additional casualties.
EMR-TF-553,Operations,Scene Safety,true_false,Scene safety assessment is a one-time evaluation performed only upon arrival.,FALSE,Scene safety is an ongoing assessment. Conditions can change during a call. Continuously reassess for new hazards such as arriving family members changing traffic patterns or deteriorating structural conditions.
EMR-TF-554,Operations,Scene Safety,true_false,Violent scenes should be secured by law enforcement before EMS enters.,TRUE,Law enforcement should secure violent scenes before EMS entry. Stage at a safe distance until police confirm the scene is safe. Even after clearance maintain situational awareness as conditions can change.
EMR-TF-555,Operations,Scene Safety,true_false,Traffic is a significant hazard at roadway incidents.,TRUE,Traffic is one of the most dangerous hazards for EMS providers. Use proper positioning of vehicles wear high-visibility clothing and maintain awareness of traffic. Never turn your back to traffic.
EMR-TF-556,Operations,PPE,true_false,Gloves should be worn for all patient contact.,TRUE,Gloves are the minimum PPE for all patient contact regardless of apparent infection risk. Standard precautions assume all blood and body fluids are potentially infectious. Change gloves between patients.
EMR-TF-557,Operations,PPE,true_false,The same pair of gloves can be worn for multiple patients to save time.,FALSE,Gloves must be changed between patients to prevent cross-contamination. Using the same gloves for multiple patients spreads pathogens. Change gloves and perform hand hygiene between each patient contact.
EMR-TF-558,Operations,PPE,true_false,Eye protection should be worn when there is potential for splash or spray of body fluids.,TRUE,Eye protection prevents exposure through the mucous membranes of the eyes. Wear goggles or face shield when splash or spray is likely such as during airway management suctioning or childbirth.
EMR-TF-559,Operations,PPE,true_false,N95 respirators are required for protection against airborne diseases like tuberculosis.,TRUE,N95 respirators filter small airborne particles that can transmit diseases like TB. Standard surgical masks do not provide adequate protection against true airborne pathogens. N95s require fit testing.
EMR-TF-560,Operations,PPE,true_false,Hand hygiene should be performed before and after every patient contact.,TRUE,Hand hygiene is the single most important measure to prevent infection transmission. Wash with soap and water or use alcohol-based hand sanitizer before and after every patient contact even when gloves are worn.
EMR-TF-561,Operations,Lifting,true_false,Proper lifting technique uses the legs not the back.,TRUE,Lift with your legs keeping the back straight. Bend at the knees and hips not the waist. Keep the load close to your body. Back injuries are common in EMS and proper technique prevents them.
EMR-TF-562,Operations,Lifting,true_false,The power lift involves keeping feet together and bending at the waist.,FALSE,The power lift uses feet shoulder-width apart with one foot slightly forward. Bend at the knees and hips keeping the back straight. Feet together and bending at the waist is incorrect and causes injury.
EMR-TF-563,Operations,Lifting,true_false,Know your physical limitations and ask for help when needed.,TRUE,Recognize personal lifting limitations. Request additional help for heavy patients or awkward lifts. Attempting lifts beyond your capability causes injury. Patient and provider safety both depend on appropriate resources.
EMR-TF-564,Operations,Lifting,true_false,Reaching overhead while lifting a heavy load is acceptable if done quickly.,FALSE,Overhead lifting with heavy loads greatly increases injury risk. Keep loads between waist and shoulder height. If overhead lifting is necessary use a step stool or get additional help. Avoid twisting while lifting.
EMR-TF-565,Operations,Lifting,true_false,Twisting while carrying a patient should be avoided.,TRUE,Twisting the torso while carrying weight puts tremendous stress on the spine. Move your feet to turn rather than twisting your back. Coordinate movements with your partner to avoid awkward twisting.
EMR-TF-566,Operations,Communications,true_false,Clear and accurate communication is essential for effective patient care.,TRUE,Communication failures contribute to medical errors. Clear accurate communication between providers dispatch and hospital ensures appropriate care. Use standard terminology and confirm understanding of critical information.
EMR-TF-567,Operations,Communications,true_false,The phonetic alphabet helps ensure clear communication especially over radio.,TRUE,The phonetic alphabet Alpha Bravo Charlie replaces letters that might be misheard over radio. Using standard words for letters prevents confusion between similar sounding letters like B and D or M and N.
EMR-TF-568,Operations,Communications,true_false,Patient information can be freely shared with anyone who asks.,FALSE,Patient information is protected by HIPAA and confidentiality requirements. Share information only with those who need it for patient care or as required by law. Do not discuss patients publicly or on social media.
EMR-TF-569,Operations,Communications,true_false,Radio reports to the hospital should include patient condition vital signs and treatments given.,TRUE,Hospital notification should include patient age and gender chief complaint mechanism of injury vital signs treatments provided and estimated arrival time. This allows the hospital to prepare for the patient.
EMR-TF-570,Operations,Communications,true_false,The patient care report PCR is a legal document.,TRUE,The PCR becomes part of the permanent medical record and is a legal document. It may be used in court proceedings. Document accurately objectively and thoroughly. If not documented it was not done.
EMR-TF-571,Operations,Documentation,true_false,Documentation should be completed as soon as possible while details are fresh.,TRUE,Complete documentation promptly while information is fresh. Delays lead to forgotten details and less accurate records. Document objective findings using medical terminology. Avoid subjective opinions.
EMR-TF-572,Operations,Documentation,true_false,Errors in documentation should be corrected by completely blacking out the mistake.,FALSE,Correct documentation errors with a single line through the error so original text remains visible. Initial and date the correction then write the correct information. Never obliterate erase or use correction fluid.
EMR-TF-573,Operations,Documentation,true_false,Late entries to documentation are acceptable if properly marked.,TRUE,If information must be added after completion make a late entry noting the date and time of the addition. Do not alter original entries. Late entries should explain why the information is being added later.
EMR-TF-574,Operations,Documentation,true_false,Only positive findings need to be documented.,FALSE,Document both positive and pertinent negative findings. Pertinent negatives like denies chest pain or no signs of trauma help establish the clinical picture and demonstrate thorough assessment.
EMR-TF-575,Operations,Documentation,true_false,Patient refusal of care must be thoroughly documented.,TRUE,Refusal documentation must show the patient had decision-making capacity was informed of risks and consequences and understood the information. Document the conversation have patient sign refusal form and include witnesses.
EMR-TF-576,Operations,Transport,true_false,Emergency lights and sirens allow EMS vehicles to disregard all traffic laws.,FALSE,Emergency vehicles with lights and sirens have limited exemptions but must still operate with due regard for safety. Speeding through red lights without stopping is not permitted. Other drivers may not see or yield.
EMR-TF-577,Operations,Transport,true_false,The decision to use lights and sirens should be based on patient condition and local protocols.,TRUE,Not all patients require lights and sirens transport. Base the decision on patient acuity and protocols. Lights and sirens increase accident risk and may not significantly decrease transport time.
EMR-TF-578,Operations,Transport,true_false,Seatbelts should be worn by EMS providers in the patient compartment when possible.,TRUE,EMS providers are frequently injured in ambulance crashes. Wear seatbelts when not actively providing patient care. Restrain patients properly on the stretcher. Unrestrained occupants become projectiles in crashes.
EMR-TF-579,Operations,Transport,true_false,Patient destination should be the closest appropriate facility for their condition.,TRUE,Transport to the most appropriate facility which may not be the closest. Trauma patients should go to trauma centers cardiac patients to cardiac centers. Know your local facility capabilities and protocols.
EMR-TF-580,Operations,Transport,true_false,Family members can always ride in the ambulance with the patient.,FALSE,Family members may ride if space permits and they do not interfere with care. However provider and patient safety take priority. Agitated or interfering family may need to follow in a separate vehicle.
EMR-TF-581,Operations,Mass Casualty,true_false,A mass casualty incident occurs when patients exceed available resources.,TRUE,MCI is defined by resources being overwhelmed not by a specific number of patients. What constitutes an MCI depends on available resources. Even a few patients can overwhelm a small agency.
EMR-TF-582,Operations,Mass Casualty,true_false,In an MCI focus shifts from doing everything for one patient to doing the most good for the most patients.,TRUE,During MCIs the goal is the greatest good for the greatest number. Resources must be distributed to maximize overall survival. This may mean some patients receive less than optimal individual care.
EMR-TF-583,Operations,Mass Casualty,true_false,START triage uses respiration perfusion and mental status to categorize patients.,TRUE,START Simple Triage And Rapid Treatment assesses respirations perfusion capillary refill and mental status to rapidly categorize patients as immediate delayed minor or deceased. It takes about 30 seconds per patient.
EMR-TF-584,Operations,Mass Casualty,true_false,Patients who can walk are automatically categorized as delayed in START triage.,FALSE,Walking wounded are categorized as MINOR green not delayed. If they can walk they are the lowest priority. Immediate red is highest priority delayed yellow is second and deceased black receive no treatment.
EMR-TF-585,Operations,Mass Casualty,true_false,The Incident Command System provides standardized emergency management structure.,TRUE,ICS is a standardized organizational structure used for managing emergencies of all sizes. It provides clear chain of command defined roles and scalability from small incidents to major disasters.
EMR-TF-586,Operations,Hazmat,true_false,EMS providers should not enter hazardous materials scenes without proper training and equipment.,TRUE,Hazmat scenes require specialized training and equipment. Attempting rescue without protection makes you another victim. Stage upwind at a safe distance and wait for hazmat teams. Plan for decontamination of patients.
EMR-TF-587,Operations,Hazmat,true_false,Patients from hazmat incidents may require decontamination before treatment.,TRUE,Contaminated patients can expose providers and contaminate equipment and facilities. Decontamination removes hazardous materials before transport. EMS may need to set up decon or work with hazmat teams.
EMR-TF-588,Operations,Hazmat,true_false,Placards on vehicles and containers identify hazardous materials.,TRUE,Placards use colors numbers and symbols to identify hazardous materials during transport and storage. Learn to recognize placards and use resources like the ERG Emergency Response Guidebook for guidance.
EMR-TF-589,Operations,Hazmat,true_false,The Emergency Response Guidebook ERG provides guidance for hazmat incidents.,TRUE,The ERG is a reference for initial hazmat response. It identifies materials by placard name or UN number and provides safety distances isolation guidance and initial response information.
EMR-TF-590,Operations,Hazmat,true_false,Scene control zones at hazmat incidents include hot warm and cold zones.,TRUE,The hot zone is the contaminated area. The warm zone is where decontamination occurs. The cold zone is the safe area for command and staging. Only properly equipped personnel enter hot and warm zones.
EMR-TF-591,Operations,Vehicle Operations,true_false,Regular vehicle inspections help ensure ambulance readiness.,TRUE,Daily vehicle and equipment checks ensure the ambulance is ready for calls. Check medical equipment oxygen supplies medications communications and vehicle systems. Document inspections and report problems.
EMR-TF-592,Operations,Vehicle Operations,true_false,Due regard means operating emergency vehicles with consideration for the safety of others.,TRUE,Due regard requires driving with consideration for others safety even when using emergency lights and sirens. Failing to exercise due regard can result in liability even when responding to emergencies.
EMR-TF-593,Operations,Vehicle Operations,true_false,Backing an ambulance without a spotter increases accident risk.,TRUE,Backing accidents are common. Always use a spotter when backing. If no spotter is available exit and walk around the vehicle to check for obstacles. Use mirrors and cameras but nothing replaces a spotter.
EMR-TF-594,Operations,Wellness,true_false,EMS providers are at risk for physical and emotional stress.,TRUE,EMS involves physical demands irregular hours traumatic exposures and chronic stress. Providers are at risk for injury burnout PTSD and other health effects. Self-care and support systems are important.
EMR-TF-595,Operations,Wellness,true_false,Critical incident stress debriefing CISD helps providers process traumatic calls.,TRUE,CISD is a structured group discussion after critical incidents. It helps normalize reactions provide support and identify those needing additional help. Participation should be voluntary and confidential.
EMR-TF-596,Operations,Wellness,true_false,Signs of burnout include emotional exhaustion and decreased sense of accomplishment.,TRUE,Burnout develops from chronic occupational stress. Signs include emotional exhaustion depersonalization and reduced sense of accomplishment. Recognizing signs early allows intervention before serious consequences.
EMR-TF-597,Operations,Wellness,true_false,Seeking help for stress or mental health concerns is a sign of weakness.,FALSE,Seeking help is a sign of strength and self-awareness. EMS culture should support providers who seek help. Mental health resources should be available and accessing them should not carry stigma.
EMR-TF-598,Operations,Wellness,true_false,Proper nutrition sleep and exercise help maintain provider wellness.,TRUE,Physical health supports mental resilience. Adequate sleep healthy nutrition and regular exercise help providers cope with job stress. Poor self-care increases injury and illness risk.
EMR-TF-599,Operations,Ethics,true_false,Patient autonomy means competent patients have the right to make decisions about their own care.,TRUE,Autonomy is the ethical principle that competent patients can make their own healthcare decisions including refusing care. This right exists even when providers disagree with the decision.
EMR-TF-600,Operations,Ethics,true_false,Beneficence means acting in the patient's best interest.,TRUE,Beneficence is the ethical principle of doing good and acting in the patient's best interest. Providers should make decisions that benefit the patient. This must be balanced with respect for patient autonomy.
